# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mdh//accD//
AcrR	alaC//sdhA//
Ada	dsdA//narH//alaC//narH//
AdiY	gltB//malY//alaS//rhaD//
AgaR	gdhA//
AidB	ndh//
AlaS	glk//
AllR	lpxA//hcaF//rdoA//cysN//arsC//gabD//
AllS	glpX//rimK//paaY//
AlsR	mhpD//asnA//gcvH//
AppY	wzc//caiB//
AraC	moeB//ulaD//nirD//accD//atoD//lsrF//glpA//
ArgP	argC//nagB//purL//uvrC//wrbA//glcD//moaE//tnaA//katG//
ArgR	cysE//puuA//lpd//fadI//rutD//metA//mnmG//glmU//tdcD//katE//paaC//galK//cysJ//fau//hcaF//nanE//garK//pepD//fdhF//fes//caiA//puuD//yfdE//
ArsR	putA//udp//
AscG	phnO//citX//
AsnC	allB//guaB//
AtoC	nrfB//dkgA//rffM//
BaeR	cyoE//phnJ//
BasR	tpiA//nagB//wzb//
BetI	uidA//astA//carB//
BirA	thrS//gltD//ribA//nagA//phnN//
BluR	
BolA	yfbR//katG//
CadC	pncB//purD//
CaiF	tnaA//accA//metC//nrdA//paaJ//
Cbl	ybaS//ttdA//ybjG//napB//napA//
CdaR	purN//aceB//bioC//citE//pfkA//ybaS//umuC//gcvH//allC//
CecR	
ChbR	talA//nrfB//thrS//
ComR	
CpxR	arsC//mhpD//rsmH//paaY//wzb//aceA//pdeL//uidA//cysH//rfe//pgi//fbaB//dsdA//metE//cysK//gabT//gatD//xylA//cysC//argG//gutQ//
Cra	ogt//napH//murG//lacA//hcp//talA//ilvC//hypF//thrS//tam//fes//astB//gcvP//talA//moaA//mhpA//ppsA//yibQ//alkA//poxB//gatD//purK//frdB//pdeH//citC//speA//dhaK//tam//phnI//ycjG//glgA//entA//narI//mhpF//cysN//fadE//aceF//acnB//ynfH//carA//tauD//hcaC//nrdE//waaH//paaI//prs//idnO//pgpC//rdoA//uxaB//chbG//leuB//sufS//atoA//cysD//leuD//nadA//asnB//bioF//accA//
CreB	phnI//aspC//
CsgD	pncB//glmU//kbaY//puuA//deoC//
CsiR	pck//glpK//trpD//galT//
CspA	putA//
CueR	caiC//ubiC//sdhC//entC//
CusR	narI//cysE//ddlB//
CynR	mhpF//puuC//argA//
CysB	truB//aroG//uvrA//sdhB//murF//eda//purN//nrfD//luxS//fadE//hyaC//argG//murQ//adhE//glgC//trpB//epd//glcB//
CytR	purB//betA//pheT//bioB//phoA//pflB//tynA//lpd//argH//paaG//
Dan	ybjG//poxB//
DcuR	citD//arsC//nadB//glk//
DeoR	allB//asnB//ulaE//ldtB//lsrK//paaI//
DhaR	ulaE//
DicA	
DinJ-YafQ	cysI//
DnaA	ogt//deoD//eda//yibQ//pnp//pncB//
DpiA	bioA//purF//rnpB//bioC//treC//
DsdC	pgk//kbaY//
EbgR	
EnvR	gudD//fumB//
EnvY	cysC//caiD//
EvgA	gltD//nrfA//trpD//dgcC//eda//ycjG//
ExuR	rnpB//mhpB//sgbU//umpH//paaF//nrdD//
FabR	cysC//lacZ//
FadR	sgbH//fadH//glpA//torC//yibQ//nanK//hemL//dmsA//nrdA//ahpC//tadA//dhaK//cyoE//phoA//tdcD//lhgO//adhE//lpxA//
FeaR	galE//deoC//
FhlA	fucA//aroL//relA//rhaB//entB//gloA//glgB//
FlhDC	srlD//alaC//prpB//tam//fbaB//fes//cysM//garK//argH//puuE//gltD//
FliZ	nrfC//citX//fadH//feaB//rnpB//
FucR	allE//citX//garK//bglB//katE//gltB//
Fur	nfsB//kbaY//ldtD//lpxD//puuB//glcB//pyrD//chbF//argI//lsrK//aroL//uidA//citE//phr//ssuE//aroG//glpC//pheS//glgA//prpD//sgbU//caiA//speA//metC//phnG//fadB//torA//tyrB//ppsA//aroF//nrfD//amn//paaH//murE//paaG//aspA//dacC//hmp//gabD//citC//appA//yeaG//ttdA//fbaB//atoB//sgbH//leuB//rffG//polB//murD//metF//yiaK//dacC//cynT//gatZ//gltB//dsdA//hcaB//ung//moaE//aceB//glmS//frdA//
GadE	metA//ychF//rpiB//bioF//purL//entC//pheT//pheS//paaZ//lysC//
GadE-RcsB	fucO//rbsD//deoD//alkA//
GadW	tdcD//purL//glpC//nrdA//
GadX	tyrB//oxc//hcp//caiB//slt//carB//mazG//chbG//nemA//phnH//araD//gatY//
GalR	fadI//rbsD//dgcC//paaC//glgX//gudD//
GalS	dmsA//glpQ//caiB//ruvB//cysH//mngB//
GatR	rffM//guaB//pepD//
GcvA	uidA//treC//yqhD//
GlcC	ruvA//purL//relA//
GlpR	purM//mhpC//talA//adhE//dgcZ//prpC//narG//
GlrR	
GntR	mltF//glgB//tynA//alaC//sucD//rpiB//narG//torA//murD//
GutM	hyi//waaZ//murC//
GutR	mngB//ppiA//gudD//
HU	uxaB//citD//idnK//paaZ//mhpA//cysK//napH//
HcaR	umuD//fadB//
HdfR	
HigA	nanK//
HigB-HigA	rffC//
HipAB	citF//ampC//
HipB	nagB//moaA//ycjG//
HyfR	patA//
HypT	ybaS//hcaE//rsmH//ada//puuC//glgP//yibQ//
IclR	talA//hyaB//ddlB//
IdnR	dmsB//cynT//hycC//ulaG//puuC//patA//
IlvY	rffC//
IscR	citG//adiA//hcp//moeA//pykF//glk//
KdgR	bioB//phnN//
KdpE	torC//
LacI	astA//putA//bioF//
LeuO	fucO//paaF//alaS//gpmA//ttdB//glgB//
LexA	rffH//gutQ//prpC//fadA//aroF//hyi//aceA//waaH//bioD//leuA//hcaE//yfbR//zwf//gor//mhpB//mazG//entC//paaC//pepD//hemH//mazG//
LldR	hcaC//glgP//
LrhA	
LsrR	metA//murC//murI//edd//bioB//
LysR	sdhA//
MalI	aspA//napG//
