# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mpl//truB//
AcrR	mpaA//leuC//
Ada	astE//gadB//malS//napC//
AdiY	dacC//rimK//mhpD//puuD//
AgaR	aceB//
AidB	lpxD//
AlaS	metA//
AllR	glgB//paaH//ribA//cyoE//nfsB//glxK//
AllS	lldD//tktB//mnmG//
AlsR	nemA//galM//murI//
AppY	phoA//uxaA//
AraC	ycjG//prpE//argD//waaY//cysM//idnK//glnA//
ArgP	uvrC//lysC//ribA//bioA//gapA//frdB//tdcD//pheS//argF//
ArgR	trpE//puuC//purK//cadA//ilvC//allD//feaB//ftsI//allE//wrbA//sucA//iscS//caiD//murD//malP//cysK//argE//sucA//serA//paaH//poxB//relA//prpC//
ArsR	hycF//fbaB//
AscG	paaC//phoA//
AsnC	rbsK//ynfE//
AtoC	lhgO//caiD//bioF//
BaeR	hypF//rhaA//
BasR	fabG//mhpC//leuB//
BetI	metF//ssuE//entA//
BirA	bioB//kbaY//tyrB//glpK//pdeL//
BluR	
BolA	malY//narI//
CadC	hypB//lsrF//
CaiF	astD//kbaY//ldtB//gpmA//tadA//
Cbl	ruvA//ycjG//pgi//hcaB//ldtC//
CdaR	folE//betA//guaB//puuC//ldtD//purD//pncB//pspE//dgcC//
CecR	
ChbR	pheT//phnO//allE//
ComR	
CpxR	rutC//slt//cysM//napA//murE//paaE//paaC//pdeR//edd//phoA//phnO//gatD//trpA//arsC//gdhA//allC//hyaA//nanE//cadA//hycG//hycF//
Cra	mhpB//cadA//citE//astB//phnH//ppiA//argG//gpmM//citG//udp//ybjG//argF//uxuB//nemA//lpxC//napC//murC//xylA//rpiB//glcE//ybaS//serA//fbaB//feaB//glgC//gutQ//leuC//dinB//frdB//trpC//murQ//torA//hemH//alaS//fbaB//moaD//hycB//sdhC//accB//glpB//pagP//murC//ubiC//aceE//paaG//thrS//glpC//metE//dapB//fadI//gudD//caiA//tehB//entF//aspA//cysI//pyrC//glpK//galE//purM//
CreB	nirB//polB//
CsgD	cysH//bacA//aroG//hycD//ynfE//
CsiR	dhaL//pykF//fabB//astB//
CspA	sgbH//
CueR	murC//ribA//ubiA//yibQ//
CusR	rpiB//tdcB//gltB//
CynR	glgX//waaY//rbsK//
CysB	alsE//rffC//paaI//moaE//ubiA//ubiC//rffH//gpmA//glnA//mngB//treC//gntK//cysJ//glgC//nadA//malS//lpd//frc//
CytR	rhaA//sucD//xylB//pgi//prpC//napB//atoD//ttdB//dacC//astD//
Dan	leuC//malS//
DcuR	nanA//moaA//trpC//hcaF//
DeoR	ppiA//pgaD//rffH//uvrB//tktB//fadI//
DhaR	metA//
DicA	
DinJ-YafQ	aceA//
DnaA	purE//appA//gcl//caiC//moeA//rffM//
DpiA	bioA//purM//gpmA//purD//paaE//
DsdC	alsE//ppc//
EbgR	
EnvR	galK//gcl//
EnvY	betA//ubiA//
EvgA	glgC//speA//astD//purA//nanK//malQ//
ExuR	entF//ssuD//metB//hycG//bioB//puuD//
FabR	napH//pheT//
FadR	sdhB//cynS//ulaF//rhaB//nemA//paaG//trpC//aroG//umuC//rffG//aceF//fadM//entD//atoB//glxK//prpE//prpD//bioC//
FeaR	lsrK//hycD//
FhlA	polA//appA//frdC//sdhB//nanM//uvrB//hycB//
FlhDC	gltD//paaG//argG//bioD//uxaC//cysH//sufS//mngB//sodA//ugpQ//glk//
FliZ	ruvA//citC//citC//trpB//rhaA//
FucR	nrfB//purB//mhpC//dhaM//glgB//gloA//
