#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b0430//b0314//
AcrR	b2977//b4523//b3786//b1301//b3727//b0112//b4239//b0975//b1938//b0675//b0675//
Ada	b3092//b1298//b3723//b2904//
AdiY	b2666//b2167//b4241//b4393//b2281//b1129//b1516//b3743//
AgaR	b3094//b3788//b3237//b3117//sroA//b0854//b3271//b1485//b3076//b4018//b3190//
AidB	b4119//
AlaS	b0334//
AllR	b2660//b3082//b3037//b0093//b1547//b1734//b4026//b0062//b4291//
AllS	b0734//b3742//b4004//
AlsR	b0895//b2601//b4525//b3741//b1307//b2671//
AppY	b0937//b2307//b2542//b3093//b3060//b2281//b0313//b0464//b1568//b2308//
AraC	b0293//b4241//b1378//b2676//b2704//b1070//b1590//b2198//b3333//b3727//b3923//b1658//b3166//b3613//
ArgP	b4393//b1483//b4417//b1530//b1617//b0583//b4567//b1658//b2542//b1531//b4119//b3077//b3786//b1244//
ArgR	b3432//b2365//b2903//b4481//b4070//b4027//b2127//b0602//b1907//b0696//b3140//b4254//b1672//b2579//b4457//b2221//b4089//b3859//b0068//b2560//b2801//b1132//b3476//b1858//b1400//b0973//b0151//b2741//b2156//b0067//b0508//b4013//b3959//b1385//b2759//b1389//b0997//b1656//
ArsR	b1796//b3491//b0064//
AscG	b0623//b3723//b1486//b1411//b2802//
AsnC	b1398//b3410//b2288//b1712//
AtoC	b2821//b0622//b4396//b3514//
BaeR	b2212//b2724//b4032//b2407//b1779//b4085//b1904//b3478//
BasR	b3061//b3580//b3417//b1796//b0180//b3939//b0756//b1492//b3025//b1492//b4513//b1634//b4131//
BetI	b4124//b0602//b1486//b2762//
BirA	b0584//b1907//b2980//b4670//b4072//
BluR	b3036//b0334//b3828//b4014//
BolA	b1287//b1674//
CadC	b0783//b2552//b3829//
CaiF	b2085//b0460//b3461//b2838//b0070//b0095//b4613//b2163//b1511//b4292//
Cbl	b3113//b3214//b2149//b1283//b0383//b1779//b2754//b1608//b3491//
