#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1387//b3500//
AcrR	b3558//b1682//b1519//b0068//b2276//b1194//b1246//b4085//b2371//b1004//b2662//
Ada	b1227//b0154//b4150//b2717//
AdiY	b3575//b2752//b0594//b2286//b2741//b0311//b4096//b4030//
AgaR	b1569//b0880//b3645//b3724//b3941//b1481//b3515//b0441//b0995//b2464//b3525//
AidB	b2085//
AlaS	b1016//
AllR	b1634//b0091//b1924//b4013//b2231//b2822//b0674//b0435//b3136//
AllS	b2699//b1508//b2017//
AlsR	b0233//b0019//b0575//b3794//b0934//b0311//
AppY	b4015//b3869//b4321//b3966//b4458//b3170//b1275//b0060//b1080//b0428//
AraC	b2819//b1070//b1954//b3601//b2631//b1207//b2063//b1590//b1761//b2990//b3846//b2687//b1531//b4099//
ArgP	b3095//b4131//b1588//b2758//b0583//b1222//b0856//b2560//b1821//b3269//b0118//b4522//b1671//b3083//
ArgR	b2393//b3480//b3574//b4233//b1265//b0392//b0708//b3604//b2223//b4293//b0795//b2937//b2824//b2762//b4075//b4484//b3495//b2630//b0776//b3959//b1395//b0979//b2168//b3702//b0348//b1407//b1166//b0618//b2148//b4118//b3605//b3118//b0233//b2153//b4254//b0896//b1779//b3479//
ArsR	b3813//b3582//b0070//
AscG	b2068//b1487//b1262//b0504//b1851//
AsnC	b2841//b2993//b3725//b2603//
AtoC	b3430//b0934//b1744//b0590//
BaeR	b3123//b0565//b1200//b0987//b1394//b1016//b1617//b1672//
BasR	b1746//b3093//b2991//b4698//b2203//b0398//b1036//b1301//b0892//b1136//b3624//b1023//b4131//
BetI	b3432//b3453//b1092//b1618//
BirA	b1945//b1715//b2153//b1907//b1891//
BluR	b0570//gadF//b1706//b0731//
BolA	b2702//b3925//
CadC	b1715//b0154//b4089//
CaiF	b3081//b1400//b4092//b3327//b3911//b4118//b1129//b3701//b3846//b3123//
Cbl	b0596//b3744//b0507//b0273//b4443//b0504//b0652//b3469//b1252//
CdaR	b0895//b3791//b0365//b3328//b0977//b3083//b0727//b0759//b3453//b0385//
CecR	b3186//b0826//b1498//b4151//b3868//
ChbR	b0507//b3013//b0043//b0589//b2715//b0431//
ComR	b2995//
CpxR	b0678//b1008//b4506//b1514//b3922//b3037//b1888//b3332//b0873//b1851//b1516//b0889//b3334//b2342//b2663//b2837//b1532//b3577//b3940//b1851//b2200//b2717//b0779//b3645//b1594//b2231//b2751//b1014//b2421//b3831//b4662//b4592//b3140//b0085//b3919//b3521//b0862//b2470//b1283//b2149//b2344//b0996//b1900//b0730//b1712//b1481//b0616//b1949//b1783//b1905//b1746//b1673//b1012//b0811//b0523//b0039//b1443//b0388//b1593//b2306//b0036//b0763//b3035//b0809//b0857//b1075//b4085//b4382//b0987//b2669//
Cra	b0553//b2143//b1621//b3908//b0731//b0872//b4050//b4105//b4513//b0853//b2823//b0614//b3845//b3157//b0975//b2291//b0064//b1762//b3432//b2150//b1474//b0403//b2996//b4024//b3500//b2839//b3966//b3701//b3500//b0862//b1082//b4383//b0731//b4381//b2925//b0093//b1132//b1022//b3212//b3582//b0655//b2370//b1043//b0507//b4239//b1618//b2206//b3403//b2373//b2009//b3333//b3212//b0617//b4027//b2818//b1113//b0792//b2000//b4376//b0727//b3161//b1913//b4090//b2287//b2508//b2148//b0091//b0073//b3599//b2428//b3575//b1821//b1325//b1481//b4313//b0583//b3907//b4309//b0350//
CreB	b0614//b0064//b3123//b0557//b4075//
CsgD	b1519//b4310//b4004//b1674//b2699//b4044//b3156//b1378//b2429//b0856//b2729//b2416//b1037//b0793//b4122//b3417//b4013//b1198//b4324//b2508//b0179//b2342//b0889//b2212//b1517//b0681//b2697//b0793//
CsiR	b4040//b1480//b1187//b0069//b1615//
CspA	b2716//b4094//
CueR	b1497//b4120//b1109//b0484//b3432//b3786//b1982//
CusR	b4070//b3225//b2156//b0167//b0037//b0574//b4032//b4028//b3008//b4133//b1946//b2541//
CynR	b0331//b2215//b3792//b1851//
