#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b1377//b0225//
AcrR	b4087//b0397//b1083//b0385//b1224//b3186//b2976//b0774//b2912//b1247//b4293//
Ada	b4105//b0779//b0727//b2212//
AdiY	b0683//b2470//b2078//b1335//b3367//b1264//b1080//b2286//
AgaR	b3123//b0335//b1679//b1594//b4094//b1880//b3967//b1474//b0970//sroA//b0062//
AidB	b2579//
AlaS	b1081//
AllR	b3942//b1536//b0347//b2197//b0439//b0516//b1734//b4592//b1488//
AllS	b1396//b0571//b3967//
AlsR	b3022//b4438//b0301//b4415//b3566//b2491//
AppY	b2822//b0075//b1860//b1485//b2762//b3744//b3357//b4131//b2758//molR_1//
AraC	b0161//b1132//b0072//b1674//b0933//b2720//b3580//b2804//b4014//b1887//b0975//b0181//b2307//b3942//
ArgP	b1578//b1285//b2151//b2552//b1516//b1714//b1390//b0301//b3430//b3437//b0197//b2725//b2686//b3170//
ArgR	b1848//b1430//b1569//b4177//b4249//b0464//b4099//b3513//b3938//b2492//b0925//b4357//b3134//b2996//b3449//b1132//b1237//b1166//b1070//b2991//b4254//b1716//b0383//b3507//b3502//b1732//b0819//b4400//b3701//b0153//b3035//b0447//b2737//b2424//b1014//b3453//b2757//b2286//
ArsR	b0234//b4451//b0075//
AscG	b2616//b0076//b1593//b2925//b3403//
AsnC	b2195//b1511//b4152//b4241//
AtoC	b1007//b0037//b4321//b0652//
BaeR	b3940//b2728//b2203//b1226//b3124//b3924//b0855//b3431//
BasR	b2579//b2704//b2724//b2762//b0368//b0343//b3093//b3429//b1852//b2487//b2284//b1395//b3645//
BetI	sroA//b4468//b4264//b4117//
BirA	b3829//b4523//b0314//b2289//b1384//
BluR	b3491//b1299//b1042//b1203//
BolA	b3255//b2996//
CadC	b2823//b2541//b1948//
CaiF	b1729//b4123//b1658//b1680//b2903//b0682//b0951//b2215//b1761//b0583//
Cbl	b4002//b1851//b2553//b2711//b1083//b1923//b1879//b3515//b2342//
CdaR	b1563//b0619//b4025//b2278//b0973//b0161//b2788//b3509//b3512//b4321//
CecR	b2837//b0950//b2485//b2559//b1611//
ChbR	b4451//b3137//b2666//b2148//b1987//b0724//
ComR	b3741//
CpxR	b0084//b0781//b1859//b1482//b4242//b0198//b1398//b2987//b0428//b2903//b2221//b0655//b0853//b2421//b1410//b2782//b4087//b1618//b1252//b1519//b2764//b4376//b2281//b3368//b1568//b0069//b3800//b3957//b4254//b3661//b2068//b2213//b0435//b0810//b3005//b2286//b1946//b2837//b3571//b0152//b1905//b4105//b4125//b0854//b2823//b1859//b1101//b3558//b4054//b2148//b3863//b2666//b3255//b3038//b0937//b0854//b4090//b1101//b1579//b2938//b2393//b2306//b0574//b4468//b0677//b2676//b2820//b3575//b1922//b1716//
Cra	b0933//b4266//b0620//b0088//b1429//b2709//b0975//b2407//b1129//b1004//b4025//b3165//b1287//b3869//b2719//b1129//b1848//b4101//b1080//b3612//b3959//b2212//b0064//b3134//b1938//b1389//b2979//b2673//b0429//b3437//b1321//b0074//b2091//b1950//b0334//b1062//b1167//b1569//b4005//b0826//b0623//b2234//b1130//b2542//b2808//b0841//b0732//b4398//b4670//b2276//b2198//b1858//b4030//b2825//b4445//b3565//b1797//b1010//b4435//b3324//b3137//b3140//b0463//b3870//b3792//b3516//b1020//b0784//b0033//b1684//b2489//b2482//b3813//b0697//b0853//b0887//b2553//b3707//b1481//
CreB	b1950//b0066//b0484//b2201//b4002//
CsgD	sroC//b3426//b2893//b1040//b3567//b4034//b3941//b1007//b1987//b2406//b4415//b2895//b2754//b4085//b4154//b3700//b1577//b0167//b1796//b2825//b1578//b0039//b2421//b0755//b3125//b2079//b2106//b1673//
CsiR	b2231//b0964//b0504//b3958//b1385//
CspA	b0293//b3135//
CueR	b0623//b1384//b3207//b1577//b3070//b2557//b1323//
CusR	b3495//b1536//b0523//b0040//b1012//b3408//b2537//b0368//b3919//b2416//b4599//b2194//
CynR	b3212//b0678//b1568//b1575//
CysB	b4030//b0750//b0092//b0429//b3942//b4131//b1707//b2369//b0112//b2416//b1988//b4397//b3478//b4105//b0564//b0313//b0178//b1015//b3700//b1714//b2674//b2095//b2604//b2197//b0819//b0161//b1305//b3582//b4321//b1395//b0439//b4599//
CytR	b0118//b1387//b0871//b4266//b3365//b2570//b0606//b2537//b4475//b2201//b1113//b0335//b3516//
Dan	b0513//b1547//b3477//b0088//
DcuR	b1164//b3773//b0504//b4152//b0697//b1901//b1165//b4002//b0698//
DeoR	b0377//b1022//b1483//b1656//b4396//b1082//
DhaR	b3831//b0620//b0730//b2224//
DicA	b4194//b1741//b2163//b2278//b1102//b2764//b0353//b3926//
DinJ-YafQ	b4287//b3416//b4400//
DnaA	b0933//b4384//b3574//b4006//b2491//b2542//b2903//b3515//b2741//b1597//b0304//b0852//
DpiA	b3481//b0688//b3576//b2276//b3223//b1006//b0166//b3749//b3547//b4233//b2662//
DsdC	b1182//b0075//b2060//
EbgR	b1485//b2699//
EnvR	b3326//b3093//
EnvY	b3793//b2903//
EvgA	b2234//b0784//b1483//b4092//b2698//b2557//b1817//b3172//b0475//b2697//b2075//b1442//b4398//b3141//b3575//b2366//b2486//b1734//b0112//
ExuR	b0382//b2415//b0617//b0892//b2732//b1741//b3749//b3575//b0504//
FabR	b0087//b2076//
FadR	b4382//b4438//b0933//b2156//b2199//b4365//b3188//b2085//b0384//b3846//b0855//b2553//b2289//b0863//b4366//b4027//b0819//b1780//b2764//b1780//b0080//b1377//b1745//
FeaR	b0351//b3207//
FhlA	b0178//b0683//b2719//b0972//b0304//b4238//b2235//b1484//b0799//b0123//b1497//b3479//b2079//b1540//b0928//b0573//b1761//b4475//b2422//b4290//b3060//b0782//b2721//b1226//b2393//b4511//b0241//b3222//b1041//b3156//
FlhDC	b3326//b4026//b0777//b3601//b3190//b1487//b1184//b3902//b3093//b1073//b3096//b1333//b0978//b4416//b1203//b2711//b2415//b2491//b4354//b0152//b4101//b3166//b1676//b1540//b1007//sroA//b3415//b1476//b3095//b1744//b3934//b1264//b2779//b4311//b1038//b0197//b2094//b0461//b0872//b1488//b4132//b0511//b1762//b0338//b3081//b4399//b2674//b4027//b1074//b0682//b2310//b3170//b2837//b2416//b2977//b0511//b0779//b2730//b4268//b1517//b2285//b3092//b3124//b1548//b3025//b0207//b0085//b1474//b1013//b2788//b2697//b3269//b3722//b2058//b4392//b4070//b1241//b0764//b3870//b1597//b0652//b1072//
FliZ	b1719//b3207//b4062//b3326//b3131//b3727//b2802//b0185//b1225//b2280//b3727//b3329//b0730//b3091//b4443//b1890//b1326//b3013//yegZ//b4383//b2485//
FucR	b2406//b1889//b3604//b1021//b2368//b0071//b1429//
Fur	b3093//b2194//b0505//b4481//b2215//b2528//b4481//b3579//b4354//b3547//b3453//b3959//b1671//b4238//b0382//b1818//b0072//b2558//b0593//b1021//b2674//b1622//b3511//b1223//b1946//b0037//b0040//b2374//b4043//b2703//b2942//b1914//b2979//b2371//b0082//b0653//b2414//b0557//b2722//b0351//b0785//b4438//b1259//b1536//b0655//b2151//b3748//b2822//b0019//b4003//b3012//b1851//b3169//b2367//b2465//b4071//b0349//b3741//b3870//b3331//b3256//b2805//b4013//b1946//b1011//b4411//b3792//b4292//b0388//b1410//b1010//b0507//b2201//b1737//b2283//b0614//b0378//b3095//b1623//b4102//b0447//b0974//b1634//b3165//b4322//b2201//b4123//b1880//b4238//b1335//b2804//b1131//b1325//b3774//b2800//b1385//b4026//b1902//b1568//b4036//b2060//b3501//b0792//b3558//b3057//b1859//b0614//b3429//b0937//b2666//b3131//b0764//b1782//b2987//b0153//b2923//b1071//b1386//b3666//b2552//b1287//b2167//b1735//b0044//b1783//b0068//b1257//b0241//b1277//b1591//
GadE	b0880//b3125//b2995//b0750//b2316//b2718//b2061//b1611//b0232//b0750//b4279//b0850//b1641//b2205//b2416//b2558//b3547//b1041//b3927//b1040//b3095//b0596//b1298//b1676//b3449//b2205//b0583//b1006//b0654//
GadE-RcsB	b2143//b1303//b0273//b2705//b2977//b2369//b1015//b2422//b1011//
GadW	b2372//b2820//b2417//b4177//b3357//b1038//b0841//b3911//b2530//b0935//b0432//b2725//b0763//sroC//b0388//
GadX	b0895//b3025//b3942//b2207//b1949//b4592//b3167//b3726//b1741//b1819//b0731//b1241//b2838//b1718//b2713//b1594//b2242//b1184//b4393//b3957//b1511//b1160//b4015//b0226//b1762//b4393//b0572//b1257//b1322//
GalR	b0974//b1392//b1656//b1493//b0167//b3066//b3125//b2507//b3576//b0464//
GalS	b1987//b2371//b3743//b1748//b3135//b4152//b0301//b1012//b2309//b2719//
GatR	b0723//b2725//b0570//b0793//b2717//b2202//
GcvA	b1393//b1943//b0411//b3161//b1564//
