# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	deoC//fdhF//
AcrR	nrfD//cysC//
Ada	nrdA//fabD//paaF//purK//
AdiY	ldtC//yibQ//chbF//paaA//
AgaR	gatD//
AidB	lpd//
AlaS	ndh//
AllR	phnN//metB//gloA//purL//ychF//prpD//
AllS	bioA//fabI//phnG//
AlsR	fabI//gapA//mraY//
AppY	ampC//aspA//
AraC	hyaA//rfe//gdhA//yqjH//entC//tam//deoA//
ArgP	gltB//idnK//gadB//metC//hcp//ycjG//bacA//ppsA//sucC//
ArgR	paaY//wecB//recF//serA//katG//acnB//edd//pheT//carB//rbsK//araD//fadH//rhaD//galM//rimK//glnA//gltD//ulaF//nrdE//pepD//purN//poxB//pdeL//
ArsR	argI//nrfA//
AscG	alaC//umuC//
AsnC	murE//pncB//
AtoC	dapD//rbsD//nagB//
BaeR	rutE//argH//
BasR	garK//puuB//glmU//
BetI	paaG//gpmA//ung//
BirA	moaE//putA//tdcE//dmsB//glcF//
BluR	
BolA	carB//pheT//
CadC	ychF//bioF//
CaiF	hmp//murE//aspC//mltF//ynfE//
Cbl	rnpB//fruK//puuA//murQ//aspA//
CdaR	wzc//prpC//idnK//fucA//tyrB//dhaL//glmU//gatZ//rutB//
CecR	
ChbR	deoB//fucU//glpX//
ComR	
CpxR	dsdA//nrdB//rhaD//gltD//astA//fadM//fabZ//mltF//torA//ruvA//garL//cysM//idnO//ppsA//psd//pepD//lldD//malS//hcaF//phnG//purM//
Cra	cysK//purN//fabB//glmS//rutA//pgaD//ascB//murQ//cdd//pyrD//caiC//putA//leuB//aspC//gloA//deoB//sdhA//cdd//alaC//polA//yeaG//ung//paaB//amn//cysE//purA//trpC//pheS//recF//glgC//dapD//glpQ//phnN//ldtB//speA//metB//bioF//paaB//lpxA//cysC//murG//acnB//epd//glk//speA//murG//uvrA//ruvB//pdeL//dgcZ//sgbH//waaH//hemH//gltD//bioA//nirB//gloA//carA//argD//tam//
CreB	accB//ldtC//
CsgD	astD//metE//ybaS//fabZ//caiA//
CsiR	mhpB//hycD//fabB//yqjH//
CspA	purL//
CueR	chbG//folE//gatY//hcaE//
CusR	betA//purB//fruK//
CynR	putA//purC//eno//
CysB	uxuA//fadD//puuC//udp//prs//betB//yiaK//paaG//citC//frdC//uvrA//ulaG//galE//gapA//paaK//nanA//cysM//ruvB//
CytR	ycjG//arsC//folE//murD//uxaA//recF//putA//phnJ//fadB//napB//
Dan	talA//pagP//
DcuR	poxB//katE//moeB//cysM//
DeoR	garL//folE//aceA//purK//sdhA//citC//
DhaR	cysK//
DicA	
DinJ-YafQ	patA//
DnaA	dhaM//moeB//dinB//frdD//pgk//frdB//
DpiA	trpD//nrdF//ftnA//fumC//atoA//
DsdC	sucD//sucD//
EbgR	
EnvR	udp//argG//
EnvY	fdhF//polA//
EvgA	hcaC//purA//sucA//waaH//aceB//cynS//
ExuR	fruK//wzb//tadA//trpB//puuB//arsC//
FabR	puuC//pyrC//
FadR	phnJ//narI//ynfF//moaD//glgC//arsC//hycE//pncB//pykF//nanA//nrdF//bioA//aceB//tktB//wzb//lysC//edd//guaA//
FeaR	pdeH//entE//
FhlA	phnO//pepD//moeB//yibQ//cynS//mnmG//cysE//
FlhDC	rutB//dapB//aceE//purE//paaZ//recF//tdcB//deoB//lpxA//tyrB//yqjH//
FliZ	yiaK//thrS//rffM//napG//murF//
FucR	wzb//allC//hcp//moaA//nrdD//chbF//
Fur	glk//nemA//moeA//mraY//aroL//polB//nagA//tam//murI//tyrA//rimK//aroG//fucA//yiaK//lacZ//accB//paaG//lhgO//pnp//hycE//glpB//leuA//frdB//fabZ//fau//phoA//atoB//pdeH//rsmH//malP//allB//dhaM//dinB//argC//lsrF//pheS//icd//pepD//sdhA//lyxK//hypF//aroL//yibQ//fabG//cdd//uidA//guaA//ychF//glgX//argI//folA//nrdF//mtlD//glcF//gadB//icd//pspE//cynS//entE//sdhA//moeB//hyaC//nanM//
GadE	astB//argD//purH//glcE//xylB//ribA//fruK//fucU//nanA//tadA//
GadE-RcsB	asnA//leuA//pheS//glgB//
GadW	moeA//nrfA//murC//sucC//
GadX	lysC//ssuD//rnpB//sodA//caiB//patA//rffH//puuC//rhaB//sucA//ychF//ldtC//
GalR	ftsI//fadD//fadI//cysC//tpiA//nagB//
GalS	metE//purH//deoC//fucO//rdoA//trpE//
GatR	waaH//lpd//phnJ//
GcvA	waaY//glpK//mhpD//
GlcC	glcD//nagB//ampC//
GlpR	ndh//pepD//ilvC//cysD//purM//glcB//allA//
GlrR	
GntR	lsrF//leuA//serA//rffG//idnK//caiB//speB//tktB//rsmH//
GutM	zwf//paaK//nirB//
GutR	purK//betB//rfe//
HU	paaG//yiaK//nrdF//wzb//torA//poxB//paaE//
HcaR	waaY//prs//
HdfR	
HigA	phnI//
HigB-HigA	malS//
HipAB	galE//nfsA//
HipB	mhpA//accC//accD//
HyfR	malZ//
HypT	lsrG//glnA//ruvB//gcvH//gor//accD//ubiC//
IclR	nanE//rffH//trpD//
IdnR	putA//fabG//ldtB//fdhF//frc//sucC//
IlvY	glpC//
IscR	psd//caiA//puuA//malS//glxR//murC//
KdgR	hycD//glxR//
KdpE	aceF//
LacI	glmU//iscS//trpD//
LeuO	srlD//waaZ//sucD//moaA//phnO//cysD//
LexA	asnB//ybjG//ulaD//pdeL//gabD//caiA//lpxD//dkgA//rnpB//ubiC//ahpF//cysH//arsC//lysC//ttdA//cysG//adhE//fadA//bioD//fes//nrfA//
LldR	frc//rffT//
LrhA	
LsrR	ubiA//fumC//aroH//chbF//araB//
LysR	entD//
MalI	ybaS//metL//
MalT	purD//fbaB//dkgA//udp//mltF//argG//
MarA	glpK//cysD//fucA//ndh//pdeH//cysI//napC//alkB//atoA//paaI//purK//dmsB//cysI//moaE//ulaF//rpiB//frdB//alsE//alaC//phnP//phoA//rfe//dgkA//
MarR	
MatA	glcD//
MazE	rutE//
MazE-MazF	yeaG//
McbR	
MelR	tdcD//dmsA//
MetJ	dgcZ//fumC//amn//ldtB//entD//thrS//melA//ynfF//glgP//treC//
MetR	moeB//pheS//mhpF//mtlD//
