#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2530//b0301//
AcrR	b4417//b2713//b0044//sroC//b0198//b2991//b3165//b3408//b0514//b1393//b1784//
Ada	b0891//b4003//b1877//b0337//
AdiY	b4233//b1683//b0074//b1818//b0178//b3723//b4511//b0115//
AgaR	b3558//b2553//b1546//b3902//b4239//b3599//b2660//b1199//b2421//b1859//b3428//
AidB	b4400//
AlaS	b0368//
AllR	b2223//b2925//b1386//b4039//b1262//b2601//b2942//b1926//b2819//
AllS	b1132//b2237//b0729//
AlsR	b1335//b4187//b3845//b2507//b3063//b0605//
AppY	b3067//b3135//b4481//b1781//b2310//b1256//b4119//b4118//b1761//b1409//
AraC	b2726//b0509//b0435//b1507//b3566//b0399//b3525//b0573//b2937//b2722//b3934//b1398//b4152//b0979//
ArgP	b3124//b2787//b0903//b0513//b2927//b2852//b0723//b2284//b1576//b1443//b4441//b2702//b1937//b1568//
ArgR	b1737//b0964//b1655//b0398//b4291//b0342//b3721//b3479//b2062//b4354//b1484//b0602//b3221//b2393//b1132//b1040//b1878//b1733//b1707//b0863//b4160//b0998//b2601//b1260//b0591//b1877//b1164//b1201//b1013//b2415//b4042//b2779//b3702//b4567//b3581//b0073//b0114//b2289//
ArsR	b0340//b2076//b1567//
AscG	b3066//b4400//b1014//b2911//b4092//
AsnC	b0178//b1302//b0728//b4090//
AtoC	b4029//b0303//b3511//b0778//
BaeR	b1743//b2789//b1409//b0726//b0977//b2422//b3612//b1006//
BasR	b2750//b1083//b3432//b2580//b0774//b3512//b2215//b0091//b1615//b2489//b1039//b4089//b3453//
BetI	b1547//b3525//b3367//b1183//
BirA	b3225//b1679//b1015//b0863//b0463//
BluR	b2726//b4392//b4431//b0234//
BolA	b1517//b2709//
CadC	b3607//b1429//b0812//
CaiF	b0756//b1951//b0383//b3123//b2702//b2671//b1013//b1641//b3959//b3521//
Cbl	b3940//b3604//b3863//b2706//b1780//b4567//b3966//b1949//b0827//
CdaR	b2155//b4159//b1004//b0400//b1203//b3222//b2280//b1201//b2977//b2840//
CecR	b0995//b3934//b2156//b4618//b0390//
ChbR	b1003//b3057//b1394//b1747//b3432//b2727//
ComR	b0484//
CpxR	b1093//b0331//b3784//b0198//b0088//b0296//b1818//b0755//b4400//b3113//b2760//b1296//b1003//b1707//b1704//b3831//b3038//b4151//b4013//b4074//b3452//b2074//b1260//b4089//b2980//b0185//b3070//b3906//b2369//b4086//b4152//b1857//b3326//b4016//b2713//b2659//b3006//b4445//b1941//b3925//b3166//b2987//b1014//b0388//b2489//b1012//b1434//b0594//b0896//b0903//b0234//b2490//b2312//b3567//b1878//b4104//b4096//b3908//b0341//b3525//b1395//b2153//b3846//b1440//b2075//b2789//b2573//b4099//b1101//b0655//
Cra	b0349//b2208//b2708//b2308//b3171//b1940//b0895//b0779//b3156//b4417//b1008//b3071//b0039//b1386//b1609//b4063//b2373//b0167//b3164//b2316//b4484//b1062//b0353//b3062//b1617//b1184//b1902//b0578//b3063//b3525//b3070//b1335//b1548//b2528//b3922//b3135//b1305//b3580//b0721//b1039//b1846//b0974//b4438//b2291//b0396//b4195//b4249//b0156//b2923//b0792//b1227//b4288//b4071//b1943//b2107//b2911//b1443//b2802//b3723//b1079//b3934//b3073//b1136//b3169//b4005//b3331//b1207//b3511//b3960//b1734//b3070//b2489//b1397//b3067//b3116//b1221//b2579//b0333//b1077//
CreB	b2755//b2991//b3784//b3006//b4027//
CsgD	b1410//b0513//b4122//b1852//b2094//b2722//b0313//b4018//b1024//b1608//b4044//b4347//b4312//b2702//b3512//b1224//b1257//b3061//b4417//b3038//b0088//b1497//b4002//b2912//b3924//b3725//b0511//b0397//
CsiR	b1411//b0043//b1672//b4124//b2923//
CspA	b3225//b3131//
CueR	b3140//b1676//b1877//b0891//b3124//b0304//b3582//
CusR	b3414//b3124//b4058//b3156//b0734//b0339//b4476//b0677//b3156//b4016//b2991//b0339//
CynR	b1074//b4439//b0092//b1393//
CysB	b2060//b4415//b2993//b3744//b1492//b2663//b1622//b1587//b0754//b3518//b4383//b0688//b1530//b1299//b0152//b1620//b4435//b2781//b0514//b4070//b1623//b0762//b1516//b4287//b1287//b0860//b2697//b1200//b0796//b0933//b3008//b3958//
CytR	b0617//b0933//b1552//b2312//b2151//b0996//b1184//b3035//b0896//b2937//b0820//b0588//b0792//
Dan	b3237//b3961//b2094//b3941//
DcuR	b3547//b0397//b0575//b2204//gadF//b4443//b0460//b2542//b1920//
DeoR	b3164//b1008//b0115//b1199//b0591//b1492//
DhaR	b1501//b2017//b4444//b1101//
DicA	b0094//b4043//b2699//b0605//b3742//b0615//b2531//b0729//
DinJ-YafQ	b0167//b4194//b0784//
DnaA	b4400//b4242//b3916//b2507//b3925//b1901//b4187//b1513//b3786//b2699//b0654//b2676//
DpiA	b4523//b4476//b0682//b3829//b2572//b1377//b1306//b3907//b0037//b2926//b2307//
DsdC	b3786//b2060//b3172//
EbgR	b1092//b0810//
EnvR	b0622//b2106//
EnvY	b4198//b1259//
EvgA	b0432//b0721//b3615//b0849//b3461//b2058//b2489//b2659//b2422//b2997//b1563//b4054//b1945//b4291//b4280//b3916//b3403//b0397//b4028//
ExuR	b0367//b1129//b3092//b2107//b3065//b0979//b0964//b4039//b4106//
FabR	b0678//b1160//
FadR	b2213//b0855//b1621//b3751//b0794//b1507//b3476//b2143//b1937//b2660//b2370//b1817//b3133//b3829//b0185//b4014//b0073//b0872//b4028//b0758//b1481//b0708//b1516//
FeaR	b4036//b1797//
FhlA	b1737//b1307//b3702//b0896//b0584//b4705//b2723//b2808//sroD//b3060//b2306//b1938//b0512//b2076//b2992//b3469//b2725//b3223//b1277//b3437//b0557//b0557//b0975//b1877//b0751//b0857//b0461//b3124//b1728//b0683//
