#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b2060//b0091//
AcrR	b4398//b2722//b0655//b0731//b3214//yegZ//b0515//b0197//b3271//b1514//b0048//
Ada	b2912//b3076//b4471//b1101//
AdiY	b1784//b3926//b1304//b1741//b0585//b0397//b2242//b0403//
AgaR	b1091//b1922//b1475//b2715//b0595//b1194//b2666//b2369//b2285//b2781//b1327//
AidB	b3941//
AlaS	b1511//
AllR	b4073//b2197//b2308//b0083//b3508//b1285//b0166//b0397//b2058//
AllS	b0841//b2379//b2306//
AlsR	b2937//b4033//b0925//b0304//b4195//b4321//
AppY	b3794//b1074//b1940//b2231//b2076//b4673//b2096//b0572//b0399//b0241//
AraC	b0020//b1594//b3574//b4698//b3067//b1889//b3501//b2822//b1165//b4019//b1781//b0872//b3863//b0759//
ArgP	b0586//b1194//b2201//b0793//b4124//b0086//b0507//b2490//b1681//b2307//b1737//b1945//b4030//b2802//
ArgR	b0572//b2487//b1851//b3752//b0333//b1411//b0805//b2096//b2687//b0314//b1902//b1481//b3134//b2616//b2307//b0085//b2068//b4026//b0231//b0934//b3924//b4074//b2852//b3547//b0727//b0732//b2423//b3082//b3432//b1954//b1713//b4152//sroC//b0035//b1680//b2202//b3065//b0063//
ArsR	b1387//b1395//b3237//
AscG	b3415//b1548//b2063//b2416//b1071//
AsnC	b1852//b3114//b1304//b4013//
AtoC	b3076//b2428//b4355//b3124//
BaeR	b1587//b3478//b4088//b3236//b4106//b3124//b0392//b0150//
BasR	b0367//b3060//b0041//b3214//b2631//b4265//b1982//b1015//b1945//b3082//b1790//b1674//b0852//
BetI	b2392//b0751//b0857//b1003//
BirA	b0796//b1532//b0812//b1623//b3441//
BluR	b2685//b2508//b1415//b2904//
BolA	b2837//b0573//
CadC	b2803//b1440//b0652//
CaiF	b1747//b3491//b2465//b2979//b2707//b4451//b0860//b4032//b2912//b3157//
Cbl	b3785//b2616//b0754//b2580//b0763//b4376//b3157//b1040//b2630//
CdaR	b3941//b1308//b3115//b2852//b3753//b0039//b4088//b4460//b2559//b4323//
CecR	b4254//b3480//b4476//b3128//b4054//
ChbR	b0731//b2717//b0367//b2617//b0553//b0411//
ComR	b0588//
