#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	b3124//b3601//
AcrR	b2222//b2825//b4376//b0799//b0411//b0485//b0977//b0114//b0904//b1683//b0587//
Ada	b3577//b3141//b4100//b1221//
AdiY	b4037//b1322//b2531//b1061//b2762//b3413//b0237//b3271//
AgaR	b0796//b0890//b0820//b4522//b0073//b0931//b3794//b1006//b3255//b1247//b1888//
AidB	b0874//
AlaS	b0620//
AllR	b0112//b1070//b4698//b1590//b3903//b3012//b2572//b1006//b0564//
AllS	b3614//b3255//b4105//
AlsR	b1132//b1817//b2481//b1307//b4209//b0872//
AppY	b3060//b3170//b0575//b0514//b0826//b3831//b1082//b4097//b2725//b2207//
AraC	b0730//b2407//b0207//b2671//b1679//b0934//b1852//b2407//b4265//b1008//b0351//b3185//b4291//b2800//
ArgP	b1747//b3724//b0976//b1300//b1257//b0681//b3506//b2197//b1782//b4240//b2530//b1796//b3500//b2895//
ArgR	b0794//b0974//b3213//b1970//b3164//b2674//b1532//b0072//b2316//b0928//b3124//b2429//b4355//b0750//b1129//b1819//b3326//b1243//b4119//b0751//b3477//b4044//b1939//b0604//b1501//b2373//b1567//b1101//b1501//b3480//b3237//b2675//b3332//b4376//b1704//b0728//b4123//b1576//
ArsR	b2573//b2671//b0819//
AscG	b3418//b1810//b0732//b1015//b4324//
AsnC	b0154//b4366//b1973//b1563//
AtoC	sroC//b3334//b4105//b2737//
BaeR	b0072//b3139//b1012//sroD//b2699//b4013//b2092//b3575//
BasR	b1531//b0904//b2199//b3922//b0198//b0755//b1780//b3222//b4384//b3092//b2199//b3708//b4577//
BetI	b0904//b4599//b0515//b0085//
BirA	b2730//b0750//b4280//b0505//b4322//
BluR	b1078//b2372//b1671//b3500//
BolA	b4119//b1941//
CadC	b3136//b2687//b3453//
CaiF	b2371//b2367//b3788//b1226//b0396//b0522//b0762//b3437//b2803//b1010//
Cbl	b1735//b2684//b2662//b0504//b4003//b4443//b1184//b4506//b1429//
CdaR	b2942//b3421//b0812//b1746//b1904//b2976//b1306//b3743//b4396//b0151//
CecR	b4366//b0083//b2096//b0400//b0970//
ChbR	b2107//b1671//b0092//b1900//b2758//b0936//
ComR	b1132//
CpxR	b2205//b3214//b1022//b4311//b1223//b2367//b2489//b3271//b1305//b4310//b0304//b4698//b0398//b2530//b2721//b2600//b0654//b2425//b0296//b3138//b4365//b4484//b0347//b3547//b1385//b4506//b2240//b0396//b2826//b4100//b2323//b3037//b4365//b3415//b1713//b2341//b3363//b1498//b2663//b0936//b0928//b0352//b0592//b0970//b2818//b0655//b2392//b2837//b3613//b1481//b2705//b2428//b0765//b3612//b0904//b1988//b0334//b0312//b0730//b3906//b0731//b2751//b2762//b1734//b0431//b1078//b3026//b2243//b2821//b1398//
Cra	b2148//b4124//b3938//b3171//b1009//b0827//b4089//b2285//b0166//b3922//b2943//b2756//b3414//b0301//b4018//b3742//b1982//b1891//b4289//b4063//b2200//b1880//b4577//b3207//b1846//b2699//b0428//b1484//b0597//b1577//b4123//b2205//b0082//b3870//b1072//b0685//b1389//b0936//b4481//b3453//b1434//b0722//b0151//b3790//b2538//b0987//b0653//b3214//b2552//b2492//b3528//b0378//b0573//b0180//b2759//b1508//b1443//b3477//b3604//b0590//b1513//b0377//b2421//b1716//b3599//b0348//b0974//b0150//cpxQ//b0352//b3702//b0894//b2728//b4451//b2572//b0996//b0116//b4029//b3506//
CreB	b2724//b2752//b2531//b0806//b1241//
CsgD	b1941//b1160//b1081//b1905//b1014//b1484//b0181//b1287//b0997//b0851//b0032//b1848//b4019//b1594//b1923//b3571//b0937//b3922//b0996//b0676//b0723//b4039//b4026//b1024//b4013//b1590//b0303//b0570//
CsiR	b3940//b2911//b0929//b3583//b1041//
CspA	b1440//b0333//
CueR	b1430//b4025//b2107//b0997//b3724//b3726//b4197//
CusR	b2826//b2706//b2927//b3333//b3924//b2802//b0595//b0315//b0384//b2485//b4013//b4289//
CynR	b0853//b0584//b4098//b2392//
CysB	b1203//b2079//b1888//b1578//b3128//b0312//b4310//b1702//b2486//b2661//b3364//b0089//b4415//b2600//b0750//b2159//b3700//b3924//b2310//b3357//b1901//b1892//b0439//b4618//b2661//b4313//b2841//b3410//b3022//b2808//b3580//b3478//
CytR	b3415//b1482//b1567//b4194//b0432//b4151//b4522//b4003//b0118//b2938//b4072//b3726//b0973//
Dan	b0975//b0069//b0178//b0042//
DcuR	b3912//b1513//b2574//b2571//b0776//b0353//b2152//b0473//b3137//
DeoR	b0516//b1519//b3507//b0062//b1950//b3569//
