# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	fau//mpaA//
AcrR	murG//sdhD//
Ada	pgi//atoB//phnG//fucI//
AdiY	tdcB//paaG//dinB//hmp//
AgaR	waaZ//
AidB	deoB//
AlaS	argD//
AllR	moeB//paaE//alaS//gltD//lpd//rhaB//
AllS	pheS//fucA//glk//
AlsR	aceA//argB//ulaG//
AppY	yiaK//oxc//
AraC	aroG//yqjH//citC//katG//serA//galT//entC//
ArgP	caiA//astD//yibQ//dinB//rutC//gcvP//yqhD//rutC//rhaB//
ArgR	dhaM//ldtD//prpB//pyrC//cueO//yqhD//malS//rfe//ulaE//fadA//poxB//garR//hycE//alkA//garK//entA//citG//ttdB//pgaC//alkA//idnK//frdA//moaA//
ArsR	hyaC//bioF//
AscG	tauD//rnpB//
AsnC	uxaA//udp//
AtoC	metK//argB//sodB//
BaeR	nfsA//entA//
BasR	hyaC//accD//paaJ//
BetI	fruK//purD//cynT//
BirA	gatD//bioA//glcB//carA//accD//
BluR	
BolA	aroL//wzc//
CadC	paaI//nagA//
CaiF	alaC//carB//lacA//idnD//argD//
Cbl	rutE//phr//hyaC//ssuD//ilvC//
CdaR	yqhD//citX//ndh//lpd//gloA//phnH//ldtB//ynfH//argD//
CecR	
ChbR	icd//pgaC//tynA//
ComR	
CpxR	amn//sgbU//aroH//prs//astC//pdeR//citF//dkgB//atoA//citX//caiA//waaH//paaI//cysK//phnJ//yibQ//gdhA//rbsD//gatZ//prpC//narI//
Cra	fadE//hemH//pspE//hcaB//allD//bioF//aroL//aldA//deoD//tehB//citF//galM//galK//gloA//leuA//yiaK//phnG//lacZ//fadA//ldtC//narI//hyaB//phnN//ychF//mhpB//yfbR//trpC//alkB//glk//fadA//fbaA//betA//luxS//srlD//uxaB//fabI//adiA//glgB//purM//allC//amn//fadA//fucA//malY//cyoE//lacZ//wecB//phnI//patD//trpC//cysD//dmsA//dkgA//napA//sdhC//rffM//prpD//dinB//tehB//fbaB//
CreB	trpB//pyrC//
CsgD	hemH//glcD//hemH//ulaE//dsdA//
CsiR	nadA//fumB//hemH//phnN//
CspA	argE//
CueR	frdA//icd//dinB//mhpA//
CusR	chbF//fabZ//purK//
CynR	dsdA//yqhD//glpK//
CysB	pgaB//phnN//nanA//cysE//metA//ulaE//trpB//purN//galT//hycB//icd//fabD//wrbA//yfbR//bioA//pgaD//allB//malP//
CytR	gabT//ftnA//glmU//iscS//sucA//araA//purH//puuA//metF//tdcG//
Dan	sgbE//cynS//
DcuR	ulaG//argG//tyrA//citF//
DeoR	carB//patD//malY//ruvB//murI//rutD//
DhaR	uvrA//
DicA	
DinJ-YafQ	rutE//
DnaA	lpxD//yeaE//idnD//dkgA//dgcZ//glpB//
DpiA	ynfF//metL//dgcC//argF//ynfE//
DsdC	ppiA//dmsC//
EbgR	
EnvR	bioD//wzc//
EnvY	trpE//lsrF//
EvgA	entD//sodA//fumC//lsrK//fadA//rffC//
ExuR	add//udp//gapA//cysN//uxuA//allE//
FabR	xylA//deoC//
FadR	carB//arsC//nrdF//cdd//gatZ//garK//ulaG//fucU//ada//uvrC//rffC//rffT//prpE//oxc//rdoA//rpiB//fucU//paaK//
FeaR	frdB//fadH//
FhlA	udp//rutA//accC//waaY//hypB//frdA//mngB//
FlhDC	guaB//entC//poxB//glpB//carB//yeaE//citX//rimK//entA//talA//glcD//
FliZ	prs//napA//tdcD//phnI//hcaC//
FucR	yqjH//atoD//oxc//frc//wecB//galE//
Fur	tehB//fabG//metB//frdA//mdh//alaS//hcaB//alkB//napB//lacA//gnd//ynfE//slt//dmsC//phnO//dmsB//lpxA//uxuB//nrdD//gadA//zwf//paaG//hmp//fucU//betB//ttdB//bioF//murD//edd//accC//amn//sodB//accA//accC//phnJ//xylB//nadA//glgA//bioF//pncB//phnO//napB//ynfH//mltF//gudD//ilvC//rutD//nrfC//tam//fadI//pnp//adhE//lpxC//bacA//puuD//frdD//yeaE//aroG//luxS//prpD//hcp//fadA//ulaE//
GadE	murC//rhaA//murI//citX//pncB//fau//katG//uxaA//glpQ//pgaB//
GadE-RcsB	rutB//sdhA//malP//polA//
GadW	fadE//gcl//sdhD//caiA//
GadX	argG//sdhD//amn//tadA//ldtC//tdcD//paaY//mhpC//mhpF//bacA//moaD//accC//
GalR	purE//kbaY//mnmG//bioB//gpmA//caiB//
GalS	glpQ//hycC//leuA//glpC//sucA//ppsA//
GatR	pnp//sodA//gpmM//
GcvA	cysM//wzb//nrfB//
GlcC	speA//phnI//malP//
GlpR	cdd//purD//umuD//yeaE//gudD//glgA//allC//
GlrR	
GntR	torC//rhaA//hyaC//leuA//dhaM//moaD//ddlB//pck//astE//
GutM	lhgO//allB//nrfD//
GutR	ppc//gatY//aspA//
HU	wzc//uvrC//wzc//pfkA//fau//fadE//fabG//
HcaR	rbsK//glpQ//
HdfR	
HigA	pgaC//
HigB-HigA	folE//
HipAB	ppc//ynfG//
HipB	ulaD//rhaB//idnK//
HyfR	glgP//
HypT	puuB//yqhD//phnG//napC//rimK//entA//argF//
IclR	wzb//relA//cadA//
IdnR	purM//paaF//yqhD//entF//moeB//wecB//
IlvY	rffC//
IscR	glpK//purF//gpmA//lacZ//metA//frdB//
KdgR	pheS//astB//
KdpE	fadD//
LacI	tam//murF//rdoA//
LeuO	lpxA//purB//yeaE//phr//phnM//bioF//
