# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gabT//aspC//
AcrR	ssuD//metB//
Ada	purE//entB//nrdF//gcl//
AdiY	hmp//argI//glgB//epd//
AgaR	dkgB//
AidB	glgB//
AlaS	ldtD//
AllR	nrdA//caiB//rffC//napC//citX//phnG//
AllS	pgaD//ppsA//rhaD//
AlsR	ugpQ//sodB//asnA//
AppY	frdD//rsmH//
AraC	fucK//sgbU//ssuD//dinB//dkgB//nirB//cysI//
ArgP	glxK//fucO//waaZ//pgaD//hycD//truB//feaB//entF//frdA//
ArgR	napB//rutD//tehB//epd//nadB//cyoE//uvrC//lysC//paaJ//argA//ybaS//glpX//gadA//yibQ//talA//sucD//alsE//nrdD//paaA//ycjG//citF//garD//narG//
ArsR	kbaY//argE//
AscG	astC//cadA//
AsnC	ubiC//hcaC//
AtoC	trpA//dmsC//pncB//
BaeR	ynfE//fabH//
BasR	tdcE//murG//rsmH//
BetI	hcaF//ruvA//narI//
BirA	atoB//purF//nanK//gudD//psd//
BluR	
BolA	prs//pheT//
CadC	ynfE//eno//
CaiF	frdD//mdh//lyxK//eno//aroF//
Cbl	pdeL//glmU//ynfH//cynT//lyxK//
CdaR	gadA//folA//fumC//feaB//paaC//tadA//entE//umuD//mhpC//
CecR	
ChbR	trpB//uidA//sgbE//
ComR	
CpxR	betA//kbaY//speA//caiB//nrdA//nirB//glnA//mhpF//pfkA//hemH//nrfB//phnM//torC//nirB//prpC//argF//cysD//cynS//gabT//aceA//serA//
Cra	truB//fadB//paaF//putA//gdhA//frc//rnpB//metA//hyaB//gpmA//alaC//lldD//fadJ//uidA//glpC//truB//cyoE//hycG//hyaA//caiD//adhE//appA//araD//moeA//pfkA//phoA//trpC//murI//bioA//uvrA//idnK//citD//luxS//garK//sgbE//pncB//hycF//hycE//moeA//cysG//allC//adiA//phr//pgaC//glpC//prs//pnp//gdhA//pdeH//glxR//glgB//phnJ//puuE//accD//xylA//pheT//paaC//paaK//ychF//tam//
CreB	tynA//aceA//
CsgD	fabH//bioC//malS//gadB//citX//
CsiR	idnD//ttdB//fabA//sgbH//
CspA	glxK//
CueR	phnH//fucU//hycC//gltB//
CusR	rutB//rffM//purB//
CynR	pgaB//hcaB//narI//
CysB	aroF//fes//carB//yfbR//napB//phr//puuA//puuC//cysC//paaZ//napG//pepD//metC//gcvT//fbaB//gltB//gcvP//gnd//
CytR	cysK//katE//allA//mnmG//hycF//ppsA//patA//tdcD//bioC//fadI//
Dan	hypB//caiA//
DcuR	ychF//leuC//lpxC//paaI//
DeoR	mdh//fadH//rhaA//arsC//yeaG//lacZ//
DhaR	cysK//
DicA	
DinJ-YafQ	entD//
DnaA	dsdA//entH//torA//uxuB//argA//rutA//
DpiA	garK//uvrC//idnO//mraY//lysA//
DsdC	dsdA//galK//
EbgR	
EnvR	purD//aldA//
EnvY	yeaE//atoB//
EvgA	uvrC//atoB//moaE//ubiC//pagP//aroF//
ExuR	trpD//fucU//prpC//xylB//allD//metE//
FabR	purM//nirB//
FadR	dkgA//leuC//tpiA//kbaZ//galE//fadH//garK//glgA//gatY//mtlD//gcvT//dgcC//galM//chbG//narH//codA//adhE//aroG//
FeaR	pgk//dsdA//
FhlA	cysC//murG//malS//patA//mhpD//phnO//uxaB//
FlhDC	metC//dinB//mpaA//dapB//cysK//rhaA//citG//chbG//dgcZ//cynT//mpaA//
FliZ	fadM//feaB//cysC//gadB//mdh//
FucR	mhpE//lsrK//glmS//phnP//sodB//murQ//
Fur	leuC//garD//moeB//cyoE//astC//feaB//nadA//dhaL//sucB//astC//lhgO//gadA//ulaF//dhaL//leuA//purH//rutD//ftsI//dkgB//argB//tdcD//rhaB//rpiB//phnJ//pykF//entF//idnO//malP//idnD//ssuD//dmsC//alaS//paaG//xylA//melA//allC//trpA//ulaG//rbsD//ascB//ppiA//nrfC//hcaE//dsdA//sgbE//citD//torC//umpH//sucC//eno//nrdB//pheT//allD//citC//pspE//glpD//cysJ//ppsA//nagA//acnB//fucK//purC//deoD//
GadE	alaS//acnB//dkgA//tdcG//pgaB//moeA//ugpQ//pspE//gapA//gntK//
GadE-RcsB	deoC//ulaE//torC//psd//
GadW	glgC//pgi//glgA//rnpB//
GadX	araB//atoA//aroH//eda//nanM//truB//yeaE//fadB//puuD//ubiA//garK//uvrC//
GalR	rfe//hcaD//codA//tam//fbaA//pheS//
GalS	uxaC//hycC//patD//dsdA//trpA//luxS//
GatR	metH//glcD//ynfF//
GcvA	murG//caiB//fadH//
GlcC	nrdF//speA//citD//
GlpR	glnA//bglB//argD//nrdA//aroG//puuB//icd//
GlrR	
GntR	fabG//ftsI//alaC//nrdF//lacZ//aceF//dapB//moeA//speB//
GutM	aroF//fadD//fumB//
GutR	gor//phnM//glgX//
HU	nirB//lyxK//paaC//lacA//cynT//ahpF//ada//
HcaR	nanM//glcE//
HdfR	
HigA	accB//
HigB-HigA	rffH//
HipAB	ynfE//caiB//
HipB	ulaD//umuD//uxaC//
HyfR	hycB//
HypT	ulaD//argE//hycD//oxc//trpC//purL//pgpC//
IclR	rbsD//gadB//treC//
IdnR	argB//purF//purA//argD//glgC//accD//
IlvY	tdcB//
IscR	cysH//dgkA//nrfC//deoC//lpd//fadH//
KdgR	adhE//puuE//
KdpE	tehB//
LacI	glcD//pflB//argA//
LeuO	talA//nrfC//dmsC//purH//alkB//alaC//
LexA	uxuB//tyrA//rpiB//pgk//gloA//purD//udp//purE//lsrK//citX//paaF//aroG//astC//aroG//glmU//waaH//gcvT//folE//nrdB//ampC//sucB//
LldR	sdhA//ubiX//
LrhA	
LsrR	ahpF//nrdA//narI//glpQ//glpA//
LysR	trpB//
MalI	nrdF//leuC//
MalT	cdd//phnG//ldtD//serA//talA//ascB//
MarA	glmS//ddlB//paaC//pheT//cynT//hyaC//fadD//hcp//nadA//pnp//gcvH//uxaA//fumC//lpxD//ppsA//deoD//pdeL//asnB//mltF//caiD//ppc//puuB//malP//
MarR	
MatA	gpmM//
MazE	ampC//
MazE-MazF	tam//
McbR	
MelR	malQ//gabD//
MetJ	fucK//nanA//patD//purD//srlD//gntK//nrfA//thrS//dsdA//serA//
MetR	malP//pgpC//moaE//mdh//
MhpR	arsC//dacC//fucO//murD//tehB//alaS//
Mlc	sdhC//pfkA//pheT//gapA//
MlrA	uidA//
MngR	metA//serA//
MntR	bioD//xylB//
ModE	garK//mltF//cysH//treC//sdhC//sdhB//ttdB//gloA//caiA//idnO//talA//allD//moaE//ulaD//
MprA	idnO//mhpD//tynA//
MqsA	carB//torA//
MraZ	dgkA//fabZ//trpA//glgP//waaZ//betB//umpH//uvrA//betB//rbsD//sucA//
MtlR	ogt//deoD//idnK//
MurR	fucK//phnG//malZ//
Nac	umuC//nanK//poxB//mraY//ynfE//ascB//glcB//cysM//ulaD//allD//
NadR	rhaB//dapD//hycD//xylA//
NagC	dhaL//purF//dhaL//fau//malZ//gabD//kbaY//nanK//galE//phr//purE//speA//glgA//nadB//yeaG//udp//fbaB//glk//alkA//
NanR	rsmH//napG//carA//fucU//aceB//purB//
NarL	mpaA//accA//entC//galE//leuA//umuC//murG//fucO//ahpC//rutE//fucA//asnA//sucB//rbsD//ada//phnN//treC//lpxD//uvrB//paaJ//tdcE//guaB//aceF//narH//sucC//argI//lyxK//prpB//araD//entD//lldD//eda//aroG//lhgO//relA//eda//
NarP	tpiA//uvrC//slt//udp//caiD//sufS//nrdA//dkgA//purC//luxS//fabA//
NemR	pyrC//murG//
NhaR	narI//hycD//patA//ogt//garD//
NikR	mhpB//
NimR	prpD//
NorR	dmsB//
NrdR	idnD//gcvP//pgpC//glcE//
NsrR	rsmH//pnp//glk//nanK//rbsD//purA//fucO//pgk//astA//hycC//rhaA//citC//mhpF//gcvP//ulaE//nrfD//ada//cyoE//paaA//luxS//glyA//moaE//ulaD//rffT//rutD//tam//rsmH//uxaB//deoD//hemL//glk//gpmM//gloA//speA//gltB//ycjG//
NtrC	narG//ada//edd//nrdF//gntK//purM//cysE//glpC//uxuA//sucB//purK//wzb//glgA//hcaD//trpA//entA//lacZ//cysG//pheT//lhgO//acnB//
OmpR	trpD//glcE//argD//rffC//metL//ttdB//pgaD//lhgO//
OxyR	hycC//dacC//icd//pnp//bglB//polB//narG//sucC//pepD//caiD//astC//hcaC//uxaA//caiC//
PaaX	paaC//umuD//gpmA//wzc//argE//cadA//ybjG//leuD//frdB//
PdeL	dsdA//
