# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	phr//nrfC//
AcrR	carA//hcaD//
Ada	fabG//sdhD//torA//ttdA//
AdiY	mhpD//lysC//dgkA//gadA//
AgaR	cysC//
AidB	xylA//
AlaS	rffC//
AllR	purH//narI//pgaB//metK//dgkA//katE//
AllS	nrdE//adiA//sufS//
AlsR	uxuB//frdC//glgB//
AppY	nanK//astA//
AraC	citX//ubiC//gutQ//trpA//araA//hycG//pspE//
ArgP	ldtC//hmp//rutC//alkB//metA//adiA//eno//dmsA//aroL//
ArgR	hycF//araD//dapD//alaS//hycE//mazG//nrdE//pheT//citF//glpA//entB//paaK//ttdA//rhaD//idnD//glpK//gadB//idnO//hemL//poxB//paaJ//carA//gatZ//
ArsR	nrfB//rbsD//
AscG	argE//mhpE//
AsnC	alaS//acnA//
AtoC	acnB//betA//ttdB//
BaeR	purD//citE//
BasR	murI//paaG//pyrD//
BetI	nfsB//fau//metA//
BirA	fadI//tdcE//tdcE//ynfH//bacA//
BluR	
BolA	ldtB//glpQ//
CadC	lsrF//ynfH//
CaiF	ulaD//citC//mtlD//galK//xylA//
Cbl	leuA//dsdA//dgkA//lpxD//gltB//
CdaR	ssuE//udp//ubiA//entF//alkB//pheT//hyaC//aroG//idnO//
CecR	
ChbR	ogt//trpC//trpA//
ComR	
CpxR	treC//dgkA//glnA//gatD//rffM//ycjG//polA//alkB//nrfA//ulaD//torC//hycE//ybaS//pflB//hemL//sdhA//hypB//mtlD//rdoA//leuC//cueO//
Cra	dacC//ybaS//ynfF//hyaB//lysC//moeA//lpxC//gltB//ascB//cysK//astB//purC//moeB//gcvH//caiC//purM//ilvC//idnO//napB//nanA//dgkA//metH//narG//rfe//yfbR//rsmH//purF//udp//wecB//astE//gapA//trpB//trpD//argE//fadJ//carA//malZ//cysD//glk//argD//araD//fdhF//frdA//purA//gltB//narH//paaJ//paaC//malZ//fucA//hycE//ldtD//metF//chbG//nrfB//accC//torC//yqjH//ppiA//astB//
CreB	paaZ//mhpE//
CsgD	hycE//ssuD//pdeL//fau//argG//
CsiR	poxB//metK//icd//glcB//
CspA	carB//
CueR	hcaC//dgkA//phnO//alkB//
CusR	atoA//carA//chbF//
CynR	phnI//aceF//tadA//
CysB	uxaA//hemL//fumB//paaK//sgbH//astB//pyrD//murF//ndh//citG//asnB//waaY//fadJ//ynfH//lysC//katG//glcF//adiA//
CytR	serA//cyoE//ftnA//ribA//rffH//wrbA//nanA//pgaC//galM//katE//
Dan	rimK//allC//
DcuR	allC//chbF//tyrB//araD//
DeoR	hycE//acnA//glgA//zwf//cynS//glcE//
DhaR	glnA//
DicA	
DinJ-YafQ	astD//
DnaA	cysD//luxS//bioD//hyi//waaZ//garD//
DpiA	cueO//glcD//lysA//glgX//lacZ//
DsdC	astA//ulaE//
EbgR	
EnvR	uidA//hycE//
EnvY	argD//putA//
EvgA	cysM//gudD//katG//uxaA//caiA//ssuE//
ExuR	rimK//fbaA//tdcD//purM//malQ//phnO//
FabR	ubiX//uvrA//
FadR	malY//carA//ahpC//hycF//ribA//pagP//hcaD//argB//fabG//fabI//add//glpQ//garR//sucB//xylB//paaF//ribA//fabB//
FeaR	uvrC//argF//
FhlA	cysC//gloA//cysN//folE//wrbA//mhpB//lhgO//
FlhDC	fau//puuE//cdd//murG//argI//purH//rsmH//tdcE//hyi//hemL//waaY//
FliZ	sodB//gudD//ogt//purB//glgA//
FucR	astD//katG//astB//cyoE//alaC//ulaF//
Fur	phnN//bioB//deoB//citC//wzc//lsrK//nirB//fadB//phr//mhpB//paaY//hypF//fabZ//fadM//hycB//puuD//mhpA//argH//pncB//argI//gadB//puuB//yiaK//fadI//idnK//pspE//ubiA//wzb//wecC//hypF//frdA//fucA//aspA//iscS//sgbH//fabA//chbF//galT//cysK//hyaB//ada//glpA//relA//epd//edd//pgaB//nanA//astD//purN//ascB//entD//gntK//kbaY//lpxA//rffC//astC//pdeL//ppsA//metL//wzc//nirB//glmS//napC//
GadE	glpC//napH//fadJ//ogt//rffG//fabI//ampC//fruK//leuD//cysJ//
GadE-RcsB	paaG//gabD//murE//citC//
GadW	pspE//bglB//waaY//alsE//
GadX	glgA//bioB//yeaG//polB//paaG//moaD//citF//hycF//murQ//mhpD//murI//speB//
GalR	xylB//citC//uxaC//astB//dapB//rbsK//
GalS	ttdA//metK//dkgA//paaK//sucD//tehB//
GatR	waaY//entE//gcvP//
GcvA	idnO//phoA//cysC//
GlcC	fabH//gcvT//chbF//
GlpR	lpxA//paaA//pgpC//prpD//alkB//uvrA//cadA//
GlrR	
GntR	rhaD//ldtD//glgB//appA//deoD//hycB//mltF//wecB//dhaM//
GutM	umuD//ruvA//yibQ//
GutR	carB//sdhD//argH//
HU	nrfD//rimK//araB//frdB//bioB//entF//mraY//
HcaR	ubiX//bioD//
HdfR	
HigA	purE//
HigB-HigA	frdD//
HipAB	eno//lsrG//
HipB	narG//dhaM//wrbA//
HyfR	paaK//
HypT	accB//ndh//lyxK//gor//frdB//sdhD//purM//
IclR	dapD//sgbE//mhpE//
IdnR	hcp//ubiC//paaJ//lsrG//pck//pdeR//
IlvY	argB//
IscR	nirD//pyrC//aspC//tktB//hcaB//ahpF//
KdgR	gatY//hemH//
KdpE	ybjG//
LacI	rfe//alkB//gloA//
LeuO	uvrA//ssuD//nagA//deoD//glxR//argC//
LexA	torA//fadE//malY//ppsA//gatZ//rdoA//narG//chbG//hycD//mhpC//entB//rimK//citD//sodA//nrdE//tdcE//dmsC//gcvP//gabD//argA//ycjG//
LldR	glcD//wzc//
LrhA	
LsrR	putA//fadJ//oxc//glpK//accB//
LysR	purM//
MalI	mhpE//uvrC//
MalT	recF//ychF//cynT//hcaF//metB//glmS//
MarA	bioB//rffG//moeB//cysD//folE//gutQ//katE//tehB//pagP//glmU//pepD//dgcZ//slt//metE//frdD//accA//argB//araB//psd//rpiB//glxK//uidA//gcvT//
MarR	
MatA	bioF//
MazE	ybjG//
MazE-MazF	hcaC//
McbR	
MelR	fau//pck//
MetJ	phoA//kbaY//hcaF//fumB//gltB//wzb//garK//yqjH//cueO//glnA//
MetR	gabD//moeA//ybjG//lpxD//
MhpR	aroG//frdB//galM//hcaB//prpD//pflB//
Mlc	fau//paaG//accC//paaG//
MlrA	rfe//
