# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	narI//puuD//
AcrR	katE//nrdE//
Ada	frdB//ynfE//wzc//nrdB//
AdiY	pykF//chbF//galE//phr//
AgaR	trpE//
AidB	cysN//
AlaS	ogt//
AllR	mdh//patD//leuD//paaE//sodB//dapB//
AllS	murC//lysA//glmU//
AlsR	ahpF//nanE//ahpF//
AppY	napG//tdcG//
AraC	uidA//fucO//ychF//guaA//sucB//fbaA//gdhA//
ArgP	pspE//ascB//gcl//pgaD//dkgB//polA//metK//sucD//dmsB//
ArgR	purC//adhE//poxB//lldD//mdh//tktB//pdeL//caiC//chbF//cadA//ubiC//argF//metF//murE//pykF//talA//purA//tynA//fabB//rutC//chbG//tpiA//citC//
ArsR	ndh//lsrK//
AscG	sufS//pyrD//
AsnC	ampC//glcE//
AtoC	yfdE//entA//ppsA//
BaeR	ulaF//puuE//
BasR	srlD//treC//fbaB//
BetI	paaZ//argF//fabH//
BirA	gcvT//alaC//ppsA//hcaC//mazG//
BluR	
BolA	malY//cueO//
CadC	phnP//galM//
CaiF	sufS//dkgA//purF//gapA//ynfH//
Cbl	tauD//dmsA//glxR//tdcB//ulaE//
CdaR	mraY//ybaS//iscS//lyxK//murD//glk//ppc//accB//puuE//
CecR	
ChbR	fadB//paaB//caiB//
ComR	
CpxR	fruK//tynA//pfkA//ppc//moaA//gabD//rffM//mazG//fucO//aroG//ribA//argH//argH//hcaE//ulaE//entC//ynfE//hcaE//mazG//rutD//tdcG//
Cra	ynfH//ampC//ahpF//hycC//fabI//chbF//mngB//trpE//puuC//glpK//fucU//hycB//pnp//umuD//icd//yeaE//fadA//astE//glcB//puuA//glcD//ppsA//napB//lyxK//pgi//ndh//hycF//entE//sgbH//atoB//entE//mltF//fadM//lysA//epd//astC//fucI//cdd//waaY//ilvC//citF//hycB//frdC//entH//fbaB//frc//hmp//narH//gloA//hemH//murG//fabZ//fucI//alkA//rffC//alkB//pyrC//ahpF//hcaE//gnd//
CreB	uvrB//paaK//
CsgD	puuE//entC//ttdA//carB//fadM//
CsiR	aspA//caiC//chbF//citX//
CspA	paaC//
CueR	astC//hycC//carA//recF//
CusR	ulaE//phnI//pdeH//
CynR	caiB//mhpB//prpE//
CysB	ttdA//aceA//guaB//dgcC//ugpQ//sucC//hcaE//oxc//hycE//pgaB//accD//fumB//gcvT//torA//frc//yfdE//frdC//cysE//
CytR	dhaL//slt//dmsA//mpaA//phr//glnA//ldtB//paaH//garD//nanA//
Dan	cdd//pflB//
DcuR	nirB//alaS//hyaC//idnO//
DeoR	gatZ//alsE//napC//hcaF//puuE//tdcD//
DhaR	hmp//
DicA	
DinJ-YafQ	paaK//
DnaA	araB//hcp//dapB//astD//umpH//fucA//
DpiA	citC//cysN//uidA//astB//araB//
DsdC	yiaK//mhpF//
EbgR	
EnvR	caiA//astD//
EnvY	folE//phnM//
EvgA	idnK//gadB//ppc//speB//fabH//ssuE//
ExuR	sgbE//argC//glcD//pfkA//bioC//allD//
FabR	rutA//alkB//
FadR	bglB//argB//glcD//atoB//dmsA//pgpC//torC//rffG//yeaE//trpE//fadI//hcaB//pykF//pgaD//entB//fadA//entB//paaG//
FeaR	purB//nrfD//
FhlA	hycG//paaJ//pck//rpiB//phnO//cysM//lsrG//
FlhDC	lacA//nirD//glgX//ybaS//galE//metK//patD//aspA//glpX//nirB//hyi//
FliZ	speB//phnG//umuC//sodA//bioB//
FucR	cysK//argD//phoA//allC//nadA//rnpB//
Fur	guaB//glcD//phnN//dhaK//tynA//luxS//accD//codA//glpD//dmsA//uxaC//betB//deoD//uxaA//hycC//sgbE//phnJ//wrbA//alkA//uvrA//rhaA//purE//carA//entD//argB//ulaD//zwf//rbsD//citG//codA//acnA//leuB//rsmH//prs//glxK//napB//caiB//galK//rhaA//eda//lysC//hmp//phnO//mngB//yqjH//aceF//aspC//mtlD//idnD//ldtD//gudD//mpaA//glcD//xylB//rfe//atoA//rffC//gloA//citD//allC//malY//pdeL//metL//
GadE	cysC//atoB//malZ//argD//tyrA//purK//rutA//paaC//metL//leuB//
GadE-RcsB	fabA//fucK//ftnA//araA//
GadW	garL//metB//metK//dhaL//
GadX	yibQ//nfsB//tyrA//nadB//mhpF//ilvC//rffH//add//fruK//gutQ//fabB//glcE//
GalR	frdA//kbaZ//gutQ//uxaC//psd//fucO//
GalS	aroL//sufS//argH//glgX//mhpC//glcE//
GatR	glpD//ulaE//hcaD//
GcvA	waaZ//gadB//nanM//
GlcC	yeaG//lsrK//uxaC//
GlpR	fbaA//mhpC//ttdA//acnB//rutB//ung//polA//
GlrR	
GntR	psd//rpiB//cysN//rffC//allB//entD//gcvH//gcvP//gcvP//
GutM	pheS//murI//fucO//
GutR	paaF//paaG//cysJ//
HU	fucU//sucB//glxK//phnI//amn//gabT//aroH//
HcaR	pepD//murQ//
HdfR	
HigA	pdeR//
HigB-HigA	moaA//
HipAB	dmsB//nanE//
HipB	sodA//leuC//fadA//
HyfR	phnO//
HypT	polB//tnaA//puuB//argF//lsrK//caiC//murI//
IclR	xylB//mhpF//tam//
IdnR	atoD//ppc//tdcE//rutC//rutB//poxB//
IlvY	narH//
IscR	uxaC//tyrA//phnO//ppc//puuD//pncB//
KdgR	ssuE//hypF//
KdpE	chbG//
LacI	rffM//argD//yibQ//
LeuO	nfsB//mhpF//metF//xapA//phnH//ftnA//
LexA	trpB//glgC//aroF//mazG//dapD//cynT//lsrK//dapD//yqjH//nadB//purM//ampC//narH//ubiC//alsE//cysD//purL//sufS//metE//aroH//nrdB//
LldR	metA//malS//
LrhA	
LsrR	purK//yeaG//entC//iscS//argA//
LysR	yqhD//
MalI	ddlB//hycG//
MalT	hycC//caiB//gpmA//mhpC//tyrA//fucA//
MarA	lysC//entE//cysC//nrfB//polB//xapA//carA//cyoE//mhpE//pagP//pgk//tdcG//deoA//paaE//yeaE//glpX//ilvC//epd//cysE//sgbE//add//garL//fadJ//
MarR	
MatA	yqjH//
MazE	murE//
MazE-MazF	tam//
McbR	
MelR	frc//entB//
MetJ	prpD//ubiC//sgbE//murE//cysH//waaH//hycF//slt//hyaB//phnL//
MetR	glpC//aceA//yibQ//guaB//
MhpR	deoC//dgcZ//accB//polA//accC//patA//
Mlc	prpC//nrfA//acnA//hypF//
MlrA	mhpE//
MngR	nrfB//garR//
MntR	sufS//rsmH//
ModE	nrfC//glpK//phnP//gatD//glpK//phnN//bacA//rhaD//rbsK//napH//yeaG//hyaA//relA//patD//
MprA	murC//phnL//ycjG//
MqsA	bioA//metA//
MraZ	phnJ//glpK//nrdA//pdeL//hyaC//argC//pepD//xylB//hcaD//aceB//allB//
MtlR	mhpF//mhpE//ynfE//
MurR	fabD//ahpC//argD//
Nac	aceA//purK//pheS//rffM//nanE//hcaE//lacA//lldD//napA//yqhD//
NadR	uxaA//eda//paaI//fadM//
NagC	prs//cysH//trpE//glpQ//accD//ulaG//cysE//dmsC//aroL//sgbH//tdcG//tyrA//aspC//argG//tdcD//prs//alsE//rffM//gcvP//
NanR	pncB//lpxC//relA//pepD//ulaD//prpD//
NarL	lpxC//citE//napH//nrfA//katG//argB//polB//tadA//fadE//fumC//rdoA//aceB//deoA//umuD//argE//lldD//aspA//katE//mhpE//katE//murD//relA//eno//nanM//tdcD//fabI//ppsA//pgaB//mhpD//hycG//pfkA//cynS//chbF//folE//gntK//paaH//
NarP	truB//fucA//cysD//malS//relA//lpxA//glpC//tauD//tyrA//malP//ascB//
NemR	argD//srlD//
NhaR	aroL//glxR//yfdE//argH//idnO//
NikR	ynfG//
NimR	waaY//
NorR	nfsB//
NrdR	yfdE//mhpA//poxB//prpD//
NsrR	ttdB//poxB//hyaB//napB//caiC//purA//ldtC//araD//argB//paaH//paaB//ynfF//paaE//yiaK//narH//hcaB//fabZ//ldtC//phnO//fadM//mnmG//icd//gadB//garL//entD//metA//ppiA//ldtC//gpmA//moaD//hycE//cysM//paaJ//argE//dhaL//ubiC//
NtrC	prpC//folA//eda//dkgA//glpK//pspE//fbaB//gadA//phnI//rhaA//treC//poxB//oxc//ynfE//murE//glpB//narH//paaC//edd//allB//purH//
OmpR	lpd//accC//dhaL//fabA//pgpC//cysN//fadB//caiC//
OxyR	dinB//murC//fadM//hypF//aspC//hycF//ftnA//araA//yfdE//phnI//deoC//nemA//uxuB//idnD//
PaaX	cysN//araD//rffM//cysI//cdd//gloA//mhpF//mngB//leuB//
PdeL	mazG//
