# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	cadA//ascB//
AcrR	acnA//araB//
Ada	katE//lpxA//glpQ//pheT//
AdiY	katG//phnO//fumB//rbsD//
AgaR	carB//
AidB	ascB//
AlaS	hyi//
AllR	ada//ubiC//murG//lysC//guaA//astB//
AllS	argF//cyoE//lpxC//
AlsR	allE//nrfB//wecC//
AppY	bioC//nagA//
AraC	lpxC//nagA//frdD//nrfA//fucI//malY//bacA//
ArgP	lsrG//ruvA//amn//ndh//wecB//fadI//leuD//adiA//ugpQ//
ArgR	umpH//hyaB//prpE//fadD//citF//fucA//aceE//phr//yfbR//nfsB//lpd//araA//fadJ//galE//entD//ldtB//nfsA//cysD//idnO//wecC//betB//paaG//hypB//
ArsR	mpl//pgk//
AscG	murG//murQ//
AsnC	glpB//sodB//
AtoC	napB//murG//lpxD//
BaeR	torC//dgcZ//
BasR	argA//adhE//hemH//
BetI	yfdE//glyA//sgbH//
BirA	murG//puuB//lpxC//polB//araD//
BluR	
BolA	kbaY//poxB//
CadC	ugpQ//waaH//
CaiF	citX//gdhA//xylB//gapA//allA//
Cbl	sdhA//psd//eda//torC//murG//
CdaR	malQ//melA//fadM//allA//gadB//glnA//sdhA//glgC//murI//
CecR	
ChbR	gatZ//uxuB//gor//
ComR	
CpxR	nanE//hycD//uxaA//lsrG//accC//betA//glgB//lhgO//fadE//metL//kbaY//hemL//argB//rbsK//prpD//umuD//relA//metE//deoB//fadI//carB//
Cra	cadA//slt//thrS//caiD//fucK//ddlB//glcD//asnA//dkgB//leuB//lhgO//murI//sdhD//mhpF//phnL//metB//mhpF//fadM//hyaC//gpmA//mngB//dhaK//murC//thrS//argI//kbaZ//phnH//purC//carA//ychF//patD//frdB//puuB//purA//allB//glpB//lacA//dmsB//trpD//thrS//gntK//gcvT//tnaA//rfe//murD//tauD//cdd//gcvH//gloA//murE//murF//katG//sucD//frc//ppiA//yfdE//citD//gabD//aceA//edd//
CreB	puuA//idnK//
CsgD	argH//pdeL//napA//mdh//murE//
CsiR	pflB//srlD//fabI//yfdE//
CspA	metL//
CueR	aceE//ubiA//lldD//rutE//
CusR	glyA//phnM//phnJ//
CynR	yfbR//uxuA//accB//
CysB	ulaF//ubiA//cysN//glxK//wzb//hyaA//cadA//polB//metF//amn//cysG//fadA//pfkA//prpC//tdcD//purA//xylB//cysI//
CytR	mhpA//uxaC//pyrC//ynfG//paaE//rffH//glcD//gudD//glmU//ruvB//
Dan	hcaC//hycF//
DcuR	carA//speA//mazG//alaS//
DeoR	sodA//pfkA//mhpA//lyxK//bioC//tadA//
DhaR	gloA//
DicA	
DinJ-YafQ	nemA//
DnaA	fadD//nrdE//garK//eda//ssuD//cysH//
DpiA	garD//tehB//ftnA//fau//gloA//
DsdC	ynfG//gcvP//
EbgR	
EnvR	serA//ppiA//
EnvY	gor//glyA//
EvgA	napC//phnI//prpE//puuB//frdC//fau//
ExuR	wrbA//uxaB//ulaE//frdB//metB//fadB//
FabR	glpC//truB//
FadR	argG//alkB//lldD//lpd//gloA//accA//rsmH//paaJ//add//udp//yqhD//thrS//fruK//ybjG//fadJ//hcaE//paaK//sucB//
FeaR	fruK//rnpB//
FhlA	ybjG//galM//accA//trpD//cysJ//paaI//lsrF//
FlhDC	atoB//fabD//purE//bglB//fabI//ychF//allD//nrfB//aroG//nrdB//fabD//
FliZ	citE//lpd//poxB//pncB//narI//
FucR	rdoA//fbaA//torA//hypB//prpB//accA//
Fur	atoA//lsrF//mhpC//folE//hyaB//poxB//gltD//astC//galK//astC//ppiA//nemA//yfbR//acnA//gcvH//rffC//idnD//arsC//phnN//malZ//sufS//kbaY//leuB//astA//nemA//rutA//truB//ttdB//nadB//pykF//phnI//galE//acnA//sdhB//entC//nrdA//glgC//gadB//rdoA//ogt//cueO//tam//argD//gabT//rffM//xylB//hcaE//hyaC//fabZ//dmsB//garL//phnM//nemA//araA//rnpB//alaC//lacZ//phnJ//glpB//pepD//gdhA//rnpB//phnN//
GadE	hycF//pyrD//pdeL//ruvB//mtlD//nrfD//atoB//leuC//bioC//deoB//
GadE-RcsB	ilvC//pheS//hmp//rdoA//
GadW	nrfC//phnP//lysA//dgkA//
GadX	nemA//polA//pyrC//dsdA//citE//cueO//pgaC//alkA//dkgB//accB//hypF//nanE//
GalR	cysJ//ynfF//fbaB//glpQ//bioB//lsrF//
GalS	sucA//fabB//caiC//rffC//glgX//fadI//
GatR	rnpB//ybjG//ugpQ//
GcvA	nrdA//puuB//frdC//
GlcC	cynT//fabG//waaZ//
GlpR	dacC//pncB//citX//malP//ulaF//glgB//paaC//
GlrR	
GntR	hycE//sodB//paaB//alaC//dacC//fadE//glcE//malS//glyA//
GutM	ogt//astE//aceB//
GutR	glgX//hypB//purL//
HU	ada//citE//trpB//caiC//glcF//bioD//sgbH//
HcaR	ogt//hcaB//
HdfR	
HigA	glgC//
HigB-HigA	purH//
HipAB	deoA//pfkA//
HipB	dacC//gcvT//pyrD//
HyfR	talA//
HypT	trpD//tadA//dgkA//galK//eda//yfdE//glcF//
IclR	purN//gapA//gcvP//
IdnR	cysJ//leuA//uxaC//uxuB//glnA//nrfB//
IlvY	gudD//
IscR	pagP//purD//argE//fabI//mhpA//allE//
KdgR	fdhF//ung//
KdpE	phnP//
LacI	rnpB//nirB//hemL//
LeuO	fabI//frdC//uxaC//tyrA//uvrA//purB//
LexA	ubiA//tam//aspC//argC//nrdF//hyaC//pyrD//ada//malQ//gcvP//kbaY//thrS//phnG//ttdA//paaY//sucA//udp//citE//fruK//cysH//dmsA//
LldR	fadJ//gnd//
LrhA	
LsrR	hcaD//ubiX//chbG//nagA//gltB//
LysR	glxR//
MalI	aroL//glpX//
MalT	pnp//mltF//arsC//malY//ssuE//ynfE//
MarA	gatY//paaH//fbaA//ycjG//gadB//trpD//argH//slt//tdcG//murE//napC//zwf//purB//napA//aceA//murF//sdhD//leuB//ssuE//metC//hcaE//rimK//adhE//
MarR	
