#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b1189//b2222//b2992//b2528//
AlaS-L-alanine	b0199//
AllS-allantoin	b0895//b3273//b3272//
AraC-L-arabinose	b0929//b1245//b0484//b4013//b1008//b2306//b1210//b4237//b2482//b2751//b3273//b2729//b2375//b2308//
ArcA-Phosphorylated	b0758//b1275//b1718//b2609//b2212//b4293//b2243//b0615//b2095//b2980//b1670//b2313//b2068//b0677//b4637//b4310//b2531//b3241//b2500//b1719//b0861//b2240//b0201//b2507//b3331//b2150//b2801//b2078//b3327//b3315//b3331//b4384//b2937//b0720//b0040//b2221//b3577//b0584//b0515//b1850//b4367//b3588//b4670//b3134//b3357//b1516//b2758//b1062//b2759//b1805//b1535//b4071//b0181//b2344//b1920//b0078//b0351//b4249//b2852//b3758//b1516//b1302//b4099//b4098//b1594//b4102//b4233//b0754//b4290//b2720//b0429//b2205//b3941//b3224//b2926//b0340//b2171//ilvG_2//b4120//b1336//b3276//b2995//b2763//b1160//b1594//b2240//b0044//b3116//b0180//b3970//b3172//b2283//b1324//b3567//b3926//b0377//b1112//b3451//b0959//b2697//b4003//b0034//b0597//b1970//b3852//b4310//b0043//b1243//b3207//b0763//b2758//b0314//b4317//b2212//b1256//b0861//b1211//b4699//b0595//b2713//b0198//b0346//b2207//b3314//b3728//b3172//b0344//b1528//b2666//b3518//b0931//b1970//b3277//b4406//b3569//b3331//b3852//b2803//b4151//b2205//b2375//b2149//b2151//b1225//b1041//b2307//b1012//b1900//b2728//b3460//b3437//b3934//b3773//b3166//b3903//b4383//b4100//b4104//b4323//b2499//b2715//b3272//b1546//b2280//b4139//b2719//b1127//b3617//b0935//b2151//b1323//b4240//b3171//b2200//b1970//b4138//b3049//
ArgP-L-arginine	b1429//b4058//b3132//b3852//b3700//b3908//b3773//b1540//b3569//b3968//b4567//b1884//ilvG_2//b4291//b3118//b2414//
ArgR-L-arginine	b3025//b3759//b4069//b2107//b4592//b4400//b0396//b1296//b1655//b3903//b2710//b3971//b2481//b0205//b1859//b2868//b3608//b3326//b2987//b2591//b3096//b0887//b2150//b1779//b4015//b3333//b0199//b4468//b3859//b2957//b1515//b3574//b3509//b2751//b1718//b3830//b0974//b2927//b0462//
AtoC-phosphorylated	b2905//b1501//b3316//b2943//
BaeR-Phosphorylated	b0778//b3081//b0585//b1252//b2938//b0020//b0973//b2485//
BirA-bio-5-AMP	b0777//b4037//b3567//b1024//b3415//
CRP-cAMP	b1276//b3430//b3971//b1112//b2728//b1540//b4151//b2724//b0331//b4099//b2231//b2977//b3773//b2231//b1805//b3132//b1501//b1036//b1241//b2674//b0038//b0342//b3830//b1817//b4354//b1669//b4592//b0368//b0034//b3771//b0343//b2553//b2074//b0972//b3072//b4067//b0192//b4169//b0860//b3260//b1062//b1482//b2341//b1497//b3859//b3169//b3417//b3118//b2197//b3756//b2800//b1036//b0784//b0886//b0763//b4384//b0598//b0720//b4102//b3770//b4426//b0928//b1887//b2697//b1321//b2430//b1890//b4071//b2078//b3426//b3671//b2588//b3846//b3325//b1540//b4202//b2597//b3508//b2756//b0606//b0774//b1226//ilvG_1//b2096//b1718//b3908//b0880//b0398//b4441//b1587//b0585//b2485//b0894//b3135//b3414//b0207//b2571//b0020//b4159//b4355//b1497//b3125//b2676//b0398//b2710//b1905//b3582//b3417//b2197//b1884//b0591//b1673//b2392//b2415//b3409//b1324//b0349//b0557//b3846//b2752//b0826//b0032//b3759//b4367//b2727//b0166//b4287//b3725//b0597//b0403//b3316//b3038//b0571//b0334//b4040//b2608//b2205//b2078//b3317//b1002//b2153//b0330//b2866//b2194//b2234//b0043//b4079//b4067//b4063//b2818//b4203//b3688//b4416//b2194//b2009//b1385//b1810//b0591//b2804//b2280//b0397//b3831//b2559//b0594//b2802//b3266//b4059//b3666//b4354//b1673//b2531//b0759//b3926//b3124//b1323//b4152//b4000//b2212//b1009//b2075//b4316//b4059//b2707//b2660//b4034//b2029//b2976//b1101//b1537//b1287//b0033//b0019//b0974//b2241//b3583//b4441//b3528//b2469//b1798//b2143//b2212//b0338//b1890//b2369//b4170//b3912//b1109//b0616//b4096//b0040//b4398//b0111//b1590//b4160//b2312//b2965//b3518//b1226//b0618//b1492//b0116//b1684//b3123//b4400//b3722//b0441//b0565//b2560//b1890//b1513//b0937//b4019//b1296//b0929//b0596//b3364//b1591//b3395//b2503//b4111//b3455//b1883//b2841//b3092//b0978//b2590//b3214//b0977//b2741//b0755//b0430//b1205//b3363//b2608//b4439//b1276//b4034//b0516//b3845//b3668//b0778//b2852//b0110//b3774//b0113//b0390//b2608//b2741//b1736//b1748//b3456//b1519//b2309//b3605//b3830//b0344//b4095//b1907//b3578//b0861//b0957//b4019//b2068//b2284//b2669//b3451//b1221//b1612//b3869//b3117//b4139//b1713//b1226//b2741//b0198//b3326//b1712//b0037//b3908//b1885//b3845//b1262//b3708//b2284//b3213//b0827//b2508//b0613//b3688//b0365//b3133//b2497//b3070//b2552//b3564//b2487//b2197//b0571//b0785//b4106//b4383//b1415//b0240//b4241//b3356//b3166//b1012//b2938//b2759//b3008//b0721//b1656//b0757//b3709//b3855//b0450//b2150//b2204//b1127//b0729//b0616//b1223//b2208//b2731//b0204//b3276//b2579//b3579//b0819//b3212//b4160//b0570//b3970//b3223//b2425//b3333//b4316//b3095//b0775//b1262//b3265//b3276//b2366//b0728//b3076//b2309//b4069//b1890//b1421//b1012//b2063//b0368//b0726//b4315//b2341//b3395//b2557//b2965//b3321//b4171//b0775//b1683//b2368//b1735//b4193//b0904//b0681//b2630//b0441//b3751//b4104//b0062//b1227//b0041//b3363//b3363//b1902//b3860//b2151//b2868//b2912//b0721//b2425//b4019//b2156//b2092//b3368//b2291//b2425//b3600//b3223//b1132//b2231//b3851//b0330//b1681//b0042//b2709//b4599//b4152//b4209//b1817//b2992//b0312//b4314//b2106//b3771//b4239//b4471//b4071//b0908//b1821//b3609//b1852//b4406//b1501//b0862//b4039//b1814//b0764//b2758//b0042//b0570//b1857//b0273//b3702//b0167//b2222//b4002//b3312//b1883//b1335//b2705//b0462//b0728//b2938//b2838//b3326//b3171//b1819//b0754//b1622//b1780//b3457//b2148//b4451//b1761//b3864//b1261//b2499//b0820//b3942//b3091//b2750//b1015//b2075//b3057//b2711//b1297//b2751//b4399//b0729//b1821//b3749//b3125//b3756//b0429//b1498//b1190//b3331//b4173//b1497//b2222//b3363//b3272//b4288//b0177//b0775//b1111//b1819//b0204//b3272//b3168//b4288//b4310//b0368//b3781//b3766//b1519//b0726//b1182//b0756//b4599//b3854//b3869//b2430//b3405//b0039//b0571//b1920//b1540//b1819//b0785//b2962//b3908//
ChbR-Monoacetylchitobiose-6P	b3611//b3544//b3415//b1493//b4072//b2307//
CpxR-Phosphorylated	b1733//b3846//b3460//b2085//b3265//b0595//b2197//b3970//b2805//b1797//b0516//b4010//b3417//b3171//b2425//b4202//b3441//b0907//b0758//b0820//b2732//b0461//b3424//b3405//b3670//b4400//b3092//b4018//b2288//b3325//b1881//b1654//b4399//b1012//b4015//b4196//b0864//b1548//b3540//b3392//b2729//b0734//b3077//b1020//b2992//b0182//b1886//b3870//b2211//b2276//b1482//b3669//b4068//b0553//b2584//b2373//b2659//b0314//b3926//b0182//b2368//b0112//b1224//b3476//b4174//b2964//b1337//b1922//b2342//
CreB-Phosphorylated	b0273//b1681//b0757//b4321//b0874//b0349//b1208//b2372//b2079//
CueR-Ag	b4311//b4287//b4201//b4376//b0574//b2559//b3207//
CueR-Cu+	b4005//b3544//b1038//b1298//b2373//b3567//b4092//
CuerR-Au	b4167//b3543//b2150//b1611//b0353//b3093//b2392//
CusR-Pasp	b3261//b1684//b1429//b0350//b1616//b0346//b3752//b4267//b3582//b2589//b0613//b3417//
CynR-Cyanate	b1655//b2841//b4115//b0201//
CysB-N-acetyl-L-serine	b2284//b0313//b2580//b2196//b2503//b4118//b1681//b3223//b4169//b0880//b3511//b1036//b1857//b2291//b0874//b3852//b0784//b1040//b3616//b2754//b0778//b4397//b4138//b3608//b0202//b2911//b3171//b3441//b4460//b2551//
CysB-O-acetyl-L-serine	b0819//b1704//b2724//b2553//b2197//b0515//b2763//b3750//b4267//b4316//b0351//b4151//b2476//b1616//b0107//b2091//b0350//b0575//b1684//b4069//b1429//b3859//b2490//b0044//b0377//b1016//b2208//b3057//b3968//b1818//b4382//
DcuR-Phosphorylated	b4024//b0723//b1475//b4238//b2296//b2990//b4317//b1683//b2818//
DnaA-ATP	b4009//b3315//b3414//b0179//b2911//b3213//b1260//b1131//b2417//b3365//b2368//b1590//
DpiA-Pasp	b4124//b2155//b0031//b2277//b3903//b2280//b0331//b2943//b2239//b2597//b4104//
DsdC-D-serine	b0937//b2531//b0189//
EvgA-Phosphorylated	ilvG_2//b2498//b3906//b2591//b3860//b3450//b2483//b4240//b3458//b1302//b3907//b2704//b2803//b1338//b0819//
FNR-Fe_reduced	b0348//b2085//b3368//b2674//b3970//b3479//b3416//b2552//b3941//b1394//b3532//b0937//b2838//b4007//b0574//b3118//b2212//b3968//b2375//b0826//b2421//b1262//b1885//b4384//b3414//b0366//b1322//b2291//b3035//b2483//b3567//b3318//b1210//b2867//b0516//b2235//b4441//b4139//b3667//b2741//b4460//b4010//b3688//b0337//b3311//b1590//b2407//b0154//b3441//b2211//b3333//b0874//b1888//b3479//b0591//b0894//b3599//b1262//b2804//b2285//b2499//b0178//b2364//b4099//b2368//b3273//b3576//b3408//b3581//b1497//b3461//b1889//b2197//b0078//b2676//b1621//b2407//b0980//b2573//b0934//b3038//b1641//b3423//b2285//b2280//b3222//b4153//b0996//b0593//b1746//b2732//b3423//b4196//b1323//b2718//b1476//b3941//b1272//b0334//b2614//b2309//b3707//b3855//b0763//b1043//b2660//b2488//b0400//b3093//b0109//b1798//b2579//b1886//b0366//b2927//b4705//b2290//b2762//b3038//b2201//b3724//b1252//b3934//b1922//b3588//b4152//b1528//b2106//b2723//b2617//b3959//b4663//b1008//b1670//b0566//b0589//b4355//b4111//b4009//b3237//b3404//b2916//b4095//b4289//b0726//b3565//b1430//b4097//b3231//b1621//b4287//b1501//b3457//b4153//b0872//b2573//b1247//b4100//b2203//b3096//b2729//b2500//b2977//b1225//b1208//b4233//b1656//b4169//b3414//b4669//b0874//b2601//b2421//b3905//b1334//b3869//b0428//b4067//b0205//b4132//b0347//b1247//b0451//b3438//b2368//b2580//b4076//b1008//b3531//b1988//b3026//b2852//b1511//b3615//b2728//b1207//b1497//yegZ//b3432//b1737//b2283//b0333//b0031//b1779//b1706//b3518//b4079//b2223//b1715//b4471//b3072//b0031//b0114//b1498//sroD//b1512//b2277//b3331//b0428//b0041//b3410//b2223//b3774//b2617//b1589//b1476//b2997//b2282//b1850//b2085//b3415//b3702//b2965//b1429//b2531//b3957//b3603//b1535//b2296//b3113//b0378//b4024//b0203//b0399//b1041//b2676//b0034//b2200//b3508//b0384//b1885//b1888//b4397//b2662//b1222//b1190//b3758//b3335//b1335//b3702//b1275//b4599//b2243//b3359//b1518//b3934//b3171//b2724//b3543//b3574//b3938//b4426//b2297//b2094//b2194//b3243//b4004//b3416//b0728//b2311//b2597//b0240//b2416//b0189//b0039//b0574//b4460//b1261//b2276//b0161//b0191//b0125//b1858//b0203//b4111//b3971//b0758//b3542//b3441//b1901//b1321//b2706//b4069//b3452//b0573//
FhlA-Formate	b1884//b1227//b1616//b2996//b0034//b3240//b3774//b3510//b3364//b1393//b3460//b3971//b0595//b3604//b0156//b4124//b0340//b1296//b4177//b0296//b4416//b4177//b2417//b4669//b0585//b1779//b0589//b3566//b0106//b2528//
FucR-L-fuculose-1-phosphate	b0677//b4151//b0432//b0441//b1704//b1006//b1015//
Fur-Fe2+	b1393//b4152//b2156//b0031//b1745//b0861//b1301//b3770//b0203//b1921//b4122//b3236//b2800//b3723//b3124//b2724//b0722//b1394//b3124//b0571//b2719//b3868//b1221//b4075//b2469//b2231//b3863//b1007//b1920//b0903//b3049//b3902//b0353//b1531//b3771//b4382//b3927//b1243//b2195//b1817//b3410//b0759//b3458//b2483//b3831//b2993//b2721//b4119//b1221//b0936//b1671//b2498//b2147//b4193//b3172//b3096//b1263//b1737//b3049//b0041//b3225//b4129//b2957//b3415//b0585//b0035//b1421//b4316//b1900//b0463//b1982//b1246//b3231//b0109//b1611//b4406//b4637//b1299//b2483//b1857//b2198//b4131//b2703//b4213//b2728//b1516//b1212//b3165//b3571//b1922//b2943//b1615//b2095//b2912//b1394//b2838//b1684//b2075//b4203//b2201//b1548//b3564//b0729//b0343//b3851//b3413//b0880//b3601//b0775//b3724//b0720//b2752//b2675//b2528//b0190//b1656//b3334//b4067//b2995//b2528//b2296//b1519//b0112//b4100//b3616//b0041//b3318//b0342//b0191//b2729//b3404//b1263//b2484//b4079//b0352//b0820//b1810//b2029//b1518//b2942//
Fur-Mn2+	b2579//b0565//b0152//b0784//b3511//b1243//b3934//b0566//b0820//b1205//b3266//b3260//b1970//b3757//b1208//b4032//b4209//b2590//b4007//b3451//b2366//b0365//b2531//b2660//b1130//b1007//b3132//b4637//b1393//b3324//b0723//b0273//b4322//b0311//b3437//b4392//b4322//b1593//b3772//b1264//b3958//b2240//b4007//b3404//b3773//b4401//b1714//b3727//b1858//b0959//b3392//b4324//b0345//b0388//b4093//b0755//b0115//b2091//b4318//b1612//b2531//b1223//b2572//b3700//b2709//b2600//b4098//b2730//b1511//b3035//b1717//b0592//b2591//b2726//b2868//b2925//b3969//b3265//b0575//b0077//b3481//b1717//b1007//b3542//b1970//b0044//b4009//b4054//b3574//b2311//b0728//b4381//b1015//b2206//b0112//b0618//b3806//b3225//b3429//b0894//b3904//b2964//b4669//b3408//b3277//b0460//b0123//b1716//b1276//b3410//b2277//b0221//b1597//b4599//b4702//b1852//b4318//b1519//b2925//b1256//b3450//b0724//b0441//b3722//b1590//b2724//b2212//b2423//b1987//b1390//b2163//b3392//b1846//b0727//b2662//b3416//b4200//b2482//b0723//b2078//
GlcC-Acetate	b2903//b1902//b1548//b4097//b1391//b0616//b3907//
GlcC-Glycolate	b1535//b1674//b2414//b0033//b1224//b2308//b2818//
GlrR-Pasp56	b1384//
IclR-pyruvate	b3845//b0113//b3938//phnE_2//
IdnR-5-ketogluconate	b1101//b0677//b3424//b1275//b3938//b1131//b1391//b1616//
IdnR-Idonate	b1024//b1429//b0523//b0064//b1430//b1654//b2571//b2926//
IlvY-2-acetolactate	b3748//b3096//
IlvY-Alfa-acetohydroxybutirate	b3321//b4287//
IscR-2Fe	b0953//b3415//b3600//b3320//b3701//b3701//b0078//b4242//b1007//b1532//b2085//b3907//phnE_2//b0063//b1247//b4123//b2476//b4196//b0734//b0240//b2580//b0861//b4013//b0178//b0583//b4393//b0123//b4320//b1620//b2407//b1715//b4311//b0366//b2957//b4193//b0201//b2979//b3927//b2707//b4240//b1127//
LldR-L-lactate	b3773//b0874//b2818//
Lrp-Leucine	b3453//b4169//b2762//b1024//b3564//b3617//b4324//b2152//b3126//b4014//b2291//b2529//b1101//b0622//b3852//b2943//b3171//b2961//b1973//b3365//b2661//b3405//b2063//b3161//b3469//b3424//b4460//b2476//b0595//b3852//b2993//b0039//b1512//b0997//b4131//b4460//b0353//b2469//b0201//b3049//b0723//b0598//b3941//b4511//b2500//b3938//b1521//b0887//b4502//b4173//b2992//b1821//b2470//b0522//b1818//b1511//b1655//b3115//b1102//b0441//b2092//b0872//b2489//b2535//b4254//b1222//b4291//b1818//b3227//b2559//b1622//b3170//b2762//b4159//b3413//b1616//b2235//b0775//b1859//b0397//b0566//b0197//b0179//b4169//b0573//b3927//b3509//b4406//b0681//b2676//b2710//b3572//b2068//b2215//b3568//b2715//b0383//b4200//b1421//b0350//b4075//b2799//b1042//b1132//b2489//b3366//
LsrR	b0043//b1713//b3240//b3961//b2937//b0189//b3093//b2204//b0197//
MalT-ADP-Maltotriose	b2148//b3908//b4054//b4451//b0400//b2997//b2063//b3437//b0190//b1656//
MalT-Maltotriose-ATP	b4009//b1415//b4168//b0351//b0342//b4318//b1392//b3366//b4034//b2560//
MelR-Melibiose	b4392//b3912//b3758//
MetJ-S-adenosylmethionine	b2373//b0153//b0115//b2078//b1882//b4268//b3957//b1882//b3770//b2705//b1260//b3169//b3261//b2942//b4287//
MetR-L-homocysteine	b2284//b3313//b2280//b1744//b3600//
MhpR-3-DHPP	b3455//b3127//b2281//b4511//b1796//b4699//
MhpR-3HPP	b4671//b0593//b0557//b3213//b3273//b0039//
MntR-Cd2+	b4383//b2905//b3941//b2557//b2975//
ModE-MoO42-	b4237//b1475//b0976//b4439//b2943//b4468//b3600//b3438//b3480//b4702//b3409//b2762//b0896//b3224//b4203//b2760//b3725//b0440//b0166//b0894//b0043//b0314//b4287//b0756//b2580//b0874//b3417//b3588//b0585//b0785//b4151//b2213//b1736//b3567//b3564//b0861//b2232//b2171//b0184//b3425//b0860//b2236//b0755//b4036//b0980//b3722//
NarL-Phosphorylated	b2962//b3357//b4193//b0450//b0341//b2224//b1302//b1272//b0166//b0335//b0240//b2617//b4000//b0429//b1211//b3449//b3726//b0156//b4072//b4416//b3493//b1850//b0880//b0484//b4392//b0432//b2341//b1888//b0334//b0757//b3214//b1680//b1733//b1160//b0348//b0038//b0351//b4441//b2508//b2286//b0874//b2799//b3870//b2673//b2194//b1127//b1921//b0765//b4075//b1513//b1015//b1612//b0431//b0168//b3133//b0814//b0584//b0044//b2591//b1500//b1101//b3700//b4321//b1211//b0124//b3722//b3568//b3367//b2804//b4132//b3669//b2486//b2464//b3414//b4010//b4320//b4100//b3409//b2240//phnE_2//b0975//b1746//b4289//b3774//b2742//b4317//b2107//b0775//b4151//b2717//b2528//b4120//b1247//b3906//b0180//b0151//b2371//b1389//b2487//b4074//b2239//b3493//b2606//b3940//b1745//b0935//b1247//b3317//b0400//b3911//b1683//b2530//b3773//b1805//b4355//b0339//b3533//b4468//b1704//b3572//b0241//b3431//b3452//b0043//b4106//
NarP-Phosphorylated	b4310//b2312//b2730//b2802//b3321//b4401//b3132//b2980//b3332//b3603//b0191//b0621//b0041//b1746//b3968//b1397//b3006//b4439//b4426//b4170//b3709//b1821//b2707//b3425//b2916//b2591//b4032//b2215//b0757//b1621//b3126//b2606//b0785//b2509//b3611//b3330//b2476//b0125//b3365//b1182//b0724//b3438//b1243//b2707//b0154//b2485//b3907//b4177//b2729//b3117//
NhaR-Na+	b3425//b4172//b1826//b0758//b0384//b2417//b3578//
NikR-Cd2+	b1682//b3236//b4310//b1262//b3123//b1818//
NikR-Co2+	b0616//b2366//b2277//b3277//b4287//b3392//
NikR-Cu2+	b1885//b2923//b1518//b0044//b4175//b0594//
NikR-Ni2+	b3025//b2341//b1113//b1683//b2075//b0872//
NikR-Zn2+	b1223//b1039//b0312//b0841//b3424//b1321//
NrdR-ATP	b0390//b3274//b1680//b1535//b0619//b0368//b3959//b4195//b1859//
NrdR-Zn2+	b1622//b0048//b2911//b4323//b3429//b3326//b4233//b0679//b1039//
NrdR-dATP	b0177//b0191//b2671//b2009//b2204//b0759//b1817//b0570//b3170//
NsrR-2Fe	b2722//b2428//b1973//b0152//b4009//b3604//b3428//b1024//b4309//b3368//b3213//b2588//b2903//b0517//b0396//b2503//b4287//b0344//b0894//b1429//b4058//b4016//b4154//b2277//b2143//b4024//b1746//b0048//b2342//b1010//b0553//b1818//b0683//b1589//b3423//b0723//b2206//b0346//b0588//b0614//b1537//b4093//b0820//b4170//b3315//b3076//b3317//b1921//b3959//b0440//b4039//b2961//b3335//b2424//b4400//b0681//b3753//b0330//b3770//b3423//b1132//b2925//b1421//b4671//b3126//b2805//b2425//b4024//b3756//b4291//b1612//b2365//b3222//
PhoB-Phosphorylated	b0341//b4699//b4267//b3907//b4033//b0585//b3575//b2943//b0347//b1852//b4118//b3666//b2719//b0463//b2205//b2676//b4314//b0778//b2704//b0995//b1987//b4354//b0179//b3077//b3409//b3457//b0523//b4073//b2484//b0616//b0765//b3368//b2572//b0864//b3363//b3588//b4069//b4705//b2560//b3528//b0296//b2075//b1850//b1515//b1987//b0978//b2498//b2962//b1745//b0156//b0996//b1324//b1015//sroD//b4170//b3266//b1222//b1205//b4092//b1515//b0781//
PhoP-Phosphorylated	b0722//b1796//b3449//b4074//b2997//b3328//b0019//b2868//b4384//b2697//b2077//b0331//b1858//b4195//b2671//b0037//b4071//b2429//b1617//b4071//b4074//b3315//b1540//b2708//b2492//b2370//b3576//b2483//b2965//b0378//b4268//b1102//b4599//b2712//b4383//b3171//b3476//b0343//b1608//b3164//b2630//b0574//b3077//b1712//b3530//b0620//b1243//b2993//b2469//b1209//b3315//sroD//b1973//b4009//b2800//b1392//b1007//
PrpR-2-methylcitrate	b3363//b1735//b1746//b2980//b2996//
PurR-Guanine	b3410//b0389//b2560//b4125//b1886//b0199//b2911//b2163//b0928//b0035//b0765//b1513//b3770//b4460//b0974//b4637//b1528//b0078//b3870//b0388//b2559//b0996//b3428//b3864//b1531//b3036//b1429//b2702//b0573//b1395//b1415//b4168//b3753//b1296//
PurR-Hypoxanthine	b3367//b0343//b3906//b1101//b1547//b0197//b2235//b4241//b3456//b1519//b2717//b2469//b3668//b1669//b1819//b3132//b4238//b0616//b3701//b2503//b3167//b3026//b0864//b1263//b2095//b3907//b2207//b0596//b1882//b1889//b0516//b4417//b2488//b0033//
QseB-Phosphorylated	b1062//b3319//b0880//b1882//
RhaR-L-rhamnose	b2207//b0366//
RhaS-L-rhamnose	b2557//b3725//b3241//b2476//b3161//b1658//
RstA-Phosphorylated	b1532//b2609//b0781//b0156//b0720//b1023//b4417//b4197//b3057//b1397//
SoxR-2Fe_oxydized	b4287//b2239//b1415//b3118//
TorR-Phosphorylated	b3566//b0167//b0484//b1015//b2912//b3314//b4006//b0351//b0190//b3328//
TrpR-Tryptophan	b0177//b3855//b4367//b4125//b3319//b2726//b2310//b0123//b2370//b1814//b0397//b2366//
TyrR-L-tryptophan	b4309//b0784//b2703//b0613//b1247//b2308//b1493//b0125//b3409//b0959//b1528//b3477//b2092//b2203//
TyrR-Phenylalanine	b0620//b3057//b3236//b1858//b0042//b2994//b0977//b0125//b0312//b4288//b2143//b1515//b0978//b2923//
TyrR-Tyrosine	b1334//b4068//b3855//b1884//b3667//b0976//b3359//b2497//b0564//b3418//b0037//b0431//b2660//b2993//
UhpA-Phosphorylated	b3781//
XapR-xanthosine	b4702//b1821//
XylR-Xylose	b0115//b1970//b1714//b3333//b3127//b4106//
ZntR-Cd2+	b0775//
ZntR-Hg	b1136//
ZntR-Zn2+	b3070//
ZraR-Phosphorylated	b3770//b3582//b0570//
Zur-Zn2+	b1907//b2278//b4019//b4397//b3968//b0202//
