#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2720//b2905//b4511//b2905//
AlaS-L-alanine	b1337//
AllS-allantoin	b0110//b1024//b0880//
AraC-L-arabinose	b4267//b0181//b1513//b1670//b0040//b2283//b0936//b3669//b3236//b1902//b1516//b1430//b2287//b4315//
ArcA-Phosphorylated	b1597//b3531//b3221//b0598//b4125//b1546//b1040//b2732//b1024//b0590//b4382//b0411//b0758//b2528//b0616//b1761//b0151//b2342//b3518//b2239//b1220//b3072//b4063//b4240//b3906//b0078//b2589//b2291//b2308//b4106//b3260//b0078//b3260//b2196//b3458//b1781//b1022//b2591//b3510//b1129//b1102//b2239//b0450//b3166//b4104//b4450//b3272//b3616//b1712//b1212//b0591//b2662//b1398//b1112//b3766//b2597//b4313//b1321//b0334//b1335//b3709//b3441//b1817//b2199//b2194//b4315//b2149//b1609//b0602//b2903//b4030//b3265//b3006//b2925//b3006//b1324//b3212//b1608//b2068//b1819//b3331//b2417//b3508//b0860//b1205//b3317//b0874//b2341//b0754//b2201//b0116//b1398//b2307//b3457//b4292//b2481//b3214//b0978//b2093//b2962//b0377//b0861//b1334//b2492//b1040//b0684//b0775//b4242//b3413//b1761//b4476//b0043//b4168//b2507//b0334//b2758//b1535//b0351//b0565//b4401//b3753//b0451//b0191//b2911//b4097//b0683//b2483//b3405//b2415//b2818//b4202//b2309//b2206//b4074//b3609//b1394//b1261//b2312//b0861//b2469//b2994//b2572//b3165//b2153//b3326//b4039//b2203//b2232//b3272//b2341//b0557//b3167//b0124//b0937//b3334//b1127//b2702//b0181//b1387//b1732//b2723//b2976//b0597//b2661//b2923//b2996//b4003//b3542//b2196//b1220//b2290//b0041//b3541//b2290//b4400//b2392//b0873//
ArgP-L-arginine	b0585//b0757//b3568//b1988//b2583//b2552//b3166//b1885//b0861//b2091//b0976//b3325//b0935//b1546//b0945//b0621//
ArgR-L-arginine	b2231//b4006//b0722//b1275//b3026//b3772//b2995//b1015//b0819//b3212//b0755//b1109//b4006//b4401//b0861//b2211//b2708//b1531//b2369//b4287//b1744//b0572//b3577//b0679//b3722//b3240//b2957//b4062//b0311//b3942//b1900//b1672//b0043//b0613//b4032//b3770//b0619//b1016//b2867//
AtoC-phosphorylated	b2486//b0183//b1324//b4288//
BaeR-Phosphorylated	b4240//b0820//b4093//b4354//b2491//b3450//b3855//b3172//
BirA-bio-5-AMP	b3571//b1011//b0048//b0063//b4172//
CRP-cAMP	b4426//b4266//b4069//b1734//b0573//b3334//b1111//b2608//b1735//b3330//b0428//b4670//b3528//b3275//b3072//b4398//b1733//b2290//b1748//b2964//b1889//b1883//b2606//b1225//b2290//b2486//b4663//b4125//b1881//b3418//b2414//b0034//b1211//b2755//b2423//b2429//ilvG_1//b4034//b0441//b2660//b4014//b0516//b1012//b3724//b2805//b4172//b1818//b4187//b2762//b0190//b3960//b1517//b3941//b3408//b3135//b3367//b0347//b4004//b3588//b1475//b0338//b4309//b3392//b1612//b4511//b4068//b2241//b4511//b2752//b2211//b2201//b3845//b3588//b1223//b1747//b0679//b1210//b2673//b0151//b1160//b0894//b2232//b1210//b4132//b3076//b3688//b3672//b1901//b2106//b0368//b4669//b1738//b2290//b4154//b2729//b0350//b3769//b1511//b3405//b4320//b1224//b0110//b4093//b3134//b1717//b0378//b1670//b1379//b0722//b3331//b1482//b1782//b0593//b1593//b2107//b0933//b1474//b1276//b0995//b4506//b3278//b2840//b2407//b4381//b2489//b0724//b1002//b2756//b1130//b3414//b1818//b1535//b3869//b1901//b4511//b1988//b3118//b0201//b4202//b0346//b2729//b1008//b3237//b1298//b3571//b1224//b3095//b2764//b2148//b2991//b0872//b1498//b4203//b3115//b0353//b4004//b1474//b1733//b1519//b4310//b0367//b4068//b3356//b3316//b1043//b1717//b0189//b4005//b4240//b4382//b4320//b2697//b2962//b2430//b2239//b1127//b0398//b1682//b2725//b0339//b4460//b3393//b3172//b2476//b0724//b3319//b2503//b0820//b0886//b2987//b3528//b0764//b4120//b1684//b2758//b1102//b3392//b0675//b3600//b2107//b4506//b0864//b3668//b2751//b4095//b3904//b1023//b3092//b4238//b0344//b4033//b4034//b3599//b3904//b0156//ilvG_1//b4071//b2151//b3860//b3511//b3853//b1042//b4104//b2757//b1334//b0774//b2754//b3759//b0677//b3574//b1021//b2309//b1429//b4393//b4071//b3938//b1265//b0515//b1780//b0678//b4441//b3604//b1421//b3214//b3748//b4054//b1016//b2242//b3096//b1301//b0031//b0945//b0314//b1226//b0754//b3541//b1335//b1621//b0152//b1613//b4288//b4393//b3393//b3414//b1805//b0620//b1041//b3478//b3605//b2841//b2965//b1519//b4416//b1901//b2963//b1287//b3615//b3265//b0201//b1704//b4315//b3961//b3859//b2234//b4383//b0341//b0995//b0755//b4264//b3315//b0957//b0733//b0763//b2344//b1042//b4376//b1517//b3939//b1588//b1681//b1546//b3568//b2423//b4118//b1430//b3701//b4468//b0862//b4439//b3167//b0202//b2614//b3870//b2804//b2085//b3450//b3134//b1334//b0190//b2095//b0755//b2923//b3324//b4009//b3540//b0622//b0313//b0571//b2242//b4320//b2499//b4266//b0726//b3806//b2987//b4238//b1321//b4400//b1546//b2868//b3617//b3333//b2483//b0872//b0777//b3414//b0585//b0733//b0313//b0618//b2722//b1890//b0035//b2762//b4316//b4670//b2606//b0586//b2725//b3961//b3393//b0517//b3455//b1301//b2662//b4104//ilvG_2//b2728//b0591//b3413//b4567//b1492//b1421//b0880//b2373//b0201//b2572//b4450//b0722//b4313//b2916//b4169//b1336//b3452//b2421//b1499//b1528//b1395//b2235//b2029//b2312//b2528//b1263//b0676//b1514//b3726//b2195//b1384//b0970//b2194//b4018//b2497//b1429//b0595//b3667//b3667//b4367//b0929//b2215//b2208//b2075//b1391//b2997//b1276//b3846//b2243//b3274//b1671//b2980//b3859//b2725//b2800//b3926//b3668//b2156//b2552//b2705//b2393//b3667//b3957//b0583//b2614//b4070//b2992//b2757//b1674//b0584//b1735//b1389//b3939//b3429//b1387//b4241//b3707//b1546//b2151//b3707//b4663//b2552//b3942//b2852//b0572//b1002//b0114//b2309//b1261//b4153//b3431//b0367//b2663//b0820//b2239//b3093//b2469//b3324//b0759//b3135//b2481//b1111//b2662//b3276//b2078//b1987//b4293//b4013//b4383//b0759//b1015//b2631//b0805//b3057//b0754//b1679//b0161//b0887//b2091//b1322//b1421//b1212//b3096//b4000//b1920//b3669//b3941//b3569//b2243//b2728//b4238//b4317//b2590//b2235//b3707//b0043//b3331//b4093//b4567//b3748//b3723//b0383//b4322//b1535//b1300//b0346//b3961//b3278//b1641//b3227//b2718//b1904//b2407//b3970//b3853//b0351//b0565//b2029//
