#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b4000//b1396//phnE_2//b3508//
AlaS-L-alanine	b0123//
AllS-allantoin	b1885//b1244//b3277//
AraC-L-arabinose	b0886//b0775//b4120//b0205//b3672//b0979//b3092//b1810//b1501//b4063//b0722//b0995//b4242//b0553//
ArcA-Phosphorylated	b3438//b2029//b1008//b3170//b0110//b3408//b2484//b0590//b1517//b2364//b3579//b1887//b1679//b3452//b0757//b0461//b0397//b1594//b3572//b2425//b1531//b2704//b2009//b2469//b3904//b4241//b2077//b3564//b1746//b2661//b0781//b2234//b2500//b3335//b2529//b4019//b4177//b0178//b4439//b2997//b0428//b0819//b2597//b4100//b0677//b1210//b1537//b0462//b2063//b3481//b4111//b2760//b3702//b3672//b1016//b0573//b0334//b2662//b3771//b3616//b2711//b0110//b2904//b1548//b3413//b2597//b3070//b4071//b1287//b0109//b3493//b1852//b2197//b2476//b0557//b3404//b4097//b1002//b3723//b3394//b0031//b1587//b3478//b2572//b0167//b2804//b1209//b0681//b0722//b3666//b2551//b0595//b0041//b4506//b3611//b1299//b4242//b4669//b1256//b3934//b2365//b3757//b1275//b2975//b3243//b3425//b1395//b0199//b2215//b4174//b1588//b3868//b2705//b0677//b1672//b2106//b1587//b1323//b1683//b1713//b0048//b3460//b2841//b0460//b2704//b1805//b2980//b3688//b2571//b2551//b1397//b4669//b4431//b3356//b1287//b2617//b1658//b3722//b1322//b2107//b1129//b1679//b3853//b2077//b4323//b0570//b2559//b2491//b3912//b4376//b4170//b2079//b0043//b1540//b4289//b1037//b2591//b0622//b3542//b3123//b4015//b4138//b1246//b2371//b4016//b0678//b1735//b3960//b3118//b1500//b3049//b0400//b3273//b4159//b1716//b0765//b2671//
ArgP-L-arginine	b4213//b3668//b0191//b3275//b2759//b2194//b3609//b3851//b0895//b0974//b2464//b3540//b2838//b0754//b4313//b1622//
ArgR-L-arginine	b0180//b3769//b4193//b0996//b3672//b2107//b1779//b2992//b2759//b3454//b0350//b2724//b3431//b3169//b4010//b0782//b0350//b2206//b2285//b2866//b3327//b1613//b0959//b1591//b0908//b4318//b1321//b2482//b0596//b3669//b3212//b1743//b4267//b3126//b2979//b4120//b2601//b2276//b0273//
AtoC-phosphorylated	b1611//b1714//b0181//b0431//
BaeR-Phosphorylated	b3934//b3409//b4355//b0970//b4094//b0205//b1882//b2509//
BirA-bio-5-AMP	b4318//b2663//b4266//b1857//b2706//
CRP-cAMP	b0107//b2553//b1037//b4013//b1226//b0754//b0367//b2095//b0463//b3127//b2492//b4200//b3265//b0351//b1682//b2092//b2702//b4068//b2092//b0335//b1670//b3081//b1041//b4015//b1223//b3969//b1011//b2096//b0861//b3432//b0764//b1679//b4133//b0041//b3903//b2482//sroD//b2155//b2631//b2373//b3469//b4018//b1745//b3579//b4015//b0553//b2905//b0462//b0431//b1814//b2725//b2718//b4468//b3214//b2155//b3688//b4102//b1337//b2155//b3828//b0756//b2284//b3957//b2286//b4069//b3957//b0734//b1407//b1591//b2707//b2486//b2732//b1223//b3702//b3533//b0889//b0156//b2961//b2283//b2942//b4324//b2617//b3941//b2669//b3927//b3276//b0980//b3274//b2484//b3037//b4015//b4367//b1036//b2719//b0596//b0450//b0759//b0156//b2489//b0933//b0383//b4004//b3225//b2342//b0113//b1891//b1160//b1388//b3272//b0241//b0197//b0078//b4310//b2980//b3260//b0114//b0180//b0997//b4075//b1041//b0616//b2143//b4159//b3725//b4097//b1513//b0722//b0153//b4097//b4406//b3478//b3927//b0347//b0953//b4032//b3049//b3934//b2313//b3599//b3582//b2310//b3363//b1654//b0330//b0764//b2367//b2614//b0976//b1902//b2374//b3458//b1658//b2712//b0896//b2757//b0727//b0330//b3604//b4202//b1670//b4009//b1136//b0064//b3172//b4120//b0198//b0038//b3077//b3509//b3969//b0586//b1748//b4241//b0928//b2800//b0755//b0345//b4313//b2591//b1407//b2867//b0522//b4264//b0814//efeU_2//b3580//b0826//b4076//b1588//b0378//b3772//b2965//b2553//b3578//b3829//b0078//b1922//b3458//b4152//b3588//b4123//b3328//b0764//b0887//b0118//b0037//b0335//b1988//b1334//b1609//b0972//b2756//b3117//b1043//b4417//b3860//b3752//b3313//b3611//b2279//b2094//b4005//b1671//b3868//b1102//b0040//b1211//b4101//b3572//b4663//b2804//b2213//b3571//b3036//b3669//ilvG_2//b4194//b4242//b3610//b3908//b0064//b1987//b1746//b3394//b0973//b2571//b4037//b2198//b2996//b0863//b3603//b2752//b2291//b0342//b1388//b1189//b2751//b0038//b1246//b3608//b3666//b3566//b0729//b3461//b2722//b0723//b3727//b0078//b1516//b1679//b3851//b3609//b1779//b1612//b3452//b2341//b1276//b4467//b3125//b0586//b1904//b1244//b0202//b3860//b3668//b4383//b1718//b3771//b2801//b2721//b4024//b1818//b3275//b4129//b2530//b1101//b4169//b1040//b0339//b1223//b0341//b0430//b3583//b3669//b2979//b4058//b1882//b1207//b1528//b0928//b2572//b2096//b3543//b1492//b0682//b3869//b1814//b0330//b2723//b0678//b0721//b2669//b3116//b1009//b0190//b3423//b2309//b3925//b2235//b3115//b2964//b0031//b3870//b4567//b1036//b0684//b4172//b0784//b0618//b1212//b2674//b1482//b4169//b2927//b2297//b4324//b2078//b0862//b3567//b4123//b1265//b4705//b1208//b0040//phnE_2//b4068//b0110//b2703//b3564//b1336//b1222//b4005//b1002//b3135//b4118//b2727//b2281//b3616//b1210//b0886//b3707//b2406//b1537//b0460//b0591//b1390//b2838//b1745//b0887//b0907//b3035//b0805//b0516//b3671//b0339//b0036//b3171//b3855//b1037//b2277//b2276//b3912//b4154//b0733//b3236//b0124//b3479//b0040//b0976//b1261//b1476//b3531//b3528//b4367//b3911//b3543//b4008//b4241//b3114//b1482//b2707//b1321//b2707//b3432//b3510//b4400//b2726//b2671//b2728//b0784//b2717//b0756//b1712//b0597//b1276//b1621//b2976//b1857//b4074//b3025//b2669//b2150//b1679//b4293//b0620//b4167//b3266//b1337//b2674//b2905//b0339//b2306//b0204//b4326//b1747//b3403//b4007//b3667//b4172//b3392//b0973//b3851//b2803//b2285//b4007//b3688//b3599//b3429//b3096//b1227//b4095//b0733//b3863//b0430//b2370//b2800//b2221//b2570//b0622//b0036//b2009//b3568//b3564//b0588//b2724//b0038//b2937//b1814//b3171//b0398//b2079//b0019//b3321//b0978//b2838//b0388//b0889//b3393//b2498//b4093//b3611//b2091//b4002//b3363//b4383//b0368//b0347//b3528//b1379//b1796//b0041//b3415//b3864//b1265//b3533//b0895//b1016//b2375//b2096//b4476//b2241//b2196//b0928//b3237//b3278//b0727//b0929//b3071//b0123//b1681//b2938//b3533//b2925//b3451//b3405//
ChbR-Monoacetylchitobiose-6P	b0112//b4382//b3859//b0389//b2942//b0974//
CpxR-Phosphorylated	b3476//b3581//b3266//b2572//b3430//b1493//b4355//b1886//b1182//b1641//b1621//b2342//b3544//b0904//b2716//b4506//b4293//b2720//b2732//b3325//b0613//b3855//b2911//b4238//b3449//b0201//b3617//b0826//b4002//b1704//b0080//b0460//b0726//b4129//b1334//b4239//b3325//b2063//b3430//b0197//b3583//b4187//b4439//b1429//b0565//b0368//b0377//b1921//b4171//b4290//b0182//b3708//b3530//b3095//b0814//b0929//b3773//b2675//b0602//b3509//b2799//b4018//b2416//b3478//b3752//b3133//b0812//b0959//b3781//
CreB-Phosphorylated	b3117//b2096//b3758//b3941//b4355//b2063//b4094//b2995//b2631//
CueR-Ag	b0755//b1714//b1737//b3222//b3971//b0995//b0814//
CueR-Cu+	b0337//b4310//b0677//b2222//b1821//b3213//b3416//
CuerR-Au	b2149//b0605//b1514//b2481//b3392//b0841//b0726//
CusR-Pasp	b4006//b4441//b0860//b0575//b1743//b1160//b2729//b2554//b2728//b3169//b2290//b0978//
CynR-Cyanate	b1671//b0783//b3830//b4073//
CysB-N-acetyl-L-serine	b2284//b4013//b0598//b3123//b3869//b3617//b3266//b1224//b1680//b4175//b0863//b1858//b2194//b3207//b1810//b4099//b3828//b2344//b2485//b3709//b2560//b2588//b1395//b0048//b1512//b4354//b2285//b0602//b3169//b3071//
CysB-O-acetyl-L-serine	b1040//b3125//b2730//b1597//b3908//b1007//b0977//b3688//b0064//b3773//b4104//b0312//b2286//b0997//b1261//b0378//b3394//b2370//b4398//b2728//b2486//b4599//b4030//b2715//b4174//b3277//b1819//b1655//b3600//b3773//b1102//
DcuR-Phosphorylated	b3670//b0784//b3359//b0341//b2078//b2342//b2429//b2202//b2841//
DnaA-ATP	b2674//b2721//b3758//b0191//b2803//b2840//b1016//b2732//b2764//b3115//b0606//b2803//
DpiA-Pasp	b1902//b3334//b3583//b3939//b3231//b1590//b1901//b4203//b1900//b3242//b4101//
DsdC-D-serine	b3328//b1243//b4131//
EvgA-Phosphorylated	b2994//b3317//b3413//b3907//b1262//b1264//b4073//b2997//b2476//b0953//b2905//b3077//b2607//b2961//b0618//
FNR-Fe_reduced	b2589//b2096//b0430//b4202//b3367//b1276//b2530//b0970//b4094//b0367//b0109//b3408//b3393//b3230//b4326//b3405//b2709//b2368//b0778//b3261//b0349//b3854//b0583//b1247//b3481//b2961//b3409//b1714//b3701//b4355//b4670//b2713//b0594//b0618//b2905//b3863//b1225//b0077//b1421//b3726//b2312//b3315//b3359//b0181//b4193//b4024//b3531//b2868//b4160//b0590//b1743//b4153//b0980//b1388//b1819//b2732//b0775//b4007//b2307//b2483//b0152//b0889//b1205//b3603//b0313//b0517//b3036//b1973//b3214//b1132//b3581//b0980//b2204//b4159//b3493//b2417//b2764//b0616//b2029//b4068//b0861//b2697//b3414//b2731//b3430//b2487//b2307//b2675//b3438//b3035//b0615//b0189//b1247//b4094//b4460//b3906//b0352//b1036//b3095//b3425//b3441//b0440//b3363//b0754//b3161//b2710//b1669//b3132//b3564//b3565//b2801//b2342//b0596//b2207//b3438//b2674//b0351//b2994//b3072//b3133//b0935//b3667//b3855//b0399//b4322//b3934//b3707//b4129//b4233//b1537//b3359//b0903//b3615//b1734//b2208//b3831//b0756//b3316//b0805//b3540//b4324//b4172//b0903//b2669//b3968//b1684//b4319//b3365//b3127//b2201//b3830//b3751//b0775//b0724//b1608//b2676//b2721//b4058//b3581//b0377//b3753//b2197//b2421//b3118//b4075//b1298//b1597//b3392//b0113//b4670//b2415//b2763//b2572//b0041//b4062//b3455//b2283//b0338//b0389//b2799//b3049//b4382//b3829//b0338//b4073//b3091//b0895//b1674//b0589//b4249//b3124//b0106//b3688//b0352//b2074//b2156//b1817//b4154//b1641//b3968//b1717//b2364//b1287//b1036//b1511//b3328//b4171//ilvG_1//b0615//b2242//b2143//b1519//b2155//b1704//b1276//b2606//b0606//b0400//b0957//b4314//b0591//b1227//b0463//b2095//b1390//b0583//b1415//b2425//b0198//b2991//b2703//b1385//b2723//b3113//b4059//b2416//b2470//b4160//b3167//b3926//b2607//b1275//b4239//b1850//b0182//b2486//b3758//b3528//b4120//b3493//b3725//b3756//b3771//b2430//b2726//b4198//b0342//b3005//b1588//b2375//b0765//b0114//b2551//b3319//b4213//b1684//b3261//b4451//b3769//b1743//b1393//b0314//b0936//b2368//b2406//b2282//b4097//b1182//b3707//b3959//b0334//b1302//b4195//b0616//b1324//b3416//b2730//b2407//b3357//b1041//b2671//b4168//b2673//b0723//b3240//b0337//b4323//b3077//b3315//b1593//b2371//b4315//b4317//b3864//b3508//
FhlA-Formate	b2509//b4383//b2742//b0880//b2996//b2725//b2310//b0334//b2718//b3095//b0734//b4318//b3581//b1589//b0814//b1851//ilvG_2//b3076//b4238//b2741//b0313//b3531//b3756//b1501//b1246//b4233//b2368//b1190//b2368//b0080//
FucR-L-fuculose-1-phosphate	b3167//b4323//b0606//b2937//b2476//b3456//b4439//
Fur-Fe2+	b2075//b4468//b3831//b0596//b0591//b3611//b0347//b1682//b0676//b3124//b3667//b3666//b3276//b1247//b1516//b0785//b4007//b2489//b3006//b0728//b2660//b2492//b0334//b0681//b3781//b3314//b2240//b2572//b3828//b3437//b1683//b4094//b0166//b3581//b0903//b2713//b0190//b1160//b1682//b1493//b0189//b3118//b4238//b1209//b1920//b2491//b1220//b0592//b0572//b3727//b1779//b2551//b2760//b2312//b2485//b3236//b0860//b2710//b1683//b2277//b1287//b0199//b4122//b3940//b2490//b3750//b0037//b0721//b1852//b0020//b3243//b1324//b1530//b4240//b1712//b4311//b3773//b0184//phnE_2//b4068//b0042//b3864//b2995//b2148//b0347//b2600//b2308//b4476//b2280//b1810//b2927//b0571//b2926//b1387//b0204//b0341//b1715//b4105//b2818//b1886//b1497//b2710//b4450//b2242//b3781//b3368//b0978//b0337//b4036//b0615//b0063//b2607//b0595//b2373//b2194//b2235//b0191//b0977//b2344//b2465//b4122//b4105//b3424//b0776//b3575//b3221//b3603//b0403//b4007//b0388//b0935//b1674//b3335//b0043//b2306//b4567//b3769//b0886//b1532//b0781//
