#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b1922//b2925//b0041//b2196//
AlaS-L-alanine	b3317//
AllS-allantoin	b1337//b3450//b1683//
AraC-L-arabinose	b4438//b1782//b3757//b4239//b0826//b3611//b2148//b3670//b0975//b0826//b2430//b2916//b1744//b3458//
ArcA-Phosphorylated	b1205//b3243//b0907//b0812//b4319//b4239//b2630//b3095//b2280//b4450//b2708//b4124//b3940//b1022//b3723//b3759//b3332//b2926//b2297//b3831//b4196//b0313//b3601//b2755//b3828//b2369//b2942//b2911//b4063//b0605//b1714//b1336//b2718//b0116//b0451//b3417//b0945//b3414//b0338//b4196//b1622//b2313//b1616//b3688//b1396//b3971//b1397//b0378//b3224//b3728//b1826//b4139//b4670//b1136//b4014//b0622//b4320//b3441//b3609//b2957//b4032//b0352//b0595//b0151//b3579//b2284//b1220//b1900//b1716//b3751//b0590//b3476//b3530//b2213//b0341//b1024//b2614//b1613//b3125//b2009//b0151//b4097//b0980//b4468//b2588//b2676//b1338//b2143//b3324//b1819//sroD//b0039//b3599//b1540//b3926//b3688//b3327//b0777//b4201//b0587//b0031//b2741//b2980//b4476//b0451//b2422//b1298//b3938//b2509//b2707//b2483//b2507//b0107//b0036//b3708//b1779//b2903//b3575//b1716//b4201//b0681//b2509//b2718//b2235//b0908//b3575//b0336//b3224//b1988//b3751//b3701//b4319//b3161//b0516//b2802//b4314//ilvG_2//b3330//b0617//b0602//b1002//b0177//b2286//b3266//b1499//b2009//b2530//b4195//b2867//b4197//b3081//b1225//b4288//b1385//b0522//b2212//b2206//b2531//b2195//b0972//b2925//b4401//b3701//b2171//b4202//b2731//b4151//b4170//b4195//b4174//b4669//b3756//b0151//b3171//b4168//b4239//b3133//
ArgP-L-arginine	b2207//b3426//b3330//b1511//b4239//b1882//b3273//b1475//b2234//b4111//b3617//b2146//b3581//b2486//b3394//b1589//
ArgR-L-arginine	b1301//b1226//b4075//b4439//b1393//b0675//b3769//b3781//b3274//b4168//b3852//b2234//b2096//b4129//b0677//b3722//b3751//b1616//b3541//b2607//b2997//b0168//b0337//b4058//b2803//b0333//b4669//b2802//b4599//b1298//b1798//b4313//b1323//b2751//b0617//b3449//b1264//b4063//b1493//
AtoC-phosphorylated	b1680//b2704//b2282//b3938//
BaeR-Phosphorylated	b2296//b0336//b4702//b4213//b1015//b1338//b2106//b1597//
BirA-bio-5-AMP	b1222//b3902//b1901//b0889//b3070//
CRP-cAMP	b2759//b3668//b0998//b2481//b4119//b1887//b0977//b2365//b4169//b3124//b2730//b1521//b1022//b3318//b4670//b2583//b3701//b0778//b3752//b1714//b0340//b3038//b3925//b4072//b2702//b4398//b2313//b1530//b0314//b3671//b1394//b1594//b1036//b3774//b3038//b2091//b3671//b0191//b0598//b3036//b2661//b0605//b3544//b1921//b2465//b3091//b0575//b3580//b3224//b0152//b3038//b0390//b4406//b3605//b2709//b4439//b0724//b4254//b1265//b3868//b4318//b3723//b2208//b1020//b4197//b1885//b2662//b3212//b3750//b2068//b2530//b1970//b0617//b3315//b3509//b2094//b0403//b2491//b3830//b1901//b2997//b3853//b3725//b4406//b2373//b2965//b2198//b1891//b1516//b1131//b1888//b0191//b0618//b4238//b1850//b0977//b1190//b0522//b4030//b2608//b1415//b2195//b0396//b4288//b0863//b4167//b0613//b3167//b1982//b2535//yegZ//b1337//b1672//b1682//b3081//b2990//b3771//b0353//b2697//b1882//b2530//b0040//b2075//b2076//b3207//b3853//b3518//b2153//b2095//b2762//b1205//b2206//b1613//b1387//b1826//b0862//b3117//b0333//b2913//b4193//b3564//b3321//b4173//b2423//ilvG_1//b4133//b4123//b4241//b2712//b3320//b0826//b3276//b3565//b4169//b3096//b1392//b1336//b3077//b0998//b1531//b0908//b4202//b1160//b3864//b2705//b0572//b0682//b2291//b1252//b0976//b2925//b4318//b0190//b2607//b1852//b2476//b2488//b3092//b1256//b2977//b2572//b0123//b2570//b0972//b0841//b0221//b0593//b0378//b0041//b0934//b4439//b2423//b0763//b1780//b4040//b2235//b0330//b3413//b3221//b1109//b2600//b2980//b0778//b2306//b3416//b0333//b4105//b1016//b4002//b1511//b0975//b3126//b2297//b1884//b1821//b2732//b3969//b1296//b3038//b1336//b0588//b3600//b2147//b2913//b4451//b2965//b0621//b3604//b2208//b1336//b3165//b2551//b0928//b1713//b3668//b0108//b3038//b1747//b2492//b3531//b0429//b3903//b0755//b3454//b2313//b2199//b3071//b3091//b3610//b1009//b3868//b3925//b3608//b1654//b3863//b3038//b1515//b2507//b3608//b4172//b4005//b1260//b1391//b0115//b4592//b3829//b0605//b2529//b1113//b4024//b1226//b4016//b1535//b0152//b0400//b2276//b3772//b0038//b3168//b0108//b1798//b3312//b4355//b0826//b0312//b2705//b2311//b2755//b4319//b0959//b3599//b3316//b4426//b1062//b2279//b2570//b4106//b2663//b3934//b4315//b3222//b4238//b3126//b2422//b2759//b0123//b0366//b2417//b4058//b2476//b0350//b2212//b1671//b1492//b1338//b1970//b2278//b0619//b2491//b0729//b3904//b0617//b4201//b3581//b0995//b3314//b0396//b2731//b0976//b4698//b1973//b2750//b2724//b3757//b4314//b0336//b0681//b0584//b2163//b3265//b3688//b4097//b0782//b1127//b1782//b2938//b0622//b2722//b4311//b0347//b2282//b4102//b1387//b2597//b3830//b0338//b3688//b0113//b1415//b3261//b2903//b4476//b4039//b1852//b3722//b0757//b1300//b3133//b3725//b1007//b2757//b2464//b3611//b1210//b4133//b0273//b1892//b0976//b0241//b3392//b3320//b1111//b1712//b3318//b2483//b4079//b0976//b1024//b3509//b0330//b2535//b1973//b2490//b2554//b4367//b4702//b0384//b3261//b2281//b2597//b4170//b1296//b0886//b2937//b3072//b2092//b3575//b1209//b1671//b0181//b1482//b1798//b0593//b3771//b3578//b3117//b3702//b2852//b3332//b0181//b1680//b3925//b2662//b1673//b2913//b1207//b0623//b3117//b3037//b4467//b3449//b3564//b2531//b3532//b3609//b0353//b0729//b0312//b2364//b1042//b3667//b4355//b3441//b3035//b4310//b3581//b4097//b3169//b0397//b3903//b1514//b2703//b1042//b3939//sroD//b1338//b2370//b0340//b2156//b4319//b1745//b1393//b0365//b0339//b0722//b1006//b3725//b1006//b3135//b1511//b4139//b0378//b0594//b1797//b2992//b0463//b1211//b0396//b0107//b4119//b1190//b4196//b1904//b2309//b0553//b2617//b0378//b1101//b2666//b3481//b0733//b0398//b0340//b3610//b2469//b2231//b3481//b2375//b2756//b4240//b2470//b2712//b2313//b1902//b3939//b1324//b0034//b4502//b2703//b2801//b1476//b0114//b0043//b1497//b3758//b4309//b2278//b2759//b4326//b0676//b3469//b1905//b2063//b2631//b1905//
