#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b0907//b0959//b2286//b1256//
AlaS-L-alanine	b2756//
AllS-allantoin	b3393//b2663//b1782//
AraC-L-arabinose	b0572//b3413//b3544//b2937//b4167//b2153//b3700//b3325//b4138//b0168//b2310//b0886//b0166//b3212//
ArcA-Phosphorylated	b4168//b3231//b1039//b1656//b2663//b2552//b3616//b0724//b0151//b0150//b1617//b4105//b4406//b4098//b2290//b2535//b0590//b4099//b2965//b1531//b3275//b4467//b0592//b2476//b0033//b1846//b3241//b1225//b0125//b3325//b1210//b2911//b2802//b0366//b1883//b2490//b3510//b3357//b2703//b2705//b3531//b0428//b2756//b2697//b3666//b0313//b4007//b2486//b3581//b4209//b3260//b1012//b1712//b1298//b2600//b1389//b0110//b0460//b3533//b1302//b3320//b3449//b0618//b1654//b4005//b3037//b3508//b4009//b1540//b1190//b0463//b2371//b4102//b0587//b2197//b4502//b3581//b2708//b0346//b2425//b0782//b3609//b0973//b4291//b2975//b2530//b2660//b2202//b3076//b3275//b1042//b1892//b2280//b2310//b1225//b2993//b1379//b4471//b0936//b0043//b1260//b1734//b0181//b1036//b1384//b3394//b4201//b1391//b0378//b3125//b4309//b3165//b4416//b0812//b2721//b0972//b3057//b3749//b1112//b1886//b2153//b2630//b3117//b4032//b2867//b3036//b1039//b2554//b0677//b0575//b2962//b2422//b3091//b3521//b1593//b0586//b0864//b0997//b1394//b2423//b3277//b3845//b3035//b2755//b3510//b2415//b1398//b1684//b0775//b4323//b2311//b4101//b0720//b1922//b0677//b4096//b0336//b2554//b1335//b2369//b1658//b2904//b4099//b3938//b1589//b1904//b4315//b4035//b0573//b1260//b3461//b0733//b3940//b1682//b2980//b4439//b3773//
ArgP-L-arginine	b2492//b2171//b1379//b2708//ilvG_2//b1227//b2341//b4318//b1207//b3670//b0574//b1421//b2075//b1744//b2509//b2149//
ArgR-L-arginine	b3845//b0573//b2342//b1670//b4315//b2903//b2243//b4132//b2980//b3437//b2068//b1658//b3359//b0907//b1672//b3521//b1243//b3721//b2487//b2492//b4238//b0338//b2079//b3477//b0928//b2584//b0566//b0894//b0043//b3724//b4004//b0618//b2703//b0733//b4098//b0754//b0367//b0204//b4005//
AtoC-phosphorylated	b4024//b0161//b3417//b2469//
BaeR-Phosphorylated	b1037//b0573//b2710//b2509//b0341//b2553//b1719//b0594//
BirA-bio-5-AMP	b1498//b1338//b0733//yegZ//b4203//
CRP-cAMP	b1500//b0041//b3133//b1272//b1593//b0592//b1012//b1716//b1397//b2308//b4316//b2068//b1921//b1922//b0980//b4671//b4013//b4209//b1611//b1324//b1101//b0039//b0774//b2206//b1221//b0605//b0614//b0598//b2987//b2756//b0441//b3365//b3170//b3564//b1718//b1246//b1782//b2213//b0341//b4118//b0031//b1256//b1421//b4035//b0346//b2535//b2923//b2804//b0336//b0733//b2800//b0151//b2194//b2663//b1852//b0191//b4062//b1298//b3260//b3828//b2728//b1852//b4069//b2938//b2068//b2553//b1798//b3116//b2666//b1654//b1683//b3753//b2424//b1226//b1241//b0682//b4451//b2760//b2279//b2276//b4203//b3123//b1337//b0860//b4106//b0959//b3116//b4067//b2500//b1015//b0352//b2757//b4033//b4168//b3091//b0203//b1335//b2204//b0367//b0184//b0389//b2925//b1224//b4313//b3095//b3477//b3327//b3756//b1891//b3853//b0033//b3415//b1429//b3416//b1501//b2370//b2617//b2867//b1885//b0198//b4152//b0184//b0724//b2490//b3533//b2756//b4100//b1252//b3095//b3311//b2074//b3543//b1712//b4194//b3774//b3265//b3688//b3912//b4265//b2201//b1322//b2425//b2674//b0785//b1205//b2198//b1532//b1247//b0198//b4059//b4196//b0273//b4460//b4254//b1299//b1210//b3096//b3722//b2925//b2235//b2557//b0778//b4139//b3432//b2276//b2731//b4324//b0020//b3225//b3416//b3667//b3588//b3428//b4289//b1885//b3116//b3532//b0977//b1379//b4009//b3544//b2961//b1300//b1882//b4193//b2312//b3773//b3669//b0118//b2074//b1819//b3329//b1735//b0724//b0343//b3224//b0077//b1421//b0396//b3025//b0720//b4241//b2508//b4092//b0895//b2221//b3225//b4200//b3316//b2296//b3167//b4291//b1846//b0584//b2741//b3971//b0032//b1011//b4254//b3171//b0167//b4187//b3671//b4502//b1674//b3227//b1712//b4034//b3479//b3540//b1891//b2528//b4004//b3277//b1716//b0152//b0273//b3070//b2310//b2092//b2980//b1252//b0411//b4376//b4326//b1225//b0957//b2093//b3702//b2223//b1498//b3904//b3334//b3753//b1037//b0995//b2500//b3334//b2215//b3168//b0311//b0812//b4698//b3461//b2805//b4175//b3025//b3781//b2589//b2205//b2608//efeU_2//b2204//b0161//b4354//b2706//b0759//b0880//b3426//b0166//b0156//b1885//b3854//b1301//b2609//b3423//b2660//b4174//b3113//b0729//b2313//b1887//b1296//b4003//b1733//b0812//b1039//b0125//b4241//b1781//b4698//b2867//b3049//b0168//b0112//b3604//b4072//b1474//b4314//b3092//b0110//b3070//b1390//b2372//b3611//b1738//b0908//b4015//b1882//b3759//b1881//b3671//b4120//b0957//b4309//b3540//b2492//b3454//b3071//b2617//b4132//b0336//b1884//b4009//b4398//b2422//b0432//b1547//b0678//b2242//b4383//b0062//b1901//b1062//b2202//b0774//b2614//b0979//b3241//b3579//b0887//b2476//b4264//b3330//b2076//b2423//b3828//b1846//b3403//b3092//b0112//b2752//b1712//b4669//b1821//b4265//b0781//b1888//b0460//b2074//b1208//b3460//b0351//b2223//b0440//b1609//b2367//b3578//b3454//b2487//b1224//b2149//b0432//b2752//b0683//b3580//b2091//b4119//b3941//b3478//b3781//b1225//b1744//b2143//b4014//b0202//b3225//b4075//b3057//b4242//b3477//b3726//b0976//b1744//b4320//b0108//b0039//b1492//b3968//b3438//b0677//b4073//b0365//b0977//b4070//b1040//b2702//b4698//b4592//b1222//b1745//b1892//b0784//b2994//b4471//b3324//b2029//b3569//b3578//b2994//b0781//b3769//b0724//b0827//b3511//b3611//b3578//b3908//b1109//b4194//b3749//b1518//b3049//b1396//b3756//b0118//b0593//b3911//b2804//b1594//b1706//b2751//b2148//b0462//b3671//b0872//b3610//b2146//b3164//b2706//b1716//b3405//b0863//b0331//b1475//b0113//b1547//b4133//b3753//b1127//b3133//b4417//b1821//b1515//b0062//b0764//b1011//b0118//b4094//b0826//b3367//b2416//b2288//b2752//b3241//b0124//b0597//b4367//b4196//b3166//b2965//b3327//b4054//b0782//b4004//b2669//b1009//b0077//b0221//b4032//b0571//b0399//b1798//b3124//b3577//b4239//b2705//b2091//b0785//b1821//b2731//b0873//b3724//b3749//b3403//b0872//b3540//b3405//b3451//b2903//b1020//b3081//b4193//b4172//b3478//
