#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2076//b2617//ilvG_2//b0724//
AlaS-L-alanine	b4019//
AllS-allantoin	b2674//b0440//b1535//
AraC-L-arabinose	b1042//b2841//b1743//b1889//b3708//b4201//b4393//b4124//b1732//b1613//b4098//b3707//b2372//b3543//
ArcA-Phosphorylated	b2608//ilvG_2//b0398//b0043//b4194//b0032//b1857//b3610//b0460//b2718//b3438//b2669//b3118//b1476//b1814//b2242//b3750//b0587//b0182//b3071//b3870//b0756//b1518//b2964//b1385//b4033//b1407//b4471//b4292//b2155//b1113//b0184//b1540//b0620//b4237//b0759//b1389//b1718//b1246//b4367//b4254//b2965//b4249//b1846//b0181//b3076//b3135//b0589//b3773//b3454//b4400//b0720//b4393//b1597//b4105//b1475//b4068//b2106//b2927//b4203//b0785//b3521//b0296//b3903//b1712//b0368//b2509//b0125//b0571//b1007//b1222//b2429//b1398//b1012//b4468//b2630//b4384//b3601//b1421//b2754//b0605//b1608//b3701//b1511//b2962//b0313//b4072//b0997//b3926//b2342//b3230//b3721//b0398//b0936//b1016//b4702//b2500//b3126//b1621//b2750//b3870//b0108//b2742//b1324//b2079//b4426//b1272//b4599//b2368//b3214//b1241//b2307//b1621//b1205//b0617//b0557//b4168//b1782//b1209//b3925//b0178//b0019//b2091//b2630//b3311//b2731//b3319//b4202//b1654//b0314//b2096//b0675//b0814//b2306//b3403//b1982//b0591//b3035//b1189//b4079//b2990//b3576//b3541//b2232//b0107//b3829//b2094//b2202//b3414//b1671//b1272//b2803//b0044//b3749//b0517//b0183//b2147//b2852//b4355//b4098//b3331//b1389//b3860//b0111//b1260//b0683//b2143//b1212//b2393//b4007//b2156//b3566//b0619//b0115//b2553//b3006//b0781//
ArgP-L-arginine	b2074//b3006//b2486//b2296//b0596//b3224//b1384//b2198//b3905//b2242//b1246//b1814//b2277//b1748//b4058//b0596//
ArgR-L-arginine	b4267//b1227//b1922//b1221//b2529//b2608//b0734//b1819//b1252//b4213//b3438//b0191//b0936//b3868//b3167//b3608//b2009//b4035//b1900//b2723//b3118//b3438//b3509//b2481//b3853//b0463//b3934//b4118//b0733//b4599//b3575//b3575//b3610//b4384//b3831//b1300//b3521//b1393//b2415//
AtoC-phosphorylated	b0595//b4125//b1389//b1265//
BaeR-Phosphorylated	b2282//b3905//b1907//b0614//b0887//b0728//ilvG_2//b3134//
BirA-bio-5-AMP	b4450//b0805//b1023//b1679//b2964//
CRP-cAMP	b1012//b0118//b1982//b0118//b2707//b0587//b4367//b3212//b2588//b0037//b2710//b0908//b0202//b4009//b4320//b3165//b0998//b2195//b1796//b4406//b4201//b3725//b3968//b0619//b2962//b0342//b3672//b0343//b1246//b1810//b1859//b4138//b1262//b2803//b3213//b2730//b2606//b0344//b3405//b4016//b2927//b1499//b1160//b3830//b2755//b4237//b3328//b2579//b4018//b0720//b0763//b1337//b4118//b3423//b3541//b1113//b3449//b0411//b1393//b2416//b0864//b1012//b1673//b0805//b4511//b3601//b0523//b3451//b0977//b1882//b4014//b2965//b3127//b4311//b0934//b0894//b1611//b2717//b3479//b4009//b2659//b1519//b0764//b0976//b4502//b1715//b0337//b0775//b4076//b3726//b0684//b3394//b1613//b2868//b0782//b3026//b3771//b0178//b4074//b2990//b2943//b1024//b2961//b0937//b2583//b3392//b3035//b1681//b1890//b1588//b3968//b2937//b2760//b1500//b2666//b3409//b0041//b3670//b0330//b0953//b3773//b4058//b4106//b3125//b0724//b3260//b0976//b2554//b1300//b1859//b4173//b0397//b2392//b0115//b4018//b2428//b0721//b1130//b4254//b0460//b1826//b3728//b3365//b1389//b0517//b1715//b1587//b4384//b1256//b0390//b1594//b4417//b0115//b0330//b2092//b2207//b4288//b4159//b4476//b0339//b2092//b0197//b2284//b1111//b3214//b0378//b4037//b3321//b3723//b4314//b2840//b2987//b4075//b3425//b4159//b3510//b2706//b2309//b0441//b3005//b0516//b3518//b3008//b4072//b0727//b2200//b4019//b3902//b3700//b4467//b4092//b3278//b4070//b4567//b0347//b4266//b0432//b2553//b1883//b3429//b1009//b0167//b2992//b4201//b0333//b4129//b4024//b1655//b3241//b3409//b1113//b2669//b0565//b0347//b3576//b3366//b2488//b4468//b0341//b1521//b3868//b0241//b0977//b2231//b1182//b3870//b0620//b3859//b4288//b3325//b2507//b3908//b0724//b1920//b3036//b3608//b0682//b1109//b2242//b4233//b3533//b1263//b2709//b1548//b2800//b4075//b2373//b0679//b3311//b2913//b1323//b1744//b2194//b1101//b1498//b3455//b2488//b3426//b3170//b2802//b0044//b3601//b3771//b0998//b3454//b3312//b1532//b1246//b2852//b3311//b4239//b4209//b3441//b2464//b1265//b3169//b2608//b2729//b0331//b1641//b2529//b3230//b0177//b1393//b1189//b3458//b4152//b2904//b2203//b3318//b0778//b0312//b1655//b1780//b3540//b4240//b2660//b1256//b2716//b3114//b0814//b0998//b2732//b0241//b3771//b3222//b4699//b1537//b4316//b1430//b1682//b2977//b1475//b4671//b1296//b3772//b2239//b2754//b1654//b2911//b0784//b3521//b1246//b1715//b0805//b2923//b2499//b2799//b1521//b2560//b1208//b1537//b4008//b2199//b0344//b4152//b0723//b1704//b1225//b2994//b2710//b4376//b4174//b0589//b3330//b4202//b2208//b2205//b2903//b4106//b0585//b1892//b3114//b2029//b4198//b2484//b2507//b0575//b0353//b1970//b1023//b3449//b3395//b1022//b2368//b4139//b1907//b0125//b2980//b4173//b1680//b0038//b3855//b1673//b1858//b2674//b2723//b0812//b4138//b1011//b1007//b2076//b1718//b1671//b3132//b0886//b2075//b1546//b0765//b4288//b3727//b1670//b2194//b3236//b0728//b4175//b1781//b0451//ilvG_2//b3672//b2663//b2312//b4122//b2803//b3564//b3700//b3845//b2964//b1531//b3132//b0575//b3319//b2291//b0517//b0812//b2280//b0153//b1131//b3521//b4567//b0240//b3135//b4106//b1062//b3565//b4171//b2994//b1226//b3748//b1747//b3223//b0311//b2481//b0517//b1474//b0945//b1901//b2280//b0606//b2490//b0931//b0080//b1613//b3335//b0112//b3315//b4193//b2485//b1296//b2718//b0166//b1518//b0907//b4119//b3583//b4033//b3093//b1224//b0726//b1391//b4637//b1244//b4097//b0621//b0378//b1518//b3423//b3418//b4125//b3168//b3530//b0820//b3927//b4511//b2609//b1208//b2486//b1817//b2669//b2366//b2241//b0557//b2723//b4699//b2608//b1761//b4698//b1111//b0587//b2393//b2943//b2503//b3418//b3367//b2194//b1680//b0522//b3518//b4398//b4035//b4249//b2965//b2867//b3451//b0593//b2754//b3751//b2741//b1745//b1322//b4288//b0335//b2212//b2430//b3939//b3335//b2600//b3076//b3432//b0036//b3578//b3941//b0109//b4133//b4315//
