#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b3571//b1102//b1190//efeU_2//
AlaS-L-alanine	b0887//
AllS-allantoin	b0931//b3413//b3276//
AraC-L-arabinose	b0619//b4401//b1883//b1393//b2313//b1007//b3751//b3576//b1298//b2364//b2239//b3911//b2758//b2074//
ArcA-Phosphorylated	b3521//b2414//b1379//b3091//b2095//b1208//b1622//b4124//b4238//b1796//b2992//b3510//b4471//b0583//b3581//b4073//b1009//b2213//b4471//b1718//b1609//b2482//b3580//b2196//b0592//b0515//b0614//b4416//b2428//b1301//b0864//b4239//b4018//b4663//b2927//b1620//b0934//b3579//b2762//b0152//b1858//b2911//b4131//b2663//b1475//b0191//b4079//b1113//b0777//b4006//b3118//b3960//b1890//b3578//b1252//b4289//b0974//b3277//b1182//b3132//b4506//b0062//b4111//b0615//b0593//b3424//b4034//b0596//b0463//b1275//b1324//b1597//b1745//b3161//b4154//b2369//b3368//b3750//b3469//b4036//b3265//b2297//b3134//b1501//b1620//b3670//b1500//b0351//b2866//b0805//b1713//b0592//b4000//b0032//b0613//b2713//b3709//b1973//b4063//b2731//b3418//b4315//b4381//b0727//b4441//b2916//b3531//b0585//b0197//b2283//b2528//b4068//b0168//b1589//b2277//b2704//b3213//b3853//b2606//b0585//b0683//b2371//b0758//b0778//b2231//b2009//b2197//b3231//b2092//b4125//b0723//b2508//b1220//b2557//b4292//b4323//b4398//b2964//b3668//b1113//b2554//b3829//b3037//b2483//b1335//b1324//b0112//b1655//b4592//b2584//b4669//b4291//b4159//b4167//b3721//b0177//b1892//b2498//b2287//b1673//b3437//b1857//b3581//b3077//b2993//b4195//b1338//b4016//b4316//b0860//b4202//b0783//b2852//b3846//b3959//b2416//b1224//
ArgP-L-arginine	b4124//b4293//b1611//b0351//b4468//b3418//b3831//b3076//b3092//b1717//b1132//b3864//b2715//b1851//b1210//b1113//
ArgR-L-arginine	b2204//b2666//b1655//b3907//b2994//b0933//b1512//b3707//b3070//b1109//b0785//b2488//b0894//b3749//b0350//b3907//b0311//b0774//b3829//b2713//b1620//b3458//b3863//b1921//b0151//b1797//b0615//b2712//b0523//b2489//b1612//b3403//b2029//b0330//b4265//b0724//b1594//b3748//b4003//
AtoC-phosphorylated	b1736//b0115//b0805//b4067//
BaeR-Phosphorylated	b0367//b2485//b2841//b3416//b3169//b3315//b0564//b2840//
BirA-bio-5-AMP	b0156//b1113//b2757//b3037//b3114//
CRP-cAMP	b3071//b2961//b3903//b3544//b1223//b2962//b2725//b1715//b2076//b2804//b2752//b0351//b0166//b2614//b3772//b3906//b0589//b0785//b3574//b1885//b3274//b3415//b2583//b2926//b0757//b4172//b3926//b0397//b3758//b2485//b4309//b1015//b0996//b4242//b3025//b3441//b0782//b0597//b0605//b4320//b3455//b1738//b1222//b3542//b4567//b2916//b1858//b3588//b0044//b0863//b1393//b3414//b3772//b2373//b0588//b0812//b4071//b0683//b2703//b1528//b1892//b3428//b1681//b1736//b0113//b3723//b1683//b1900//b3092//b3164//b1782//b0345//b3508//b2311//b2703//b2995//b2392//b1338//b0595//b0602//b4699//b4004//b3035//b1654//b3753//b4160//b0198//b0043//b3581//b0153//b2485//b1109//b2151//b2617//b2236//b0341//b1684//b1654//b4024//b0929//b2720//b0564//b2584//b2752//b4383//b2171//b1904//b0861//b1748//b2242//b3727//b3669//b4468//b3902//b1387//b1015//b0221//b2222//b3758//b2234//b2368//b3312//b0615//b1680//b1704//b4105//b4006//b3544//b0721//b0334//b3026//b1136//b2763//b3167//b4074//b4397//b0862//b1062//b2482//b4120//b4014//b0727//b0880//b3049//b4468//b2703//b4467//b1988//b3415//b3574//b3363//b4169//b1335//b0592//b0596//b3600//b0199//b3603//b0522//b3518//b3319//b3404//b4073//b3413//b0384//b4196//b1796//b4104//b3081//b2721//b0776//b3363//b4070//b3599//b2712//b4450//b3771//b4024//b3725//b2486//b1301//b1850//b2077//b4030//b4094//b1297//b3461//b1299//b3356//b3461//b2927//b2498//b2590//b3748//b0240//b3049//b3409//b3583//b3925//b0383//b4068//b1397//b0516//b4393//b2805//b3940//b2487//b1296//b1745//b0044//b0935//b0894//b0591//b1296//b1857//b2417//b0342//b0827//b4005//b1674//b1888//b1521//b0595//b0156//b1212//b0484//b2224//b4239//b3168//b3392//b0734//b1712//b0861//b3081//b1020//b2231//b0118//b3751//b1021//b1672//b2282//b4200//b0861//b1850//b3604//b2206//b0860//b2313//b3478//b3367//b0618//b0759//b3230//b1299//b0591//b2763//b2500//b2092//b4100//b1393//b2068//b0757//b2583//b2572//b3766//b1713//b2297//b3772//b0764//b4040//b1131//b1338//b0903//b2078//b2727//b2630//b3417//b3240//b0184//b3540//b2755//b4254//b0959//b3214//b2417//b2867//b4383//b4506//b0365//b3670//b3326//b4003//b1131//b3603//b3611//b1885//b1712//b4016//b4238//b2093//b4203//b4073//b2146//b0337//b0589//b0593//b2393//b4037//b2465//b1043//b0177//b3316//b0974//b3759//b3135//b2282//b0945//b0044//b4177//b0827//b1387//b0351//b0191//b2297//b2243//b3604//b0598//b2709//b4054//b4406//b2239//b2911//b3870//b0061//b3413//b1516//b3363//b4382//b0975//b1704//b0929//b2697//b3510//b3521//b1493//b3242//b4663//b0571//b1275//b0221//b3395//b2911//b4393//b2962//b0931//b4002//b3057//b3318//b4122//b3603//b3600//b2074//b3318//b2630//b1062//b1007//b0399//b0180//b0903//b3582//b0684//b3781//b1819//b3773//b4013//b2198//b4213//b0180//b1264//b3969//b3726//b0775//b0429//b4468//b4451//b3478//b4289//b0615//b3331//b1733//b0575//b4476//b4439//b1109//b1746//b0957//b0726//b1747//b0588//b3035//b1389//b3969//b3113//b2560//b2867//b4102//b3093//b0201//b1334//b4170//b0161//b1858//b2222//b2852//b4323//b3359//b0368//b3851//b3241//b3409//b2551//b3911//b3168//b1746//b2742//b3313//b3036//b0758//b2799//b3165//b3452//b3912//b0312//b0903//b0368//b3579//b2204//b1497//b3236//b0728//b2215//b3409//b4096//b2741//b1973//b1385//b1010//b0935//b4671//b0678//b2720//b1245//b2732//b3912//b1016//b4264//b2750//b4426//b2570//b4193//b3708//b2591//b3404//b0040//b3772//b1797//b3476//b2838//b3431//b3541//b4054//b0398//b2676//b2963//b3318//b3230//b1736//b1743//b2721//b1493//b2742//b0109//b4076//b3456//b0757//b1682//b1247//b2868//b2759//b1379//b3961//b4123//b0034//b0040//b2980//b4196//b4139//b3117//b4074//b3166//b3478//b2143//b1136//b4267//b3368//b2987//b0593//b2709//b2221//b0584//b1920//b3806//b3971//b0124//b1780//b2221//b4317//b1761//b3532//b4511//b0348//b3853//b1921//b2589//b4096//
