#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b4004//b4098//b0874//b4092//
AlaS-L-alanine	b2239//
AllS-allantoin	b3728//b1043//b4468//
AraC-L-arabinose	b1982//b1302//b1674//b1846//b1850//b2423//b2508//b0348//b1036//b2905//b0484//b3125//b1498//b0112//
ArcA-Phosphorylated	b0205//b4059//b2150//b0313//b3273//b2943//b3260//b3451//b4104//b0722//b1252//b2752//b3429//b0907//b1743//b2531//b4699//b2911//b1613//b4097//b3604//b3457//b1717//b2311//b0775//b3568//b1747//b4240//b2068//b1901//b1970//b0353//b2703//b2224//b2752//b1384//b0997//b0390//b2313//b0886//b2063//b3599//b3723//ilvG_2//b0378//b4367//b0156//b0031//b2756//b0592//b4124//b4567//b3700//b3316//efeU_2//b3418//b2297//b0896//b3493//b0683//b2758//b4006//b0880//b1272//b1857//b3578//b0583//b4239//b1982//b2731//b3672//b3169//b1530//b0675//b4101//b1395//b0189//b3702//b1038//b1015//b0033//b1189//b4168//b4311//b3759//b0352//b3725//b4698//b0019//b2239//b3091//b3566//b0596//b1546//b3541//b2912//b3753//b1891//b4059//b2206//b1482//b3171//b4293//b0896//b2866//b3077//b1779//b3707//b0516//b4120//b3959//b3221//b3511//b4139//b4096//b1012//b3968//b0591//b4383//b4663//b2732//b4467//b2617//b2476//b4438//b1262//b3959//b1131//b4062//b0340//b0583//b3588//b1421//b4401//b0996//b3266//b3906//b3394//b1884//b1324//b4168//b3212//b3583//b2206//b3615//b2153//b1136//b3518//b3831//b3438//b4637//b3726//b1038//b3114//b4122//b1211//b2980//b3571//b3091//b3481//b3403//b1521//efeU_2//b0351//b2728//b1797//b4005//b3617//b4125//b2107//b3057//b4030//b1129//b1988//b2368//b3451//b2662//
ArgP-L-arginine	b0107//b0728//b2372//b1826//b0031//b2425//b0977//ilvG_1//b4288//b3806//b1970//b2285//b0451//b3540//b4637//b1796//
ArgR-L-arginine	b3864//b2469//b3908//b3329//b1704//b1671//b1208//b2979//b2283//b2470//b2307//b1732//b0523//b2991//b3315//b1300//b3541//b2800//b3603//b0311//b0377//b0431//b2867//b2852//b4095//b3455//b4154//b0400//b4249//b3133//b3721//b1182//b3610//b3939//b3132//b2470//b2491//b3869//b2009//
AtoC-phosphorylated	b4288//b2094//b3568//b0935//
BaeR-Phosphorylated	b3668//b2290//b4266//b4063//b1587//b3568//b3168//b4290//
BirA-bio-5-AMP	b3315//b0153//b2096//b3903//b1900//
CRP-cAMP	b2092//b4592//b3416//b4671//b4035//b3616//b3781//b4320//b4237//b0975//b1022//b3725//b2232//b3609//b3806//b2029//b0161//b0763//b3583//b4406//b1540//b1810//b0594//b2150//b2221//b3942//b2487//b0907//b3113//b1011//b2759//b0583//b2203//b0722//b2152//b3429//b2093//b3726//b3035//b3311//b0388//b4104//b3458//b2425//b0061//b3081//b3115//b0593//b4054//b3902//b3543//b4132//b0334//b4237//b3317//b3751//b2572//b0594//b0928//b2277//b1482//b2912//b1921//b4095//b2311//b0184//b1429//b0339//b3532//b2203//b0874//b3324//b3333//b3320//b0935//b4313//b3940//b1591//b1132//b4003//b0619//b1189//ilvG_1//b1260//b3610//b2531//b3781//b3609//b0756//b2529//b3227//b4319//b2674//b3572//b3277//b4476//b3588//b1714//b1846//b0203//b3542//b3395//b4381//b3829//b2911//b1851//b1493//b3540//b2428//b3222//b2529//b2751//yegZ//b4197//b2232//b2469//b0020//b0314//b2076//b1222//b0516//b3959//b3125//b0334//b1706//b1514//b3469//b2758//b1008//b0440//b0273//b3452//b3070//b2697//b3123//b3969//b4123//b2372//b0349//b4095//b0353//b2307//b1516//b1547//b4202//b1040//b4198//b3025//b2573//b2729//b0820//b4072//b0399//b4104//b1656//b3521//b0166//b3911//b2805//b3461//b2371//b0945//b4070//b3135//b0595//b3543//b2964//b0204//b3727//b1882//b3076//b1245//b0039//b1658//b0557//b0565//b1389//b1244//b3773//b2429//b0460//b4054//b2278//b3961//b4105//b4170//b2528//b0679//b3615//b3540//b1243//b2487//b2231//b1127//b1779//b1132//b0202//b4354//b1886//b3600//b1587//b3667//b2507//b0377//b3702//b4376//b1212//b3408//b2235//b3026//b3530//b0756//b1323//b4438//b4698//b3770//b3852//b3828//b3477//b1101//b0034//b3599//b2977//b3335//b2207//b0573//b0430//b0110//b1712//b0190//b0573//b1781//b2231//b2484//b2075//b0812//b1207//b3830//b3583//b3567//b0240//b0039//b3334//b1334//b3367//b4291//b3828//b1011//b1252//b2282//b1907//b0336//b1782//b3480//b2213//b4698//b1851//b0153//b4177//b3071//b4316//b1324//b3758//b2029//b0123//b3392//b0617//b1511//b0728//b4009//b3600//b1497//b3077//b0588//b3277//b2755//b0863//b3408//b0077//b0597//b2943//b1796//b1205//b4311//b0366//b0903//b3135//b1337//b0616//b4194//b1482//b0368//b0312//b4034//b1530//b1516//b2092//b0036//b2488//b1810//b1858//b3863//b2149//b4069//b3565//b3324//b4024//b1499//b1102//b0517//b1715//b0336//b1612//b1588//b2370//b0112//b1734//b2708//b3449//b1745//b2370//b3615//b0734//b4314//b2406//b4450//b2764//b1826//b2992//b1113//b1548//b3853//b4310//b2760//b2306//b4203//b0462//b3605//b3115//b4002//b0566//b2464//b0724//b2729//b3926//b3667//b2852//b1385//b0063//b3508//b0077//b2423//b2212//b0785//b4671//b1850//b1982//b3133//b0347//b2204//b4003//b4431//b2470//b2281//b0183//b2551//b2307//b0894//b0189//b1043//b4313//b0996//b0978//b2481//b1712//b2591//b2867//b2818//b1389//b3748//b0346//b3771//b0590//b1208//b2481//b3429//b2094//b4670//b0886//b1821//b2706//b2754//b3854//b3540//b0167//b1497//b0347//b3225//b2742//b0429//b0928//b2152//b3863//b0463//b1275//b4008//b0112//b1337//b3667//b4400//b3437//b4237//b1745//b2509//b2750//b3481//b0722//b1390//b0959//b3125//b2239//b1970//b1210//b3460//b1746//b0596//b1859//b3275//b2075//b3669//b2194//b0240//b1737//b4131//b2579//b1246//b4067//b2838//b4131//b1743//b1209//b2727//b2344//b2288//b2938//b4024//b0205//b2987//b0880//b1656//b3926//b2993//b2962//b4316//b2068//b4037//b3261//b0377//b0676//b1537//b2927//b2243//b3508//b0613//b1535//b0615//b3275//b3700//b4197//b4074//b2429//b2590//b3493//b3330//b0107//b2009//b1747//b3576//b1982//b2660//b2276//b4075//b3830//b2075//b1922//b2600//b0400//b2804//b4268//b0154//b1015//b3169//b4063//b3005//b4070//b0180//b0618//b4005//b3615//b4309//b0161//b3265//b0677//b4406//b0784//b4037//b2367//b2312//b0461//b3912//b2509//b2424//b0929//b3864//b0516//b2764//b2803//b2805//b1528//b2276//b2198//b1222//b4367//b2107//b1798//
