#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b0112//b0198//b3541//b2991//
AlaS-L-alanine	b2731//
AllS-allantoin	b2371//b3708//b1682//
AraC-L-arabinose	b3481//b2965//b1656//b1296//b0398//b4502//b4376//b4502//b0347//b4320//b0151//b4384//b0980//b0313//
ArcA-Phosphorylated	b3277//b4702//b0995//b1247//b0032//b2194//b4384//b0383//b4159//b1023//b3260//b0889//b3320//b4030//b2234//b2508//b0623//ilvG_2//b2422//b3167//b2663//b4321//b2503//b2500//b2375//b0566//b3940//b2528//b4151//b1670//b1182//b3610//b0203//b1852//b0114//b4254//b4133//b1734//b1265//b3415//b2588//b3410//b3114//b1547//b3830//b4567//b3118//b1518//b0783//b4033//b2280//b0346//b3417//b2277//b1907//b2277//b0873//b1041//b3093//b2717//b3452//b4567//b1474//b3430//b2195//b3081//b2242//b4062//b4290//b4698//b4417//b1334//b2560//b1207//b0826//b2489//b2224//b1015//b4069//b1022//b2344//b2490//b1391//b0722//b0035//b2239//b2938//b3356//b1511//b3330//b2286//b0484//b2571//b2987//b0400//b0729//b0115//b0596//b0585//b2711//b0202//b3748//b3325//b3008//b3509//b4125//b0763//b0873//b4354//b1492//b2799//b1588//b1388//b2911//b4381//b2366//b4074//b3438//b2155//b3329//b3408//b0814//b4376//b1655//b4092//b4198//b1814//b2571//b3207//b2754//b3432//b3278//b4209//b2508//b4076//b4314//b2708//b1323//b0154//b4153//b4015//b2617//b1002//b0077//b1540//b3321//b1532//b0190//b4416//b4123//b1392//b2662//b1712//b0353//b2600//b2757//b1850//b1887//b4355//b0125//b2151//b3477//b3912//b1302//b1226//b1223//b4367//b4059//b0728//b2464//b3601//b2309//b1517//b3829//b3227//b0347//b0107//
ArgP-L-arginine	b1905//b4195//b1611//b1819//b3672//b3127//b0273//b0573//b0841//b3617//b3313//b2763//b1518//b2201//b2425//b0378//
ArgR-L-arginine	b2964//b4193//b0397//b0584//b0153//b2732//b3532//b3317//b2607//b4075//b1781//b1262//b3831//b3868//b2992//b0345//b4315//b4397//b0729//b1988//b3403//b4268//b1392//b3939//b2482//b0352//b1298//b4076//b4702//b0197//b4323//b3076//b1129//b3610//b2996//b3123//b4111//b2075//b0980//
AtoC-phosphorylated	b1136//b1517//b0346//b2508//
BaeR-Phosphorylated	b2573//b3212//b0820//b2156//b1101//b2224//b4111//b0106//
BirA-bio-5-AMP	b0064//b0110//b3036//b0586//b2198//
CRP-cAMP	b0727//b2752//b1615//b2925//b2965//b0774//b3772//b0776//b3414//b0684//b3942//b2597//b1244//b4079//b0168//b1023//b3164//b3221//b1904//b2286//b1846//b3409//b4471//b0678//b4124//b4393//b1901//b3236//b2759//b2280//b3939//b1225//b4354//b3437//b0461//b4131//b3581//b3927//b3911//b4451//b1743//b0778//b3395//b1497//b2666//b1499//b2429//b3170//b0077//b2155//b2415//b0841//b1887//b0411//b4310//b2799//b0031//b4467//sroD//b4201//b1535//b0615//b3394//b4321//b0886//b1205//b3707//b3912//b1002//b0931//b1006//b2609//b0776//b1669//b2818//b3667//b0777//b4291//b4441//b2365//b1222//b0431//b0764//b2483//b2288//b4068//b2583//b2591//b0937//b1535//b2703//b4058//b4663//b4100//b3328//b2342//b2288//b0331//b1298//b3610//b1021//b2288//b2977//b0182//b2728//b2286//b2852//b1669//b2341//b1904//b3868//b0198//b3926//b2800//b4201//b2490//b1297//b0873//b0959//b3230//b1226//b4311//b3611//b3165//b0585//b0682//b3708//b1241//b0566//b2580//b3366//b1988//b4310//b3759//b4016//b1716//b0936//b2068//b1226//b1039//b3970//b1298//b2729//b0112//b1324//b3035//b1129//b0441//b2673//b4319//b3327//b2232//b2937//b1680//b0161//b3845//b3773//b0432//b4320//b0894//b0346//b2076//b3394//b2614//b4032//b2805//b0777//b2281//b4476//b1620//b2470//b0111//b2759//b1988//b4015//b1761//b2551//b1130//b4034//b2673//b3363//b3971//b4209//b2215//b0113//b3724//b3774//b3363//b4460//b2673//b1227//b3939//b2393//b0197//b2938//b0959//b0115//b4416//b0108//b2867//b1516//b0378//b1016//b2482//b3860//b1260//b3728//b1819//b1041//b3608//b0080//b4292//b1532//b2201//b1621//b0378//b3769//b1904//b0980//b0676//b0198//b3025//b1883//b4233//b2573//b2674//b3938//b2614//b0873//b0720//b3580//b2242//b3845//b0192//b1302//b2312//b3326//b3906//b1136//b1394//b3426//b3072//b4669//b4123//b3902//b1517//b1393//b4132//b0333//b2802//b0125//b2987//b3332//b4101//b1513//b3038//b0463//b2659//b2341//b0399//b0759//b0565//b1641//b3316//b1744//b1805//b2661//b3578//b2763//b1609//b0675//b4239//b3317//b3423//b4160//b0997//b4003//b2197//b1901//b2277//b0734//b0167//b1521//b1540//b3214//b1620//b0574//b4100//b0389//b0020//b3135//b3124//b2609//b1679//b0388//b2673//b4008//b1887//b1389//b2723//b4007//b0124//b1821//b3278//b0679//b2840//b2417//b2609//b4014//b0564//b1889//b2195//b3927//b1160//b2990//b4699//b1546//b2469//b0124//b2979//b3392//b4441//b2152//b1655//b2552//b2200//b1511//b2487//b0179//b4322//b3851//b4193//b4592//b4173//b3395//b0784//b4167//b4009//b0108//b4354//b2662//b4063//b1905//b3455//b0998//b0575//b2286//b4323//b1136//b2718//b4249//b4264//b3272//b3212//b2068//b3476//b2764//b4003//b1498//b1211//b3469//b0975//b2754//b0344//b1814//b1263//b3611//b0313//b1889//b2904//b0675//b2215//b3167//b2341//b3207//b1654//b4201//b2552//b1826//b4102//b3313//b4203//b1130//b1101//b0113//b1714//b4008//b3164//b1421//b1591//b0368//b2756//b3572//b1475//b1888//b1222//b0450//b1901//b0036//b4203//b3057//b0826//b2560//b2583//b2476//b3907//b1476//b2092//b2096//b2987//b2470//b2750//b3126//b1296//b0183//b1006//b1683//b3671//b0033//b1474//b0587//b2993//phnE_2//b3456//b0593//b2009//b4399//b3311//b4237//b0337//b3366//b0979//b1683//b2143//b2991//b3454//b4663//b2143//b2484//b0461//b3940//b1671//b3769//b2805//b2589//b1889//b3852//b3574//b1528//b2029//b3275//b1814//b3038//b2211//b1002//b1393//b1493//phnE_2//b1682//b1987//b2597//b3335//b3236//b2715//b0682//b0721//b3863//b1036//b0589//b0153//b2148//b1537//b4036//b3859//b0035//b4151//b0570//b2202//b3311//b3329//b0973//b3076//b0765//b0367//b4167//b2996//b2997//b3853//b3224//b3424//b2077//b4401//b0351//b0441//b3961//b4592//b1002//b0860//b0728//b1297//b3057//b2417//b0429//b2709//b0400//b1594//b1818//b0296//b1388//b3243//b4096//b1891//b2751//b1493//b0931//b3452//b1818//b4193//b4592//b2277//b1680//b3688//b0588//b0675//b1530//
