#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0094//b2012//
aceF	b0093//b1082//
adiC	b3292//b2997//
araH	b1037//b3536//b0785//
artP	b3346//b3964//
artQ	b2335//b1724//
atpH	b4048//b2002//b0344//b3620//b0836//b1611//
bcsB	b3416//b1776//
bcsF	b1061//b4037//
betI	b0572//b4032//b3336//
btuE	b1937//b3555//
cadB	b3430//b4334//
ccmE	b1564//b3628//b1884//
ccmH	b3125//b2523//b4152//
chbR	b2961//b2525//
chpR	b2608//b4279//
citF	b0895//b0421//b2755//
cobU	b0033//b4459//b3705//
csgG	b3723//b2841//b3308//b2573//
cueR	b1305//b1359//b0114//
cusF	b0733//b1889//b4460//b1865//
cyoE	b0884//b1991//b0871//b3297//b4524//
dacA	b0032//b4239//
ddpC	b1757//b1407//
ddpF	b0905//b4655//b0143//b0170//
deoD	b2283//b0615//b0855//b1190//
dhaM	b2003//b4027//b1555//
dmsB	b0137//b3359//
dnaK	b1485//b1396//
dppF	b2287//b3597//b3645//ygeN//b1519//
edd	b0273//b1739//
efeU	b1244//b3963//
eptA	b2501//b1003//b1880//b3175//b0923//b1428//b4254//b3141//b1946//
eutL	b1710//b0015//
eutT	b1876//b2976//b3065//b4200//b0904//b3314//
fabG	b1844//b2285//
fadB	b0518//b2909//
fdnI	b0820//b1443//
fecE	b2308//b3603//b4231//b3330//b3315//
fepC	b2090//b0722//
fepG	b3022//b0872//
fhuD	b3292//b4072//b1515//b2449//
fimH	b0820//b3239//b1062//b3126//
fimI	b3329//b0677//b4512//
fklB	b2035//b1006//b3204//
flhD	b3509//b3998//
frmR	b3730//b1124//
fruK	b0828//b0864//b4245//
ftsN	b3661//b3302//b0077//
gadX	b2502//b0589//
galT	b2677//b3413//b2879//b1927//
garR	b3617//b0083//b1651//b1925//b0573//
gatZ	b0153//b1593//b0734//b1140//b2463//b1949//b1784//
gcvT	b2148//b1603//b3932//
glcG	b0776//b3809//b1044//
glgX	b2080//b1590//b2971//b3732//
glnL	b2460//b0585//
glnQ	b2256//b1724//b2240//
glpT	b1244//b1150//b4592//b0058//b1494//b3119//b3325//b1467//
gltB	b0329//b0081//
gltL	b4244//b0004//
glxR	b3265//b4186//
gspB	b3671//b3537//
gspD	b1993//b1003//
gspF	b2463//b0170//
gspM	b0750//b3723//
hisQ	b2766//b1925//b3620//
holC	b0042//b0781//b2205//b4460//
htpG	b1493//b2019//b1156//
hybC	b2148//b1444//
hybG	b2464//b1531//b3897//
hybO	b3708//b2871//b3487//
hydN	b3710//b1566//b0356//b1102//b2531//b2557//b2447//b3013//b1036//b1651//b3997//
hyfB	b4621//b3643//b2838//
hyfR	b1183//b3944//b4608//b2776//b0050//
ibpB	b2048//b0801//
ileY	b0980//b4593//
ilvM	b3522//b3126//b4557//b1944//b2032//
ilvN	b3537//b3630//
iscU	b1955//b0083//b0583//b1061//b3298//
iscX	b1919//b0511//b3079//
kdsD	b0094//b4589//
ksgA	b3875//b3848//
lacZ	b4076//b3386//b0851//
lar	b3141//b0357//
leuZ	b0753//b0804//b0074//b2348//
lldR	b3326//b3314//b2867//
lpxP	b4005//b0943//b3637//b1955//
lspA	b2195//b1760//b4319//
lsrR	b1783//b2523//b1865//b3367//b0513//b1883//b2254//b3315//
lyx	b1511//b3963//
malQ	b3141//b4335//b3298//b0590//b3603//b0831//b3994//b2818//
manZ	b1890//b1887//b4053//
marR	b1073//b3982//
mcbA	b1164//b0751//
mcrA	b4158//b0522//
mdtJ	ilvG//b1040//
