#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0108//b0811//
aceF	b2499//b1389//
adiC	b4621//b0051//
araH	b3261//b4013//b0036//
artP	b0234//b3620//
artQ	b4308//b1668//
atpH	b0836//b2285//b3735//b1011//b3726//b1530//
bcsB	b1779//b4355//
bcsF	b3640//b2071//
betI	b0358//b3099//b2528//
btuE	b0015//b1779//
cadB	b3509//b2748//
ccmE	b2525//b1430//b2256//
ccmH	b3336//b3992//b0943//
chbR	b2619//b2049//
chpR	b4188//b4315//
citF	b3580//b4330//b0583//
cobU	b1281//b0975//b3231//
csgG	b0672//b3115//b2168//b3454//
cueR	b0365//b1942//b4153//
cusF	b3314//b0089//b2528//b2703//
cyoE	b3317//b1516//b0379//b1486//b1305//
dacA	b2282//b0248//
ddpC	b4280//b2776//
ddpF	b0983//b2365//b3114//b3785//
deoD	b0992//b2907//b3956//b2033//
dhaM	b2458//b2093//b1342//
dmsB	b4414//b1923//
dnaK	b1076//yrhA//
dppF	b0785//b2125//b3184//b3123//b1184//
edd	b1464//b3748//
efeU	b2491//b0820//
eptA	b2195//b0593//b2703//b2487//b3811//b3903//b3730//b1478//b4207//
eutL	b0660//b2199//
eutT	b1485//b3170//b3320//b0955//b0572//b2767//
fabG	b2103//b1486//
fadB	b2145//b1226//
fdnI	b2283//b1077//
fecE	b0153//b0002//b4377//b2048//b2092//
fepC	b3170//b3239//
fepG	b2620//b0672//
fhuD	b4290//b1679//b0589//b2460//
fimH	b4056//b2878//b2378//b3426//
fimI	b4305//b2763//b3212//
fklB	b2750//b2146//b4418//
flhD	b0615//b3455//
frmR	b2365//b0756//
fruK	b0943//b2597//b4067//
ftsN	b0940//b2868//b1207//
gadX	b1340//b2506//
galT	b2957//b1589//b0775//b3779//
garR	b1410//b3941//b4033//b1526//b3170//
gatZ	b4310//b2487//b0092//b0028//b0331//b0783//b4056//
gcvT	b0989//b0369//b3012//
glcG	b3416//b1710//b1587//
glgX	b0162//b3325//b3301//b3324//
glnL	b0331//b0409//
glnQ	b4376//b4249//b1746//
glpT	b4485//b2319//b3475//arpB//b2034//b1137//b4459//b2451//
gltB	b4303//b1892//
gltL	b1646//b0115//
glxR	b1474//b0307//
gspB	b0939//b1199//
gspD	b0112//b3993//
gspF	b1254//b2207//
gspM	b1517//b0977//
hisQ	b4280//b3604//b3026//
holC	b1530//b3228//b2705//b0923//
htpG	b3723//b1245//b2243//
hybC	b2024//b4539//
hybG	b4158//b1926//b0989//
hybO	b3640//b3514//b2169//
hydN	b1630//b3739//b3624//b3598//b3153//b1840//b3512//b0596//b2894//b1735//b1255//
hyfB	b2439//b2440//b0574//
hyfR	b2491//b2991//b2319//b1511//b0591//
ibpB	b4249//b0396//
ileY	b2531//b4311//
ilvM	b3308//b1393//b0763//b2150//b2249//
ilvN	b3770//b3616//
iscU	b2724//b0586//b1340//b4068//b4304//
iscX	b1426//b2853//b2724//
kdsD	b1078//b3305//
ksgA	b1819//b1901//
lacZ	ysaC//b1304//b0511//
lar	b1089//b0131//
leuZ	b2020//b3317//b2444//b1565//
lldR	b4259//b1886//b2202//
lpxP	b2354//b4358//b0737//b2252//
lspA	b3158//b3932//b2601//
lsrR	b2217//b1015//b2037//b4506//b4375//b2354//b0733//b3770//
lyx	b4142//b2906//
malQ	b2748//b2080//b3904//b0139//b3786//b3031//b0894//b4070//
manZ	b0148//b0695//b1494//
marR	b0584//b0739//
mcbA	b1085//b2525//
mcrA	b0301//b0358//
mdtJ	b1932//b2167//
menD	b4287//b2090//b3741//
metN	b0429//b2946//
mglC	b2880//b3769//b3926//
mhpB	b3704//b2243//
mhpF	b0169//b2123//
minD	b1138//b3799//
minE	b1503//b2763//
mnmG	b3313//b4110//
moaE	b2185//b2039//b1906//b3636//b0337//
mokB	b0978//b2864//
mpl	b1755//b2068//
mprA	b0923//b3315//b2368//
mraZ	b0356//b1881//b2034//b0983//
mrp	b0138//b3707//
murE	b2757//b4259//
nagB	b4249//b4014//
nanM	b2286//b3785//
napF	b2458//b3517//
napH	b3168//b4052//b3385//b3959//b4371//
narJ	b0836//b0158//b0152//
narZ	b2672//b0195//
nirD	b1435//b2239//b1679//
nrdG	b2662//b2905//
nrdI	b1244//b1912//b2853//b1388//
nrfC	b1183//b0980//b4057//
nuoB	b0799//b0888//
nuoN	b0025//b2722//b2319//b0077//b1851//b3796//b3319//b4470//b0764//b1503//b2234//
oppF	b1944//b2717//b2341//b0961//b3905//
paaI	b1246//b4051//b0979//b4186//b2850//b1879//b3478//b1807//b0711//
pdhR	b1174//b0922//
pdxK	b4568//b4317//b0641//
pflB	b0722//b1071//
pgk	b3786//b1394//b2003//
pheL	b1294//b0023//
phnE	b2033//b0085//
phnL	b0248//b3769//b0772//b2216//
pntA	b2450//b4200//
polA	b2660//b0850//
potH	b2917//b3604//b1926//b3413//b1823//b1791//b3259//
ppa	b4230//b3165//
ppdD	b1246//b4280//
ppx	b3130//b0450//
proX	b1807//b2342//b3597//
prpD	b0726//b1003//b2216//
pspD	b3231//b0592//b0051//b2764//
pstB	b2724//b2618//
pstS	b2448//b1204//b1848//
purT	b0518//b2557//b4307//b2185//b0026//b3615//b1386//b2703//b4233//b3918//
putP	b2926//b3992//
puuR	b1742//b1612//b1124//b0078//
pyrI	b1919//b2056//b1736//b3861//b1972//b2486//
rbsK	b0829//b2041//b1340//b2445//b3512//
rcsD	b2281//b3525//
recQ	b0331//ybfI//
relE	b0812//b2341//
rhaB	b2149//b2904//
ribF	b1120//b4109//b3309//b1512//
rlpB	b3386//b3785//b1297//
rluA	b4559//b0782//
rpmI	b0990//b2977//
rpoN	b0347//b1134//
rseA	b2866//b1919//
rsxB	b4451//b4127//
rtcR	b1924//b3863//
rutG	b1305//b1452//b2601//b3785//b3366//b1919//b0396//
ryhB	b1748//b1157//
sapD	b0013//b1708//b2674//
serC	b3620//b3936//
serT	b4112//b0983//b0336//b1925//
sfmH	b3129//b2750//
slyA	b2374//b0331//
smpB	b4056//b0421//
