#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b1678//b1678//
aceF	b1565//b0351//
adiC	b4128//b4143//
araH	b1093//b1177//b2652//
artP	b1261//b1062//
artQ	b4618//b4269//
atpH	b3224//b0796//b1392//b2763//b4459//b0636//
bcsB	b1900//b0978//
bcsF	b3979//b1767//
betI	b2103//b2055//b0114//
btuE	b0409//b1039//
cadB	b1709//b1281//
ccmE	b2196//b2684//b1104//
ccmH	b3781//b3293//b2333//
chbR	b1089//b0829//
chpR	b1051//b4005//
citF	b0522//b0350//b4383//
cobU	b1120//b4239//b0273//
csgG	b2003//b3298//b1358//b3317//
cueR	b1513//b2876//b4277//
cusF	b2109//b0121//b3772//b0307//
cyoE	b3115//b3323//b2756//b3115//b4254//
dacA	ypjI//b1577//
ddpC	b1939//b1774//
ddpF	b1120//b1787//b3309//b1834//
deoD	b0775//b3515//b4034//b3293//
dhaM	b0872//b0598//b3726//
dmsB	b2853//b0033//
dnaK	b1074//b3962//
dppF	b1847//b1164//b3317//b1258//b4307//
edd	b3265//b0002//
efeU	b3506//b3316//
eptA	b1228//b0804//b1486//b0586//b0498//b0757//b2120//b1003//b4319//
eutL	b2469//b3203//
eutT	b3670//b3658//b4310//b0301//b3893//b0734//
fabG	b2497//b1391//
fadB	b0973//b2080//
fdnI	b3136//b1040//
fecE	b2502//b0093//b1172//b2800//b1147//
fepC	b2998//b2531//
fepG	b2207//b2524//
fhuD	b1843//b1683//b1514//b3190//
fimH	b2838//b2273//b1156//b1123//
fimI	b2933//b1468//b3166//
fklB	b4126//b1710//b1783//
flhD	b0091//b2752//
frmR	b4328//b3750//
fruK	b3110//b0273//b4371//
ftsN	b2425//b2286//b3632//
gadX	b3631//b2864//
galT	b3491//b1885//b0075//b4240//
garR	b2497//b2034//b0477//b1638//b1297//
gatZ	b0928//b1246//b2147//b1474//yrhA//b3141//b1147//
gcvT	b1889//b3189//b2197//
glcG	b2020//b2673//b4100//
glgX	b1300//b0063//b0085//b2887//
glnL	b2906//b2756//
glnQ	b4033//b3365//b4207//
glpT	ygeN//b0523//b2319//b0914//b2286//b1665//b1638//b3651//
gltB	b4279//b1342//
gltL	b2036//b0711//
glxR	b0590//b1819//
gspB	b1796//b3731//
gspD	b3967//b4034//
gspF	b1503//b2021//
gspM	b4132//b1847//
hisQ	b3645//b4451//b4231//
holC	b1866//b3992//b1396//b2764//
htpG	b2917//b2674//b3671//
hybC	b2825//b0910//
hybG	b0585//b1094//b0733//
hybO	b2312//b1352//b2308//
hydN	b3165//b3836//b0753//b1493//b3177//b1071//b0409//b3892//b2090//b1729//b0131//
hyfB	b2894//b1651//b2090//
hyfR	b0183//b0171//b2855//b0168//b0232//
ibpB	b1006//b4106//
ileY	b2333//b4053//
ilvM	b2514//b0409//b2449//b2348//b1414//
ilvN	b1901//b3365//
iscU	b0643//b3118//b4460//b4511//b3289//
iscX	b3619//b3525//b3365//
kdsD	b1138//b4186//
ksgA	ybfG//b2446//
lacZ	b2092//b1207//b3183//
lar	b0996//b3175//
leuZ	b2216//b1474//b2663//b3366//
lldR	b2287//b3377//b1891//
lpxP	b2250//b2459//b0233//b2600//
lspA	b3931//b0585//b4381//
lsrR	b0195//b1203//b1807//b2147//b3318//b0533//b1503//b4057//
lyx	b0092//b2991//
malQ	b1988//b1312//b1909//b2443//b4585//b3326//b1048//b0804//
manZ	b0336//b1394//b3175//
marR	b3936//b2421//
mcbA	b4384//b1492//
mcrA	b2005//b4279//
mdtJ	b3507//b0436//
menD	b0905//b1125//b2091//
metN	b0487//b0051//
mglC	b2272//b3536//b3456//
mhpB	b1198//b2287//
mhpF	b0357//b0961//
minD	b2400//b3177//
minE	b2121//b0721//
mnmG	b3129//b4187//
moaE	yliL//b1071//b2302//b4024//b2097//
mokB	b1530//b1566//
mpl	arpB//b4471//
mprA	b1037//b3378//b2044//
mraZ	b4308//b0058//b0588//b2702//
mrp	b1189//b3649//
murE	b0028//b3740//
nagB	b2423//b3836//
nanM	b4101//b0536//
napF	b2052//b2998//
napH	b0975//b3603//b0451//b3906//b0198//
narJ	b4027//b0348//b1164//
narZ	b2501//b1034//
nirD	b1393//b0333//b3359//
nrdG	b3361//b3532//
nrdI	b3742//b2524//b1200//b3136//
nrfC	b2145//b2368//b3684//
nuoB	b0871//b2818//
nuoN	b0871//b1260//b1931//b1245//b4459//b0409//b1070//b4006//b3957//b2683//yrhA//
oppF	b4254//b1051//b4014//b3130//b2203//
paaI	b2930//b3963//b1518//b3289//b0856//b1886//b0311//b3175//b2738//
pdhR	b2879//b3333//
pdxK	b3750//b1651//b4478//
pflB	b0871//b0334//
pgk	b4334//b0112//b4249//
pheL	b1228//b3892//
phnE	b1929//b1154//
phnL	b0863//b1683//b1499//b4376//
pntA	b1414//b3990//
polA	b4310//b3390//
potH	b3069//b2047//b2026//b4052//b2499//b1148//b1312//
ppa	b1739//b0273//
ppdD	b3294//b2096//
ppx	b3903//b3784//
proX	b3231//b1332//b3365//
prpD	b3541//b1589//b1587//
pspD	b1414//b1000//b0545//b1078//
pstB	b0108//b3749//
pstS	b1628//b1034//b3640//
purT	b4032//b1476//b2038//b0616//b3822//ilvG//b2121//b0941//b3791//b0313//
putP	b1683//b4655//
puuR	b2281//b3778//b0118//b2425//
pyrI	b2909//b3292//b0429//b1751//b0779//b0941//
rbsK	b0063//b2828//b2783//b0125//b0905//
rcsD	b4153//b2050//
recQ	b2014//b3190//
relE	b2255//b2662//
rhaB	b1157//b4230//
ribF	b1818//b1281//pawZ//b0945//
rlpB	b3603//b3718//b1428//
rluA	b4334//ybfI//
rpmI	b0945//b2050//
rpoN	b3726//b3811//
rseA	b3293//b2482//
rsxB	b3429//b0296//
rtcR	b2052//b2597//
