#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b2195//b0861//
aceF	b3344//b3313//
adiC	b1864//b1904//
araH	b1526//b3962//b1776//
artP	b2368//b1791//
artQ	b0990//b2717//
atpH	b1204//b2026//b1993//b1291//b0943//b2888//
bcsB	b3614//b1281//
bcsF	b1789//b1491//
betI	b2757//b3619//b2327//
btuE	b2825//b0989//
cadB	b0660//b0677//
ccmE	b2141//b1832//b2365//
ccmH	b3625//b3927//b1252//
chbR	b4098//b3933//
chpR	b4443//b3508//
citF	b1603//b1736//b0365//
cobU	b0643//b4014//b3327//
csgG	b4319//yjhE//b0357//b4143//
cueR	b3079//b2307//b1415//
cusF	b4186//b0636//b0131//b0369//
cyoE	b1885//b2168//b4378//b2096//b1920//
dacA	b1048//b0871//
ddpC	b2871//b2736//
ddpF	b1394//b1366//b2167//b2949//
deoD	b0695//b2619//b1884//b3541//
dhaM	b4051//b0042//b3260//
dmsB	b0750//b2108//
dnaK	b3318//b2850//
dppF	b1390//b0063//b2676//b3972//b3334//
edd	b3964//b0139//
efeU	b3255//b3306//
eptA	b0939//b0976//wbbL//b3078//b3229//b2616//b2421//b3752//b3513//
eutL	b2765//b1265//
eutT	b3205//b2572//b2354//b0923//b4154//yncK//
fabG	b3780//b3204//
fadB	b3325//b1166//
fdnI	b1184//b4375//
fecE	b3417//b2876//b1483//b2756//b1476//
fepC	b1226//b0028//
fepG	b0945//b2522//
fhuD	b2736//b4358//b2202//b0615//
fimH	b0958//b3341//b3395//b2524//
fimI	b1332//b0785//b3684//
fklB	b3734//b2744//b3603//
flhD	b3186//b1493//
frmR	b3932//b2782//
fruK	b0050//b1889//b4158//
ftsN	b2971//b3625//b3430//
gadX	b3175//b3723//
galT	b0137//b1103//b1783//b0184//
garR	b4290//b2699//b3306//b0002//b2039//
gatZ	b2699//b2755//b0083//b1888//b0777//b2194//b0162//
gcvT	b1482//b4115//b2679//
glcG	b0087//b0641//b3749//
glgX	b2272//b2464//b1717//b2705//
glnL	b4117//b3390//
glnQ	b3294//b0139//b2909//
glpT	b2907//b1226//b2035//b0783//b1464//b2080//b3850//b3750//
gltB	b0509//b1165//
gltL	b3903//b2460//
glxR	b0085//b2024//
gspB	b1183//b0976//
gspD	b0784//b3861//
gspF	b3637//b3166//
gspM	b3345//b2867//
hisQ	b0306//b2044//b3100//
holC	b4114//b0121//b3314//b4460//
htpG	b2682//b3904//b2120//
hybC	b4187//b1530//
hybG	b0573//b3941//b1564//
hybO	b3898//b2706//b2095//
hydN	b0888//b2318//b4375//b4585//b1012//b1305//b3223//b2726//b3487//b1294//b0615//
hyfB	b3957//b2374//b4188//
hyfR	b3930//b1818//b2169//b1361//b2620//
ibpB	b1599//b3294//
ileY	b2342//b1638//
ilvM	b0074//b0871//b3457//b1188//b0653//
ilvN	b0306//b3845//
iscU	b0088//b0015//b0589//b3786//b0369//
iscX	b3167//b3429//b2754//
kdsD	b0779//b4160//
ksgA	b2004//b2167//
lacZ	b2487//b2960//b3670//
lar	b0975//b0586//
leuZ	b3327//b1359//b4407//b3183//
lldR	b3983//b0082//b0772//
lpxP	b0695//b3124//b0573//b2662//
lspA	b3098//b1038//b3129//
lsrR	b2319//b3617//b3100//b1495//b2661//b1034//b1841//b2234//
lyx	b3008//b1627//
malQ	b0406//b2339//b1884//b2204//b2679//b2851//b1876//b0365//
manZ	b1791//b3897//b3708//
marR	b3313//b2480//
mcbA	b1755//b2049//
mcrA	b4348//b2818//
mdtJ	b1245//b3377//
menD	b2827//b0940//b3309//
metN	b0473//wbbL//
mglC	b3752//b3431//b0151//
mhpB	b1339//b0093//
mhpF	b3770//b2904//
minD	b2661//b1487//
minE	b3225//b4352//
mnmG	b3222//b1777//
moaE	b3323//b1485//b1207//b3703//b4098//
mokB	b0013//b3346//
mpl	b3629//b3457//
mprA	b3733//b1177//b0072//
mraZ	b1729//b2679//b0573//b3838//
mrp	b1709//b0750//
murE	b2080//b3347//
nagB	b1428//b4158//
nanM	b0343//b1138//
napF	b3295//b0004//
napH	b2872//b4557//b0737//b2486//b3024//
narJ	b0168//b0027//b4566//
narZ	b1818//b0976//
nirD	b1849//b1901//b2487//
nrdG	b1926//b0757//
nrdI	b2368//b3478//b1452//b3625//
nrfC	b1632//b0616//b3225//
nuoB	b0922//b0131//
nuoN	b0617//b1085//b1195//b1744//b1783//b0590//b4485//b3597//b3422//b4287//b3229//
oppF	b2424//b3099//b2307//b1901//b4143//
paaI	b1040//b3153//b3203//b2108//b0485//b2946//b2739//b4621//b2387//
pdhR	b1629//b1921//
pdxK	b1925//b2453//b1926//
pflB	b4054//b3596//
pgk	b0329//b2090//b3165//
pheL	b2264//b0592//
phnE	b1080//b2326//
phnL	b2464//b4079//b1823//b3630//
pntA	b4593//b1260//
polA	b1949//b2264//
potH	b2236//b2196//b0895//b0365//b0860//b3836//b3615//
ppa	b3739//b1735//
ppdD	b1396//b3298//
ppx	b0468//b2606//
proX	b0779//b3191//b3099//
prpD	b1665//b3967//b1499//
pspD	b1083//b2451//b1819//b2873//
pstB	b1736//b3826//
pstS	b3737//b3906//b2468//
purT	b2881//b1958//b3118//b2003//b3541//b2573//b2738//b1004//b2853//b0554//
putP	b2606//b2460//
puuR	b2185//b4430//b3222//b4147//
pyrI	b0038//b0333//b1495//b2719//b1836//b0593//
rbsK	b3509//b1490//b2905//b2800//b2948//
rcsD	b1941//b2459//
recQ	b0597//b2421//
relE	b2242//b3130//
rhaB	b1841//b2665//
ribF	b4598//b1923//b3229//b0184//
rlpB	b0137//b3289//b1717//
rluA	b0873//b1843//
rpmI	b4115//b1243//
rpoN	b3704//b3422//
rseA	b2037//b3128//
rsxB	b0632//b3778//
rtcR	b0168//b1776//
rutG	b2883//b2205//b1394//b2319//b0735//b0781//b3175//
ryhB	b0990//b2998//
sapD	b3783//b2498//b1971//
serC	b3926//b3189//
serT	b0777//b3918//b1195//b3708//
sfmH	b4015//b1926//
slyA	b1391//b0597//
smpB	b3632//b4203//
srlE	b2418//b1175//b0958//b1334//b3180//
sroB	b1244//b3345//
sseB	b0733//b1349//
sspB	b4006//b1563//
ssrS	b1176//b4037//b1304//
sucD	b2868//b4377//b1244//b0967//b1930//b0115//b3113//b4318//b3822//b2253//b2726//b1396//b2933//
sufS	b0121//b2308//b3189//b3671//b1184//b1293//
tatA	b3661//b2757//
tdcG	b0358//b3114//b2020//b2904//b2619//b4428//b0248//
tdh	b3098//b0058//b2038//b1079//b2053//b3377//
tdk	b1235//b0830//
thrC	b1085//b1750//b1993//
thrW	b3797//b3318//b0921//b2333//
tnaC	b3740//b2459//b2071//
tolC	b2456//b0368//b1012//b4053//
tolR	b3718//b1823//b4048//
treC	b0301//b0509//
trmI	b1421//b0759//
trpL	b3508//b0591//b1085//b2684//b4426//
truB	b4585//b1891//
truD	b2764//b3165//b0704//
trxA	b2490//wbbL//
trxB	b3177//b4104//
tyrA	b0772//b0162//
tyrB	b2506//b0591//b3953//
tyrU	b3525//b2137//b4279//b0247//b3780//
upp	b3074//b3748//b0094//b1565//b0904//
uraA	b3478//b1078//b3983//
usg	b1096//b0884//
valV	b3199//b2873//b1954//
visC	b2762//b4187//b3575//b3512//
waaU	b3897//b2525//b0757//b2222//b3640//b1945//b1204//b1834//b3222//b2121//b3623//
wbbL	b1452//b1390//b0513//b4071//b4203//b3515//b2204//b2872//b1862//b1299//b2849//b1003//
wcaE	b4305//b4005//
wcaL	b3998//b3126//b3704//b1183//b0615//
wzxE	b3510//b0311//
xerD	b2476//b3367//
xylA	b2933//b1746//
yaaW	b2544//b3318//
yadM	b0757//b2783//
yaeB	b3514//b3993//
yaeI	b0905//b4288//
yafZ	b2544//b0089//
yajG	b4052//b0992//b1950//b0753//
ybaN	b3829//b4132//b4035//b2041//b2763//
ybbC	b3487//b2022//
ybbW	b2145//b4186//b3193//b1662//b2608//
ybcO	b4655//b1048//
ybdD	b4013//b2013//b4238//b3797//b2894//b2893//b4371//b2879//
ybeA	b2335//b4466//b3833//b1629//b3563//b3779//
ybeZ	b0011//b0729//
ybfC	b3386//b0003//
ybgC	b2573//b0151//
ybgJ	b4377//b1148//
ybgT	b1552//b2712//b1340//b1560//
ybhC	b1954//b4142//b3903//b4114//
ybiC	b1015//b1490//b3967//b3769//b1716//b2697//b1588//wbbL//b2972//b3580//b3426//b0820//b2281//b3986//
