#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b1599//b2756//
aceF	b0636//b0025//
adiC	b0983//b0252//
araH	b1200//b1735//b3012//
artP	b0707//b3781//
artQ	b3202//b0114//
atpH	b1259//b2281//b2659//b0368//b1884//b0368//
bcsB	b1195//b1950//
bcsF	b3377//b1194//
betI	b3333//b2137//b1910//
btuE	b2050//b3203//
cadB	b3791//b0554//
ccmE	b4142//b1531//b3315//
ccmH	b1120//b3788//b2254//
chbR	b3022//b3078//
chpR	b1576//b2421//
citF	b2284//b3334//b1930//
cobU	b2217//b0974//b3541//
csgG	b3812//b0125//b2948//b0434//
cueR	b0436//b3811//b1102//
cusF	b3799//b4311//b4526//b4428//
cyoE	b2459//b0855//b2368//b1004//b0073//
dacA	b1681//b4603//
ddpC	b2053//b3153//
ddpF	b2036//b3752//b0002//b2250//
deoD	b0996//b3221//b1487//b3255//
dhaM	b2055//b2997//b4610//
dmsB	b4511//b0653//
dnaK	b2855//b1971//
dppF	b4469//b3614//b1767//b2918//b0928//
edd	b2109//b4067//
efeU	b1125//b3650//
eptA	b2040//b4358//b0468//b0089//b1184//b2365//b1668//b4511//b1499//
eutL	b1349//b2162//
eutT	b2763//b1866//b2235//b2723//b2242//b0092//
fabG	b0004//b1281//
fadB	b1299//b0301//
fdnI	b4033//b1102//
fecE	b1257//b3153//b0151//b3099//b2094//
fepC	b1526//b3336//
fepG	b1254//b4231//
fhuD	b2024//b1931//b0434//b2017//
fimH	b3487//b3560//b3117//b4655//
fimI	b3769//b2146//b3705//
fklB	b1807//b0772//b1348//
flhD	b0108//b0975//
frmR	b4566//b3563//
fruK	b0368//b1587//b2451//
ftsN	b2189//b2035//b1430//
gadX	b2893//b3387//
galT	b2544//b0617//b3225//b1359//
garR	b2827//b2205//b2144//b3326//b4222//
gatZ	b2458//b1171//b0903//b0083//b3482//b3614//b2414//
gcvT	b3138//b4158//b3721//
glcG	b0905//b0990//b2683//
glgX	b2721//b0727//b4318//b1849//
glnL	b3460//b0974//
glnQ	b2278//b0836//b3115//
glpT	b2517//b3725//b2939//b3986//b3365//b0928//b4307//b2003//
gltB	b4006//b1710//
gltL	b3926//b1987//
glxR	b3978//b2994//
gspB	b0584//b1923//
gspD	b1079//b3342//
gspF	b4200//b0245//
gspM	b0312//b3976//
hisQ	b1866//b3631//b1937//
holC	b0058//b2543//b2737//b1588//
htpG	b4280//b4142//b0042//
hybC	b1774//b2421//
hybG	b3941//b3978//b0672//
hybO	b2763//b0451//b1750//
hydN	b3478//b3833//b0329//b0545//b1710//b3998//b4280//b2704//b3618//b1245//b0015//
hyfB	b2498//b2572//b0757//
hyfR	b0914//b1138//yrhA//b0061//b1141//
ibpB	b2972//b3986//
ileY	b3618//b1361//
ilvM	b1484//b3597//b3480//b0233//b3167//
ilvN	b1760//b0583//
iscU	b1925//b0365//b1945//b2853//b2424//
iscX	b0431//b3979//b2724//
kdsD	b2342//b1180//
ksgA	b3289//b3305//
lacZ	b3429//b1563//b0777//
lar	b1037//b4221//
leuZ	b0171//b2488//b1632//b1184//
lldR	b1495//b1140//b3704//
lpxP	b3347//b3532//b3651//b2012//
lspA	b0598//b2185//b3905//
lsrR	b2032//yedS//b1189//b0907//b2766//b1970//b1527//b1744//
lyx	b3080//b1506//
malQ	b1747//b3751//b4610//b1072//b3340//b3931//b0860//b1183//
manZ	b4428//b1958//b2307//
marR	b0733//b3618//
