#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0812//b4056//
aceF	b1887//b3202//
adiC	b2573//b3783//
araH	b2825//b1085//b0922//
artP	b1166//b3136//
artQ	b1531//b1776//
atpH	b2728//b1739//b3751//b0026//b0585//b3477//
bcsB	b0094//b3627//
bcsF	b1292//b1133//
betI	b3024//b3166//b3458//
btuE	b0434//b4128//
cadB	b1919//b2056//
ccmE	b4015//b0595//b0678//
ccmH	b3536//b1254//b0799//
chbR	b4348//b1484//
chpR	b0028//b1789//
citF	b1517//b0089//b3012//
cobU	b4310//b0436//b1891//
csgG	b3213//b1773//b4200//b3992//
cueR	b4054//b4568//b2738//
cusF	b0945//b2090//b4467//b3100//
cyoE	b3159//b1851//b3733//b1396//b3395//
dacA	b3707//b4318//
ddpC	b0974//b0637//
ddpF	b3513//b1947//b3165//b0923//
deoD	b2462//b3491//b4378//b0677//
dhaM	b3875//b3177//b1760//
dmsB	b2236//b3626//
dnaK	b1729//b2699//
dppF	ybfI//b2038//b1747//b4269//b3013//
edd	b2035//b2038//
efeU	b0782//b0252//
eptA	b1312//b2487//b4559//b2319//b2071//b1947//b0978//b2279//b2776//
eutL	b2235//b2598//
eutT	b0805//b1094//b3656//ilvG//b0903//b3752//
fabG	b0025//b0089//
fadB	b0894//b3222//
fdnI	b0739//b3165//
fecE	b1836//b3476//b4071//b3259//b3836//
fepC	b0263//b2253//
fepG	b4079//b1526//
fhuD	b1746//b2676//b1444//b3001//
fimH	b3530//b2531//b1291//b4515//
fimI	b0263//b2462//b3733//
fklB	b4033//b1824//b0736//
flhD	b1680//b1252//
frmR	b1865//b2142//
fruK	b3080//b0263//b4110//
ftsN	b1306//b1348//b3726//
gadX	b1900//b0150//
galT	b2941//b4207//b0784//b1300//
garR	b1937//b2997//b2354//b1954//b1350//
gatZ	b2715//b1878//b4053//b2601//b2026//b3769//b3735//
gcvT	b1097//b2186//b3012//
glcG	b1886//b3927//b1044//
glgX	b2440//b0975//b1576//b1683//
glnL	b4335//b0727//
glnQ	b2056//b0549//b0729//
glpT	b2517//b3117//b3751//b4443//b0728//b3326//b2886//b0591//
gltB	b0828//b1198//
gltL	b1564//b3204//
glxR	b2230//b3936//
gspB	b1929//b4160//
gspD	b0828//b3195//
gspF	b4024//b3705//
gspM	b0997//b3976//
hisQ	b4117//b0118//b1018//
holC	b2782//b3199//b1674//b1165//
htpG	b3480//b1176//b0896//
hybC	b1492//b4100//
hybG	b0617//b0497//b2905//
hybO	b4506//b4451//b1885//
hydN	b2531//b1137//b0002//b0997//b3543//b2309//b2737//b3259//b3119//b4598//b3575//
hyfB	b2661//b1048//b3201//
hyfR	b4199//b3001//b1554//b2253//b1511//
ibpB	b0497//b1159//
ileY	b1312//b3979//
ilvM	b0430//b3525//b1094//ybfI//b3001//
ilvN	b4485//b0533//
iscU	b2148//b0905//b0233//b3826//b1922//
iscX	b0921//b3656//b2458//
kdsD	b4076//b3893//
ksgA	b3429//b3809//
lacZ	b1039//b1215//b4068//
lar	b2522//b3342//
leuZ	b4027//b4485//b2155//b0042//
lldR	b2665//b4259//b3522//
lpxP	b3460//b2425//b3628//b2903//
