#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b2189//b2096//
aceF	b1698//b2273//
adiC	b2142//b1681//
araH	b0409//b3784//b3711//
artP	b3894//b4383//
artQ	b3186//b3508//
atpH	b3005//b2418//b3012//b3780//b1943//b4117//
bcsB	b2012//b3337//
bcsF	b3786//b0980//
betI	b0615//b2573//b0058//
btuE	b1351//b3129//
cadB	b1010//b0721//
ccmE	b4143//b1586//b2925//
ccmH	b2342//b2278//b0997//
chbR	b2488//b3395//
chpR	b3517//b4034//
citF	b1392//b3619//b2264//
cobU	b3993//b0320//b3708//
csgG	b1849//b4330//b0168//b0520//
cueR	b0231//b3597//b1194//
cusF	b0973//b4127//b2288//b2905//
cyoE	b4335//b3378//b2683//b1148//b1061//
dacA	b2448//b2853//
ddpC	b1352//b2941//
ddpF	b2094//b2248//b3168//b2250//
deoD	b0477//b4032//b0356//b2756//
dhaM	b0830//b0336//b0112//
dmsB	b0806//b3905//
dnaK	b1096//b3597//
dppF	b1847//b0922//b0911//b2827//b4430//
edd	b3334//b1490//
efeU	b0168//b0999//
eptA	b1486//b3294//b1841//b0536//b2715//b2123//b1927//b2012//b2222//
eutL	b0922//b3116//
eutT	b4459//b3617//b3341//b0641//b1864//b2460//
fabG	b3008//b0739//
fadB	b3176//yrhC//
fdnI	b0921//b0830//
fecE	b1832//b3193//b3651//b0765//b4369//
fepC	b2024//b1452//
fepG	b0329//b2425//
fhuD	b3324//b2090//b0014//b0575//
fimH	b2169//b0369//b3727//b1668//
fimI	b2728//b0148//b3523//
fklB	b1514//b3731//b2149//
flhD	b1958//b1906//
frmR	b1682//b2972//
fruK	b0351//b0976//b3543//
ftsN	b1919//b2994//b1478//
gadX	b2022//b2488//
galT	b0379//b0233//b0357//b0406//
garR	b3933//b0131//b3138//b2665//b2278//
gatZ	b2766//b3515//b0632//b1492//b0409//b3212//b4330//
gcvT	b0972//b1948//b3825//
glcG	b1395//b1252//b3983//
glgX	b1646//b0672//b1263//b2279//
glnL	b2750//b0641//
glnQ	b3295//b1144//b3686//
glpT	b2674//b0468//b3294//b2684//b3739//b0014//b3508//b2243//
gltB	b1717//b2838//
gltL	b3198//b0434//
glxR	b0073//b3352//
gspB	b3124//b0536//
gspD	b2266//b3416//
gspF	b2199//b3645//
gspM	b2302//b1850//
hisQ	b2146//b3026//b2748//
holC	b4238//b0148//b0616//b1105//
htpG	b1938//b3213//b3533//
hybC	b3530//b0026//
hybG	b3998//b1165//b1736//
hybO	b2203//b4585//b1260//
hydN	b3012//b3781//b1832//b1646//b3346//b2276//b0722//b4230//b2387//b0597//b2606//
hyfB	b2365//b1944//b1921//
hyfR	yjhE//b2744//b3175//b3748//b0344//
ibpB	b0344//b3221//
ileY	b1515//b0573//
ilvM	b4199//b1078//b1942//b2515//b1390//
ilvN	b0143//b1678//
iscU	b3308//b3511//b4183//b1593//b0143//
iscX	b4348//b2120//b3993//
kdsD	ysaC//b4469//
ksgA	b3796//b2249//
lacZ	b2876//b0026//b4122//
lar	b4112//b4277//
leuZ	b2140//yjhE//b0071//b3734//
lldR	b0799//b3597//b3326//
lpxP	b0724//b2025//b2995//b1849//
lspA	b3898//b0922//b0804//
lsrR	b1062//b3035//b3972//b1098//b0862//b4603//b2103//b0414//
lyx	b2204//b0642//
malQ	b0652//b2050//b2755//b0911//b3833//b1988//b2917//b2702//
manZ	b3739//b0974//b2906//
marR	b1701//b3259//
mcbA	b0594//b2302//
mcrA	b0436//b4109//
mdtJ	b1011//b3386//
menD	b1891//b4015//b0078//
metN	b4057//b4259//
mglC	b1039//b2282//b1757//
mhpB	b3176//b0112//
mhpF	b4014//b4317//
minD	b2543//b1774//
minE	b3560//b1238//
mnmG	b0164//b1505//
moaE	b4143//b1818//b3318//b3640//b0474//
mokB	b3309//b2663//
mpl	b2047//b3829//
mprA	b2199//b3710//b1415//
mraZ	b2601//b3845//b3158//b0941//
mrp	b1944//b3906//
murE	b2023//b3931//
nagB	b1014//b1352//
nanM	b0087//b1088//
napF	b1037//b2888//
napH	b2013//b1426//b2853//b3736//b2092//
narJ	b0366//b0087//b2309//
narZ	b1255//b3721//
nirD	b3116//b2261//b3240//
nrdG	b4113//b1987//
nrdI	b3541//b0864//b1361//b2284//
nrfC	b2147//b1953//b1682//
nuoB	b2723//b1600//
nuoN	b2597//b0549//b1051//b0804//b4621//b1156//b0973//b0572//b3240//b3001//b1464//
oppF	b2661//b1394//b0406//b3315//b2302//
paaI	b3982//b2618//b4053//b2025//b3963//b3126//b1006//b3838//b0592//
pdhR	b1204//b1492//
pdxK	b0320//b2476//b1075//
pflB	b3325//b2168//
pgk	b0307//b3190//b4380//
pheL	b4233//b0113//
phnE	b0829//b4014//
phnL	b3875//b0723//b0996//b4033//
pntA	b2450//b2914//
polA	b3953//b2241//
potH	b1000//b1938//b1449//b2704//b2040//b4200//b3231//
ppa	b0051//b3126//
ppdD	b0085//b3953//
ppx	b3918//b4099//
proX	b1840//b2264//b4131//
prpD	b3198//b3963//b3295//
pspD	b2453//b4151//b3259//b2035//
pstB	b2302//b1014//
pstS	b3166//b4526//b2049//
purT	b0348//b2573//b3930//b3486//b2573//b2618//b4158//b0831//b0263//b2242//
putP	b2856//b1910//
puuR	b0513//b0805//b0263//b3871//
pyrI	b3035//b0862//b0979//b0088//b1339//b1144//
rbsK	b0967//b2480//b4383//b1942//b0183//
rcsD	b0406//b2517//
recQ	b3117//b0672//
relE	b4067//b4358//
rhaB	b4269//b2283//
ribF	b4382//b1611//b2752//b1931//
rlpB	b3661//b2522//b2137//
rluA	b4245//b2468//
rpmI	b1389//b2204//
rpoN	b3413//b0750//
rseA	b1563//b0777//
rsxB	b0863//b2197//
rtcR	b2199//b1144//
rutG	b4557//b1566//b0554//b2241//b0351//b0659//b0313//
ryhB	b3222//b0063//
sapD	b4418//b0474//b3863//
serC	b1823//b0432//
serT	b2285//b0707//b2462//b4451//
sfmH	b3197//b1467//
slyA	b2339//b2449//
smpB	b3918//b2883//
srlE	b4291//b3730//b3117//b0451//b1204//
sroB	b3079//b1851//
sseB	b0850//b2930//
sspB	b2925//b2522//
ssrS	b2239//b3176//b1243//
sucD	b2957//b3525//b1742//b2273//b1153//b1495//b3604//b1886//b1172//b0583//b1079//b3323//b3512//
sufS	b0414//b1038//b4459//b1281//b3508//b3493//
tatA	b2723//b2096//
tdcG	b3126//b0806//b3306//b1281//b4069//b1925//b3730//
tdh	b2281//b1773//b4013//b2528//b0750//b1910//
tdk	b2198//b4269//
thrC	b4233//b0533//b4353//
thrW	b4270//b4201//b3176//b0421//
tnaC	b1085//b4330//b2342//
tolC	b1630//b0757//b2004//b2276//
tolR	b1396//b3926//b2678//
treC	ybfG//b1362//
trmI	b1889//b4099//
trpL	b4466//b1368//b2926//b1409//b1175//
truB	b4132//b1506//
truD	b2851//b1190//b0939//
trxA	b3967//b0182//
trxB	b1088//b1879//
tyrA	b2302//b1954//
tyrB	b0736//b2506//b2052//
tyrU	b2206//b0990//b0812//b3620//b2446//
upp	b1485//b3693//b1093//b2142//b4307//
uraA	b4353//efeU//b1864//
usg	b2527//b0434//
valV	b1204//b0976//b3321//
visC	b2335//b2313//b0836//b3117//
waaU	b3321//b2034//b2342//b4186//b1478//b3119//b1061//b0125//b4221//b2004//b0343//
wbbL	b2544//b3771//b0973//b3992//b2004//b3141//b0905//b3643//b1555//b2239//b3213//b2309//
wcaE	b1396//b4015//
wcaL	b2400//b3510//b3963//b3307//b3805//
wzxE	b1188//b1255//
xerD	b0854//b3705//
xylA	b3026//b4328//
yaaW	b1586//b0063//
yadM	b4245//b0733//
yaeB	b3317//b2482//
