#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b4033//b0486//
aceF	b1885//b1919//
adiC	b3458//b4254//
araH	b1362//b1651//b3649//
artP	b3120//b4329//
artQ	b3413//b3305//
atpH	b3565//b3515//b1490//b2021//b4037//b4288//
bcsB	b2342//b4069//
bcsF	b0092//b4302//
betI	b0823//b1298//b2033//
btuE	b2276//b0914//
cadB	b2276//b3810//
ccmE	b0195//b2109//b4187//
ccmH	b2527//b1739//b0736//
chbR	b4202//b3202//
chpR	b2004//b3686//
citF	b0409//b2005//b4348//
cobU	b2925//b2108//b2881//
csgG	b3797//b1783//b4303//b1920//
cueR	b1593//b1349//b2609//
cusF	b1942//b0597//b0051//b1901//
cyoE	b2480//b4526//b3659//b0775//b3159//
dacA	b1505//b0051//
ddpC	b0366//b2906//
ddpF	b1410//b3204//b2728//b2185//
deoD	b4367//b3228//b3710//b2683//
dhaM	b4147//b2506//b0152//
dmsB	b3960//b2939//
dnaK	b4106//b3123//
dppF	b1245//b4358//b4428//b0837//b0572//
edd	b2878//b3640//
efeU	b1335//b1847//
eptA	b1886//b1291//b1580//ypjI//b1134//b2281//b0350//b2234//b3809//
eutL	b3711//ybfG//
eutT	b1177//b4186//b3812//b0729//b2855//b0113//
fabG	b0498//b0059//
fadB	b4112//b3993//
fdnI	b2421//b1484//
fecE	b1076//b1332//b2150//b3993//yedS//
fepC	b3366//b1739//
fepG	b1555//b4254//
fhuD	b1358//b1600//b4304//b4621//
fimH	b2672//b2026//b3116//b0984//
fimI	b2113//b0263//b1426//
fklB	b0112//b2148//b0477//
flhD	b4238//b3343//
frmR	b2717//b3918//
fruK	b0896//b2039//b3627//
ftsN	b2870//b4151//b3616//
gadX	b4153//b4076//
galT	b4376//ybfI//b4100//b3487//
garR	b0982//b1563//b0911//b1088//b3565//
gatZ	b3128//b1137//b3115//b1388//b3239//b1085//b3892//
gcvT	b0989//b2697//b1988//
glcG	b2003//b0750//b0487//
glgX	b0573//b0978//b0765//b2782//
glnL	b3833//b2998//
glnQ	b1747//b3514//b3605//
glpT	b3983//b2049//b1745//b2497//b2053//b2090//b0856//b2169//
gltB	b0058//b3366//
gltL	b3654//b2047//
glxR	b4382//b0884//
gspB	b2754//b4104//
gspD	b0121//b2283//
gspF	b2194//b3810//
gspM	b3012//b1958//
hisQ	b4279//b1888//b0131//
holC	b2529//b0113//b3347//b1944//
htpG	b2531//b3802//b1262//
hybC	b1495//b0137//
hybG	b0777//b3636//b3690//
hybO	b1048//b3982//b2663//
hydN	b2557//b0636//b0062//b1526//b2725//b0903//b1633//pawZ//b2712//b0301//b0778//
hyfB	b4122//b4096//b0171//
hyfR	b1152//b0148//b1823//b2302//b2460//
ibpB	b2730//b3194//
ileY	b2149//b0894//
ilvM	b0642//b0678//pawZ//b4237//b0092//
ilvN	b3201//b0414//
iscU	b1958//b0865//b4585//b1245//b1174//
iscX	b4511//b1824//b0436//
kdsD	b1468//b4451//
ksgA	b2800//b3545//
lacZ	ybfI//b2459//b2104//
lar	b1300//b0765//
leuZ	b3871//b3543//b0855//b0002//
lldR	b3129//b2977//b3690//
lpxP	b0888//b3315//b3792//b2704//
lspA	b2855//b3627//b3337//
