#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b3809//b2872//
aceF	b4005//b0513//
adiC	b2414//b0002//
araH	b3604//b1393//b3725//
artP	b1879//b4352//
artQ	b3180//b1392//
atpH	b0081//b2284//b3670//b4367//b0775//b0199//
bcsB	b2887//b0183//
bcsF	b1512//b0002//
betI	b3979//b1304//b3981//
btuE	b1159//b3636//
cadB	b2103//b3812//
ccmE	b0081//b1259//b4221//
ccmH	b0182//b1198//b3563//
chbR	b1386//b1646//
chpR	b1467//b3457//
citF	b3752//b2400//b0777//
cobU	b2253//b1796//b1281//
csgG	b3981//b3172//wbbL//b3422//
cueR	b2053//b2013//b3031//
cusF	b0837//b1883//b2318//b0615//
cyoE	b1672//b2698//b4233//b3658//b4102//
dacA	b4203//b1862//
ddpC	b1361//b2881//
ddpF	b0073//b1865//b0653//b0863//
deoD	b4051//b2149//b2491//b4070//
dhaM	b4245//b2281//b2050//
dmsB	b0974//b1297//
dnaK	b0344//b2208//
dppF	b3337//b3962//b4317//b4418//b1796//
edd	b4609//b3956//
efeU	b4114//b3703//
eptA	b0158//b4305//b3422//b1783//b3822//b2917//b2933//b2827//b1123//
eutL	b0073//b3597//
eutT	b3822//b1138//b2109//b0616//b0168//b0336//
fabG	b1464//b3319//
fadB	b4142//b3670//
fdnI	b0928//b0247//
fecE	b2080//b3124//b3118//b3870//b1767//
fepC	b1971//b3251//
fepG	b2684//b2723//
fhuD	b0704//b2867//b4470//b2348//
fimH	b1467//b0678//b3787//b1008//
fimI	b3693//b4096//b1177//
fklB	b3850//b0058//b3422//
flhD	b3141//b2468//
frmR	b3687//b2446//
fruK	b1062//b2222//b3333//
ftsN	b0115//b2864//b3429//
gadX	b3200//b2278//
galT	b0593//b2217//b0082//b1449//
garR	b1261//b1778//b1348//b4131//b0158//
gatZ	b0642//b0112//b0252//b2230//b2047//b3201//b4609//
gcvT	b2991//b2528//b1836//
glcG	b1291//b2414//b3811//
glgX	b2998//b3979//b3983//b0301//
glnL	b3433//b3670//
glnQ	b1882//b4330//b1678//
glpT	b2723//b1987//b2926//b2326//b1906//b3208//b4418//b0862//
gltB	b4005//b2872//
gltL	b0678//b0982//
glxR	b1909//b2423//
gspB	b4557//b0923//
gspD	b1862//b2676//
gspF	b2194//b1036//
gspM	b3117//b3737//
hisQ	b2855//b4203//b1817//
holC	b2724//b1774//b3512//b0368//
htpG	b1407//b4566//b0344//
hybC	b3429//b4024//
hybG	b3603//b2339//b2143//
hybO	b2853//b4358//b4110//
hydN	b4375//b2243//b3136//b1739//b2135//b1148//b0414//b2528//b0058//b4621//b1784//
hyfB	b1340//b0588//b4238//
hyfR	b2652//b1942//b0923//b2766//b3326//
ibpB	b3110//b4478//
ileY	b2217//b1444//
ilvM	b1932//b3976//b2482//b2243//b2706//
ilvN	b3416//b1258//
iscU	b3299//b2853//b3239//b3780//b2523//
iscX	b0872//b1739//b0586//
kdsD	b3184//b3654//
ksgA	b3906//b1123//
lacZ	b0888//b1255//b2868//
lar	b2618//b2266//
leuZ	b1390//b1889//b0018//b0533//
lldR	b1919//b0939//b3783//
lpxP	b1038//b4112//b0572//b4122//
lspA	b2482//b0592//b3750//
lsrR	b1464//b1036//b1294//b2032//b2113//b2194//b1886//b3944//
lyx	b3985//b2597//
malQ	b1818//b3944//b2683//b0073//b0707//b0811//b1085//b1147//
manZ	yrhC//b1755//b0428//
marR	b1144//b0072//
mcbA	b0585//b1093//
mcrA	b0365//b0736//
mdtJ	b3255//b2678//
menD	b3787//b3659//b0678//
metN	b1789//b1104//
mglC	b2678//b1945//b2418//
mhpB	b3114//b0801//
mhpF	b2439//b1755//
minD	b4079//b1930//
minE	b1348//b3456//
mnmG	b3654//b2972//
moaE	b3306//b3315//b0406//b1407//b3730//
mokB	b2080//b0409//
mpl	b1955//b1818//
mprA	b0907//b2662//b1531//
mraZ	b3119//b3871//b2998//b2368//
mrp	b3845//b1680//
murE	b3213//b1215//
nagB	b0782//b4334//
nanM	b0850//b2755//
napF	b3515//b2266//
napH	b1494//b1014//b2697//b1672//b3200//
narJ	b0074//b2037//b2203//
narZ	b3311//b2137//
nirD	b3035//b1152//b0094//
nrdG	b3728//b2766//
nrdI	b4303//b3998//b3725//b1611//
nrfC	b3199//b1767//b2544//
nuoB	b1745//b1632//
nuoN	b3898//b0928//b2186//b3352//b1931//b0137//b0406//b2946//b0033//b2266//b2868//
oppF	b3786//b2272//b0137//b0724//b1742//
paaI	yjhE//b0406//b3618//b2619//b3822//b2080//b2677//b1563//b3605//
pdhR	b1138//b2041//
pdxK	b0758//b1038//b2463//
pflB	b3175//b3315//
pgk	b2036//b2005//b3896//
pheL	yrhC//b3565//
phnE	b3367//b0836//
phnL	b4202//b3733//b2751//b3514//
pntA	yncK//b2526//
polA	b0653//b2527//
potH	b2460//b1093//b2280//b1972//b2150//b0487//b0855//
ppa	b3710//b3898//
ppdD	b0073//b3525//
ppx	b1428//b1925//
proX	b0910//b4328//b1483//
prpD	b4598//b2250//b1954//
pspD	b4128//b2498//b2145//b3100//
pstB	b1949//b3426//
pstS	b0896//b1578//b2216//
purT	b3417//b1495//b0632//b4335//b3305//b3964//b3537//b3158//b2531//b0320//
putP	b2515//b1200//
puuR	b1449//b1428//b1787//b3213//
pyrI	b2091//b3205//b2501//b0342//b3630//b3906//
rbsK	b3741//b3748//b1517//b0975//b0168//
rcsD	b2242//b1340//
recQ	b2678//b1070//
relE	b3597//b4279//
rhaB	b1154//b3221//
ribF	b4244//b2348//b2526//b1482//
rlpB	b3194//b0636//b3475//
rluA	b3194//b2048//
rpmI	b1755//b3894//
rpoN	b0091//b2005//
rseA	b1646//b1511//
rsxB	b2737//b2930//
rtcR	b1638//ygeN//
rutG	b3265//b3031//b4222//b1772//b1126//b1386//b2097//
ryhB	b3031//b3297//
sapD	b1009//b1751//b1506//
serC	b0186//b2424//
serT	b0077//b0983//b4308//b4310//
sfmH	b2196//b2703//
slyA	b1824//b3619//
smpB	b2256//b3231//
srlE	b1409//b0088//b2868//b4407//b2994//
sroB	b2736//b1123//
sseB	b0854//b2440//
sspB	b1200//b3429//
ssrS	b1724//b0533//b2522//
sucD	b2706//b0168//b4112//b1081//b3114//b3477//b3343//b4237//b0115//b2748//b1729//b3345//b0829//
sufS	b2994//b4524//b4153//b1593//b3962//b2748//
tatA	b3307//b1844//
tdcG	b1783//b3118//b1773//b3654//b2828//b2194//b3926//
tdh	b0922//b3395//b0092//b3803//b3167//b3172//
tdk	b4117//b1420//
thrC	b3903//b1077//b2150//
thrW	b3117//b3138//b3302//b0856//
tnaC	b0004//b3710//b1709//
tolC	b1362//b0421//b0597//b0976//
