#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b3897//ilvG//
aceF	b2242//b4566//
adiC	b1818//b3632//
araH	b2745//b0477//b0598//
artP	b3116//b2827//
artQ	b2319//b3771//
atpH	b0753//b3251//b1787//b3510//b2717//b2319//
bcsB	b1040//b4319//
bcsF	b0522//b3222//
betI	b2764//b0306//b3932//
btuE	b2266//b3930//
cadB	b0002//b1260//
ccmE	b0750//b1007//b3613//
ccmH	b0038//b0091//b3138//
chbR	b3479//b3343//
chpR	b0114//b0636//
citF	b1513//b0336//b0195//
cobU	yliL//b3724//b0940//
csgG	b0026//b4348//b0695//b2041//
cueR	b3336//b2240//b0011//
cusF	b2530//b3964//b0078//b3327//
cyoE	b0421//b3690//b1073//b3771//b2123//
dacA	b1925//b1478//
ddpC	b2035//b2618//
ddpF	b4158//b3861//b2918//b0775//
deoD	b0856//b4315//b4308//b2071//
dhaM	b3751//b0004//b4426//
dmsB	b0573//b0348//
dnaK	b2282//b1421//
dppF	b4467//b0078//b3735//b0120//b2272//
edd	b1175//b0233//
efeU	b3893//b2704//
eptA	b0785//b0976//b1884//b3927//b2204//b3780//b1729//b2313//b2992//
eutL	b0999//b2888//
eutT	b1077//b3734//b4280//b1955//b2879//b4565//
fabG	b1105//b2458//
fadB	b3239//b2012//
fdnI	b1841//b4076//
fecE	b0796//ybfG//b0983//b4291//b0520//
fepC	b1988//b1587//
fepG	b4114//b1603//
fhuD	b3905//b1955//b4315//b0678//
fimH	b3180//b1937//b0796//b3175//
fimI	b3560//b2418//b3637//
fklB	b3875//pawZ//b3021//
flhD	b2868//b3516//
frmR	b2255//b0234//
fruK	b0431//b1088//b1910//
ftsN	b0863//b0997//b4378//
gadX	b3304//b4072//
galT	b3299//b3687//b1083//b2097//
garR	b4512//b0058//b3344//b4428//b4378//
gatZ	b2750//b2039//b2663//ilvG//b1072//b2239//b3225//
gcvT	b3223//b0087//b2490//
glcG	b0180//ilvG//b4382//
glgX	b2421//b3771//b2196//b1394//
glnL	b3643//b0884//
glnQ	b1491//b3321//b2757//
glpT	b3198//b2243//b1332//b0726//b1773//b1736//b0431//b1560//
gltB	b2147//b2702//
gltL	b0672//b1880//
glxR	b3221//b4106//
gspB	b3640//b3342//
gspD	b4132//b1729//
gspF	b0004//b3208//
gspM	b0996//b2872//
hisQ	b1527//b0652//b2037//
holC	b4377//b3703//b3725//b1299//
htpG	wbbL//b3736//b4466//
hybC	b2048//b3770//
hybG	b1298//b4067//b3797//
hybO	b1195//b1307//b1294//
hydN	b2724//b4270//b0678//b1504//b1483//b4464//b4470//b0923//b4407//b2469//b4249//
hyfB	b1051//b2992//b4293//
hyfR	b3031//b1151//b0013//b0850//b3001//
ibpB	b1750//b2162//
ileY	b2266//b2767//
ilvM	b1124//b4098//b2543//b4037//b4069//
ilvN	b3204//b1435//
iscU	b1247//b2313//b1942//b1007//yjhE//
iscX	b3896//b2543//b2052//
kdsD	b2051//b3128//
ksgA	b4033//b2143//
lacZ	b4013//b3193//b4147//
lar	b1409//b3194//
