#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0940//b3931//
aceF	b2867//b2126//
adiC	b1226//b2751//
araH	b4609//b2222//b2523//
artP	b0660//b3784//
artQ	b3541//b2728//
atpH	b4160//b3631//b1988//b0036//b3985//b3120//
bcsB	b3931//b4109//
bcsF	pawZ//b2527//
betI	b3780//b1900//b2204//
btuE	b1815//b3110//
cadB	b1410//b1171//
ccmE	b4559//b1565//b2035//
ccmH	b2147//b1881//b0062//
chbR	b0536//b2448//
chpR	b1514//b1883//
citF	b4304//b1039//b4589//
cobU	b3366//b0811//b1920//
csgG	b4037//b2765//b4113//b1947//
cueR	b1189//b2169//b1588//
cusF	b0153//b0018//b3957//b3904//
cyoE	b2744//b1394//b0183//b1580//b3956//
dacA	b2204//b3320//
ddpC	b2722//b0615//
ddpF	b3308//b1073//b3180//b0888//
deoD	b0961//b1744//b0150//b3185//
dhaM	b0653//b2531//b1931//
dmsB	b4287//b1003//
dnaK	b1787//b0733//
dppF	b4585//b3825//b4147//b0830//b2249//
edd	b2202//b0027//
efeU	b2487//b0342//
eptA	b0050//b0015//b3725//b1744//b4143//b0505//b0894//b2140//b0148//
eutL	b1954//b1797//
eutT	b2881//b3894//b4314//b0487//b3265//b3522//
fabG	b2530//b2461//
fadB	b2607//b0776//
fdnI	b4015//b3318//
fecE	b1421//b2195//b4382//b3739//b3661//
fepC	b2448//b1224//
fepG	b2601//b1841//
fhuD	b3651//b0406//b1909//b3456//
fimH	b3977//b3710//b2150//b0809//
fimI	b4151//b1948//b4230//
fklB	b3530//b1862//b4183//
flhD	b3300//b3231//
frmR	b3560//b3805//
fruK	arpB//b2514//b0329//
ftsN	b3128//b1235//b2026//
gadX	b1260//b3520//
galT	b0131//b1395//b3455//b2739//
garR	b1885//b2071//b4006//b0184//b2150//
gatZ	b0186//b3562//b2736//b2023//b1342//b4506//b3229//
gcvT	b2751//b3649//b2103//
glcG	b1773//b2887//b0003//
glgX	b1015//b3516//b3687//b0837//
glnL	b1495//b1235//
glnQ	b0736//b1133//b0369//
glpT	b0025//b3197//b3221//b0487//b0583//b4317//b1157//b2017//
gltB	wbbL//b4200//
gltL	b1350//b3833//
glxR	b0451//b0004//
gspB	b1651//b3118//
gspD	b4335//b2704//
gspF	b2997//b2198//
gspM	b2698//b0936//
hisQ	b1746//b0765//b1389//
holC	b0162//b1588//b3511//b2145//
htpG	b3159//b0344//b2607//
hybC	b2992//b3303//
hybG	b2724//b1190//b0520//
hybO	b1683//b3486//b0329//
hydN	b3205//ecpB//b1941//b3822//b3541//b3514//b2280//b0498//b1079//b2659//b0588//
