#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b4380//b3403//
aceF	b0497//b0313//
adiC	b4334//b3170//
araH	b2881//b4317//b3796//
artP	b2203//b1681//
artQ	b1772//b0474//
atpH	b0850//b0474//b0592//b1682//b0594//b0990//
bcsB	b2672//b3417//
bcsF	b2005//b2488//
betI	b1133//b4035//b4035//
btuE	b3026//b1125//
cadB	b3781//b4006//
ccmE	b0195//b0033//b0830//
ccmH	b1588//b2025//b2422//
chbR	b0590//b1097//
chpR	b1252//b4100//
citF	b1244//b1779//b3611//
cobU	b0971//b2705//b4603//
csgG	b0231//b3454//b0941//b2502//
cueR	b1435//b0232//b4249//
cusF	b3001//b3312//b3769//b3976//
cyoE	b3958//b3098//b2652//b1973//b0615//
dacA	b1748//b3927//
ddpC	b3126//b4096//
ddpF	b4027//b0296//b4057//b2751//
deoD	b1518//b3316//b1464//b1709//
dhaM	b2841//b2252//b3476//
dmsB	b2762//b0772//
dnaK	b0026//b0575//
dppF	b1918//b0585//b1305//b3616//b3120//
edd	b0594//b0897//
efeU	b2341//b2012//
eptA	b1587//b1930//b0904//b2458//b3799//b2090//b1078//b2162//b2037//
eutL	b0872//b0573//
eutT	b2725//b0312//b4348//b3811//b0347//b1307//
fabG	b0734//b2887//
fadB	b0313//b4101//
fdnI	b1287//b0617//
fecE	b4302//b1684//b1864//b1155//b2167//
fepC	b3963//b1628//
fepG	b2855//ecpB//
fhuD	b4526//b3069//b1132//b2414//
fimH	b4071//b3390//b0975//b0796//
fimI	b3359//b1287//b4201//
fklB	b4464//b2517//b1929//
flhD	b1890//b1435//
frmR	b3603//b0811//
fruK	b3896//b2994//b0306//
ftsN	b1184//b3316//b3640//
gadX	b3603//b3387//
galT	b1778//b0596//b1747//b0120//
garR	b1305//b4037//b3426//b0936//b3892//
gatZ	b1817//b3229//b3189//b4033//b2203//b3119//b3315//
gcvT	b0894//b3545//b2529//
