#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b1176//b2971//
aceF	b2718//b1154//
adiC	efeU//b3456//
araH	b1698//b1774//b2068//
artP	b2041//b3224//
artQ	b3785//b3480//
atpH	b1922//b3904//b0804//b4076//b1138//b0014//
bcsB	b2004//b1120//
bcsF	b0984//b3377//
betI	b1190//b3333//b3385//
btuE	b3197//b3479//
cadB	b0092//b1600//
ccmE	b2312//b1080//b0152//
ccmH	b1097//b0592//b3733//
chbR	b3005//b1864//
chpR	b2341//b1900//
citF	b3341//b3158//b2092//
cobU	b1972//b1304//b1243//
csgG	b0351//b2447//b1395//b4566//
cueR	b1881//b4131//b2013//
cusF	b3986//b1351//b1258//b3769//
cyoE	b0775//b3543//b1745//b3962//b3786//
dacA	b0051//b3345//
ddpC	b4005//b1940//
ddpF	b1912//b2459//b2203//b2147//
deoD	b3708//b3318//b3191//b3705//
dhaM	b0809//b3098//b2782//
dmsB	b3991//b3863//
dnaK	b2021//b0804//
dppF	b2235//b3649//b3796//b2335//b4609//
edd	b3316//b1910//
efeU	b1018//b2140//
eptA	b2444//b0074//b2012//b3259//b0905//b1368//b2675//b3300//b1931//
eutL	b1784//b1717//
eutT	b2080//b3628//b2189//b3786//b1949//b1973//
fabG	b2445//b3306//
fadB	b0860//b1970//
fdnI	b4230//b2003//
fecE	b2236//b4249//b3850//b4352//ilvG//
fepC	b4592//b0231//
fepG	b1297//b3520//
fhuD	b0234//b3065//b1953//b1307//
fimH	b2093//b4566//b0750//b3629//
fimI	b1175//b3213//b3982//
fklB	b0038//b2137//b1292//
flhD	b2205//b2390//
frmR	b3416//b1075//
fruK	b2354//b2529//b3013//
ftsN	b1141//b3078//b0153//
gadX	b0073//b1841//
galT	b2750//b3172//b3172//b0643//
garR	b1203//b3802//b2137//b2531//b2447//
gatZ	b0974//b1368//b1368//b3113//b4330//b1849//b1281//
gcvT	b1751//b2029//b2756//
