#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b1910//b1987//
aceF	b1300//b1599//
adiC	b3848//b2601//
araH	b0137//b1832//b0652//
artP	b0873//b1735//
artQ	b2721//b2197//
atpH	b1340//b2024//b4330//b1125//b3615//b0977//
bcsB	b1904//b1410//
bcsF	b1164//b0014//
betI	b1783//b3493//b2721//
btuE	b1228//b3159//
cadB	b4051//b3982//
ccmE	b3686//b4056//b0164//
ccmH	b3784//b3741//b1948//
chbR	b0704//b3721//
chpR	b3302//b3167//
citF	b2189//b1085//b2216//
cobU	b3205//b4122//b4353//
csgG	b3342//b2881//b4335//b3289//
cueR	b2725//b1134//b1518//
cusF	b2217//b0042//b3336//b4067//
cyoE	b3224//b3400//b2460//b3124//b1464//
dacA	b0536//b0050//
ddpC	b1265//b2387//
ddpF	b3972//b3194//ygaQ_2//b0989//
deoD	b0180//b0198//b4160//b2197//
dhaM	b1474//b1973//b3993//
dmsB	b4188//b3516//
dnaK	b2312//b3614//
dppF	b2326//b0923//b3031//b2022//b3525//
edd	b0474//b0498//
efeU	b2278//b2522//
eptA	b3670//b3812//b2255//b0063//b0536//b0348//b1499//b2652//b0050//
eutL	b0785//b0820//
eutT	b2917//b0757//b2674//b1767//b0781//b2713//
fabG	b0143//b4310//
fadB	b3167//b3482//
fdnI	b0736//b0351//
fecE	b0023//b3967//b0042//b0114//b1034//
fepC	b1386//b4149//
fepG	b0721//b2872//
fhuD	b0089//b1048//yliL//b3202//
fimH	b1312//b1243//b3723//b3630//
fimI	b4076//b1586//b0082//
fklB	b2712//b3802//b2202//
flhD	b1390//b1745//
frmR	b0307//b1685//
fruK	b2021//b1351//b0799//
ftsN	b3826//b0776//b3138//
gadX	b1519//b3752//
galT	b2199//b4254//b3810//b2222//
garR	b1511//b4035//b0511//b3726//b2053//
gatZ	b1294//b4655//b3172//b1993//b0806//b4485//b0980//
gcvT	b1576//b3986//b0653//
glcG	b1255//b2755//b2527//
glgX	b3944//b2725//b3992//b0828//
glnL	b2150//b4221//
glnQ	b0894//b0004//b3903//
glpT	b1247//b3265//b0432//b1834//b2949//b3006//b4110//b2818//
gltB	b3400//b3183//
gltL	b3993//b1097//
glxR	b2014//b2456//
gspB	b2017//b1007//
gspD	b0804//yrhC//
gspF	b0186//b1171//
gspM	b3417//b0545//
hisQ	b2841//b3416//b2141//
holC	b3624//b2204//b0781//b2208//
htpG	b4378//b0678//b2903//
hybC	b0738//b2055//
hybG	b0591//b1565//b2454//
hybO	b1717//b1617//b3300//
hydN	b0497//b3845//b3796//b4515//b3651//b0348//b2867//b4160//b0895//b0595//b0851//
hyfB	b2748//b0162//b2203//
hyfR	b2930//b1843//b4418//b0091//b0945//
ibpB	b1646//b2776//
ileY	b0652//b0421//
ilvM	b2739//b1246//b3260//b2939//b3522//
ilvN	b3296//b4183//
iscU	b1081//ygeN//b3703//b3098//b1662//
iscX	b3013//b2312//b1554//
kdsD	b2501//b4289//
ksgA	b0509//b0660//
lacZ	b3972//b1389//b1577//
lar	b0333//b0148//
leuZ	b3118//b0028//b1485//b0138//
lldR	b0198//b0170//b4414//
lpxP	b3113//b3905//b0350//b1189//
lspA	b2606//b1954//b4329//
lsrR	b2421//b1072//b0976//b2093//b1564//b3221//b1942//b1836//
lyx	b4418//b2022//
malQ	b0776//b2682//b3617//b3560//b1552//b2400//b2757//b3786//
manZ	b4319//b1834//b3785//
marR	b4188//b1126//
mcbA	b0978//b3117//
mcrA	b0296//b1531//
mdtJ	b0094//b3544//
menD	b3378//b2464//b4328//
metN	b2464//b1293//
mglC	b2024//b4237//b0637//
mhpB	b0936//b1103//
mhpF	b0939//b1103//
minD	b3560//b2374//
minE	b2827//b3933//
mnmG	b2994//b4249//
moaE	b0164//b1828//b2720//b0652//b2703//
mokB	b3849//b2003//
mpl	b4485//b4254//
mprA	b0554//b0153//b4079//
mraZ	b1628//b2873//b0233//b1081//
mrp	b0896//b3992//
murE	b2142//b1681//
nagB	b3926//b3433//
nanM	b4221//b0811//
napF	b3200//b1576//
napH	b0799//b1080//b3994//b1360//b0945//
narJ	b1007//b3543//b4149//
narZ	b3158//b4592//
nirD	b3195//b1263//b1307//
nrdG	b3629//b1184//
nrdI	b4231//b2400//b1235//b0921//
