#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0897//b1152//
aceF	b3297//b3126//
adiC	b2502//b3035//
araH	b1207//b1409//b0908//
artP	b0873//b0996//
artQ	b2095//b1823//
atpH	b0131//b3159//b4238//b0851//b0672//b4603//
bcsB	b1098//b2464//
bcsF	b1632//b2249//
betI	b2878//b4430//b3941//
btuE	b2243//b0087//
cadB	b0974//b2939//
ccmE	b3422//b0113//b0894//
ccmH	b3998//b1062//b0764//
chbR	b0943//b0856//
chpR	b2894//b1075//
citF	b3208//b1343//b0637//
cobU	b0736//b1796//b3224//
csgG	b3616//b0636//b1848//b2524//
cueR	b2104//b1554//b2600//
cusF	b3118//b3119//b3311//b1003//
cyoE	b0073//b1287//b2005//b3985//b3078//
dacA	b3426//b3316//
ddpC	b0180//b1776//
ddpF	b3809//b2764//b0042//b1443//
deoD	b2660//b3544//b4310//b4310//
dhaM	b3845//b2185//b0704//
dmsB	b2851//b1062//
dnaK	b0855//b3740//
dppF	b3898//b0505//b4375//b0973//b3403//
edd	b1198//b1578//
efeU	b1467//b2090//
eptA	b3118//b3605//b1953//b1776//b2204//b0307//b2199//b0678//b2049//
eutL	b2203//b0583//
eutT	b0513//b1154//b3318//b3930//b2440//b2195//
fabG	b3897//b1555//
fadB	b1040//b3726//
fdnI	b1776//b1467//
fecE	b2911//b4512//b0038//b2284//b2095//
fepC	b3991//b2453//
fepG	b1555//b1430//
fhuD	b1724//b1176//b2040//b4592//
fimH	b3898//b1587//b1487//b1593//
fimI	b2887//b0753//b2500//
fklB	b3426//b0347//b1299//
flhD	b3894//b1138//
frmR	b0139//b0184//
fruK	b2652//b2702//b4568//
ftsN	b3931//b1407//b4122//
gadX	b1849//b3530//
galT	b0678//b1755//pawZ//b4307//
garR	b1843//b0350//b3829//b2675//b4113//
gatZ	b0737//b1509//b1992//b3367//b2281//b0198//b1565//
gcvT	b1226//b2145//b0152//
glcG	b1701//b2609//b1476//
glgX	b3222//b2755//b1588//b1282//
glnL	b2894//b1887//
glnQ	b1228//b3931//b1527//
glpT	b4280//b1444//b3416//b2720//b4244//b2506//b1919//b3654//
gltB	b1925//b3707//
gltL	b0334//b0474//
glxR	b2992//b2722//
gspB	b4565//b3136//
gspD	b4316//b2727//
gspF	b1153//b4201//
gspM	b2120//b3322//
hisQ	b2335//b0169//b4277//
holC	b0851//b0873//b3626//b3649//
htpG	b1564//b0344//b1628//
hybC	b2527//b0533//
hybG	b1776//b4048//b2186//
hybO	b4566//b0434//b3177//
hydN	b3846//b2676//b2852//b3508//b0088//b2527//b0722//b2499//b3308//b2907//b3189//
hyfB	b0795//b2185//b2994//
hyfR	b3530//b2288//b2737//b3224//b1062//
ibpB	b1312//b3319//
ileY	b1088//b1756//
ilvM	b3168//b1352//b3705//b0615//b2728//
ilvN	b3906//b4054//
iscU	b1389//b0756//b1334//b1260//b1757//
iscX	ecpB//b2022//b3310//
kdsD	b0829//b1194//
ksgA	b1750//b3628//
lacZ	b2050//b1580//b2335//
lar	b3626//b1851//
leuZ	b1148//b2013//b0182//b2248//
lldR	b2675//b4585//b2514//
lpxP	b2454//b2598//b0348//b2056//
lspA	b3771//b3115//b2168//
lsrR	b1351//b0168//b4470//b3141//b1171//b2444//b3510//b3930//
lyx	b1137//b0980//
malQ	b3785//b1756//b2262//b3194//b0486//b2684//b3352//b3512//
manZ	b2736//b1683//b3822//
marR	b0785//b1134//
mcbA	b4308//b1939//
mcrA	b3329//b2600//
mdtJ	b0733//b0724//
menD	b3308//b4187//pawZ//
metN	b3623//b0329//
mglC	b1140//b1342//b4308//
mhpB	b1140//b1883//
mhpF	b3294//b0865//
minD	b1931//b2800//
minE	b0586//b3750//
mnmG	b2014//b0751//
moaE	b0536//b3377//b1189//b0089//b0672//
mokB	b4127//b3166//
mpl	b0989//b0616//
mprA	b1922//b4352//b1735//
mraZ	b3229//b3422//b0972//b2313//
mrp	b1297//b4188//
murE	b0522//b0150//
nagB	b1744//b1796//
nanM	b3748//b3671//
napF	b3289//b3740//
napH	b0911//b4318//b3964//b2447//b1316//
narJ	b2506//b4221//b1938//
narZ	b3958//b1589//
nirD	b1207//ysaC//b2004//
nrdG	b0199//b1150//
nrdI	b3784//b1904//b0113//b2189//
nrfC	b1824//b2032//b1906//
nuoB	b1151//b0720//
nuoN	b1767//b1683//b3126//b2878//b2277//b1517//b2140//b3611//b2047//b3312//b3487//
oppF	b3477//b1578//b1486//b3180//b1849//
paaI	b0903//b1316//b0659//b3788//b0473//b0758//b0777//b3863//b0828//
pdhR	b0138//b3136//
