#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b3991//b2515//
aceF	b3960//b2750//
adiC	b3611//b3875//
araH	b0636//b4328//b2906//
artP	b1343//b1633//
artQ	b1144//b3478//
atpH	b3846//b3649//b0087//b0093//b1078//b0736//
bcsB	b2004//b1680//
bcsF	b0094//b2280//
betI	b1048//b0738//b1304//
btuE	b4319//b3165//
cadB	b3069//b2444//
ccmE	b1189//b3525//b1077//
ccmH	b1392//b4451//b0089//
chbR	b0042//b0051//
chpR	b3544//b0943//
citF	b0253//b0158//b2142//
cobU	b3727//b1038//b1120//
csgG	b3346//b1247//b4110//b1577//
cueR	b3429//b0704//b1410//
cusF	b4621//b0678//b4471//b2012//
cyoE	b3478//b1012//b1154//b2873//b4013//
dacA	b1018//b3308//
ddpC	b2252//b1926//
ddpF	b0366//b3193//b1930//b2309//
deoD	b3308//b1925//b2277//b3544//
dhaM	b2318//b0125//b0143//
dmsB	b1617//b3563//
dnaK	b0518//wbbL//
dppF	b3637//b4013//b3239//b3069//b2313//
edd	b1235//b0750//
efeU	b4314//b1352//
eptA	b2721//b0897//b2491//b0729//b2888//b1685//b1421//b2992//b0722//
eutL	b2280//b2104//
eutT	b3728//b3340//b3624//b0589//b2827//b2309//
fabG	b2423//b3927//
fadB	b0474//b1048//
fdnI	b3231//b3316//
fecE	b4478//b2992//b0075//b1755//b0089//
fepC	b0897//b2543//
fepG	b3180//b3724//
fhuD	b1299//b1843//b3432//b2095//
fimH	b1937//b3740//b1195//b1435//
fimI	b0004//b2342//b3726//
fklB	b0595//b2199//b1590//
flhD	b2619//b2168//
frmR	b0365//b1891//
fruK	b2750//b1298//b1554//
ftsN	b3307//b2012//b3509//
gadX	b3562//b2080//
galT	b3416//b4315//b0978//b2482//
garR	b1992//b1083//b3625//b2879//b2423//
gatZ	b2818//b2887//b1739//b1632//b2239//ecpB//wbbL//
gcvT	b2930//b4034//b2887//
glcG	b0059//b3456//b4585//
glgX	b3260//b1407//b1504//b3186//
glnL	b1293//b2871//
glnQ	b3992//b0723//b0074//
glpT	b3998//b3562//b1000//b1298//b1901//b3941//b0735//b0733//
gltB	b3565//b0904//
gltL	b0058//b1784//
glxR	b2248//b1438//
gspB	b0180//b3031//
gspD	b1061//b2240//
gspF	b4280//b1932//
gspM	b1836//b1577//
hisQ	b3342//b0093//b4099//
holC	b1953//b1779//b0907//b2995//
htpG	b3117//b1742//b3315//
hybC	b2207//b4117//
hybG	b2609//b3870//b0131//
hybO	b2019//b0013//b3491//
hydN	b1152//b3781//b3615//b2490//b1778//b1395//b3197//b3792//b3725//b1189//b3749//
hyfB	b3770//b3595//b0180//
hyfR	b0082//b0511//b1415//b2480//b1931//
ibpB	b1717//b2880//
ileY	b2144//b0643//
ilvM	b2620//b1791//b0904//b0350//b0406//
ilvN	b1368//b0804//
iscU	b0082//b2256//b2126//b3323//b3183//
iscX	b1926//ybfI//b0973//
kdsD	b1710//b2601//
ksgA	b3336//b4377//
lacZ	b0432//b1298//b2252//
lar	b1787//b2712//
leuZ	b2123//b1468//b3972//b1685//
lldR	b2039//b2948//b2423//
lpxP	b3967//b3838//b0939//b0474//
lspA	b3301//b3905//b2704//
lsrR	b1505//b3532//b2933//b3705//b0113//b3223//b3563//b3306//
lyx	b0975//b2022//
malQ	b3623//b3894//b2149//b1428//b2939//b2135//b0904//b3903//
manZ	b2414//b1184//b1683//
marR	b0088//b3460//
mcbA	b0028//b1747//
mcrA	b2230//b1505//
mdtJ	b0862//b3261//
menD	b4222//b1039//b0796//
metN	b0635//b2572//
mglC	b3006//b2886//b0922//
mhpB	b2665//ypjI//
mhpF	b0113//b3740//
minD	b2235//b1226//
minE	b2739//b1125//
mnmG	b0038//b3545//
moaE	b1580//b2095//b0596//b4459//b1593//
mokB	b2235//b3153//
mpl	b3482//b1393//
mprA	b2400//b1646//b3197//
mraZ	b2620//b0660//b2682//b1880//
mrp	b1082//b1576//
murE	b3200//b3611//
nagB	b1157//b3223//
nanM	b3658//b0171//
napF	b1876//b3624//
napH	b1587//b3493//b0795//b0871//b3771//
narJ	b3128//b0428//b2449//
narZ	b2994//b2026//
nirD	b3324//b0781//b3810//
nrdG	b3904//b1157//
nrdI	b1074//b0978//b3822//b3300//
nrfC	b3796//b2167//b1243//
nuoB	b4156//b2487//
nuoN	b1390//b0722//b0509//b0093//b2738//b0583//b1590//b0180//b2326//b3986//b0678//
oppF	b0595//b3983//b1124//b1783//b0704//
paaI	b2021//b1386//b2720//b3611//b3128//b3359//b3334//b2491//b2514//
pdhR	b3515//b4254//
pdxK	b3175//b1887//b2529//
pflB	b3065//b1154//
pgk	b3994//b1627//b0015//
pheL	b4005//b1018//
phnE	b4358//b1104//
phnL	b1683//b1517//b3289//b3333//
pntA	yedS//b3006//
polA	b3643//b3344//
potH	b0072//b3799//b2208//b0182//b0038//b0085//b1789//
ppa	b2002//b1512//
ppdD	b1396//b0710//
