#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0523//yrhA//
aceF	b1388//b0734//
adiC	b1361//b3783//
araH	b3192//b3560//ilvG//
artP	b0961//b1904//
artQ	b2597//b4101//
atpH	b1368//b1881//b0536//b2034//b4311//b1772//
bcsB	b2453//b4128//
bcsF	b3098//b3347//
betI	b0940//b2273//b2341//
btuE	b2255//b1587//
cadB	b1646//b0851//
ccmE	b3792//b1918//b1018//
ccmH	b2725//b0784//b1245//
chbR	b1485//b1034//
chpR	b2272//b4603//
citF	b2659//b3317//b0726//
cobU	b1662//b2252//b3001//
csgG	b0805//b0598//b3193//b3703//
cueR	b4407//b4320//b1362//
cusF	b2620//b1779//b2250//b0083//
cyoE	b1155//b4183//b0864//b0896//b4143//
dacA	b3822//b0379//
ddpC	b3260//b2876//
ddpF	b0851//b0583//b2051//b3976//
deoD	b1435//b3781//b4303//b2598//
dhaM	b4318//b3708//b3125//
dmsB	b2451//b1062//
dnaK	b3326//b0735//
dppF	b3203//b0911//b0078//b1493//b2960//
edd	b4451//b1511//
efeU	b3166//b2208//
eptA	b3752//b1350//b0414//b1784//wbbL//b2597//b1515//b3118//b4330//
eutL	b4027//b3078//
eutT	b4469//b2313//b4330//b1368//b0928//b4033//
fabG	b2097//b3515//
fadB	b3869//b3540//
fdnI	b3457//b0704//
fecE	b2019//b3796//b3631//b1807//b1593//
fepC	b2992//b0757//
fepG	b4015//b3575//
fhuD	b4113//b3031//b0739//b2754//
fimH	b1175//b0182//b4352//b3190//
fimI	b3906//b1944//b2800//
fklB	b0273//b0114//b4280//
flhD	b2751//b0804//
frmR	b3416//b0574//
fruK	b4158//b0660//b3361//
ftsN	b2729//b3597//b2946//
gadX	b2014//b4568//
galT	b0983//b4304//b1955//b0997//
garR	b1504//b1628//b3390//b1040//b0120//
gatZ	b2256//b3703//b1970//b4015//b2309//b4226//b3136//
gcvT	b3906//b3113//b3136//
glcG	b1244//b3997//b3035//
glgX	b1493//b2199//b3540//b2750//
glnL	b3861//b1485//
glnQ	b1194//b1259//b3138//
glpT	b1925//b1044//b3480//b2527//b3301//b1554//b4231//b2529//
gltB	b0759//b4122//
gltL	b0736//b2458//
glxR	b3175//b0809//
gspB	b1779//b2908//
gspD	b2673//b0518//
gspF	b4319//b1823//
gspM	b3170//b0801//
hisQ	b3260//b0253//b2012//
holC	b0198//b3732//b3506//b2240//
htpG	b3829//b0978//b2236//
hybC	b2997//b2252//
