#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b4199//b3069//
aceF	b1717//b0311//
adiC	b2930//b0635//
araH	b3809//b0585//b2097//
artP	b1485//b0778//
artQ	b0777//b0549//
atpH	b1171//b3201//b4384//b0245//b2725//b1096//
bcsB	b4254//b3319//
bcsF	b1225//b3565//
betI	b1925//b1171//b0015//
btuE	b0616//b0263//
cadB	b2871//b3400//
ccmE	b3769//b0301//b3687//
ccmH	b3994//b3311//b3455//
chbR	b0756//b1970//
chpR	b3203//b3703//
citF	b1560//b2800//b0723//
cobU	b4618//b3959//b1245//
csgG	b4122//b1391//b3202//b3320//
cueR	b3325//b2080//b3343//
cusF	b3431//b0751//b3640//b3982//
cyoE	b2856//b2855//b0974//b4315//b1444//
dacA	b3385//b3292//
ddpC	b3460//b0737//
ddpF	b0796//b4102//b2933//b3080//
deoD	b2675//b2864//b3265//b3986//
dhaM	b2093//b3964//b2005//
dmsB	b4369//b0583//
dnaK	b2257//b1156//
dppF	b4122//b2243//b3493//b2035//b0720//
edd	b0751//b4316//
efeU	b0594//b1291//
eptA	b4384//b3378//b1396//b2930//b3129//b2939//b1491//b4154//b2469//
eutL	b3307//b4147//
eutT	b2005//b0306//b1177//b0114//b4428//b1882//
fabG	b4358//b4098//
fadB	b2497//b0922//
fdnI	b2998//b2196//
fecE	b1844//b3541//b2454//b4603//b1350//
fepC	b4589//b3069//
fepG	b2572//b2917//
fhuD	b1554//b0306//b0234//b0958//
fimH	b3035//b1883//b4123//b2713//
fimI	b2601//b2387//b3477//
fklB	b2600//b4048//b1506//
flhD	b1262//b0812//
frmR	b1840//b2461//
fruK	b2888//b0976//b2506//
ftsN	b2203//b3204//b3309//
gadX	b1866//b3022//
galT	b2019//b1349//b0729//b0722//
garR	b1682//b1517//b2026//b0905//b2053//
gatZ	b2767//b0234//b2454//b0598//b4070//b4158//b2327//
gcvT	b1843//b0075//b3026//
glcG	b3172//b4034//b1742//
glgX	b2751//b1051//b4100//b4239//
glnL	b1494//b3311//
glnQ	b3982//b3620//b4143//
