#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b2756//b2517//
aceF	ilvG//b3730//
adiC	b2203//b0856//
araH	b3366//b0131//b1386//
artP	b4034//b2287//
artQ	b1630//b2662//
atpH	b0198//ygaQ_2//b0809//b1953//b3329//b3826//
bcsB	b0710//b0733//
bcsF	b1918//b4526//
betI	b1823//b2033//b2368//
btuE	b0451//b3544//
cadB	b3510//b1527//
ccmE	b1444//b4464//b0050//
ccmH	b0509//b0594//b1257//
chbR	b3189//b1678//
chpR	b3185//b2312//
citF	b4127//b0904//b2469//
cobU	b4315//b3429//b4407//
csgG	b4603//b1778//b0704//b1339//
cueR	b3309//b3618//b0678//
cusF	b3643//b2856//b1817//b0795//
cyoE	b2676//yrhC//b2276//b4382//b3992//
dacA	b2104//b2498//
ddpC	b0113//b1745//
ddpF	b0522//b4070//b4603//b1281//
deoD	b1082//b2463//b2992//b3786//
dhaM	b3197//b4188//b3487//
dmsB	b4290//b3314//
dnaK	b3177//b4202//
dppF	b2756//b1971//b3456//b2738//b1312//
edd	b1189//b4293//
efeU	b3981//b2491//
eptA	b1824//b4079//b0108//b0756//b3176//b3944//b2678//b2242//b2047//
eutL	b2445//b3390//
eutT	b3292//b2222//b4329//b2423//b3637//b1444//
fabG	b1072//b2368//
fadB	ecpB//b3127//
fdnI	b1410//b1204//
fecE	b0534//b1948//b1949//b4115//b0659//
fepC	b1680//b4369//
fepG	b2140//b2527//
fhuD	b4034//b0974//b2851//b3738//
fimH	b3334//b3229//b1629//b1071//
fimI	b3624//b3487//b3460//
fklB	b2241//b3221//b4067//
flhD	b2750//b4469//
frmR	b1876//b0234//
fruK	b2113//b2080//b2674//
ftsN	b0320//b2997//b4106//
gadX	b1958//b0751//
galT	b1717//b3603//b1971//b4593//
garR	b2014//b2529//b3575//b1140//b3930//
gatZ	b2202//b1085//b4428//b1034//b1464//b1350//b0910//
gcvT	b3671//b3336//b1340//
glcG	b2766//b4006//b1147//
glgX	b1037//b1464//b3431//b1034//
glnL	b2662//b4024//
glnQ	b2456//b1394//b2234//
glpT	b2933//b0152//b4068//b0430//b0023//b1891//b3597//b2308//
gltB	b3008//b0244//
gltL	b1840//b4071//
glxR	b0062//b3962//
gspB	b1516//b1004//
gspD	b3311//b0756//
gspF	b0765//b1228//
gspM	b2721//b1159//
hisQ	b2455//b3533//b0804//
holC	b1294//b4005//b3260//b2308//
htpG	b0058//b3869//b0180//
hybC	b0637//b0592//
hybG	b1014//b0820//b3359//
hybO	b0505//b2665//b1006//
hydN	b3324//b4384//b2917//b3532//b1147//b0434//b3172//b3933//b1884//b4027//b0940//
hyfB	b2463//b0653//b3686//
hyfR	b2524//b2003//b3183//b1552//b3400//
ibpB	b4443//b0751//
ileY	b1036//b3927//
ilvM	b0738//b0811//b1630//b0485//b1987//
ilvN	b1184//b2682//
iscU	b2893//b1937//b4451//b1082//b0253//
iscX	b1415//b4526//b3520//
kdsD	b3225//b3177//
ksgA	b3327//b3395//
lacZ	b1351//b0013//b1360//
lar	b3850//b4231//
leuZ	b4367//b1554//b2682//b2873//
lldR	b4315//b2995//b0726//
lpxP	b0593//b2675//b4566//b2450//
lspA	b0678//b3708//b0711//
lsrR	b3456//b1246//b2108//b2515//b0720//b0486//b0406//b0180//
lyx	b3710//b1480//
malQ	b2662//b3982//b1850//b2019//b3193//ypjI//b2893//b3341//
manZ	b3205//b0366//b4557//
marR	b2354//b1257//
mcbA	b2096//b0722//
mcrA	b0804//b1007//
mdtJ	b0170//b1747//
menD	b3614//b1464//b0711//
metN	b1912//b1746//
mglC	b2108//b4315//b2203//
mhpB	b0089//b1085//
mhpF	b1282//b2991//
minD	b1760//b2530//
minE	b4414//b3327//
mnmG	b3159//b3221//
moaE	b2676//b0534//b3731//b2616//b0989//
mokB	b3074//b0409//
mpl	b0724//b0113//
mprA	b3129//b3537//b1386//
mraZ	b2013//b3845//b3595//b2425//
mrp	b1339//b0643//
murE	b2908//b2051//
nagB	b1599//b1678//
nanM	b1093//b3294//
napF	b1305//b0961//
napH	b2113//b2239//b0523//b1881//b2880//
narJ	b2527//b3931//b3785//
narZ	b4199//b0922//
nirD	b4526//b2557//b4277//
nrdG	b3603//b3021//
nrdI	b2222//b2652//b4147//b0721//
nrfC	b1391//b1760//b1247//
nuoB	b1409//b2879//
nuoN	b1886//b2126//b0904//b3738//b0233//b0996//b2726//b2972//b1932//b1159//b4566//
oppF	b2525//b1919//b0804//b0637//b4200//
paaI	b0785//b1900//b3265//b4131//b3513//b0050//b4006//b4589//b1199//
pdhR	b1414//b1748//
pdxK	wbbL//b0252//b3432//
pflB	b1632//b1393//
pgk	b3748//b1339//b1840//
pheL	b4381//b3944//
phnE	b3624//b2276//
phnL	b3304//b0450//b3078//b3670//
pntA	b2530//b4383//
polA	b3871//b3994//
potH	b3422//b0368//b1133//b1493//b0263//b3361//b1791//
ppa	b1430//b4183//
ppdD	b1612//b1955//
ppx	b3651//b3236//
proX	b2013//b0736//b3352//
prpD	b4334//b2601//b3198//
pspD	b3560//b2137//b0164//b3632//
pstB	b3213//b2109//
pstS	b2675//b4407//b1515//
purT	b3477//b3200//b1784//b2712//b0313//b0704//b3458//b0961//b1748//b3740//
putP	b1484//b1154//
puuR	b2039//b2616//b0911//b2767//
pyrI	b1953//b2619//b1929//b2607//b2757//b1646//
rbsK	b3509//b1040//b3330//b2113//b1088//
rcsD	b3643//b1435//
recQ	b4311//b1007//
relE	b3963//ecpB//
rhaB	b1348//b2766//
ribF	b1040//b1878//b3846//b3742//
rlpB	b2456//b3259//b2914//
rluA	b2757//b0722//
rpmI	b1226//b1004//
rpoN	b3300//b4201//
rseA	b0977//b2754//
rsxB	b0078//b3705//
rtcR	b0829//b2713//
rutG	b4506//b1629//b0765//b1148//b1599//b3074//b1150//
ryhB	b4114//b4069//
sapD	b2487//b2053//b0430//
serC	b1629//b4304//
serT	b3314//b2713//b2663//b1513//
sfmH	b2531//b2513//
slyA	b1332//b0907//
smpB	b3320//b1862//
srlE	b3343//b4221//b1514//b1362//b3560//
sroB	b3228//b0751//
sseB	b1651//b3310//
sspB	b4244//b2036//
