#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b3185//b4608//
aceF	ygeN//b2390//
adiC	b3871//b0958//
araH	b1349//b0583//b0872//
artP	b1797//b2818//
artQ	b2264//b0778//
atpH	b3845//b1577//b1628//b1335//b3826//b2909//
bcsB	b2023//b2339//
bcsF	b2850//b0653//
betI	b1177//b2051//b4051//
btuE	b3786//b3732//
cadB	b3736//b2035//
ccmE	b0598//b2137//b2660//
ccmH	b4526//b2908//b2888//
chbR	b3964//b0431//
chpR	b4311//b4156//
citF	b1761//b4254//b4426//
cobU	b1420//b1265//b0997//
csgG	b1909//b3228//b2618//b3299//
cueR	b0032//b1493//b1922//
cusF	b1198//b0477//b3542//b0873//
cyoE	b1342//b0978//b2365//b1815//b2445//
dacA	b3628//b4566//
ddpC	b4245//b2440//
ddpF	b3748//b2703//b3796//b0982//
deoD	b1774//b3318//b2445//b4470//
dhaM	b0734//b0763//b4310//
dmsB	b1484//b3740//
dnaK	b3346//b1207//
dppF	b1259//b1359//b2013//b1072//b3229//
edd	b0905//b1190//
efeU	b0379//b4098//
eptA	b0118//b1410//b4609//b1298//b2056//b2450//b2313//b0118//b1428//
eutL	b0908//b1682//
eutT	b2103//b3512//b2319//b3516//b3523//b0597//
fabG	b0921//b1953//
fadB	b0152//b3013//
fdnI	b3385//b2828//
fecE	b4459//b1756//b3769//b4371//ygaQ_2//
fepC	b1150//b1159//
fepG	b2906//b2745//
fhuD	b1072//b4100//b1195//b2767//
fimH	b2679//b2169//b1922//b4102//
fimI	b3707//b3008//b1007//
fklB	b2873//b2307//b3780//
flhD	b3520//b1946//
frmR	b4355//b3119//
fruK	b4035//b3623//b0522//
ftsN	b1955//b1850//b2051//
gadX	b3984//b0180//
galT	b3463//b4113//b4464//b4378//
garR	b1777//b2607//b0728//b2198//b2719//
gatZ	b3705//b3079//b4308//b1503//b3992//b1300//b2906//
gcvT	b0588//b3203//b2284//
glcG	b3417//b3078//b1514//
glgX	b4443//b1254//b1836//b2469//
glnL	b2208//b0977//
glnQ	b3261//b3898//b1739//
glpT	b3617//b4053//b3194//b2909//b3732//b1748//b1228//b4114//
gltB	b3458//b0720//
gltL	b4245//b3631//
glxR	b3292//b0836//
gspB	b0320//b3239//
gspD	b3337//b0897//
gspF	b2871//b0775//
gspM	b1103//b1511//
hisQ	b3525//b0677//b4098//
holC	b2515//b2447//b0904//b3022//
htpG	b4024//b1847//b4426//
hybC	b0050//b3170//
hybG	b4293//b1421//b3189//
hybO	b2783//b3213//b2167//
hydN	b0545//b3336//b2033//b2273//b0983//b4593//b0131//b3228//b3491//b0451//b2971//
hyfB	b3159//b3426//b0169//
hyfR	b3116//b2080//b4603//b0038//b3603//
ibpB	b1299//b2712//
ileY	b2235//b2876//
ilvM	b3894//b3931//b3809//b1188//b3119//
ilvN	b2718//b2457//
iscU	b4557//b4302//b3962//b2216//b1527//
iscX	b0757//b2501//b1632//
kdsD	b1888//b0434//
ksgA	b2543//b0050//
lacZ	b1565//yncK//b0850//
lar	b1698//arpB//
leuZ	b0828//b1929//b1674//b0085//
lldR	b2461//b1841//b0923//
lpxP	b0003//b3031//b4287//b0894//
lspA	b0753//b3347//b2451//
lsrR	b1504//b3228//b1729//b4426//b0854//b0062//b0804//b2883//
lyx	b1088//b3742//
malQ	b1991//b0976//b4006//b2941//b2126//b2925//b1103//b3784//
manZ	b2850//b0306//b3098//
marR	b0896//b3507//
mcbA	b0775//b1262//
mcrA	b1925//b1224//
mdtJ	b2719//b0979//
menD	b4149//b0784//b4470//
metN	b1386//b0653//
mglC	b1421//b1081//b1421//
mhpB	b2447//b3619//
mhpF	b1823//b1555//
minD	b1165//b2722//
minE	b1824//b2216//
mnmG	b3078//b3305//
moaE	b0637//b0026//b0051//b3114//b1904//
mokB	b2723//b1987//
mpl	b1932//b3786//
mprA	b3580//b0357//b1265//
mraZ	b2728//b0711//b2818//b0851//
mrp	b1599//yncK//
murE	b1530//b0583//
nagB	b3738//b1832//
nanM	b4098//b2702//
napF	b2672//b0850//
napH	b2217//b4024//b1900//b2454//b3078//
narJ	b3119//b0137//b1924//
narZ	b1504//b1198//
nirD	b2543//b1888//b0379//
nrdG	b2104//b0023//
nrdI	b0549//b2148//b0296//b0036//
nrfC	b0888//b1646//b3875//
