#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0301//b4183//
aceF	b0357//b0796//
adiC	b4470//b1012//
araH	b2250//b4114//b2080//
artP	b3158//b1410//
artQ	b0014//b1094//
atpH	b3779//b0597//b2878//b0032//b1900//b3430//
bcsB	b0087//b1518//
bcsF	b0783//b2092//
betI	b3021//b4249//b1258//
btuE	b3078//b2527//
cadB	b2946//b0549//
ccmE	b0342//b1334//b1993//
ccmH	b3327//b1866//b3507//
chbR	b2957//b1505//
chpR	b3213//b3297//
citF	b2887//b3960//b3334//
cobU	b3506//b2022//b1848//
csgG	b4524//b4048//b4311//b0757//
cueR	b1351//b2725//b2024//
cusF	b0983//b2724//b3748//b1970//
cyoE	b4314//b0615//b3725//b2348//b1668//
dacA	b3611//b3167//
ddpC	b2674//b0432//
ddpF	b4469//b2039//b0905//b3458//
deoD	b3724//b1082//b2461//b2490//
dhaM	b3871//b3426//b3021//
dmsB	b2342//b1824//
dnaK	b2500//yedS//
dppF	b2204//b3896//b1892//b1190//b2607//
edd	b2992//b3517//
efeU	b3575//b0895//
eptA	b1075//b3198//b2608//b1682//b3079//b0263//b3833//b3536//b1486//
eutL	b4308//b4371//
eutT	b1244//b3869//b3224//b0904//b0348//b4052//
fabG	b2286//b1366//
fadB	b1452//b2236//
fdnI	b0108//b1407//
fecE	b3903//b0336//b3629//b4056//b0545//
fepC	b0856//b3772//
fepG	b3194//b3543//
fhuD	b0058//b2194//b0908//b2283//
fimH	b1593//b3110//b0071//b1247//
fimI	b1386//b2994//b4269//
fklB	b1495//b0737//b0720//
flhD	b3141//b1038//
frmR	b0724//b3941//
fruK	b1316//b3787//b4511//
ftsN	b3228//b0168//b4014//
gadX	b0908//b0980//
galT	b3297//b1307//b0721//b2205//
garR	b4240//b1391//b4036//b1603//b4048//
gatZ	b0736//b1612//b4128//b1147//b3892//b3778//b0184//
gcvT	b3184//b0549//b0597//
glcG	b2208//b2051//b2056//
glgX	b2186//b0082//b0922//b4512//
glnL	b3979//b0244//
glnQ	b2020//b1844//b1490//
glpT	b2020//b0820//b0921//b3304//b3871//b2439//b2423//b3507//
gltB	b1393//b4291//
gltL	b4335//b0653//
glxR	b1093//b0615//
gspB	b1947//b3078//
gspD	b3347//b2883//
gspF	b2205//b2206//
gspM	b3906//ecpB//
hisQ	b2464//b2597//b2094//
holC	b4330//b2460//b3707//b2444//
htpG	b2544//b3074//b0125//
hybC	b1709//b2222//
hybG	b3417//b3126//b1930//
hybO	b3686//b4353//b3116//
hydN	b3184//b0320//b1134//b0312//b1580//b3786//b1420//b4311//b1526//b1888//b2828//
hyfB	b2652//b1426//b3347//
hyfR	b2663//b1662//b1443//b3784//b1348//
ibpB	b0357//b1611//
ileY	b0164//b0273//
ilvM	b3261//b4014//b4201//ypjI//b2240//
ilvN	b3522//b4101//
iscU	b1906//b2039//b4110//b2279//b1070//
iscX	b0028//b4186//b4467//
kdsD	b1261//b2469//
ksgA	b4348//b1194//
lacZ	b3362//b2977//b1866//
lar	b1751//b0002//
leuZ	b0033//b2755//b2326//b1578//
lldR	b3300//b4376//b2423//
lpxP	b3597//pawZ//b2149//b0369//
lspA	b2750//b3255//b1901//
lsrR	b1157//b2125//b2256//b4471//b4037//b1154//b2764//b0088//
lyx	b3771//b3343//
malQ	b4375//b4151//b0726//b0114//b3904//b1909//b3822//b3231//
manZ	b3705//b1904//b4557//
marR	b3637//b3337//
mcbA	b1513//b1890//
mcrA	b2280//b0114//
mdtJ	b0735//b3861//
menD	b0799//b0922//b3893//
metN	b3799//b0914//
mglC	b2022//b2447//b4160//
mhpB	b1102//b1566//
mhpF	b0186//b0085//
minD	b0757//b1892//
minE	b2698//b2971//
mnmG	b1332//b3636//
moaE	b0333//b2053//b0727//b0248//b2697//
mokB	b3259//b3456//
mpl	b3319//b3829//
mprA	b3930//b3704//b3771//
mraZ	b0113//b1886//b4254//b4384//
mrp	b2002//b0485//
murE	b1885//b3735//
nagB	b1973//b3479//
nanM	b3734//b1755//
napF	b3293//b3312//
napH	b1305//b3065//b1174//b2144//b3024//
narJ	b3385//b2757//b1079//
narZ	b0721//b3175//
nirD	b3530//b3918//b3896//
nrdG	b2764//b2660//
nrdI	b0585//b4052//b1683//b1991//
nrfC	ybfG//b1651//b1264//
nuoB	b1744//b1932//
nuoN	b3540//b3656//b1147//b1421//b0958//b3403//b3208//b1684//b0772//b0999//b3537//
oppF	b0972//b2318//b4106//b3523//b3805//
