#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:10:52 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/clusters_coexp_bnum.txt
aceB	b0158//b2068//
aceF	b3352//b3361//
adiC	b3026//b0737//
araH	b0234//b3723//b2867//
artP	b2423//b0595//
artQ	b0333//b4316//
atpH	b1879//b1761//b1297//b2659//b3784//b1171//
bcsB	b1632//b0350//
bcsF	b0809//b1918//
betI	b4539//b1681//b3787//
btuE	b2439//b1352//
cadB	ecpB//b2414//
ccmE	b3387//b2455//b1593//
ccmH	b1906//b2907//b0162//
chbR	b3637//b3347//
chpR	b3781//b3130//
citF	b1040//yjhE//b0861//
cobU	b0348//b0695//b1682//
csgG	b2878//b2841//b2455//b4384//
cueR	b3637//b1204//b2125//
cusF	b3537//b1154//b1920//b4609//
cyoE	b3772//b0736//b2698//b4230//b1864//
dacA	b2005//b2205//
ddpC	b2528//b1410//
ddpF	b1085//b1094//b3508//b1349//
deoD	b4048//b4203//b0186//b2767//
dhaM	b0871//b1183//b1088//
dmsB	b3631//b3898//
dnaK	b4123//b4371//
dppF	b4104//b1918//b2825//b1361//b2530//
edd	b3513//b3555//
efeU	b3200//b1125//
eptA	b1426//b2683//b1958//b1072//b3936//b1282//b3785//b4183//b2930//
eutL	b3870//b2103//
eutT	b1724//b2455//ypjI//b0533//b2754//b1359//
fabG	b1904//b1864//
fadB	b2573//b0198//
fdnI	b1774//b4112//
fecE	b1883//b2873//b0967//b2090//b4037//
fepC	b2090//b3177//
fepG	b1261//b4240//
fhuD	b3748//b0509//b4598//b1851//
fimH	b2020//b0087//b1350//b3725//
fimI	b4156//b0862//b0018//
fklB	b1865//b3904//b2097//
flhD	b4070//b4426//
frmR	b0707//b2744//
fruK	b2125//b1102//b3361//
ftsN	b1359//b1483//b3317//
gadX	b2682//ilvG//
galT	b2035//b2094//b0973//b1452//
garR	b2459//b0131//b2723//b1009//b2239//
gatZ	b3892//b0153//b2135//b0727//b0245//b1509//b1226//
gcvT	b0977//b3670//b0810//
glcG	b1164//b0406//b3433//
glgX	b4037//b1258//b3771//b0765//
glnL	b0836//b0334//
glnQ	b2725//b1600//b0347//
glpT	b1265//b0980//b3224//b3295//b2162//b2414//b2185//b2354//
gltB	b0928//b1918//
gltL	b3302//b3128//
glxR	b2460//b1531//
gspB	b1748//b1735//
gspD	b4598//b2763//
gspF	b1750//b2253//
gspM	b3195//b4310//
hisQ	b3322//b4052//b0724//
holC	b2783//b2751//b0724//b2195//
htpG	b0414//b3562//b1642//
hybC	b2960//b2285//
hybG	b4005//b0520//ygeN//
hybO	b3520//b2236//b3727//
hydN	b2961//b0245//b1351//b1244//b3748//yncK//b4076//b0784//b3180//b2446//b3829//
hyfB	b0860//b0365//b3123//
hyfR	b0511//b0549//b0588//b3896//b2155//
ibpB	b3119//b3168//
ileY	b1393//b2423//
ilvM	b1312//b0978//b0799//b1393//b1486//
ilvN	b2750//b0451//
iscU	b3190//b1945//b1140//b3619//b2424//
iscX	b0727//b2249//b1665//
kdsD	b1225//b0591//
ksgA	b2682//b3026//
lacZ	b4608//b3460//b2665//
lar	b2608//b0015//
leuZ	b3296//b0301//b3185//b3875//
lldR	b3300//b3298//b1133//
lpxP	b3378//b4033//b2762//b4270//
lspA	b3724//b4526//b3778//
lsrR	b3933//b1420//b0775//b0617//b0928//b0855//b2035//b0811//
lyx	b2939//b3476//
malQ	b3788//b3183//b2262//b2029//b0585//b2126//b2914//b2883//
manZ	b1587//b0369//b1926//
marR	b2137//b1298//
mcbA	b3727//b3918//
mcrA	b3597//b3687//
mdtJ	b3903//b4112//
menD	b0042//b1941//b3099//
metN	b4418//b3329//
mglC	b2972//b0595//b1513//
mhpB	b3997//b1166//
mhpF	b2318//b2871//
minD	b1061//b3228//
minE	b2871//b0831//
mnmG	b3352//ybfI//
moaE	b0073//b3507//b1708//b2002//b1887//
mokB	b2948//b3809//
mpl	b3785//b2071//
mprA	b3203//b1929//b1492//
mraZ	b0075//b1036//b2871//b0911//
mrp	b1334//b4305//
murE	b4259//b1159//
nagB	b2727//b3627//
nanM	b2032//b4371//
napF	b1593//b3537//
napH	b1000//b4287//b1748//b0775//b4329//
narJ	b3456//b2607//b2652//
narZ	b2254//b4469//
nirD	b2607//b0059//b2750//
nrdG	b4068//b1901//
nrdI	b0750//b1886//b2421//b3333//
nrfC	b2866//b4609//b2038//
nuoB	b2206//b2852//
nuoN	b1953//b4348//b3231//b2572//b3703//b2185//b1600//b3848//b4414//b2095//b0856//
oppF	b0396//b1866//b0659//b0451//b3870//
paaI	b0245//b3305//b1946//b1435//b1167//b2501//b1009//b1452//b1389//
pdhR	b1940//b2730//
pdxK	b3788//b3119//b3626//
pflB	b3183//b1407//
pgk	b0113//b1919//b0615//
pheL	b3454//b1958//
phnE	b1156//b4259//
phnL	b0831//b0366//b2284//b4233//
pntA	b1850//b3964//
polA	b3255//b3194//
potH	b4467//b3543//b2047//b2135//b2757//b1348//b2652//
ppa	b3963//b3810//
ppdD	b1157//b1560//
ppx	b1246//b0574//
proX	b0396//b2721//b4114//
prpD	b3998//b1736//b2618//
pspD	b0004//b1526//b0032//b4071//
pstB	b2941//b1778//
pstS	b4187//b2012//ygeN//
purT	b2941//b0536//b4585//b3322//b0598//b3138//b4557//b3703//b0505//b2724//
putP	b1298//b1071//
puuR	b2998//b4221//b3172//b1144//
pyrI	b4200//b2097//b2765//b1306//b2235//b0801//
rbsK	b3413//b3074//b2739//b1000//b2855//
rcsD	b1120//b0094//
recQ	b2525//b0776//
relE	b3650//b2240//
rhaB	b2044//b1000//
ribF	b1970//b4207//b0723//b1238//
rlpB	b4005//b3125//b2147//
rluA	b0509//b1071//
rpmI	b3352//b1756//
rpoN	b1709//b4100//
rseA	b3875//b3165//
rsxB	b0534//b0593//
rtcR	b4245//b1709//
rutG	b3120//b3643//b3478//b4307//b2726//b4317//b2665//
ryhB	b1587//b1123//
sapD	b0750//b1747//b3523//
serC	b1476//b0809//
serT	b0678//b3734//b1891//b4115//
sfmH	b0554//b4369//
slyA	b3202//b0907//
smpB	b3005//b1953//
srlE	b2678//b4512//b3522//b1954//b0723//
sroB	b1391//b0151//
sseB	b1255//b3426//
sspB	b4381//b1672//
ssrS	b3236//b2205//b1224//
sucD	b1932//ygeN//b0534//b4230//b4221//b4101//b1165//b3100//b4317//b3201//b0356//b1407//b1761//
sufS	b2850//b1891//b1887//b2903//b3810//b2206//
tatA	b2454//b3543//
tdcG	b0092//b0137//b1151//b3223//b2827//b0734//b3261//
tdh	b2090//b3387//b1097//b1797//b1834//b3035//
tdk	b1428//b4539//
thrC	b1342//b0023//b3203//
thrW	b3737//b3098//b0182//b1701//
tnaC	b3116//b1010//b0863//
tolC	b2450//b2872//b1823//b1818//
tolR	b3605//b3643//b2957//
treC	b3597//b3726//
trmI	b3598//b2312//
trpL	b1443//b3120//b0333//b1482//b1332//
truB	b0168//b1876//
truD	b1735//b2723//b4112//
trxA	b0873//b2597//
trxB	b4142//b1188//
tyrA	b0851//b2335//
tyrB	b0837//b1947//b3304//
tyrU	b4380//b4302//b1931//b3026//b1884//
upp	b2167//b4451//b1789//b0872//b2285//
uraA	b3325//b3654//b2450//
usg	b1665//ilvG//
valV	b0574//b3730//b2460//
visC	b3197//b3871//b4557//b1516//
waaU	b2661//b2609//b1132//b3153//b1083//b1665//b4113//b1682//b1474//b2705//b2374//
wbbL	b4226//b3336//b4315//b2856//b2013//b0343//b4070//b1864//b2198//b1563//b0074//b1739//
wcaE	b2239//b1350//
wcaL	b4329//b0781//b1083//b0855//b1499//
wzxE	b1900//b3478//
xerD	b1587//b4158//
xylA	b1819//b1189//
yaaW	b3871//yrhC//
yadM	b2850//b1651//
yaeB	b2573//arpB//
yaeI	b0451//b3520//
yafZ	b1958//b2491//
yajG	b2155//b3433//b1750//b3723//
ybaN	b1082//b2531//b2425//b4303//b0907//
ybbC	b3803//b0013//
ybbW	b4319//b1818//b3705//b2052//b2461//
ybcO	b3741//b4249//
ybdD	b0632//b3850//b2745//b3311//b3259//b3385//b1603//b4207//
ybeA	b1530//b1629//b1134//b1836//b0922//b0088//
ybeZ	b1155//b3074//
ybfC	b2342//b3129//
ybgC	b2455//b1102//
ybgJ	b0032//b3302//
ybgT	b4430//b1850//b1395//b0777//
ybhC	b2003//b0195//b2068//b0908//
ybiC	yncK//b4308//b0245//b0158//b3671//b1748//b0143//b2620//b0596//b4269//b4237//b0195//b0536//b1037//
ybiH	b2914//b3170//
ybiX	b2783//b0059//b0936//b4152//b0498//b1040//b4005//b3305//b0864//b2207//b1834//b0004//b3983//b0074//b1627//
ybjC	b3626//b2126//
ycbS	b3809//b3099//
ycbT	b1414//b0979//
ycbZ	b1883//b3343//
yccB	b1901//b2702//b2502//b3222//b0406//b1098//b3575//b1146//b4470//b3208//
yccJ	b2544//b4464//
yccM	b4334//b3897//b0078//
yccW	b0487//b0092//b1263//
ycdZ	b0659//b2939//
yceD	b2659//b3008//
yceG	b4110//ecpE//b1646//
ycfM	b1912//b0115//b3477//
ycgM	b2524//b4057//b3903//
ychS	b0777//b1071//b2097//b0805//b0836//b2003//b4568//
yciC	b2090//b4109//
yciH	b3316//b3803//
ycjT	b2273//b1010//
ycjV	b0940//b3893//b2162//
ydaU	b0015//b3792//
ydaV	b1878//b2995//
ydaW	b1476//b0940//
ydcQ	b1486//b0756//
ydcW	b0695//b4418//
yddB	b3618//b2977//
ydeT	b3595//b2365//b1361//
ydeU	b1865//b3541//
