#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b4225//b3189//b0583//b3312//
go_0000025_7	b3297//
go_0000027_7	b0910//b1194//b1650//b1011//b1606//b3252//b1271//b0972//b4485//b1286//b2100//b0807//b1380//
go_0000028_7	b0034//b0574//b1113//b2575//b2369//b1694//b0533//b1479//b4113//
go_0000032_8	b2330//
go_0000041_8	b2705//
go_0000050_5	b0263//b2177//b2383//b0948//b0887//b4087//b3847//
go_0000053_5	b2140//
go_0000096_5	b3931//
go_0000101_6	b4090//
go_0000103_5	b2512//b0226//
go_0000105_6	b2893//b1261//b3525//b2751//b3747//b1232//b1515//b0795//
go_0000160_5	b1276//b0766//b3231//b0340//b2793//b0598//b4359//b1978//b0781//b2441//b0920//b2770//b0426//b1967//b2020//b2540//b0815//b3720//b4081//b3936//b3939//b1285//b3539//b4064//b4005//b3250//b2631//b2365//b1838//b0590//b0180//b0959//b2949//b0051//b0161//b0509//b1042//b3952//b4138//b1122//b3463//b0841//
go_0000162_7	b4460//b2470//b0804//b0797//b3911//b2094//b0636//b0169//b1939//
go_0000270_7	b1319//b0054//b3912//b3519//b2808//b0929//b1637//b2912//b3243//b3399//b0049//b0045//
go_0000271_6	b0896//b0698//b1499//b0262//b3453//
go_0000302_5	b2130//b3060//
go_0000303_6	b1620//b0842//
go_0000305_5	b2630//
go_0000372_11	b0776//
go_0000413_9	b3845//b2498//b1427//b4471//b0450//b3502//b0436//b2257//
go_0000453_8	b3872//b4041//b0738//b3664//b1472//
go_0000455_9	b3406//b0852//b0307//b1925//b1881//b2789//hprS//
go_0000462_11	b1075//b2786//
go_0000470_10	b4359//
go_0000478_9	b0846//
go_0000716_7	b1395//
go_0000724_8	b2542//
go_0000725_7	b1118//b1178//b0808//b0045//b2923//
go_0000726_7	b4480//
go_0000731_7	b4511//b3581//msrP//b2262//
go_0000737_7	xisR//
go_0000738_7	b4353//b0030//b2492//
go_0000746_4	b3613//
go_0000820_7	b0891//
go_0000902_5	b2774//
go_0000910_4	b3256//ftp//b0036//
go_0000917_6	b2976//b3237//b3869//b3624//b2175//
go_0000918_6	b3510//b3581//b2677//b0551//
go_0000920_3	b3020//b0221//b3235//b0481//b3915//
go_0000921_6	b3194//
go_0000967_10	b0759//b2203//b1039//
go_0001101_4	glsA1//b2628//b2923//b1599//b1651//
go_0001121_7	b2819//b1007//
go_0001123_8	b1479//
go_0001124_8	b2206//
go_0001407_7	b0466//b3047//b0911//b0790//
go_0001510_5	b4373//b3498//b0546//b2349//
go_0001514_8	b3243//
go_0001522_7	b4464//b3735//b1633//b1445//
go_0001558_5	b4246//b0355//
go_0001561_6	b2767//
go_0001676_6	b4128//
go_0001680_11	b1864//
go_0001682_11	b3196//
go_0001731_7	b2393//
go_0001762_6	b3066//
go_0001887_4	b3657//b1606//
go_0001896_5	b0027//b2092//b1878//b1740//
go_0002047_6	b1848//b0260//
go_0002097_8	b1291//
go_0002098_9	b0461//b2620//b1135//b1932//b3844//b0993//b0222//
go_0002099_9	b3544//b0221//
go_0002100_9	b0207//
go_0002101_9	b2574//
go_0002128_7	b4484//b0341//
go_0002131_9	b3879//
go_0002132_9	b0316//
go_0002136_10	b4389//
go_0002143_9	b4201//b1783//b3071//b2603//b3943//b2198//
go_0002181_7	b3541//b3493//
go_0002184_8	b1160//
go_0002188_6	b0608//
go_0002192_8	b0727//
go_0002937_9	b2269//
go_0002938_8	b2604//
go_0002939_7	b3569//
go_0002943_8	b0532//
go_0002949_8	b4137//b2147//b1175//b2560//
go_0003333_7	b3147//b1349//b3075//b2387//b2520//b3264//b1328//b3500//b1222//b0296//b3553//b3265//b0979//b0058//b1901//b0599//b2502//
go_0005975_4	b0116//b2918//b2913//b1116//b3479//b3842//b3702//b3751//b4586//b1339//b3018//b1799//b0071//b2662//b2314//b1683//b2665//b3734//b0276//b2935//b3478//
go_0005976_5	b2869//
go_0005977_6	b2193//
go_0005978_7	b0367//b1864//b2995//bioD1//
go_0005980_7	b4160//b3144//b2015//
go_0005986_7	b2919//
go_0005990_7	b0242//b2842//
go_0005992_7	b2579//b1127//
go_0005993_7	b2599//b3707//b0192//
go_0005995_7	b4111//
go_0005998_7	b1930//
go_0006000_6	b2624//
go_0006001_7	b3543//b2541//
go_0006002_5	b1916//b4321//b2890//
go_0006006_6	b3012//b2106//b4191//b2531//b0996//b2215//b0062//glsB//
go_0006007_7	b3105//b0161//
go_0006011_5	b4011//
go_0006012_6	b1141//b3294//
go_0006013_6	b2753//
go_0006014_6	b2207//
go_0006015_7	b1467//b0750//
go_0006020_5	b1663//
go_0006044_7	yeeL//
go_0006046_8	b4201//b3164//b2057//b1139//
go_0006047_5	b1944//b0969//
go_0006048_6	b1840//b3744//b0022//b0867//b1499//b1107//
go_0006053_8	b3047//
go_0006062_8	b2388//
go_0006071_6	b3753//b1093//b0491//
go_0006072_6	b2952//
go_0006082_4	b1104//b0571//
go_0006083_6	b4190//b3641//b1284//
go_0006086_8	b3930//
go_0006090_8	b0863//b1040//b2576//b2301//
go_0006094_7	b0089//b3766//b0200//b2892//b1600//b0553//b4323//b3577//b0553//b0281//
go_0006096_6	b2065//b1710//b3812//b2213//b4326//b4288//hexR//b4298//b3213//b1478//b0886//b1249//b0591//b0367//b0616//b0887//b2104//b3981//
go_0006097_5	b4018//b3367//b2740//b0968//b3878//
go_0006098_6	b3256//b0336//b0999//b2157//b2752//
go_0006099_4	b0802//b1409//b1120//b2704//b0570//selU//b3870//b1655//b1718//b2049//b1822//b1404//b2754//b2524//b2393//b1827//b3806//
go_0006103_5	b3919//
go_0006104_6	b0838//b0143//b1022//
go_0006105_5	b4040//b0945//b3006//b2640//b1695//
go_0006106_8	b1993//
go_0006107_8	b0990//
go_0006108_8	b4083//b1587//b1992//b2926//b1112//
go_0006113_5	b1858//b2103//b2149//b4227//b0806//b0270//b2503//b2670//
go_0006115_6	b2140//
go_0006124_6	b1201//
go_0006144_6	b3562//b1249//
go_0006145_7	b0301//
go_0006146_8	b0093//b1642//
go_0006148_9	b3929//
go_0006149_9	b1858//
go_0006150_9	b1612//
go_0006152_7	b0305//b0655//b0921//b3128//b0357//
go_0006154_6	b1782//
go_0006161_9	b4321//
go_0006163_6	b0160//
go_0006164_7	b0867//b0676//b0526//b4246//
go_0006166_6	b2378//
go_0006168_7	b0856//b2057//
go_0006171_9	b4036//
go_0006172_9	b3455//
go_0006177_9	b1211//
go_0006178_7	b4070//
go_0006183_9	b1023//
go_0006189_10	b3198//b1399//
go_0006203_8	b3182//b0808//
go_0006206_6	b2266//b1866//b2673//b0029//
go_0006207_8	b2820//b1422//b0179//b2524//b1739//
go_0006208_7	b3326//b2704//b1554//b2696//b0281//b1619//b1866//b1131//
go_0006209_6	b0356//
go_0006210_8	b1093//
go_0006212_6	b3407//b0399//b1074//b3524//b3608//b3173//b3616//b0450//b1130//b2338//b3087//
go_0006217_9	b3231//
go_0006218_9	b4155//
go_0006220_6	b4550//
go_0006221_7	b2979//b4321//b3491//b0116//
go_0006222_9	b1871//
go_0006225_9	b3403//
go_0006226_9	b0022//b3623//
go_0006227_9	b2240//
go_0006231_9	b1851//
go_0006233_9	b2877//
go_0006235_9	b0376//
go_0006241_9	b4403//
go_0006259_5	b4192//b0377//b0088//b3148//b3620//b1857//b4245//
go_0006260_6	b3167//b3502//b3125//b2838//b0492//b0225//b0819//b4389//b3503//b3133//b2688//b3563//b0612//
go_0006261_7	b1394//b3047//b2266//b2004//b0441//b0915//b2727//b2840//b4280//b1978//
go_0006265_6	b0102//b1824//b2574//b4070//b3063//
go_0006266_6	b2794//b0881//b4033//
go_0006267_5	b2367//
go_0006268_9	b4018//b1392//b2383//
go_0006269_6	b2406//
go_0006270_6	b4194//b0264//b0284//b0408//b1135//
go_0006271_7	b4399//b2388//b4467//
go_0006274_6	b0329//
go_0006275_7	b4059//
go_0006276_3	b0724//b3428//b3619//b1422//b1866//b0094//
go_0006281_6	b1724//b0937//b2362//b1609//b0004//b4043//b2517//b3395//b0376//b1166//b3370//b4340//b2136//b2209//b0583//b0462//b2195//b3145//b4667//b0892//b2215//b2891//b3176//b3358//b3326//
go_0006283_8	b0177//
go_0006284_7	b4115//b3703//b3129//b2233//b3327//b0151//
go_0006285_6	b0812//b3091//b3685//b2480//
