#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b0346//b0730//b3479//b2399//
go_0000025_7	b4550//
go_0000027_7	b4004//b3129//b2202//b3679//b1165//b1944//b3502//b4372//b0754//b3783//b2065//b0400//b3393//
go_0000028_7	b3942//b4075//b2665//b4279//b0166//b3534//b3073//b3642//b0610//
go_0000032_8	b2933//
go_0000041_8	b3367//
go_0000050_5	b2140//b0936//b2218//b0448//b2389//b3597//b2292//
go_0000053_5	b0404//
go_0000096_5	b3708//
go_0000101_6	b1636//
go_0000103_5	b3092//b4079//
go_0000105_6	b3702//b1863//b1314//b1187//b3312//b3430//b2752//b3838//
go_0000160_5	b1507//b0607//b1130//b4177//b3138//b2292//b0693//b2684//b1595//b1798//b2679//b1842//b3361//b0857//b0856//b0232//b1661//b3888//b0134//b0307//b1801//b0618//b2021//b3266//b1927//b2285//b2777//b2163//b0912//b0652//rhmD//b2573//b2916//b2559//b0803//b1707//b4554//b0367//b3216//b0388//b2780//b3616//
go_0000162_7	b0435//b0272//b1732//b0526//b3295//b2682//b2765//b1430//b3748//
go_0000270_7	b2252//b1505//b2730//b0383//b0158//b0915//rpnD//b1859//b2551//b2469//b2246//b2165//
go_0000271_6	b3024//b2743//b4136//b4261//b2339//
go_0000302_5	b1086//b1280//
go_0000303_6	b1202//b0933//
go_0000305_5	b0794//
go_0000372_11	b0140//
go_0000413_9	b0096//b0443//b0426//b4372//b3255//b0070//b2366//b3786//
go_0000453_8	b0305//b4682//b4419//b4095//b3771//
go_0000455_9	b4029//b0756//b3926//b0980//b0920//b0068//b1525//
go_0000462_11	b2514//b1860//
go_0000470_10	b3941//
go_0000478_9	b2577//
go_0000716_7	b1285//
go_0000724_8	b3395//
go_0000725_7	b1656//b3661//b1830//b3736//b3305//
go_0000726_7	b3579//
go_0000731_7	b4117//b3785//b4309//b0254//
go_0000737_7	b0921//
go_0000738_7	b1978//b3405//b3994//
go_0000746_4	b3915//
go_0000820_7	b1205//
go_0000902_5	b0095//
go_0000910_4	b0652//b1852//b3893//
go_0000917_6	b0763//b3392//b4252//b4366//b3252//
go_0000918_6	b4415//b1261//b3620//b2537//
go_0000920_3	b0890//b3627//b0938//b1496//b0003//
go_0000921_6	b0981//
go_0000967_10	b3522//b4005//b2086//
go_0001101_4	b2740//b3940//b4359//b0125//b0339//
