#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2913//b3394//b4513//rhmR//
go_0000025_7	b1241//
go_0000027_7	b3582//b4083//b1914//b3526//b1579//b3789//b0123//b4072//b2933//b2514//b3266//b1800//b3210//
go_0000028_7	b4227//b0508//b3645//b1644//b2246//b1800//b1370//b0167//b3829//
go_0000032_8	b1393//
go_0000041_8	b4317//
go_0000050_5	b0038//b0674//b0882//b0112//b1865//b3697//b4302//
go_0000053_5	b3028//
go_0000096_5	b0988//
go_0000101_6	b4254//
go_0000103_5	b2295//b4388//
go_0000105_6	b3621//b4470//b0198//b0031//b2198//b3670//b3885//b2536//
go_0000160_5	b0771//b3168//b1089//b2916//b1341//b2548//b2631//b0768//b3634//b0933//b3030//b0770//b2078//b3232//b2313//b0599//b3516//b3268//b0578//b4003//b3222//b1391//b0411//b1924//b3670//b0767//b2597//b3066//b1781//b0015//b1258//b1432//b1715//b3145//b4323//b4299//b0630//b0263//b3262//hexR//b4289//b2835//
go_0000162_7	b0861//b0824//b4026//b3780//b1167//b2474//b4059//b0143//b1466//
go_0000270_7	b3931//b4083//b3961//b3498//b2631//b2991//b0099//b3071//b3521//b2751//b1686//b1662//
go_0000271_6	b2751//b1034//b4241//b1247//b2282//
go_0000302_5	b2750//b1841//
go_0000303_6	b0141//hexR//
go_0000305_5	b1916//
go_0000372_11	b2715//
go_0000413_9	b3672//b1415//b3616//b3469//b0168//b3155//b3073//b3857//
go_0000453_8	b2297//b1035//b2890//b0144//b2724//
go_0000455_9	b0487//b2993//b2470//b3754//b3165//b2231//b1328//
go_0000462_11	b2628//b1823//
go_0000470_10	b1801//
go_0000478_9	b3447//
go_0000716_7	b0336//
go_0000724_8	b4015//
go_0000725_7	b2898//b2058//b1525//b0431//b2328//
go_0000726_7	b4138//
go_0000731_7	b2869//b1951//b2987//b1166//
go_0000737_7	b3126//
go_0000738_7	b4081//b3627//b2213//
go_0000746_4	b2281//
go_0000820_7	b2133//
go_0000902_5	b1961//
go_0000910_4	b2662//b2315//b4260//
go_0000917_6	b3060//b2837//b1481//b3659//b0155//
go_0000918_6	b1606//b2285//b3496//b1645//
go_0000920_3	b1004//b3167//b4064//b4383//b0316//
go_0000921_6	b4003//
go_0000967_10	b4014//b1711//b2738//
go_0001101_4	b3741//b0408//b0614//b0035//b2628//
go_0001121_7	b1531//b3965//
go_0001123_8	b2373//
