#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b0245//yjgX//b2610//b0026//
go_0000025_7	b0724//
go_0000027_7	b3478//b0545//b2242//b1424//b0802//b2706//b2792//b3885//b4309//b0276//b3585//b1249//b2326//
go_0000028_7	b3507//b0313//b2258//b2411//b0448//gapC//b2365//b2916//b0822//
go_0000032_8	b3892//
go_0000041_8	b2770//
go_0000050_5	b2022//b1114//b3932//b3163//b2947//b2100//b2026//
go_0000053_5	b3628//
go_0000096_5	b0724//
go_0000101_6	b2706//
go_0000103_5	b3143//b2042//
go_0000105_6	b2678//b3251//b1863//b2821//b3244//b3260//b4231//b2406//
go_0000160_5	b1866//b1266//b4109//b0607//b0570//b2416//b3416//b2022//b1597//b0564//b4377//b2297//b2891//b1809//b1564//b0074//b2976//b1201//b3189//b0722//b3991//b0860//b2264//b3936//b1205//b3719//b1830//b3399//b0636//b1197//b2933//b2069//b1090//b2193//b3926//b2871//b3732//b0623//b1927//b0444//b1205//b2566//
go_0000162_7	b3127//b4092//b0554//b1100//b3336//b2698//b0066//b2918//b0963//
go_0000270_7	b1759//b2930//b4399//b0363//b2347//b3130//b1715//b3888//b1914//b4357//b1550//b2659//
go_0000271_6	b0620//b0008//b1114//b3470//b3447//
go_0000302_5	b3582//b1184//
go_0000303_6	b4279//b2509//
go_0000305_5	b0573//
go_0000372_11	b1844//
go_0000413_9	b1041//b3321//b4351//b3879//b2109//b0149//b4353//b0243//
go_0000453_8	b4196//b2517//b3513//b1422//b4682//
go_0000455_9	b2151//b0186//b4613//b3428//b3301//b3149//b3499//
go_0000462_11	b3585//b3953//
go_0000470_10	b4353//
go_0000478_9	b3011//
go_0000716_7	b3616//
go_0000724_8	b0298//
go_0000725_7	b1656//b0543//b3750//qorA//b3363//
go_0000726_7	b4339//
go_0000731_7	b1615//b0481//b2100//b1704//
go_0000737_7	b0517//
go_0000738_7	b1076//b4321//b2822//
go_0000746_4	b2107//
go_0000820_7	b3201//
go_0000902_5	b0754//
go_0000910_4	b1377//b2883//b4266//
go_0000917_6	b0242//b3357//b3878//b3714//b1271//
go_0000918_6	b0678//b3654//b4302//b3125//
go_0000920_3	b1569//b3539//b4557//b0829//b2754//
go_0000921_6	b1329//
go_0000967_10	b0152//b4428//b0177//
go_0001101_4	b2020//b0983//b1120//b1828//b1719//
go_0001121_7	b1538//b2600//
go_0001123_8	b4666//
go_0001124_8	b2674//
go_0001407_7	b1375//b0212//b1380//b2675//
go_0001510_5	b0639//b4378//b2679//b0470//
go_0001514_8	b2979//
go_0001522_7	b0239//b1244//b1855//b1790//
go_0001558_5	b0120//b0023//
go_0001561_6	b2912//
go_0001676_6	b1296//
go_0001680_11	b1679//
go_0001682_11	b0104//
go_0001731_7	b0311//
go_0001762_6	b4559//
go_0001887_4	b0339//b3279//
go_0001896_5	b2126//b1103//b2606//b1185//
go_0002047_6	b2704//b3210//
go_0002097_8	hiuH//
go_0002098_9	b0422//b1197//b2011//b2480//b3823//b0729//b1912//
go_0002099_9	b1695//b2576//
go_0002100_9	b1184//
go_0002101_9	b2086//
go_0002128_7	b1165//bioP//
go_0002131_9	b3892//
go_0002132_9	b0942//
go_0002136_10	b0728//
go_0002143_9	b4306//b1866//b3083//b0936//b3875//b0847//
go_0002181_7	b2557//b0405//
go_0002184_8	maoP//
go_0002188_6	b1394//
go_0002192_8	b3521//
go_0002937_9	b0894//
go_0002938_8	b2202//
go_0002939_7	b1306//
go_0002943_8	b3290//
go_0002949_8	b4120//b2503//b0238//b2276//
go_0003333_7	b1385//bioD1//b0446//b1694//b2418//b2920//b0910//b4241//b1506//b1686//b4058//b4318//b3779//b2746//b3942//b2751//b2027//
go_0005975_4	b1497//b1468//b3567//b4241//b4190//b3958//b4550//b3781//b3787//b3710//b3306//b1879//b0149//b2610//b3785//b2243//b3222//b1850//b1741//b1263//insI3//
go_0005976_5	b0092//
go_0005977_6	b3298//
go_0005978_7	b1924//b1327//b3365//b4178//
go_0005980_7	b1039//b0996//b3342//
go_0005986_7	b2014//
go_0005990_7	ftp//b3028//
go_0005992_7	b1140//b0350//
go_0005993_7	b2752//b2724//b0245//
go_0005995_7	b0829//
go_0005998_7	b3062//
go_0006000_6	b0840//
go_0006001_7	b4055//b3934//
go_0006002_5	b4118//b1848//b0103//
go_0006006_6	b0870//b0854//b1790//b2686//b1265//b2418//b4279//b1288//
go_0006007_7	b2994//b3194//
go_0006011_5	b1338//
go_0006012_6	b2676//b0698//
go_0006013_6	b3787//
go_0006014_6	b1392//
go_0006015_7	b0113//b2264//
go_0006020_5	b3252//
go_0006044_7	b4480//
go_0006046_8	b1192//b4484//b2335//b2182//
go_0006047_5	b0652//b2140//
go_0006048_6	b0779//b1472//b3155//b3622//b0053//b4613//
go_0006053_8	b4319//
go_0006062_8	b2526//
go_0006071_6	b1303//b3008//b3497//
go_0006072_6	b3178//
go_0006082_4	b2728//b3343//
go_0006083_6	b2151//b0756//b0233//
go_0006086_8	b1296//
go_0006090_8	b2382//b3524//b3256//b3259//
go_0006094_7	b3684//b1186//b2429//b1187//b0975//b1855//b1313//b0346//b3779//b0900//
go_0006096_6	b0633//b2666//b3347//b2725//b0718//b1780//b2539//b1200//b3232//b1955//b2609//b1304//b1688//b2594//b3165//b2631//b1593//b3486//
go_0006097_5	b3671//b3048//b3842//b1105//b1288//
go_0006098_6	b4136//b1060//b2106//b2682//b3749//
go_0006099_4	b4050//b3900//b4476//b4544//b0766//b2594//maoP//b0718//b2295//b2536//b0378//b0915//b2501//b1728//b2564//b0635//b2379//
go_0006103_5	b2134//
go_0006104_6	b1434//b4232//b3405//
go_0006105_5	b0487//b3494//b1276//b0620//b3525//
go_0006106_8	b0094//
go_0006107_8	b1876//
go_0006108_8	b0195//b2675//b2916//b4203//b1129//
go_0006113_5	b0729//b4180//b0304//b0069//b0528//b1603//b0042//b1563//
go_0006115_6	b0863//
go_0006124_6	b2661//
go_0006144_6	b0315//b1851//
go_0006145_7	b4668//
go_0006146_8	b3074//b3144//
go_0006148_9	b2179//
go_0006149_9	b0443//
go_0006150_9	b0853//
go_0006152_7	b1421//b0382//b1492//b2263//b3441//
go_0006154_6	b0757//
go_0006161_9	b1025//
go_0006163_6	b1622//
go_0006164_7	b4356//b0676//b0850//b2558//
go_0006166_6	b2113//
go_0006168_7	b3138//b2289//
go_0006171_9	b2037//
go_0006172_9	b0388//
go_0006177_9	b2266//
go_0006178_7	b2365//
go_0006183_9	b1779//
go_0006189_10	b2197//b0815//
go_0006203_8	b3728//b1804//
go_0006206_6	b2800//b0091//b2515//b2553//
go_0006207_8	b4322//b3209//b0783//b1301//b1062//
go_0006208_7	b3237//b3751//b3518//b0450//b1808//b1644//b3736//b3603//
go_0006209_6	b0085//
go_0006210_8	b4077//
go_0006212_6	b4147//b0836//b1100//b0805//b2148//b4039//b0232//b4180//b2738//srkA//b1618//
go_0006217_9	b1713//
go_0006218_9	b2960//
go_0006220_6	b3020//
go_0006221_7	b1499//b1809//b3365//b1866//
go_0006222_9	b1914//
go_0006225_9	insI1//
go_0006226_9	b4133//b3653//
go_0006227_9	b1612//
go_0006231_9	b0533//
go_0006233_9	b4195//
go_0006235_9	b1998//
go_0006241_9	b2553//
go_0006259_5	b3441//b0846//b0414//b3867//b3688//b3813//b0433//
go_0006260_6	b1424//b0015//b4137//b0082//b0620//b0718//b1617//b0649//b0674//b4501//b0783//b1978//b0386//
go_0006261_7	b2703//b1912//b2786//b1525//b0598//b4237//b1881//b2780//b3670//b0409//
go_0006265_6	b3929//b1866//b2113//b3809//b0830//
go_0006266_6	b3585//b2243//b2194//
go_0006267_5	b1823//
go_0006268_9	b3511//b3330//b0557//
go_0006269_6	b0421//
go_0006270_6	b3321//b3512//b0731//b1827//b3199//
go_0006271_7	b4298//b4171//b2416//
go_0006274_6	b0093//
go_0006275_7	b0124//
go_0006276_3	b2867//b3235//b0092//b2258//b1141//b1860//
