#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	arcC//b3905//b1328//b0675//
go_0000025_7	b0007//
go_0000027_7	b3326//b2742//b0073//b3395//b3460//glsB//b3825//b0357//b3070//b2557//b0819//b2679//b1074//
go_0000028_7	b2686//b0001//b4089//b1707//b0357//b4125//b3183//b2110//b2134//
go_0000032_8	b1642//
go_0000041_8	b0089//
go_0000050_5	b3613//b0182//b0556//b4069//b4470//b1274//b3450//
go_0000053_5	b1467//
go_0000096_5	b0587//
go_0000101_6	b1246//
go_0000103_5	b3231//b0768//
go_0000105_6	b4133//b2925//b4214//b2078//b0783//b3834//b0679//b3026//
go_0000160_5	b0644//b2358//b3331//b0624//b1398//b3625//b2933//b0077//b1540//b4375//b1569//b0328//b4249//b3701//b4279//b1280//b3475//b0469//b1914//b0618//b0530//b3743//b0947//b2387//b0908//b2135//b2716//b2233//b1956//b2109//b3110//b2560//b0408//b3720//b2617//b1299//b4087//b3417//b0550//b3189//b2159//b2508//
go_0000162_7	b2303//b2838//b1282//b3292//b3387//b4213//b4043//b1290//b3645//
go_0000270_7	b4087//b1042//b0188//b4036//b3983//b3877//b0630//b2708//b2782//b2573//b4510//b3462//
go_0000271_6	b3516//b2212//b4168//b4222//b3972//
go_0000302_5	b3210//b0551//
go_0000303_6	b0411//b2049//
go_0000305_5	b0103//
go_0000372_11	b0019//
go_0000413_9	b0033//b1398//b0553//b3894//b2374//b0339//b2301//b1883//
go_0000453_8	b2162//b3715//b2929//b3426//b0693//
go_0000455_9	b3310//b1445//b0406//b3136//b3133//b1046//b3358//
go_0000462_11	b0757//b1745//
go_0000470_10	b0073//
go_0000478_9	b2930//
go_0000716_7	b1135//
go_0000724_8	b3481//
go_0000725_7	b3842//b2451//b0077//b3743//b2340//
go_0000726_7	b4092//
