#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b1916//b2212//b0694//b0857//
go_0000025_7	b3189//
go_0000027_7	b1815//b2882//b2751//b0099//b3185//b3311//b0141//b3958//b1013//b2819//b3387//b0233//b3857//
go_0000028_7	b2451//b0083//b3911//b4111//b2416//b3539//b1009//b0996//b3924//
go_0000032_8	b0419//
go_0000041_8	b1340//
go_0000050_5	b0099//b3219//b3604//b2140//b1227//b0046//b4280//
go_0000053_5	b3564//
go_0000096_5	b3010//
go_0000101_6	b0624//
go_0000103_5	b0082//b1113//
go_0000105_6	b1022//b3461//b2981//b0650//b3349//b3258//b4196//b2828//
go_0000160_5	b1592//b3833//b4602//b3826//b4481//b0038//b1188//b1505//b3701//b4539//b4259//b3540//b0340//b1518//b1870//b3522//b2061//b4033//b0967//b0859//b1841//b0812//b2767//b2517//b2413//b4055//b3772//b2062//b4232//b4382//b1347//b1123//b2785//b1136//b3981//b1686//b3357//b3450//b3226//b3406//b0903//b0159//
go_0000162_7	b4161//b1590//b0571//b2108//b2307//b0311//b0721//b3521//b0186//
go_0000270_7	b3679//b0623//b1740//b0294//b4539//b2529//b1350//b0051//b2231//b2566//b2609//b2533//
go_0000271_6	b0655//b3195//b4133//b0982//b0036//
go_0000302_5	b0856//b3288//
go_0000303_6	b2032//b1060//
go_0000305_5	b1279//
go_0000372_11	b3256//
go_0000413_9	b2563//b3804//b0441//b1009//b2755//b1772//b0782//b3339//
go_0000453_8	msrQ//b3091//b2138//b3247//b3299//
go_0000455_9	b4318//b0941//b2758//b1110//b1488//b2888//b0771//
go_0000462_11	b0850//b2822//
go_0000470_10	b0160//
go_0000478_9	b2994//
go_0000716_7	glsA2//
go_0000724_8	b0852//
go_0000725_7	b1513//b0953//b2195//b0688//b4554//
go_0000726_7	b0158//
go_0000731_7	b4464//b4470//b3268//b1266//
go_0000737_7	b3983//
go_0000738_7	b4409//b4019//b1723//
go_0000746_4	b0935//
go_0000820_7	b0060//
go_0000902_5	b2541//
go_0000910_4	b2215//b0597//b2808//
go_0000917_6	b0129//b4346//b3410//b0118//b0532//
go_0000918_6	b2679//b1317//b2387//b4075//
go_0000920_3	b2154//b4464//b3024//b0942//b4220//
go_0000921_6	b1204//
go_0000967_10	b3629//msrQ//b3126//
go_0001101_4	b2058//b2265//b2724//b2362//b0811//
go_0001121_7	b2614//b3847//
go_0001123_8	b2844//
go_0001124_8	b2565//
go_0001407_7	b1619//b2712//b2009//b0846//
go_0001510_5	b3347//b0914//b0729//b0741//
go_0001514_8	b3208//
go_0001522_7	b1362//b4203//b3010//b2877//
go_0001558_5	b1441//b3011//
go_0001561_6	b2341//
go_0001676_6	b1432//
go_0001680_11	b0490//
go_0001682_11	b3522//
go_0001731_7	b2541//
go_0001762_6	b1723//
go_0001887_4	b0531//b2893//
go_0001896_5	b1545//b3470//b3367//b2246//
go_0002047_6	b1129//b3321//
go_0002097_8	b1298//
go_0002098_9	b4279//b2105//b0185//b2811//b0778//b0662//b0929//
go_0002099_9	b4339//b0607//
go_0002100_9	b1652//
go_0002101_9	b1745//
go_0002128_7	b3453//b4054//
go_0002131_9	b4003//
go_0002132_9	b3438//
go_0002136_10	b0979//
go_0002143_9	b2735//b1422//b1592//b0768//b1050//b1429//
go_0002181_7	b0938//b0840//
go_0002184_8	b0036//
go_0002188_6	b0127//
go_0002192_8	b2415//
go_0002937_9	b2528//
go_0002938_8	b2027//
go_0002939_7	b1576//
go_0002943_8	b4337//
go_0002949_8	b0763//b3080//b1680//b2961//
go_0003333_7	b2664//b1798//b3188//b3717//b1522//b1530//b3897//b1262//b0564//b2037//b4069//b1302//b4069//b0614//b1215//b4317//b1349//
go_0005975_4	b1386//b0480//b1920//b2428//b0693//b1649//b0577//b2438//b1167//b0589//b1204//b3701//b0931//b0650//glsA1//b3345//b2234//b2430//b3291//b2594//b0506//
go_0005976_5	b3470//
go_0005977_6	b3583//
go_0005978_7	b0240//b3989//b3574//b4389//
go_0005980_7	b4077//b0959//b2587//
go_0005986_7	b2220//
go_0005990_7	b2257//b3563//
go_0005992_7	b0972//b0731//
go_0005993_7	b3591//b0802//b2779//
go_0005995_7	b2429//
go_0005998_7	b2185//
go_0006000_6	b0312//
go_0006001_7	b3673//b1998//
go_0006002_5	b1333//b0170//b0172//
go_0006006_6	b2882//b3347//b1189//b3891//b3887//b4136//b2566//b1499//
go_0006007_7	b2957//b1638//
go_0006011_5	b2584//
go_0006012_6	b3844//b0369//
go_0006013_6	b0983//
go_0006014_6	b2366//
go_0006015_7	b3368//b1014//
go_0006020_5	b1625//
go_0006044_7	b1684//
go_0006046_8	b3880//b3514//b1653//b1158//
go_0006047_5	b1125//b0155//
go_0006048_6	b1045//b1683//b2918//b2784//b4189//b3645//
go_0006053_8	b2019//
