#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	srkA//b0728//b2762//b3437//
go_0000025_7	b3500//
go_0000027_7	b2197//b0896//b2153//b4142//b0030//b0487//hxpA//bioP//b0826//b2709//b0214//b0299//b3574//
go_0000028_7	b3622//b3306//b3507//b4095//b0047//b3386//b1633//b3424//b2358//
go_0000032_8	b3454//
go_0000041_8	b4246//
go_0000050_5	b0831//b0651//b1872//b2971//b1165//b1042//b3095//
go_0000053_5	b4005//
go_0000096_5	b0903//
go_0000101_6	b1282//
go_0000103_5	b0931//b1493//
go_0000105_6	b0356//b4361//b3562//b1656//b1783//b0594//b2631//b0516//
go_0000160_5	b4315//b3412//b2335//b0587//b2206//b3342//b1266//b0709//b1662//b0254//b2538//b0481//b3652//b3784//b2232//b0729//b3510//b2208//b1514//b0483//b0932//b1018//b1113//b2067//b0199//b1235//b2828//msrQ//b3309//b2095//b4124//b1943//b1815//b4401//b3533//b2338//b3553//b0655//b2111//b2745//b0281//b4178//
go_0000162_7	b1167//b0718//b4335//b1360//b2429//b3292//b1919//b1976//b3746//
go_0000270_7	b4316//b1117//b3986//b0876//b4354//b0587//b4326//b1259//b2399//b3396//b2817//b1370//
go_0000271_6	b1597//b3240//b0779//b1223//b3669//
go_0000302_5	b3454//b2065//
go_0000303_6	b2512//b0015//
go_0000305_5	b0272//
go_0000372_11	b0789//
go_0000413_9	rpnA//b0543//b2174//b2569//b4075//b1319//b1079//b0820//
go_0000453_8	b0492//b1709//b1733//b3345//b2796//
go_0000455_9	b3070//b1081//b1520//b2734//b0424//b1165//b3140//
go_0000462_11	b2009//b0225//
go_0000470_10	b3476//
go_0000478_9	b2091//
go_0000716_7	b1998//
go_0000724_8	b2067//
go_0000725_7	b4055//b3349//b1854//b4379//b4340//
go_0000726_7	b4357//
go_0000731_7	b2469//b1198//b1094//b3794//
go_0000737_7	b0174//
go_0000738_7	b2664//b1557//b1412//
go_0000746_4	b4027//
go_0000820_7	b2559//
go_0000902_5	b2640//
go_0000910_4	b0436//b2763//b3438//
go_0000917_6	b2209//b2957//b3730//b0082//b1531//
go_0000918_6	b2368//b1864//b4371//b2511//
go_0000920_3	b3317//b0194//b3476//b1292//b3710//
go_0000921_6	b0220//
go_0000967_10	b0511//b0378//b0993//
go_0001101_4	b3833//b3364//b0141//b1588//b2216//
go_0001121_7	b1955//b0723//
go_0001123_8	b2143//
go_0001124_8	b0497//
go_0001407_7	b2779//b2801//b1590//b3478//
go_0001510_5	b1096//b1399//b1826//b2421//
go_0001514_8	b4169//
go_0001522_7	b4386//b4219//b4028//b1576//
go_0001558_5	b0628//b0632//
go_0001561_6	b1088//
go_0001676_6	b1536//
go_0001680_11	b3728//
go_0001682_11	b3940//
go_0001731_7	b3744//
go_0001762_6	b2252//
go_0001887_4	b1237//b2009//
go_0001896_5	b0764//b3521//b3290//b0732//
go_0002047_6	b3613//b1197//
go_0002097_8	b0651//
go_0002098_9	b3262//b0298//b2774//b1809//b4300//b3229//b3392//
go_0002099_9	b3701//b4214//
go_0002100_9	b0757//
go_0002101_9	b2405//
go_0002128_7	b2358//b3616//
go_0002131_9	b4453//
go_0002132_9	b2551//
go_0002136_10	b2502//
go_0002143_9	b3145//b0642//b3521//b0007//b1264//b2518//
go_0002181_7	b3509//b1312//
go_0002184_8	b3040//
go_0002188_6	b2079//
go_0002192_8	b3229//
go_0002937_9	b4510//
go_0002938_8	b1397//
go_0002939_7	b3687//
go_0002943_8	b0616//
go_0002949_8	b0939//b1756//b1082//b3494//
go_0003333_7	b4421//b1713//mtnN//b3662//b1384//b0850//b3925//b3457//b3826//b2022//b4311//b0516//b0115//b2891//b3344//b4376//b0714//
go_0005975_4	b4268//b3752//b2614//b2281//b3053//b0535//b3774//b0341//b2827//b0778//b2539//b3423//b2245//b1518//b3742//b3116//b3501//b1071//b2217//b3318//b3127//
go_0005976_5	b4317//
go_0005977_6	b2149//
