# Filteres repeated instances with "cat /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum.txt | sort | uniq > /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt "
# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:43:53 2018 from /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_as_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
#From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Fri Feb  2 11:39:23 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
C0067	C0067//
C0299	C0299//
C0362	C0362//
C0465	C0465//
C0614	C0614//
C0664	C0664//
C0719	C0719//
IS128	IS128//
aaeR	b3243//
aaeXAB	b3242//b3241//b3240//
aas-lplT	b2836//b2835//
aat	b0885//
abgABT-ogt	b1338//b1337//b1336//b1335//
abgR	b1339//
abpAB	b2628//b2627//
abrB	b0715//
accA	b0185//
accBC	b3255//b3256//
accD	b2316//
aceBAK	b4014//b4015//b4016//
aceEF	b0114//b0115//
aceK	b4016//
ackA	b2296//
ackA-pta	b2296//b2297//
acnA	b1276//
acnB	b0118//
acpH	b0404//
acpP	b1094//
acpP-fabF	b1094//b1095//
acpT	b3475//
acrAB	b0463//b0462//
acrB	b0462//
acrD	b2470//
acrEF	b3265//b3266//
acrR	b0464//
acrZ	b0762//
acs-yjcH-actP	b4069//b4068//b4067//
actP	b4067//
ada-alkB	b2213//b2212//
add	b1623//
adeD	b3665//
adeP	b3714//
adeQ	b3664//
adhE	b1241//
adhP	b1478//
adiA	b4117//
adiC	b4115//
adiY	b4116//
adk	b0474//
aegA	b2468//
aer	b3072//
aes	b0476//
agaR	b3131//
agaS-kbaY-agaBCDI	b3136//b3137//b3138//b3139//b3140//b3141//
agp	b1002//
agrA	b4712//
agrB	b4713//
ahpCF	b0605//b0606//
ahpF	b0606//
ahr	b4269//
aidB	b4187//
ais	b2252//
alaA	b2290//
alaA-yfbR	b2290//b2291//
alaC	b2379//
alaE	b2670//
alaS	b2697//
alaWX	b2397//b2396//
aldA	b1415//
aldB	b3588//
alkA	b2068//
alkB	b2212//
allA	b0505//
allDCE	b0517//b0516//b0515//
allR	b0506//
allS	b0504//
alpA	b2624//
alr	b4053//
alsBACE	b4088//b4087//b4086//b4085//
alsK	b4084//
alx	b3088//
amiA-hemF	b2435//b2436//
amiC	b2817//
amn	b1982//
ampC	b4150//
ampDE	b0110//b0111//
ampG	b0433//
ampH	b0376//
amyA	b1927//
anmK	b1640//
ansA-pncA	b1767//b1768//
ansB	b2957//
ansP	b1453//
apaGH	b0050//b0049//
aphA	b4055//
appA	b0980//
appCBXA	b0978//b0979//b4592//b0980//
appY	b0564//
apt	b0469//
aqpZ	b0875//
araBAD	b0063//b0062//b0061//
araC	b0064//
araE	b2841//
araE-ygeA	b2841//b2840//
araFGH	b1901//b1900//b4460//
araJ	b0396//
arcA	b4401//
arcB	b3210//
arcZ	b4450//
arfA	b4550//
argA	b2818//
argCBH	b3958//b3959//b3960//
argD	b3359//
argE	b3957//
argF	b0273//
argG	b3172//
argI	b4254//
argO	b2923//
argP	b2916//
argQ	b2691//
argR	b3237//
argS	b1876//
argT-hisJQMP	b2310//b2309//b2308//b2307//b2306//
argU	b0536//
argW	b2348//
argX-hisR-leuT-proM	b3796//b3797//b3798//b3799//
ariR	b1166//
arnBCADTEF	b2253//b2254//b2255//b2256//b2257//b4544//b2258//
aroF-tyrA	b2601//b2600//
aroG	b0754//
aroH	b1704//
aroKB-damX-dam-rpe-gph-trpS	b3390//b3389//b3388//b3387//b3386//b3385//b3384//
aroL-yaiA-aroM	b0388//b0389//b0390//
aroP	b0112//
arpA	b4017//
arpB_1B_2	arpB_1//arpB_2//
arrS	b4704//
arsRBC	b3501//b3502//b3503//
artJ	b0860//
artPIQM	b0864//b0863//b0862//b0861//
ascB	b2716//
ascFB	b2715//b2716//
ascG	b2714//
asd	b3433//
aslA	b3801//
aslB	b3800//
asmA	b2064//
asnA	b3744//
asnB	b0674//
asnC	b3743//
asnC-mioC	b3743//b3742//
asnC-mioC-mnmG	b3743//b3742//b3741//
asnS	b0930//
asnT	b1977//
asnU	b1986//
asnV	b1989//
asnW	b1984//
aspA	b4139//
aspA-dcuA	b4139//b4138//
aspC	b0928//
aspS	b1866//
aspT	b3760//
aspU	b0206//
aspV	b0216//
asr	b1597//
astCADBE	b1748//b1747//b1746//b1745//b1744//
atl	b0454//
atoDAEB	b2221//b2222//b2223//b2224//
atoSC	b2219//b2220//
atpBEFHAGDC	b3738//b3737//b3736//b3735//b3734//b3733//b3732//b3731//
atpIBEFHAGDC	b3739//b3738//b3737//b3736//b3735//b3734//b3733//b3732//b3731//
avtA	b3572//
azoR	b1412//
azuC	b4663//
bacA	b3057//
baeSR	b2078//b2079//
bamA	b0177//
