# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Fri Jun  1 12:06:12 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Mon May 14 18:28:36 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AccB	b3255//b3256//
AcrR	b0463//b0462//b0464//b1891//b1892//b1531//b1532//b1530//b4439//b4063//b4062//
Ada	b2213//b4187//b2068//b2212//
AdiY	b4117//b3517//b1493//b1492//b3516//b3212//b3213//b3214//
AgaR	b3135//b3138//b3139//b3140//b3141//b3131//b3136//b3133//b3134//b3137//b3132//
AidB	b4187//
AlaS	b2697//
AllR	b0505//b0512//b0504//b0507//b0514//b0509//b0508//b0511//b0513//
AllS	b0516//b0517//b0515//
AlsR	b4087//b4088//b4086//b4085//b4090//b4089//
AppY	b0980//b0979//b0978//b4592//b0972//b0973//b0974//b0975//b0976//b0977//
AraC	b0062//b0063//b0064//b0061//b2841//b1901//b1900//b4460//b0396//b3565//b3564//b1497//b1498//b2840//
ArgP	b2923//b2916//b0031//b0166//b3702//b3701//b1761//b2838//b4024//b2156//b2234//b2235//b3700//b2236//
ArgR	b2818//b3959//b3958//b3359//b3957//b0273//b3172//b3960//b4254//b3237//b0863//b0860//b0861//b0864//b0862//b1747//b1745//b1748//b1746//b1744//b0032//b0033//b3212//b3213//b3214//b2309//b2307//b2306//b2308//b3168//b0874//b3171//b3169//b3164//b3167//b3170//b3165//b3166//
ArsR	b3502//b3503//b3501//
AscG	b2716//b2715//b0473//b0330//b0820//
AsnC	b3744//b3743//b3742//b3741//
AtoC	b2222//b2224//b2221//b2223//
BaeR	b2470//b2079//b2078//b2074//b2075//b2076//b2077//b1743//
BasR	b1040//b1039//b1038//b1037//b1552//b4042//b4312//b0460//b1014//b3025//b3026//b0461//b3207//
BetI	b0311//b0312//b0313//b0314//
BirA	b0774//b0775//b0777//b0778//b0776//
BluR	b1166//b1164//b1165//b1167//
BolA	b4150//b0839//
CadC	b4131//b4132//b4133//
CaiF	b0039//b0038//b0037//b0036//b0035//b0040//b0041//b0042//b0043//b0044//
Cbl	b0936//b0933//b0934//b0935//b0937//b0365//b0366//b0367//b0368//
CdaR	b0162//b3128//b3124//b3126//b3127//b3125//b2787//b2789//b2788//b3123//
CecR	b0796//b0794//b0795//b0792//b0793//
ChbR	b1736//b1738//b1737//b1734//b1733//b1735//
ComR	b1112//
CpxR	b2470//b0754//b3057//b2079//b2078//b2617//b1888//b1887//b3911//b4484//cpxQ//b3912//b1042//b1041//b1043//b1040//b1039//b1038//b1037//b4438//b0161//b1535//b3860//b2893//b1016//efeU_2//b0180//b1902//b0460//b2665//b1113//b0925//b0181//b0179//b1531//b1532//b1530//b2074//b2075//b2076//b2077//b1890//b1889//b4159//b3096//b2215//b0929//b3363//b0441//b4160//b3859//b2573//b3461//b4431//b2572//b2571//b2570//b0377//b0178//b4392//b1743//b0461//b4355//b2580//b0378//b0970//b1846//b3688//b2666//b3095//
Cra	b4015//b4014//b0114//b0115//b4016//b1276//b0118//b1241//b0112//b0311//b0312//b0313//b0314//b3357//b2417//b1040//b1039//b1038//b1037//b0733//b0734//b0432//b0431//b0430//b0429//b0428//b3368//b1850//b1851//b2779//b3613//b2927//b2925//b2097//b2167//b2169//b2168//b1779//b2980//b2388//b3612//b2712//b1136//b0116//b1817//b1818//b1819//b1531//b1532//b1530//b4233//b3599//b3600//b3601//b3365//b3367//b3366//b3403//b0315//b0113//b3916//b2926//b0871//b3956//b1702//b0331//b0333//b0334//b0335//b2415//b2416//b1676//b0070//b4577//b4662//b3919//b1780//b3614//b1852//
CreB	b4400//b4034//b4033//b4032//b2464//
CsgD	b1042//b1041//b1043//b1040//b1039//b1038//b1037//b0385//b1071//b1070//b1922//b1937//b1938//b1939//b1940//b1941//b1942//b1943//b1921//b0382//b3661//b0237//b1920//b1004//b1003//b0964//b3156//b3157//
CsiR	b2659//b2661//b2663//b2662//b2660//
CspA	b2231//b1237//
CueR	b0484//b0123//b0781//b0782//b0783//b0784//b0785//
CusR	b0575//b0574//b0572//b0573//b0571//b0570//b0432//b0431//b0430//b0429//b0428//b1970//
CynR	b0338//b0340//b0339//b0341//
CysB	b1987//b2422//b1275//b2750//b2752//b2762//b2763//b2764//b2414//b2421//b2751//b2425//b2424//b2423//b1535//b1379//b0936//b0933//b0934//b0935//b0937//b0365//b0366//b0367//b0368//b1920//b1729//b0602//b1287//b2291//b2852//b1810//
CytR	b2143//b3934//b4382//b4383//b4381//b4384//b2393//b2964//b3363//b3461//b0411//b3831//b1036//
Dan	b3061//b3062//b3060//b3063//
DcuR	b3528//b4123//b0620//b0619//b4154//b4153//b4152//b4151//b4122//
DeoR	b4382//b4383//b4381//b4384//b2964//b0411//
DhaR	b1200//b1199//b1198//b1201//
DicA	b1575//b1569//b1578//b1579//b1576//b1577//b1567//b1568//
DinJ-YafQ	b0623//b0226//b0225//
DnaA	b1415//b3702//b3701//b2507//b2508//b2234//b2235//b3863//b3700//b3461//b2236//b4670//
DpiA	b0564//b0618//b0617//b0616//b0615//b0613//b0614//b0620//b0619//b3093//b3236//
DsdC	b2366//b2364//b2365//
EbgR	b3076//b3077//
EnvR	b0463//b0462//
EnvY	b2215//b0929//
EvgA	b2470//b2368//b2367//b2369//b2370//b2374//b3512//gadF//b3513//b3514//b2373//b1500//b1499//b1501//b2085//yegZ//b2371//b2372//b2375//
ExuR	b3094//b3093//b4357//b3091//b1521//b3092//b4322//b4323//b4324//
FabR	b0954//b2323//
FadR	b0185//b3255//b3256//b2316//b0954//b2323//b1092//b1093//b1091//b1288//b3845//b3846//b1805//b0221//b3081//b2342//b2341//b2344//b0443//b1187//b4018//sroD//b3495//
FeaR	b1385//b1386//
FhlA	b4079//b2731//b2492//b2725//b2724//b2723//b2722//b2721//b2720//b2719//b2718//b2717//b2713//b2481//b2482//b2483//b2484//b2485//b2486//b2487//b2488//b2489//b2490//b2491//b2726//b2727//b2728//b2729//b2730//b2712//
