# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:45:59 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May  9 11:33:01 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
# /Users/Daniela/Documents/CCG/datasets/RegulonDB/TU_links.txt
#GU name	Genes
Ada-Methylated	b2213//b4187//b2068//b2212//
AlaS-L-alanine	b2697//
AllS-allantoin	b0516//b0517//b0515//
AraC-L-arabinose	b0062//b0063//b0064//b0061//b2841//b1901//b1900//b4460//b0396//b3565//b3564//b1497//b1498//b2840//
ArcA-Phosphorylated	b4015//b4014//b0114//b0115//b4016//b2296//b1276//b0118//b1415//b0980//b0979//b0978//b4592//b4450//b0311//b0312//b0313//b0314//b4131//b4132//b0039//b0038//b0037//b0036//b0035//b0040//b0618//b0617//b0616//b0615//b0613//b0614//b0733//b0734//b0886//b0887//b0432//b0431//b0430//b0429//b0428//b3528//b4123//b0621//b0620//b0619//b3845//b3846//b1805//b0221//b3081//b2342//b2341//b2344//b1334//b0904//b1612//b4122//b1611//b2094//b2093//b2092//b2091//b2096//b2095//b2975//b2976//b2979//b4468//b4467//b2977//b2241//b2242//b2243//b3426//b0720//b2579//b1210//b0972//b0973//b0974//b0975//b0976//b0977//b2996//b2995//b2994//b2993//b2992//b2991//b2990//b2997//b1136//b1160//b3605//b3603//b3604//b0116//b3236//b0827//b0826//b1109//b2742//b2288//b2287//b2286//b2285//b2284//b2283//b2282//b2281//b2280//b2279//b2278//b2277//b2276//b1243//b1244//b1245//b1246//b1247//b0113//b0903//b1211//b1212//b2297//b1101//b1297//b1301//b1300//b1298//b1302//b1296//b1299//b3907//b3317//b3320//b3319//b3313//b3315//b3318//b3312//b2741//b3314//b3321//b3311//b3316//b1012//b1011//b1010//b1009//b1008//b1007//b1006//b0723//b0724//b0721//b0722//b3908//sroD//b4059//b0726//b0727//b0728//b0729//b1324//b4240//b4239//b4040//b4039//b4058//b3566//b3567//b3568//b3569//b0602//b1528//
ArgP-L-arginine	b2923//b2916//b0031//b0166//b3702//b3701//b1761//b0167//b2838//b4024//b2156//b0168//b2234//b2235//b3700//b2236//
ArgR-L-arginine	b2818//b3959//b3958//b3359//b3957//b0273//b3172//b3960//b4254//b3237//b2310//b0863//b0860//b0861//b0864//b0862//b1747//b1745//b1748//b1746//b1744//b0032//b0033//b3212//b3213//b3214//b2309//b2307//b2306//b2308//b3168//b0874//b3171//b3169//b3164//b3167//b3170//b3165//b3166//
AtoC-phosphorylated	b2222//b2224//b2221//b2223//
BaeR-Phosphorylated	b2470//b2079//b2078//b2074//b2075//b2076//b2077//b1743//
BirA-bio-5-AMP	b0774//b0775//b0777//b0778//b0776//
CRP-cAMP	b3241//b3240//b3243//b3242//b4015//b4014//b0114//b0115//b4016//b1276//b0118//b4069//b4067//b3072//b3135//b3133//b3134//b1002//b1415//b3588//b4169//b0110//b0111//b2957//b0062//b0063//b0064//b0061//b2841//b1901//b1900//b4460//b0396//b0191//b3172//b0908//b2716//b2715//b4139//b4663//b3721//b3722//b3723//b1112//b0039//b0038//b0037//b0036//b0035//b0034//b0040//b2755//b2754//b2760//b2759//b2758//b2757//b2756//b2143//b1736//b1738//b1737//b1734//b1733//b1735//b0681//b2155//b0618//b0617//b0616//b0615//b0613//b0614//b1111//b4213//b3357//b2417//b1040//b1039//b1038//b1037//b2659//b2535//b0880//b0623//b0598//b3806//b4438//b0432//b0431//b0430//b0429//b0428//b3368//b3934//b1189//b1190//b3528//b4138//b4123//b4124//b4125//b4382//b4383//b4381//b4384//b0620//b0619//b2366//b2365//b3260//b3076//b3077//b0596//b0595//b0593//b0583//b0594//b0597//b3404//b2927//b3093//b1805//b3081//b2344//b2925//b1385//b1384//b4291//b4290//b4289//b4288//b4287//b0584//b3261//b0805//b0041//b0042//b0043//b0044//b0684//b1891//b1892//b0904//b2492//b2800//b2802//b2803//b2799//b2801//b2805//b2804//b1612//b4122//b1611//b0683//b2661//b2663//b2662//b1493//b1492//b0759//b0757//b0756//b2943//b2151//b0758//b1779//b2094//b2093//b2092//b2091//b2096//b2095//b0124//b2904//b2903//b2905//b1761//b2980//b3429//b3432//b3430//b3428//b3049//b3431//b3870//b3868//b3869//b2241//b2242//b2243//b3426//b3425//b3927//b3424//b3926//b2239//b3423//b2240//b3925//b0720//b3212//b3213//b3214//b3437//b4321//b3438//b3415//b4476//b3413//b3608//b2579//b2614//b3610//b2507//b2508//b2706//b2708//b2231//b4175//b4174//b4173//b4172//b1182//b0107//b0106//b3395//b3394//b3393//b3392//b0125//b4000//b0440//b2481//b2482//b2483//b2484//b2485//b2486//b2487//b2488//b2489//b2490//b2491//b4267//b4268//b4266//b4264//b4265//b3671//b3670//b3168//b3672//b3132//b0342//b0345//b0343//b0344//b4036//b0819//b2660//b0116//b1513//b1516//b1514//b1515//b1517//b1518//b1511//b1512//b3580//b4034//b4033//b4032//b1620//b4035//b4037//b3571//b3418//b1621//b1622//b1613//b1817//b1818//b1819//b1531//b1532//b1530//b4426//b3236//b4119//b4120//b4118//b2942//b3171//b2149//b2150//b2148//b0347//b0348//b0349//b0350//b0352//b0351//b0346//b4171//b1594//b2963//b0763//b0764//b0765//b4233//b3599//b3600//b3601//b2429//b2428//b4170//b2961//b0109//b0677//b0678//b0676//b0679//b3225//b4311//b3223//b3222//b4310//b4309//b3224//b2469//b3414//b3365//b3367//b3366//b2742//b0192//b0553//b2234//b2235//b2393//b2964//b3169//b0957//b0929//b3405//b4376//b3961//b1388//b1389//b1390//b1391//b1392//b1393//b1394//b1395//b1396//b1397//b1398//b1387//b2584//b3403//b0113//b0903//b2926//b0931//b3164//b0108//b3363//b2147//b2146//b4201//b4111//b0331//b0333//b0334//b0335//b0330//b4030//b1101//b2415//b2416//b1015//b1301//b1300//b1298//b1302//b1299//b2597//b3167//b3749//b3751//b3750//b3748//b3752//b3753//b3903//b3904//b3902//b3906//b3905//b3907//b3170//b0953//b0189//b4203//b3231//b3461//b2741//b4200//b3230//b3165//b4202//b2009//b0723//b0724//b0721//b0722//b3609//b2913//b0907//b3583//b3581//b3582//b3908//b1656//b1272//b2965//b3864//b2702//b2704//b2705//b2703//b2707//sroD//b0726//b0727//b0728//b0729//b0959//b1519//b3118//b3117//b3116//b3115//b3114//b3113//b4471//b3708//b3709//b3707//b4240//b4239//b1421//b3166//b3781//b4168//b0411//b2232//b3831//b3452//b3453//b3450//b3451//b3449//b3669//b3668//b3667//b3666//b1617//b1616//b1615//b4193//b4194//b4195//b4196//b4197//b4198//b0675//b4637//b3091//b1521//b3092//b4322//b4323//b4324//b2509//b3565//b3564//b3566//b3567//b3568//b3569//b4406//b0190//b0682//b0820//b1036//b1205//b1780//b2171//b4502//b2236//b2430//b2583//b2840//b2962//b3221//b3356//b3574//b3575//b3576//b3577//b3578//b3579//b3611//b4068//b4167//b4354//b4671//b1593//b4004//b4003//
