#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	hisJ//edd//tnaC//bioD//
AlaS-L-alanine	hfq//
AllS-allantoin	rbsD//fumC//ykgO//
AraC-L-arabinose	ppiD//livH//rseB//hybG//fliA//pgaC//soxS//speB//xdhA//glgB//cysK//metJ//hyfF//mutY//
ArcA-Phosphorylated	pnp//bcsZ//nuoL//mtr//tcyJ//araA//metE//astE//ydeJ//torR//nrfG//cheW//sufD//arfB//ykgO//rrfE//casB//yciW//fimG//evgS//rybA//cusF//sgbU//mepH//fucO//nagE//metE//ansB//ydbD//mntH//rrsE//grcA//nikC//rrsG//tap//arcA//fecD//gatC//rhaA//nanA//tfaQ//ulaB//malM//feoC//entD//xylF//pdhR//cpdB//ydhT//sohB//purB//yqjH//ccmG//fdhF//rpmC//csiE//iscA//ccmH//treC//livK//yccA//sucB//hypF//aldB//skp//edd//osmC//sroD//gadC//gpsA//skp//aceA//fhuC//aroP//lysC//fimF//lldP//prs//ykgM//ygbA//dmsB//rplI//fecC//qseB//phnD//cspD//yeaR//ydeP//mgrB//hflK//glnA//nuoL//mglB//phnC//nrdH//ivbL//acs//ilvD//guaB//mzrA//sufE//pgaA//rrlG//nohA//rpoE//hyfH//cysA//artI//hyfD//yciW//tap//cueO//tsgA//fis//argT//miaA//pncB//cas2//tyrP//gltV//moaB//paaE//cpxR//entC//nrdG//fecE//cysB//rpsI//yhjC//glnG//metH//umpH//phnD//sodB//umpH//rhaR//hybG//ydeO//argH//fecB//gatY//yjjZ//purR//tauD//sdhC//gspF//xylA//paaJ//glnL//prmC//yccA//malG//paaD//arcZ//purC//ampD//manY//ompA//hpt//fhuD//ilvY//nanM//iscS//purE//pgaA//nikE//nuoA//tolC//hflC//sucD//uhpA//rbsR//ykgO//tsaE//livK//livF//rrlC//
ArgP-L-arginine	alaS//frdD//tar//glpR//csgD//yiaJ//tyrP//rbsR//ssuE//gabT//nuoB//yeaR//entC//ydbD//yegZ//nhaA//
ArgR-L-arginine	napB//ulaB//ugpB//deoC//gltB//xylB//gnd//cysG//hyfE//casB//bhsA//evgA//cusR//bglG//dnaN//cysB//yjjZ//nohA//aceK//ychO//mgtA//fecR//fau//ileV//bglB//iclR//cpxA//mcaS//cysC//prmC//sufD//ssuA//fimF//rnlB//caiA//pnp//narG//citF//hflX//
AtoC-phosphorylated	patZ//lsrG//glpD//gutQ//
BaeR-Phosphorylated	rprA//hycF//mutY//mscM//nagA//ycjF//caiC//bglF//
BirA-bio-5'-AMP	lpxD//ydhU//psd//pgaD//sucB//
CRP-cAMP	acrD//sufD//gspJ//lsrF//rpsO//fimG//puuB//yhhY//gabT//bamE//norV//araA//yfbR//yecR//ampD//mhpF//rpsJ//deoA//malF//gapA//astE//mscM//icd//ydiU//xapA//hemL//metB//fliZ//exuT//nrdE//phoU//preA//yjjZ//malZ//hupA//yrbL//bioF//gatC//ada//hyfC//crr//fdnG//ryhB//grxD//rseA//feoC//hpt//paaF//napC//rpsI//yiaO//guaA//frdB//argC//garR//ilvE//metE//nanK//hdeB//gutM//gutM//citF//waaH//srlB//fucA//idnO//amn//hyfR//mepH//purL//azuC//hcp//nuoH//paaF//entC//bioD//modA//truB//gltF//cueO//araA//aroA//caiB//lacZ//metH//nuoB//hmp//manX//napD//kbl//cysC//dadX//purK//nikC//fnr//yeiP//uidA//livF//araE//napH//feaB//xdhC//argP//yiaL//ascF//malF//modB//allC//nrfC//hofN//nikC//idnT//baeR//adiC//sbmA//mhpB//manY//mipA//aceA//casE//glgB//dmsA//glpX//torR//sgbE//sxy//yfdV//ccmG//yedX//gltD//purB//cvpA//entC//fur//fucO//yeiW//phnM//phnD//phnK//gcvT//purR//cysA//glpC//citX//prpR//fhuD//hyfB//rcnB//ihfA//rhaT//bioF//caiE//fucP//gatC//purK//ydhT//ygiA//crl//argA//ugpE//csiD//ubiX//ybdN//atoE//dapB//serC//paaB//hpt//dcuD//nrfB//yfdV//yecR//marB//tauD//ydiU//umpH//yiaN//ppiD//skp//nrfE//lsrR//paaF//pstC//ung//ampE//tyrB//napD//lamB//fadL//znuB//galM//fumA//yiaO//cysM//fixX//yojI//dcuA//baeS//hycH//mdh//ydeJ//hyaE//actP//lsrF//yeiW//mglB//purN//ygiA//cysU//appY//lsrK//guaA//nuoJ//focB//metL//livK//feaR//grcA//yeiL//zinT//sbmA//hycC//nuoK//xylA//nikB//nrdB//puuE//fnr//mdh//hyaC//srlB//cysB//lacZ//cas1//dmsB//marB//treR//uxaC//hyfE//mhpT//hybC//galK//nupG//norR//paaZ//cyaR//glgP//rimM//citX//lysA//zinT//entS//dppB//rrfG//arfB//epd//argT//fecB//csgA//sohB//hcp//hdeA//gnd//fes//argG//ccmE//nuoM//csiD//nagA//nrdI//sucA//lysC//emrK//hybG//cspD//aceK//aceE//napH//fepD//alaU//mdtB//gdhA//glpK//glnD//aaeR//phnO//nuoC//glnK//yeiP//ybjG//rplD//ptsG//ugpQ//rrsC//yfeW//yfdV//yqaE//gadB//gltW//mntS//sbmC//ybfN//nhaR//yfaE//bglG//truB//yeiW//nuoK//rutA//gntT//gcd//cusF//idnT//ppiD//zraP//cynT//paaH//tfaQ//metQ//paaI//slyB//folA//csgG//aceB//tfaQ//sdhD//baeR//hofN//purK//yjiY//nanK//rrlH//cysJ//lrp//lsrA//pck//astC//gspK//ulaA//mtlA//pncB//cysC//mpl//emrY//qseC//ilvA//sucA//galE//ssuC//fucO//serA//bcsC//citF//csgB//csgD//dnaN//frc//rplI//uxaC//rrsB//lrp//glpD//ompA//chbG//fecI//cadC//gltF//amtB//yoaG//ssuC//hybF//nanE//araJ//yfiP//nagC//gspO//cydA//narH//ulaF//rutD//rprA//paaZ//hypF//sgbH//alaS//moaC//hyfC//gpmA//malT//aldB//hycB//asr//ung//rplI//adiC//lsrF//malE//nanS//rbsA//ispE//purK//gatA//yciW//gatZ//fimF//pnp//oxyR//napF//ydhU//csgG//nrdE//gspK//rpsC//pstA//atoD//mtlA//murP//ampD//nrdF//phoB//mntP//hybD//purE//ssuA//ssrS//lsrC//nlpD//paaK//mhpE//feoB//hofC//cytR//sufA//purA//fdnG//pdhR//xdhC//yiaN//sgbU//fepC//trpA//phnH//hyfF//hofC//artQ//yiaM//caiE//rstB//icd//pheM//feaB//emrK//ybdN//rrlH//glpA//bamA//ycjX//lldP//malS//creB//purN//sgbH//lsrC//ydeP//bamE//nuoB//lpd//bglF//fecR//citF//slyB//rrsE//ykgR//glnA//bamA//ubiG//narJ//nuoC//moaD//aroH//gatC//ygeH//ychO//rpoE//nuoI//oxyR//nagC//yaiW//malK//lysC//mgtA//envY//galT//cheB//pitB//ihfA//nuoB//nrdG//mglA//hyfG//ugpE//sodB//rrfA//rrfH//nuoI//glcB//purC//ybfN//yjiY//hdeD//napG//cyaR//dcuS//frdA//ansB//pgaB//trpC//nrfF//nrfD//purC//hupA//chbA//soxR//bglF//ilvE//
