#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rrlG//entD//citE//motB//
AlaS-L-alanine	waaH//
AllS-allantoin	pgaD//avtA//ygiC//
AraC-L-arabinose	lpxB//nusA//ugpE//metC//preT//dcuC//rplW//ldtB//malP//xylA//sodA//pitB//glnD//infB//
ArcA-Phosphorylated	sufA//ugpC//rprA//torA//mglB//ilvB//aceB//dcuR//fixX//glnD//rseA//phnC//cysH//argH//cusB//tsaE//manY//rnlA//ccmE//priB//tauA//appB//fdnH//phnL//rpsQ//rrsD//yoaG//hyfI//cysP//allE//ilvC//patZ//ispE//yfdX//ilvA//ulaF//ung//feaR//rutG//ssuD//fadJ//malX//mltC//malF//yccA//puuD//gspH//galP//osmY//preA//lldD//appB//phnP//csgE//hyaB//rpsJ//fadL//rplB//ccmA//udp//yiaL//nrfG//rbsC//tdcE//uidC//mdh//ccmF//araA//phoH//malY//tehA//entE//sufS//hycB//lysO//csgD//nrdD//rutA//hcr//soxR//hyaE//yhfA//putP//treB//cydB//tcyJ//abgA//metK//moaC//uhpC//uidC//hypA//rbsC//rnlA//gadC//tdcD//metQ//srlD//gatD//gatY//ilvI//phnG//spy//bioF//phoU//oppC//thrV//lhgO//rrfG//ilvI//rplW//gspK//oppD//ubiG//srlD//livH//cysG//glpR//yaiW//phnO//lsrB//rhaS//glcD//chbG//gapA//ydeJ//lysA//ygeA//thrV//dapB//cheB//rdoA//xylA//oppF//sdhB//cpxA//xylA//prfA//hybF//cysB//aceK//casD//bcsC//hdeB//yjjZ//tehA//citF//malI//mgrR//argB//ansB//ytfE//yeaR//yeaR//yfaE//argI//gabP//gabT//fhuB//dnaN//moaD//hydN//patZ//nuoH//guaB//hycF//hyfR//uxaC//artQ//aroF//grxD//narJ//ydhU//mntP//tehA//chbA//agaW//
ArgP-L-arginine	galS//argO//cusR//aaeB//tomB//rhaS//uidB//hofM//treC//phnM//srlE//gdhA//rpsF//ompX//hofP//talA//
ArgR-L-arginine	rrfE//nac//hyfG//moaC//alaT//artQ//entC//rpsJ//gcvP//purK//abgB//rcnA//hyfJ//aspA//yhiD//sucA//nrdG//fecI//ydeN//sbcC//trpD//mhpD//gadC//tdcD//uxuA//ampD//mutL//ugpB//hypF//mtlR//speA//argG//yiaM//znuA//pgaA//psd//ssuC//treB//agaV//
AtoC-phosphorylated	cheA//cysW//hyaE//dapB//
BaeR-Phosphorylated	stpA//dcuB//gutQ//nikC//hyfA//ppdD//hisP//rrfA//
BirA-bio-5'-AMP	yeiW//oppC//ydeJ//narQ//speA//
CRP-cAMP	araA//narX//yjcH//hofN//malX//xdhA//ygiB//paaH//sbmA//malF//napD//ulaC//sodA//rrlA//yfdV//rplB//glpT//prpC//chbR//mhpE//alkB//abgA//zntA//fepG//glgA//tehA//phoU//fepG//glgC//nagB//yeiP//proP//sdhA//ebgA//cysG//ssrS//pgpC//ulaA//hdeD//uof//modB//fliZ//gntX//phnG//aroG//lhgO//uidA//lldP//carA//ssrS//caiB//idnT//rrsA//hycD//caiF//efeU_2//ung//ompF//agaW//pheS//glnG//rplM//metQ//puuR//yiaL//rpoH//gadC//chbA//sgbH//dmsB//cysB//fecI//cysW//sgbE//tnaA//qseB//treB//agp//tnaC//citD//cynR//fixB//lpxD//glcD//glcB//rrlD//lldD//feaB//hybD//trpC//phnI//rplB//gspK//nrdA//hyfI//paaG//marA//cheR//argH//aroP//aldA//chiP//acs//oppB//dpiA//fecD//preT//ccmE//cysN//ung//lhgO//gspD//alaT//hdeB//feaR//sbmC//nuoB//citX//araA//pyrC//ygaC//dmsC//pagP//hofO//ynfF//aroG//hcr//nusA//malS//pagP//hyfE//uxuA//rrlG//glnL//umpH//cydB//fliZ//ileU//paaC//idnK//tauA//ilvG_1//ygiC//chbA//rrlG//tehA//ycdZ//ynfK//envY//xapA//cusR//idnT//gspJ//sucB//nupC//phnP//araE//rpsJ//nikR//dppB//glgX//cysH//nikC//ubiG//yiaK//fumA//trg//srlR//tehB//fecR//narJ//narI//livK//rutA//yeaE//metC//copA//fdnG//purE//hemA//cysM//yhjC//paaC//entC//phoQ//lsrB//bioF//ssuA//proP//yoaG//emrK//ynfK//cirA//puuC//aldA//napF//dppF//idnO//bioC//yfbR//tsr//fecC//fau//gltD//hyfR//fixC//rbsK//agp//paaI//nirD//tcyJ//tsgA//gutQ//argF//frdA//ynfH//gltT//arcA//metH//metA//moaA//nadC//tauD//gspE//nikB//gntR//rrlE//ynfG//xylF//garL//malG//putP//cyoB//gntU//rutG//ycjX//lysP//cysA//lsrK//fiu//yeaD//metK//yeaD//ccmC//nrfB//yhcH//mutL//metA//rprA//hycG//yiaL//atoD//idnK//ygeA//mdtD//fhuE//cynR//melR//aaeR//cysD//hfq//gltB//betA//glpK//fimG//hslJ//ugpQ//actP//comR//gspK//mhpD//gcvP//ssb//ilvI//yeaD//znuB//paaA//ispE//glgA//puuD//rrfF//ilvC//gntT//fadI//cusA//hypF//upp//dppD//efeU_2//lsrR//rpsO//paaJ//dusB//zraP//nikC//ydbD//ompF//nagC//nfuA//sdaA//sdhC//hofO//ilvE//hcr//mntH//araC//appC//phoR//napH//sdhA//ycdZ//glgB//glpF//livJ//appX//marR//hyaB//mscM//hybB//fdnI//slt//oppB//napC//nanT//nrdE//oxyR//hyfJ//lpxB//paaH//dcuC//nupG//tehB//mzrA//nrdA//rpsC//yjeV//moaA//arcA//rutF//ynfE//yggX//purN//caiA//astD//ilvL//rstA//dcuC//hofM//pgaD//yeiP//yoaC//tauA//recF//envZ//purF//gltD//rpsI//nanS//rcnA//xylF//aldA//norV//cynR//ccmE//mhpR//yeiW//yeiB//sufS//nanM//tfaQ//epd//tcyJ//betT//cyoC//gspF//rutF//eda//tonB//fimH//rnpB//ompA//copA//bioF//zraS//mglC//metF//melB//aceB//purH//moeA//oppD//rpsS//rpmC//bcsZ//nanC//ompR//chbB//cusA//entC//aidB//citF//iraD//znuB//tnaB//mutY//srlA//tolC//cysU//sufB//lacZ//ompX//gpsA//exuT//artP//rplT//metB//rutB//marR//oppF//ilvD//argC//hha//sucD//entF//rpsS//ptsH//entF//rseB//oppA//sufA//gpsA//hyaF//napF//ccmF//ssuE//yegH//cra//fecR//nuoA//rrsD//adhE//citG//rrlA//zraR//ompA//melB//feoC//pflB//ccmF//lamB//ychO//melA//nadC//pgaB//nupG//hflC//mtr//xylA//cusC//nuoL//appC//phnO//sucC//yaeQ//bioD//yfdV//dppC//napF//phnC//yebE//caiC//sgbE//dppD//rrlA//ykgR//secB//hycG//hfq//lysP//rpoH//dcuC//ysgA//ulaA//evgA//gspE//mhpF//glcF//cadB//cysJ//citC//purA//nuoB//hofB//dsdX//ugpC//tdh//hypD//rplP//rimM//glpX//rrfA//nikE//cynR//xylA//paaI//cheA//hflC//deoD//ydhW//eda//nikB//atoB//gpmA//hupB//yfbR//ybfN//gutM//ygaC//aroL//rpsP//rrlG//hofB//acs//ptsI//ydfH//
