#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	tsr//aspA//rbsB//ulaB//
AlaS-L-alanine	nanT//
AllS-allantoin	idnT//sgbU//fadL//
AraC-L-arabinose	fau//rybB//dsdX//araG//nupG//hcp//gntU//mpl//fimC//metF//nac//trpL//astE//arcZ//
ArcA-Phosphorylated	acrF//hofB//fadE//rprA//abgA//ynfH//xylR//nuoG//puuD//prfA//hupA//rplI//rcnA//sxy//uhpT//psiE//lpd//leuE//emrY//moaC//entS//srlB//glpT//acnA//hisM//oxc//hybB//nuoN//nagA//pheM//sodA//hofM//lsrC//ulaE//metJ//nrfC//pflB//bcsZ//glrR//rpmC//tsgA//gntR//rrlE//malY//ygeH//yqaE//galM//phnF//yiaJ//envZ//rpsS//modC//ugpC//acrF//lacA//livG//phoH//ilvD//ispE//fdnH//ydfH//fumA//puuB//nhaA//yojI//ybdN//hyfE//hyaF//hyfR//rpoE//rplV//purC//ilvM//prpC//ubiA//nlpD//pstS//atoD//bglG//hupA//fadA//tyrP//lpxA//ilvA//glgC//fdnH//pepT//pstC//murP//cysK//zraP//glgP//deoC//gspK//nanE//feaR//uhpB//lpxA//araD//grxD//lsrR//tsaE//oppA//rpsQ//argE//ilvM//frdC//metE//rutB//purD//rpoH//rrsA//cydD//narI//csiD//iscS//fumC//ydbD//deoC//mhpF//betI//codB//yeiW//pstC//ihfA//crp//malY//mgtA//cvpA//grxC//ampE//uxaB//malF//chbF//ydhY//zraS//gltA//uhpT//phnE_2//gpsA//astD//ydhV//glgB//yaeQ//dnaE//yneM//sxy//glcG//puuP//cynS//deoA//ppdD//oxc//xdhC//rpsC//paaD//ccmA//pgaD//bhsA//argP//rdoA//rpoS//torA//hflK//oppA//ompX//araH//rbsK//ryhB//raiA//metN//glcF//fadA//gltV//trpR//ilvB//ccmB//
ArgP-L-arginine	gntX//nrfC//dpiA//malX//ydhV//glrR//mhpT//hypC//prfA//cusS//rplP//ccmE//qseB//ada//tsx//glpC//
ArgR-L-arginine	ydhU//sufB//guaA//rrfE//phoA//aer//melR//gcvH//gabT//appB//motA//envZ//moaB//rbsB//metQ//moaD//yhcH//lsrG//cadA//evgS//cydD//rpmI//ihfA//hupB//yfbR//lacY//cysC//ebgC//cdd//rrsH//pstC//hybO//dnaN//guaB//yqjI//nrdI//safA//yecR//rrlA//
AtoC-phosphorylated	araH//nupG//puuC//caiD//
BaeR-Phosphorylated	hcr//acnA//flhD//amn//fimH//pgaD//dsbA//rbsA//
BirA-bio-5'-AMP	hlyE//phnL//rrlB//alaV//fadJ//
CRP-cAMP	modA//gcvH//grxD//amn//ugpB//skp//gltU//psiF//umpH//xylB//hyaD//narI//fnrS//tar//fucI//citG//rplB//alkB//nuoB//phoE//gabD//katG//purE//hofC//tktB//yoaG//dcuB//gabT//glyA//sucA//galE//gntU//fepC//glyA//citX//waaH//ilvE//hyaE//caiA//rnhB//pheT//cysK//gntR//ompX//rplS//rplW//bamA//ivbL//dppA//treR//ilvC//gspE//prpR//ynfH//yhfA//bioA//rrfD//nhaA//focB//ada//dsbA//hslJ//cirA//motB//mtlD//truB//yccA//yiaN//ampE//malZ//ilvY//oppD//fbaA//pgaB//ydfN//uxuB//rrfD//fdnG//aroH//rplV//appC//mntP//upp//narX//cydB//araB//tar//glcB//torA//phnF//malI//phnC//hybA//rplI//pstS//yjcH//gltT//yhjC//yebE//cysN//malQ//hypC//ytfE//nrdB//hupA//hybO//dnaA//livM//livG//rrsG//crr//infB//yqaE//cdd//rnpB//allC//paaH//hyfC//argR//xylF//bglB//ssrS//bcsZ//ugpQ//fau//yegZ//nuoN//mhpD//gabP//tdh//malY//murP//pyrD//gspI//hyfJ//sohB//cysK//ulaD//fixX//oppC//gspD//fumB//dmsD//gntU//entB//metL//glrR//paaK//purB//galK//pflB//cynT//spf//casD//cusA//putP//ssb//fadL//dppB//allC//gntR//rdoA//yggX//narK//nirD//prfA//xdhA//priB//citG//xylA//nanA//fixC//tadA//dmsC//fadJ//moaE//nrfD//thrV//safA//entS//oppC//ykgO//acrD//mhpE//hemA//modC//hyfI//preA//nanT//fbaA//rseB//glcA//mgrB//betB//lhgO//rbsK//malT//sdaA//yeaD//tcyJ//melA//purA//narJ//envZ//carA//lpxA//ydhU//bamE//hyaB//hyaB//puuR//icd//tyrP//gltU//hycD//glcA//moaB//phnO//phoP//caiB//hemA//citX//fumB//lldR//livM//fepG//hyfD//xdhA//nanE//nmpC//dnaE//argA//hyfG//malF//mgtL//tar//rbsK//cyoC//nuoN//rutA//hcp//argA//fau//cytR//dctA//argP//sucC//citX//argF//yiaN//malF//tauB//aroM//ulaF//agaW//ccmF//ubiA//lysC//yfaE//astA//ydiU//puuA//cysW//ccmC//rrlH//hofN//fecR//bacA//codB//cydB//pgaC//gdhA//hofC//caiB//mscM//secB//napF//narI//nagC//allE//rpsO//tdcF//hycF//gltV//rrlD//rrfB//moaD//oxc//cpxA//galT//nuoF//phoA//cpdB//ilvN//cysW//ssuC//dsbA//glcD//cysK//zwf//srlA//sdhB//feoA//purN//rutE//yaeQ//dnaA//flhD//xylG//ssuD//dsdX//ykgM//paaE//fdhF//phnH//gabD//napC//yggX//hybB//yrbL//hflK//galK//mntS//rrsE//ygiB//casE//xapB//hyaA//ileV//abgT//metL//fucO//xdhB//malT//preA//dsdC//hybG//ugpB//argA//dapB//rrlC//ynfH//xylF//treC//glpF//nrfD//grpE//ubiG//upp//sodA//iscU//acrA//aer//rrsA//nhaA//osmY//fixC//zntA//nrfG//sucC//comR//aer//hdeB//epd//ispE//glmY//nupC//gcvT//slyB//osmC//acrF//miaA//gntU//pgaC//miaA//gspI//glpA//mcaS//gspJ//hybA//torD//yjiY//cyoC//idnD//rbfA//metL//mhpC//moeA//trpB//tdcA//ulaA//nhaA//motB//gntK//yebE//patZ//nanA//nanT//glpG//fadA//hisQ//ampD//xylA//garR//gspL//metR//cpxA//rcnA//puuR//sgbH//nuoL//rutC//motB//adhE//manY//gabP//fecC//zraR//cynR//cydB//nrdB//ptsH//dppD//fadA//torA//mpl//idnD//yeiB//argF//pitB//lacZ//casD//mdtB//rcnA//abgA//napC//ydhT//citX//ileV//fis//micF//crr//puuD//ydhU//aaeR//trpD//sohB//phnK//fadE//hyfF//pgpC//puuB//tfaQ//hycH//lysP//garK//gntT//hfq//paaE//hemA//hflD//nuoM//nuoG//putP//carB//appY//ihfA//glcF//hfq//aroA//alkB//iraD//rseA//rrlE//deoD//ydhX//uxaB//entD//iraD//glpB//fucU//pheT//glcE//hybC//rutG//dkgB//cydB//rplS//rdoA//yeiW//psiF//gyrA//yeiL//astA//yiaL//xylH//cusB//yjeV//galE//hisJ//tdcG//metQ//purB//acs//uidB//glgA//nrfF//hyfA//hypD//ydbD//ldtB//cra//gatC//motB//hycH//argE//ssb//purE//nuoK//crl//hdeB//arcZ//narK//fumC//yqjI//
