#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gcvP//fadI//mglA//ilvX//
AlaS-L-alanine	creB//
AllS-allantoin	cusA//xdhA//hslJ//
AraC-L-arabinose	bamA//cyoC//glcA//acrD//gatY//acrD//crp//rrfD//ssrS//yeaE//tdcD//lldR//citD//cpxA//
ArcA-Phosphorylated	pheS//ykgM//xylF//gntP//metF//betA//paaC//yiaN//rpoH//metL//glcB//nac//purB//lacI//metJ//tcyJ//hydN//rnhB//aroM//mglC//rbsA//ydhW//fimH//yaiA//tktB//argA//phnE_1//lsrK//hemL//rrsA//cas1//phnI//flhD//gspK//ssuB//aaeA//phoQ//argT//rnpB//cpxA//nagE//gspC//malY//malX//fecI//pagP//rrsG//hofB//ilvB//lsrB//paaK//citD//lamB//agaW//casB//prpC//glcD//ampD//livG//rrlH//fixX//hycA//betB//cstA//fumC//gcvT//argT//acrD//fimC//glcF//yjjZ//ydhT//katE//nikE//fepC//dpiA//csiE//marR//bamA//dppA//eda//prpR//nuoK//tdcE//nikB//ilvC//comR//paaZ//cynT//entF//mzrA//hupB//dsdC//gatD//sdhD//glpR//livF//mepH//mltC//tktB//srlD//tnaA//mhpR//ogt//dkgB//grxC//lysC//mlc//bamA//purA//adhE//puuD//hpt//ptsG//rpsJ//cusA//kbaZ//motB//hemL//torC//narG//acrA//fau//marB//ispE//metE//fhlA//slt//fucA//cysC//narG//hybB//argG//rpsR//cadA//comR//prpB//nuoG//rrsE//hycC//pgaC//cyaR//pdhR//yaiW//feaB//dppA//cysM//pgk//ccmH//fecC//efeU_1//yhcH//rrlB//tdcD//gcvH//ampD//aroL//allC//grxC//oppD//infC//uvrA//pdhR//ssuD//rnhB//phnO//fimC//iscA//prpE//adiC//uxaC//cusA//exuT//cysA//malS//nuoF//nohA//
ArgP-L-arginine	skp//emrK//ygeH//safA//hyaF//ydbD//mglA//psiE//nuoE//cyoC//uxaB//livM//ynfF//rcnB//rnpB//qseC//
ArgR-L-arginine	yhcH//aer//kbaZ//sbcD//bglF//mlc//nuoL//glcE//yiaL//sdhB//casD//guaA//ulaE//agaA//yiaJ//yjjZ//artQ//yaeP//nikA//gpsA//araD//gatA//yaeP//frdD//hyfR//cpdB//ulaC//codB//tyrR//hypA//oxyR//hyaE//ptsG//ugpA//treC//rrlE//rpsI//rrfA//ivbL//
AtoC-phosphorylated	citG//yiaM//ydfN//cysB//
BaeR-Phosphorylated	fimF//yfdX//fecA//torA//fixA//slt//evgA//yibN//
BirA-bio-5'-AMP	nupC//ascF//iclR//tfaQ//moaD//
CRP-cAMP	envZ//rpsF//dppD//creC//ssrS//gadC//asr//entH//rutB//caiT//hyfD//citE//hcr//fur//gspM//cysM//iscR//gadC//norW//napF//ynfG//rpmI//frc//hdeD//rpsF//dppC//osmC//lsrF//aroM//entE//cyaA//ssb//alkB//cas2//tcyJ//caiC//copA//phoU//chbR//lsrG//nikC//yhjC//sodB//csgF//pepT//metY//fecA//csgE//aroG//znuC//rstB//proP//lhgO//srlE//tpx//fepA//acrB//gspF//nrdE//yfdV//mntS//iraD//abgA//aroH//idnT//feoB//ybjG//galT//tonB//fixC//melB//glcA//dnaN//dnaN//putP//map//fepG//lacA//acrB//sbcD//mdtB//rutE//fliZ//rhaB//paaA//aceA//bdcA//pgk//csgB//dppC//hycE//malZ//gutQ//copA//tpx//hofP//gspC//cysH//narH//ygeA//asr//atoE//creD//glmY//amn//bglG//ysgA//waaH//hypC//rplB//ptsG//rrfB//infC//uof//lrp//yhfA//flhC//yjcH//rutG//murQ//purB//yegZ//cra//spy//tehA//rpsC//manA//fimC//argH//melB//mcaS//trpB//mhpC//trpB//ansB//tauA//lpd//napB//cydA//acrF//leuE//zinT//ccmF//fau//rplI//livM//pstC//casE//ampE//purR//modB//dps//mntS//cusC//argO//putP//ubiG//ppiA//fimH//borD//treR//tcyJ//alaT//ptsH//rbsA//cadC//yiaO//gntP//lldR//degP//hypF//artJ//metE//ydeA//nuoA//nhaR//fabZ//rrlB//metL//iscA//cheY//spf//nuoA//umpH//ydhT//ybdN//gspO//rplC//ugpC//astE//rrlC//mhpT//rcnA//polA//trmD//ygaC//xapA//nikB//ccmB//fucU//preT//yfdX//exuT//nuoK//yiaN//pstS//ubiG//ulaF//yfdE//cheA//dusB//slyB//tadA//puuP//yggX//bcsC//tdcD//ugpQ//nikD//qseC//creA//pncB//purN//trxA//cheA//glcB//glcF//uhpA//hha//amn//polA//yhiD//ccmC//rybB//fur//sgbU//psiF//rrlA//ompW//livK//yiaJ//ahpC//cynS//dppF//rstB//rof//pgpC//lldR//mdh//artJ//astB//ydhX//tnaB//paaD//glcB//narH//ydbD//lamB//pyrD//torD//purD//rbsK//dppB//gspC//trg//metF//mglC//cheB//erpA//codA//phoR//mhpR//malS//uvrA//fliA//dnaE//argC//sucA//appX//citC//acnA//hyaB//ygbA//xylF//rhaT//csgF//rbsA//araE//znuB//livM//pyrD//ybfN//fadD//caiE//gspJ//cynT//tap//paaF//gltW//gltT//fimA//serA//frdC//mpl//ysgA//sohB//rpoE//emrY//ybjG//kbaZ//rpoS//cynX//gnd//rrfD//ygaC//gyrA//ubiX//soxS//umpH//gspD//araC//yiaL//sufE//argR//astB//gutQ//purK//eda//hyaD//nanS//psiF//lldP//feoC//grcA//rrsA//mtr//napA//entS//lsrC//pnp//yeaR//nuoK//osmC//paaK//hofN//gltB//truB//astC//nanC//hofB//aroL//nrdD//cysG//nuoM//rhaB//pgk//uxaA//tonB//glcB//iraD//psd//rhaR//cusS//treB//yiaL//dkgB//fadI//purA//rpsQ//rpsC//arcA//yhhY//dcuC//nlpE//yfeW//allD//nac//ychH//rpsO//creA//xdhA//tdcG//narX//uhpT//proP//iscR//tnaA//xylH//rplB//rrsD//malZ//hypF//ybdZ//idnO//fbaA//nanM//nirC//metR//pgaB//citD//rutF//cas1//sgbH//pstS//csgF//xapB//dapB//mdtA//lldP//ydeJ//dppC//ilvM//alaT//moaC//ftnB//emrY//rpoS//actP//moaC//dppD//hycD//fucR//phoP//pdeF//creB//acnB//yjeV//cusC//nuoF//mgrR//pta//astC//prpE//marR//srlD//rpmI//bioF//comR//mhpR//sufB//metJ//astA//aldB//carA//phnG//hcr//fepE//tauB//rybB//moaA//mtlD//ilvI//srlE//allC//frdA//ydfH//yciW//paaZ//ynfE//borD//lhgO//hisJ//ydiU//rpsR//hyfR//mipA//paaF//nirD//phoE//csgE//soxR//cysP//focA//aceK//cyoB//cusF//argA//glpB//cydA//thrV//metE//glpB//kbaZ//ahpF//gpsA//glpC//cytR//ynfH//csgA//napH//glcF//feoA//caiA//gltB//focB//metR//puuB//acs//cydA//ydhT//aspA//garP//nikD//citC//dadX//ilvD//gspC//gatY//marR//glgB//mdtA//hycD//serC//lacZ//nuoF//soxS//moaC//uxaC//gspG//fadH//ydhY//purH//znuC//hyfG//glnA//
