#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	rrfE//aroH//metE//secB//
AlaS-L-alanine	emrK//
AllS-allantoin	grxC//fliZ//paaE//
AraC-L-arabinose	galS//paaE//narQ//trpE//phnO//uidC//gltV//nanA//alaT//ychO//nrdA//infB//pyrD//bamA//
ArcA-Phosphorylated	rutE//hofC//ascF//amn//hyaD//murP//rnpB//cusS//malF//cysU//rplC//fhlA//ydeN//rrsG//fldA//gntP//paaG//purF//osmC//speC//pflB//yfaE//fdnH//agp//gatB//sdhB//soxR//xylG//phoB//iscR//hyfA//trpB//fecD//deoC//yeaD//rrfE//dppC//iscS//oppD//moaE//nuoM//bamE//cytR//hfq//purL//cynT//nrfA//napA//osmY//znuC//rbsD//fhuB//glcC//ccmG//cpxR//argO//nohA//gntX//rhaS//norR//glcF//pheS//yoaC//rnlA//hyfJ//motA//gltA//lyxK//idnR//fecB//ilvY//creB//lysP//aldA//acrE//rrsB//mgtL//ivbL//napB//acrA//caiT//phnJ//gltB//moeB//alaV//tyrA//entB//glnB//rnhB//cysI//bcsB//yeaE//dgcZ//cytR//rpsS//dgcZ//yhiD//rrlB//rrlC//narH//csgG//ulaD//cstA//amn//phnO//betA//ydhY//ilvC//garL//fucP//moaD//puuB//tauB//agaA//paaC//fadJ//ydfN//xylB//nikR//lpxA//dppB//galK//trg//rybB//citF//hyfE//glpT//betB//hyaC//gspD//gpsA//fdnI//feoA//yoaC//mhpA//hemA//gatZ//pitB//metE//trpD//napH//fepC//lyxK//xylA//frc//feoC//deoC//gspJ//sufE//hdeA//araB//ydhX//ilvN//mscM//mutL//galS//hemL//hisJ//xdhA//betI//puuC//cheW//thrS//tdcC//ykgO//yiaJ//sucD//purE//grxC//grpE//tnaB//sdhC//fimH//aldB//atoA//fecR//nanC//
ArgP-L-arginine	zinT//rimM//tyrB//spy//lpd//hypC//glnB//xylH//cheZ//argB//guaA//nikD//ispE//rrfF//ykgM//arfB//
ArgR-L-arginine	argD//acrD//rplP//argF//glmY//ysgA//hyfE//dppF//hfq//ileV//gltU//hybD//malG//cysM//narG//iraD//gltB//yoaG//edd//oppC//oppA//raiA//argF//phoB//bglF//mcaS//fecA//fucI//fimI//tap//bcsB//ilvI//tnaB//bglG//aldA//glpR//entF//uhpC//marA//
AtoC-phosphorylated	iscU//hycH//csgB//cheZ//
BaeR-Phosphorylated	glgX//oxyR//cpxA//phnH//fecR//pheS//cynT//hycA//
BirA-bio-5'-AMP	rbsC//frdD//rpsS//ahpF//hyfB//
CRP-cAMP	cusC//nusA//oppC//lrp//fnr//aer//arcA//ung//gabT//lysO//bglF//feaR//ulaC//gatD//fadE//alaA//glpK//rplT//ygaC//baeR//ilvN//grpE//feoC//fecB//yfaE//acnB//hisP//hdeD//fes//grxC//cheY//glpC//degP//nrdD//cusS//mhpB//amtB//srlR//glgB//puuE//gyrA//citC//ahpF//sufB//nuoA//fdnG//yhiD//rnlB//dgcZ//rnlA//pnp//phnK//nuoN//bhsA//lpxA//caiD//cyoE//uxaB//glpD//tauD//argI//bglB//appB//exbD//puuP//araF//glpR//ynfG//livF//rutB//yfdE//narI//tam//yegH//yiaN//hybC//tar//creD//glpE//csgB//entC//ugpC//yeaE//narQ//gspH//hupA//rpmC//nhaA//allD//uxuR//nikD//cyoD//cusF//spf//cysD//gspM//creC//fimC//purM//cytR//garL//rnpB//yggX//ulaD//uhpT//glrR//dcuC//livF//argF//hyfB//yoaC//asr//marA//rutG//dmsC//xdhB//hycA//katG//sbmA//napA//phnM//purR//csgG//sucA//srlR//mdh//tcyJ//argF//casB//sodA//gatD//ydhV//hupA//nmpC//gspG//torR//hyaA//fhuA//fixC//nuoC//nikR//hha//nrfE//csgB//pheM//abgA//rseA//galE//puuC//mgrB//hofO//mdtD//rrfF//borD//pck//alkB//bglG//torA//malF//fhlA//sbmA//puuP//ugpB//guaB//rpmI//lsrF//dps//feoC//gltU//ihfA//iscU//hdeD//flhC//galS//atoE//ilvN//nrfE//fecC//phoA//dnaN//rybB//iscA//deoB//hofB//alaV//yeiP//lrp//glcF//purE//oppA//preA//hyfE//hofB//nrfG//nagA//ptsI//paaE//sufB//aroP//rplM//bglB//efeU_1//paaD//yjeV//betB//tadA//lpd//putP//exuT//gatD//cstA//hyfG//purE//erpA//araH//lolB//amtB//argR//nagE//yjeV//cydB//tdcF//ndh//fadD//paaB//uhpT//rrsC//nuoH//cheR//nrfE//yjiY//lysA//rbsR//cstA//gpmA//aroM//murP//nikA//nuoK//creB//purF//hofM//aldA//caiC//malZ//uvrA//chbR//gspE//borD//phoA//dgcZ//glpE//yjjZ//gutM//acrB//hmp//nlpE//cyaA//feoA//ychO//hyfF//tsaE//nanE//rpsJ//chbR//ysgA//tdcC//appC//ycjF//oppB//dppA//caiC//nusA//hupA//acrD//sucC//hybE//hycE//pgpC//gltT//paaC//pstA//appY//paaJ//fixA//nikB//ulaC//cyoC//tsgA//narI//entC//ygiA//nrfG//ydeA//hybE//dcuD//qseB//recF//nrdH//araA//malI//yneM//mntS//cyoA//cas1//nagA//idnD//ptsH//cspE//guaB//agaW//yjeV//uidC//ykgR//ccmG//dsdA//treC//ydhX//mdtA//ileV//ilvA//xdhB//gabP//cheB//lldP//nuoB//hycG//dusB//prpB//nupC//entA//cadB//rybB//purN//metQ//astD//astB//hha//hybO//creD//hyfA//pitB//appB//yiaL//osmC//galK//allD//metC//aldA//cadC//xylR//nagB//xdhB//rutG//tyrR//ynfE//rrlE//skp//bamE//chbR//lysO//hemA//qseB//ftnB//dppD//cysW//cueO//uof//fadB//nagC//pta//gadC//ada//hypC//creB//hybA//phnM//mhpC//araE//rbfA//cas1//citC//trxA//recF//frc//napA//narQ//ydhX//araJ//malM//fepD//kbl//glpR//glgS//pnp//cusA//uxaC//livJ//gntR//livK//rrsA//crl//gspO//glcG//appY//amtB//fur//cadB//nikC//yeaD//ulaC//ihfA//purK//nrfA//phnP//mglC//nagC//gcd//pgaA//creA//ptsI//ydhV//rplM//gadC//motA//cvpA//srlR//pitA//abgB//glpG//yedX//acrB//cheZ//yaiA//bcsB//codA//rbsB//ydbD//rplM//nirB//fhuC//rpsI//uhpA//rpoS//dppC//ileT//bioD//tpx//ydeN//gabD//sdaA//metC//nikC//nirC//nikC//mltC//araC//mhpE//rutD//metF//speA//azuC//carB//nuoL//dppF//aceE//tcyJ//nirC//nuoB//qseB//amn//galM//manA//hofC//ahpF//cyoE//torA//xylH//bdcA//ssuD//melB//rcnB//yoaG//fixA//garL//rplI//aroA//ackA//glcE//glpT//icd//manX//acnB//nrdF//fau//nrdH//rplS//modC//mdtA//cvpA//gntU//srlE//rplT//dps//yhcH//yhfA//ileU//fadH//ilvG_2//lhgO//livH//pgaA//creD//ftnB//frc//ssuB//ulaE//nuoN//ssuA//bglG//purH//bcsZ//fadE//ilvA//creD//
