#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	sbcC//tauB//glgA//lacA//
AlaS-L-alanine	phnJ//
AllS-allantoin	narL//paaF//cynT//
AraC-L-arabinose	oppF//fepB//fimG//iraD//rstB//lacZ//hcp//agaW//glpG//fadJ//nusA//nuoJ//uraA//alaT//
ArcA-Phosphorylated	tnaC//cynX//citG//paaI//hycH//bcsB//narH//speC//envY//leuE//prpD//nirB//paaD//hofB//znuB//uhpT//agp//fucA//nuoB//rstA//rseC//betA//puuD//tsaE//dadA//prs//rstA//metF//nrdE//ihfA//ykgM//crr//rrfE//trxA//tyrB//ansB//metA//tdcA//yoaG//pheT//sucD//csgE//exbB//fadB//hycA//spf//creA//bioC//bamE//ulaD//gcvT//cas1//dctA//casE//cusC//tnaA//tolC//cadA//paaC//micF//ysgA//atoA//glgB//pgaA//gntT//ompF//yiaM//citG//caiE//artJ//phoH//yeaR//lpxB//rpsS//purE//argR//prfA//glpG//cadB//nrfF//argT//sucB//frdC//ydeJ//znuB//serA//phnH//yegR//epd//uraA//tyrP//sufD//ndh//pheS//baeR//ilvG_1//prs//pagP//ychH//puuE//evgS//xylA//oppB//cysK//cytR//aroP//mhpR//metQ//ssuC//rpsP//hyfG//purL//xylB//marR//pitA//nac//ubiX//idnR//lpxB//malK//aceB//mgtA//metJ//trpR//ulaD//sufD//nmpC//norV//tehA//ulaD//paaB//nlpE//argH//speC//dsdX//aroA//gatC//paaI//bglB//aceE//cusB//fumC//fliA//paaG//paaF//nagC//qseC//hflX//cheR//qseB//fhuB//arfB//xapB//waaH//aroL//rrlD//ampE//pstB//arfB//actP//artM//mdtB//lldP//arfB//umpH//actP//malZ//cydB//aldA//glpA//trg//paaJ//rseB//bacA//yebE//yciW//tnaB//
ArgP-L-arginine	araB//prpC//chbF//napF//hofN//arcA//cysJ//fabZ//alaS//fdnH//gabT//kbl//thrS//cysC//creA//cusF//
ArgR-L-arginine	fucI//arcA//rbsK//hypB//sgbU//dmsD//metC//fadB//phoE//ackA//gabD//fimH//gntT//epd//ccmF//ilvA//cysK//tauA//nrdE//dppB//narX//gabP//purC//rhaT//paaA//purL//aaeX//nuoG//napG//oppD//secB//cysG//fepD//purE//ilvI//agaA//dmsB//betA//rrsA//
AtoC-phosphorylated	glcG//speB//entE//folE//
BaeR-Phosphorylated	nagB//fepE//glpQ//mpl//ulaA//ydeJ//lpxA//infB//
BirA-bio-5'-AMP	cadC//ybdZ//fliA//narX//rimM//
CRP-cAMP	pgaC//ygeA//fepG//puuD//zraP//pstC//sucD//pheT//galE//tfaQ//phoP//fdnG//betB//rpoE//hofP//nuoE//nanM//pstA//yegR//folE//rbsR//araC//yfeW//alaS//yneM//tadA//pitB//gltV//arfB//appA//ulaA//bioC//prpB//puuR//caiB//phoQ//ycdZ//bdcA//yneM//sufA//sufB//recF//pgk//aaeR//hslJ//caiA//tdcD//rybA//nikR//alaA//amtB//skp//nrdA//araB//sohB//hybE//yjcH//fimI//chbC//nirC//trmD//chbC//sdhC//argT//ycdZ//tdh//hybA//tehB//nuoG//fhuA//yciW//copA//appX//cysK//tauD//gatD//nuoL//pgpC//nuoJ//cysK//lldD//rbsD//phnN//rpsC//marA//hybD//tsaE//acnA//yjjZ//metJ//garK//glnL//mdtB//speB//yeiP//rrlA//atoB//pdeF//mepH//ulaB//rrfD//ynfF//napC//moeB//rbsD//serC//ahpF//fixA//waaH//slt//rplV//acrA//chbB//srlA//sgbE//hyaB//hyaD//aer//hpt//ydhW//rrfG//nuoG//ssb//yeiW//eda//cyoD//nrfG//sucA//cysG//csgB//rnhB//serA//entC//metH//polA//ykgO//nupG//nlpE//pheS//sgbH//argG//argC//rstA//mutL//copA//tauD//rhaB//phnJ//rnlA//sgbU//phnJ//yqjH//cysD//phnM//slyB//ubiC//ppiD//hemA//malF//phnN//rrlB//araJ//phnM//yiaJ//rpmI//fhuE//rpsO//sdaA//narH//ydeO//nrfA//tadA//argO//paaK//hybE//hyfD//lsrG//prmC//dcuR//cheY//recF//csiE//yjiY//sohB//hflD//ydeA//ilvH//fabZ//uxuA//sxy//fucI//gspJ//yhjA//cusR//cysW//polA//sgbU//serC//ugpB//ydfN//yjcH//dcuB//lolB//yaeQ//malZ//argO//marR//fnr//ahpC//nadC//hpt//hyfB//hycI//entC//citF//tauA//yedX//ssuB//ulaF//phnN//ybdN//cysH//trpD//feaR//ccmA//ascF//nmpC//rutA//bioC//purK//fabZ//bglG//nanE//cysB//cydB//fadL//lsrG//map//fadL//malX//fliA//lamB//hyaA//gadC//melR//rrfB//araF//alaA//tyrP//sdhB//csgA//dapD//fucU//dpiA//sbmC//hybB//narI//ilvY//nrfG//gntX//sroD//phnK//ygiB//rrfC//yiaM//srlD//creB//trpE//ygeA//glpE//cpdB//rnlA//comR//gadB//phnJ//degP//moaB//paaE//rybB//appX//yggX//dpiA//fecC//cueO//purC//lldP//citD//rrsH//murP//mltC//ryhB//rrlA//creA//nikA//metH//dppA//uraA//nrfC//rrsH//spy//spf//phoU//deoA//aspC//gspL//garK//ykgO//mhpD//rmf//sgbH//trpA//nrdE//csgA//ygiA//ugpE//skp//fucR//bioF//rrfA//manY//hflD//dkgB//dsbA//astD//ilvE//ulaA//cynX//metN//livJ//malI//livM//dppF//guaB//cysI//baeR//pyrC//lsrR//gadC//metK//fimD//marR//cysI//creA//yiaM//yggX//ycjX//galP//fadE//yedX//fadD//mscM//serA//malK//dctA//ydhY//narG//tnaA//patZ//alaU//ynfG//ubiC//guaA//rpsS//araC//aroM//bglG//hybB//zraR//glcG//artM//lsrD//slyB//aaeB//fliA//ubiC//glcF//srlR//ilvG_2//aer//carB//rplD//tonB//ompT//rprA//paaC//cydB//citG//zinT//uidC//cydD//glpE//phnL//ung//purB//paaD//ansB//rbsB//gspH//fucR//bcsC//rpoS//bglB//alaV//metN//glpK//borD//malK//micF//sodB//mntP//zraP//hycC//trmD//cusR//rprA//hyfC//cusR//polA//hybD//dcuA//adhE//dppC//pck//ybjG//glnK//avtA//sdhB//pgpC//astD//uxuA//glpR//malK//oppC//yciW//torA//ldtC//aceF//hcp//citX//appC//purE//pheM//napB//ychO//arcZ//hybF//polA//phnG//cusR//murP//pgaA//entD//metA//tyrP//ysgA//napB//aroF//caiB//folA//rybA//galP//csgC//katE//evgA//ygeA//glgS//rrfD//pta//purN//paaE//yhjC//aroG//ftnB//entE//uvrA//ykgO//stpA//hyfD//cadB//caiB//ascF//fadH//phoR//tauB//ccmC//cpxA//puuB//ppdD//galT//argG//nrdE//ahpF//rrlB//pgaC//nfuA//erpA//bglB//gltD//evgS//cspE//ileV//glcF//mhpE//folA//nuoA//tsr//rplB//rbsB//yfdX//sgbH//entE//hycD//manY//uidA//entS//phoH//lsrD//rplC//sufC//rrlG//trpA//nuoA//fimD//uhpC//yqjA//
ChbR-Monoacetylchitobiose-6P	astB//dmsD//aldA//yjiY//mhpD//alaA//
CpxR-Phosphorylated	rrfG//pta//sbcD//dcuD//dusB//bcsC//purL//dnaE//uxaC//marA//nrdE//fepD//rutF//hslJ//glnB//fimH//cysG//psiE//efeU_1//ilvX//ydhT//ydfN//pgk//hofP//mhpR//secB//ackA//qseC//mtlR//gspO//fecE//qseC//fecA//creB//napG//dusB//gspC//malQ//chiP//cadC//nohA//tyrA//nuoI//ynfE//ilvC//argA//uhpC//exuT//moaB//metA//casC//gspG//rplC//mdtD//yjjZ//alaU//mgrB//lsrC//mntH//nlpE//cas1//trpB//crp//ompA//rpsC//sbcD//mhpC//ascF//lpxA//
CreB-Phosphorylated	fecC//fhuB//mtr//mhpD//gyrA//citE//garP//dnaN//cysN//
CueR-Ag	rplV//nanT//feaR//nrfA//argC//paaA//ilvB//
CueR-Cu+	xylF//atoE//hisJ//fecI//yeaR//iclR//yiaJ//
CuerR-Au	norW//nrdA//yeiP//manA//fhuD//ilvL//malQ//
CusR-Pasp	hflC//galP//srlA//gspO//uhpA//rutA//prpB//rutE//bioF//hisJ//betB//narK//
CynR-Cyanate	gltU//fiu//argH//cysD//
CysB-N-acetyl-L-serine	rprA//pstA//nuoH//dsdA//cdd//exbD//pstC//glnA//argA//cyoB//rrfE//nirC//rutF//crp//sbmA//fadB//mutY//prpB//lacA//yjjZ//uhpA//glcA//ykgO//ackA//ygiA//pgaD//nuoA//glnD//pta//moaC//
CysB-O-acetyl-L-serine	zraR//nhaR//speB//yoaC//infC//yhhY//pgaC//nadC//dsdX//bglB//dctA//mgrR//tar//caiB//nrdE//ispE//purR//dcuD//glgX//oppA//malM//ftnA//fadH//nuoG//feoB//ogt//metK//prpE//cyoC//ulaD//hybB//
DcuR-Phosphorylated	yoaC//rnlA//amn//uxaA//aaeA//fepD//glpQ//glcB//purR//
DnaA-ATP	hybB//csgB//gabD//nrdD//astC//tonB//metJ//lsrB//aroF//ftnA//crr//ssuE//
DpiA-Pasp	dpiB//lacZ//codA//cydA//tyrB//cydA//aroL//srlE//fepE//hslJ//nlpD//
DsdC-D-serine	psd//fumA//abgA//
EvgA-Phosphorylated	rutB//malY//gltD//narQ//xylA//exbD//mdtC//aer//rpsP//artP//nrdD//narL//paaC//tyrA//norR//
FNR-[4Fe-4S]2+ reduced	malP//sdaA//yiaL//envZ//nanE//ppdD//flhD//melA//cusF//gyrA//mpl//ryhB//allE//dsbA//amiB//mntS//yfaE//yoaC//casC//ygiA//exuT//fhuF//lpd//rpoH//nuoN//ssb//cspD//ptsG//metH//bcsC//bhsA//hha//allD//gspJ//pagP//yiaM//melR//tdcG//yfeW//ompF//acrB//ebgA//ilvX//argD//hybD//cusC//appC//rimP//codB//yegR//arcA//gnd//fimC//glnB//mhpC//uhpT//livM//tdcG//folE//rutA//fes//fadB//rpsC//infC//glgS//purM//bglG//fumA//phnE_2//infC//deoA//ugpB//xdhC//nadC//deoD//hflX//comR//fdnI//phnG//mtr//hlyE//malK//cysB//ssuD//csgF//rrsG//rybA//xapA//recF//purN//norR//amtB//fnr//fimH//rhaR//cydB//fliZ//malQ//rbfA//efeU_2//xylH//hisJ//aldA//hfq//dkgB//fepA//sdaA//ptsI//argP//ydhX//hycB//lsrG//envY//sdhB//aldB//iscS//metE//bioF//ydhY//betA//chbF//ycjX//norR//idnT//gatC//nuoJ//chbC//ptsI//ydiU//oppA//degP//fdhF//ada//cusA//glrR//fucR//livJ//dcuS//glnD//agaA//fdnG//gspG//umpH//nrfA//hofN//gntU//citD//tonB//fimF//glcE//uxuB//paaG//araE//hdeA//torR//crp//allE//tolC//nac//betT//envY//glcA//fecR//citG//dkgB//cusB//fhuE//lpxD//uvrA//marR//nac//lpxD//ampD//sdaA//cydD//ulaA//puuA//aroA//hyfI//rplB//fecR//metC//copA//rrsB//skp//bcsC//hofP//csgC//nupC//fhuF//lpxA//nagC//sodB//tyrP//hyfG//rpsR//dcuR//entH//puuD//rdoA//artJ//azuC//astA//argA//sodB//yeiW//iscA//srlD//xseA//ydfN//modC//bhsA//frc//rplP//ryhB//ilvM//bacA//frc//cysH//glgC//mutL//mpl//oppC//treB//pepT//waaH//pstS//ryhB//glcF//srlE//ybiT//atoD//frdA//lamB//malZ//rrlG//sucD//uxuR//eda//bcsC//mhpA//purA//dapB//ebgA//uhpB//nrdH//rutG//metC//yiaN//yebE//gntK//tyrB//fiu//pdeF//rpsQ//hyaB//metK//zinT//rrsC//oxyR//nac//patZ//metK//hofO//hycH//mntH//pgaD//ldtB//abgA//glcD//casD//yiaL//thrV//livK//hypE//yaiA//hofP//prpE//citC//fucI//kbaZ//phnJ//araJ//hfq//tsr//chbB//metI//aceA//paaE//mntP//cheY//mcaS//fumC//glcG//lacY//bhsA//trxA//malM//lamB//prpE//tnaA//aroM//malX//gltF//ydhW//
FhlA-Formate	slt//phnH//sbmC//uhpC//katE//cas1//dpiB//atoB//sufC//lpxA//paaE//gspI//mgtA//cydA//tdcE//ubiC//puuR//hcr//pheS//hcp//xylR//uxuB//rpoE//glpQ//ulaD//yeiP//garK//yaeP//nrdD//cusF//
FucR-L-fuculose-1-phosphate	tap//znuB//mtlD//ugpA//pyrC//nrdB//nikR//
