#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	fucR//yfdV//fepG//purL//
AlaS-L-alanine	yqjA//
AllS-allantoin	mipA//sohB//preA//
AraC-L-arabinose	csiD//puuC//yqjI//paaB//puuP//dmsA//dcuC//yiaN//yneM//codB//hemL//sdhA//pta//sdhB//
ArcA-Phosphorylated	nanA//citF//infC//ccmG//ascF//evgS//rplB//gpmA//ulaF//puuR//gatB//ascF//hypE//rutF//narI//dmsB//hycC//glcE//yeiP//gyrA//narQ//abgA//tdcD//gabP//mltC//phoE//mntP//tnaC//dcuS//tap//astA//cheZ//serC//nrfE//gatB//csgF//sufC//ssuA//rcnB//yiaL//rybA//xseA//crl//deoC//purK//paaB//phoU//mglB//ssrS//caiE//lsrR//iscU//feoB//araC//allC//miaA//cydD//yhiD//tehA//gatZ//srlE//gutQ//nuoH//bcsA//glgC//araC//ompX//astB//znuB//marR//ybiT//rplI//hyaD//nrfG//gspO//metA//mhpD//glpE//dsbA//yrbL//acnB//aroH//tpx//rhaT//gspD//aaeR//hybC//pheS//nirD//mntH//fadJ//lysU//nuoJ//sohB//dcuS//ycjF//gabT//yggX//ileU//metY//rseC//mdtA//glpK//hyaD//ileV//slt//infB//ccmF//mdh//pagP//rpsR//uxaC//fhuF//dppF//modA//phnO//phoP//treR//uof//kbaZ//dppC//narH//trxA//yiaL//fimI//rrsE//tnaC//tam//sxy//tar//uidC//idnO//dsdX//manY//asr//rplC//modC//acrE//fhuE//ybdN//serC//mtlA//csgB//rrfG//asr//modA//yaiA//fepG//lacY//fadD//fimC//gyrA//asr//secB//ysgA//nrdI//tpx//agp//astE//fecD//srlD//rybA//fimC//rpsJ//sxy//ampD//xylF//puuC//rprA//hofB//narK//rhaS//ulaF//fadD//puuE//nikA//psd//
ArgP-L-arginine	ulaE//glrR//purL//gadB//chiP//folE//yqjH//fecD//hybB//nfuA//rybA//nupG//dpiB//feoA//dnaA//mgrR//
ArgR-L-arginine	puuB//gspF//metY//hdeB//norV//crp//cheW//hycE//tolC//aroH//ugpE//csgB//bamE//trpB//rpoS//yhjA//metI//rplC//rrfF//mtr//moeA//gntR//mhpT//lsrG//yhfA//gspC//hflC//fimH//tfaQ//rutE//prfA//dpiB//ydhT//hybC//oppF//rrlC//ada//psiE//artI//
AtoC-phosphorylated	cyoA//galK//hlyE//araJ//
BaeR-Phosphorylated	pdeF//emrK//fixB//grpE//cueO//ccmG//fecI//metK//
BirA-bio-5'-AMP	cas2//entB//acrF//yedX//hofN//
CRP-cAMP	cheR//cysD//dpiA//emrY//cra//trpR//moeB//efeU_2//norV//tam//glyA//metQ//cyaR//lsrA//uxaC//creC//yegR//pgpC//mhpC//upp//ackA//tsr//hofN//purB//hyfB//bioA//glgC//uidC//rpsJ//cas1//purN//dsdC//uxuA//appY//guaA//fepA//nuoG//zraP//hupA//ppdD//pgaD//mhpF//ftnA//nuoB//gltD//zraR//malI//yrbL//aceB//fixA//sbmA//rseB//astD//chbB//purE//modC//malP//rrsG//rnlA//gspJ//caiA//nagA//rplI//evgS//lsrK//hybA//astA//yjiY//glpC//agaW//caiA//aldA//mpl//ulaC//dkgB//motB//fixB//yrbL//glcA//rrsG//rpmC//yoaG//ydfH//marA//oppC//yojI//codA//fimG//csiD//ftnA//motB//tonB//astA//livM//ccmG//tdcE//trpL//prpE//aroF//phoB//cusA//fimF//fnrS//pagP//flhD//iscS//iraD//tsx//hisM//prpD//cydA//fhuC//psiE//oppA//tdh//lacA//fadJ//serC//glpQ//phoB//bamA//uhpC//psd//ilvX//purC//ascF//trmD//nfuA//tehA//kbaZ//yhcH//cysI//cusF//lpxA//hisP//livF//iscU//yccA//nusA//iclR//idnT//tfaQ//rrfB//gatC//rstA//lysU//trpE//bioD//lysP//nanC//hemA//nupG//hycA//nupG//murP//stpA//treB//nrdI//ydfN//polA//phoU//sdhD//cadB//sucC//allC//ftnB//phnD//ilvL//ileU//rbsA//caiD//fdnI//hydN//nrfD//deoA//ubiX//ydfN//malY//lsrA//cysC//rpmI//cynR//slt//csgC//gatA//fepD//acnA//leuE//mltC//srlR//malF//xapB//baeR//pitB//yaiW//idnR//prpB//miaA//nirC//citG//fiu//nuoN//phoQ//yiaM//ilvH//entD//znuC//tsx//cydD//hdeD//dapD//recF//creC//zraS//yecR//fimI//fimH//paaI//ccmD//cysN//gspC//rplI//csgC//nrdB//fur//rcnB//gntR//hyaA//yoaG//phoR//rpoE//ybiT//iscU//ompT//rpsS//ompA//rmf//aroH//rpsS//yfbR//sufB//ugpQ//iscR//aaeB//nagC//acnB//gspL//hycF//yfbR//metJ//cyoE//ilvG_2//thrS//mtr//agp//tdh//argR//ftnA//metR//marR//exuT//ompX//rplS//citF//srlE//slt//hlyE//pstB//ulaC//yhjC//gcvP//yqaE//gatB//entF//rpmC//csiE//nuoH//dcuA//cadC//xylF//motB//emrK//mhpB//aceK//agaV//ldtB//aroG//ybdN//srlE//cspD//narJ//pncB//cpxR//yfdE//paaE//hyaC//hisM//bioC//mgrR//alkB//fixA//ygeH//hycA//fhlA//cadC//citX//gadB//cydC//ydeA//yhhY//xylG//gcd//xdhA//hflX//proP//fecC//metK//cysA//gutM//rhaA//phnK//lacZ//chbF//exbD//rutE//bhsA//fhuB//rhaS//appY//purR//yiaL//ygeA//marR//yfbR//evgA//exuT//udp//hybB//sdhB//cysG//acnA//appC//ileT//fumB//rpsP//gatD//ydhU//gatY//ivbL//citG//dpiB//phnE_2//prpD//mhpR//nrdF//yoaG//yhhY//lysU//trpD//rof//hyfC//idnR//fumB//tsgA//hypD//katG//pgaC//pgaC//upp//csgC//rpsS//gntP//livM//pstA//ftnA//phnK//iraM//sufE//lrp//cspD//nirB//grcA//yiaJ//atoA//rrlD//phnE_1//soxR//yneM//sufS//gpmA//mipA//alkA//rrlH//ybdN//rnlB//moaA//tdcD//mhpE//aldA//rrlB//casE//adiC//sgbE//ileT//bioF//hisJ//ispE//cydD//ygiC//gltF//trpL//argO//putP//feoB//metB//lldD//rrlB//grcA//bcsC//glpC//uxuR//feaR//envZ//hupA//glpD//mltC//hyfG//garR//paaD//rhaB//nikE//yiaO//puuP//ydfH//citG//yjjZ//hofN//fecR//pnp//lsrG//allC//tonB//prpB//fucP//arfB//gspH//gnd//napH//znuB//malP//ubiC//puuA//nanM//fimI//treR//chiP//appY//phoA//fadD//rimP//fimI//caiT//rhaT//folA//tar//yhcH//mltC//allD//tdcG//trpL//lysC//ssuD//rrfC//rrlE//evgS//amiB//gspK//hyaC//baeS//sgbE//ygaC//prpR//cheZ//rstA//srlR//cyoE//dapB//mhpT//metB//ccmF//nikB//purC//psd//mepH//fhuD//baeS//glnA//nikE//ackA//glpR//zraR//ygbA//phnE_2//cheY//feoB//znuA//nuoI//modA//glnL//fucU//paaE//prpE//glpA//phoQ//bhsA//cysM//rseB//rbsD//malG//nusA//feaB//fumA//nagB//gdhA//napA//
