#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	gntP//idnK//norW//tpx//
AlaS-L-alanine	livJ//
AllS-allantoin	cysI//frc//eda//
AraC-L-arabinose	pdeF//ybdN//cusF//yhjA//cheA//hyaD//sufA//iscR//ilvB//agaA//slyB//hybA//prpB//ydeA//
ArcA-Phosphorylated	fepE//narX//uxuB//metB//ulaB//rrsA//rplC//ubiC//nrfG//ygiC//metA//pdeF//atoB//tadA//tehB//exuT//nagB//nac//ygeH//yeaR//malK//ileU//yfeW//lrp//rplD//ykgR//lysU//hmp//fiu//comR//modB//rpsR//glmY//psiE//rplD//mhpD//folE//rnhB//argA//speB//ugpQ//lacI//guaA//idnD//malT//tktB//mdtC//atoD//lysA//cynX//yqjI//hyfC//rrsD//galP//pheM//xdhA//rnlB//hypC//rpmI//ldtC//hofB//uxaA//phoP//narJ//xylG//cusR//purD//creB//phnE_1//gcd//bioF//fucP//hyaF//rpsJ//gspG//trpA//hyaE//gntT//rimP//skp//hofB//dmsC//aaeA//gspJ//degP//oppC//paaG//cas1//dcuA//gltT//metI//bamE//rplT//bacA//caiT//rseB//rybB//galS//lldD//acrB//glmY//artQ//ileT//fixX//glpD//glcC//iscS//cheA//ycdZ//psiE//nfuA//hybA//glnA//appY//rpsQ//fhuF//amn//aer//ackA//uhpA//livG//rhaT//yhjC//srlE//borD//rrsH//znuA//gspE//dcuD//tam//cspE//cra//pgaB//eda//frdC//pheT//gntT//tpx//rpoS//yhfA//cheA//tsx//fhuA//yaiA//mhpB//rrsE//iscU//csgB//fbaA//spy//prs//hybO//trpB//fnr//ung//chbR//torA//malI//pgaC//ugpC//focA//rrlD//arcA//gatY//nanA//fimF//paaJ//fiu//acnB//pgaD//chbF//mglB//nrfF//ulaD//prpE//nanT//napB//
ArgP-L-arginine	gspJ//appA//copA//sufS//actP//xylB//uof//phoQ//gpmA//pstA//spy//mdtA//mutY//ugpB//codA//focB//
ArgR-L-arginine	ynfG//focB//rbsD//araC//phoP//spf//oppA//rrfA//cdd//cyoD//hybG//uof//rstA//pstS//purL//cyoD//lsrB//phnL//fimG//cysP//lysA//phoB//hslJ//edd//rplP//entA//sodA//pstB//ugpE//paaC//nuoC//citC//hypF//dpiA//cynX//ebgC//galK//purN//truB//
AtoC-phosphorylated	entE//allD//sbcD//hybF//
BaeR-Phosphorylated	lysC//rhaA//rnpB//araF//gspH//mtlR//cysK//napG//
BirA-bio-5'-AMP	sucD//tktB//sgbE//mgrB//sucD//
CRP-cAMP	arfB//osmY//phnL//cytR//gadC//aceK//metE//kbaZ//modA//uxaB//ileV//ilvY//hyfD//mhpA//glgC//ybiT//sodB//sufE//cyoE//ryhB//gatZ//ykgM//pstC//lldP//bioD//mhpA//uxuR//caiC//glpF//hyfR//spy//dadA//oxc//nanM//hyfR//mntP//cynT//fixX//lysC//moaA//aspA//yggX//cadA//paaC//tktB//alaV//alaV//glcG//livF//hofB//agaV//nuoJ//tauC//ugpB//creA//crp//kbl//rnlB//tsr//lsrC//rrlD//rstA//dsdC//glpX//ccmC//lacI//ydeP//gspG//deoC//fecC//melA//ybiT//aceB//hupA//mhpB//sbmA//treC//psiF//xdhA//alaA//rnlB//nuoL//alaS//lsrF//rmf//paaH//argH//rhaT//dadX//betI//ispE//trpR//nuoJ//deoD//bioF//alaV//rutB//dcuC//paaG//srlE//ydhY//yfbR//mhpR//fepG//dapD//cysI//tsx//cyoC//yfiP//rbsK//nrfG//tyrB//acrD//appX//prpC//bioB//rseB//ampE//pitB//fhuA//puuR//gabD//casA//hyfR//tdcF//glgX//dmsC//cadC//hflC//paaC//ilvD//ssuA//fixC//malM//fnrS//lysU//hyfJ//lpxB//rrlC//allD//rplI//eda//cysM//pgaD//metK//acrD//purN//fecE//nrdH//metB//ccmC//cusB//ilvB//rrfD//lrp//ansB//dnaA//mepH//gspL//tap//gatY//ydhT//fadI//citF//fepD//rplV//malX//gspM//frdD//fumB//mhpD//mglB//araA//yhcH//sufC//gltU//norW//xseA//cysB//paaK//agaV//argG//aspC//nikA//cysH//bglF//paaI//puuR//ileV//iscA//acrE//rhaA//rpsF//moaB//lolB//sdhC//pheS//hycG//malZ//spf//hyaC//agaA//chbG//rplT//copA//ssuB//gspD//ubiC//hflD//idnO//csgB//metJ//trpB//argT//rhaB//appA//prpD//dcuB//cstA//gspE//evgS//yeiP//gspC//fucK//deoD//cynX//nmpC//ykgO//cysC//ynfF//ygiC//pstB//tyrP//ldtC//argA//ybfN//nuoI//hflD//lysU//pgk//tdcF//fadE//rbsK//rprA//mhpE//nikA//yfdV//mzrA//nirC//dcuC//purD//metI//ynfG//gspL//ahpF//gatA//atoA//gspI//paaF//micF//paaK//modA//livF//ugpQ//gspO//yjeV//upp//lysO//sbmC//betT//thrV//sdhA//lyxK//hisP//yciW//marA//nrfA//ygiB//norW//psiF//araC//mntS//nikC//pitB//phnH//dgcZ//ilvA//manX//hflK//ybjG//betT//ugpE//yiaN//ivbL//xylH//argB//slyB//aroL//hyaA//moaE//fadD//rseA//yqjI//csgG//sucC//nac//hupB//uhpB//cheR//pta//ycdZ//malY//glnK//tomB//rplS//ampE//entA//gltB//deoD//mutY//mdtC//purF//xylF//uidA//uhpC//ompA//rpmC//alaU//ubiA//fecA//glgP//araF//nuoE//hofB//phnL//gadB//fucR//srlA//thrV//waaH//copA//nrdA//idnD//trg//mgrR//narQ//betT//ugpB//cynS//malG//ilvD//ulaB//arcA//hybB//torC//trpA//yrbL//ydeA//yjeF//ileV//yiaK//yfaE//creB//metK//prmC//kbaZ//psiE//creC//pdhR//dcuR//pyrD//metF//ykgR//dnaA//hybO//cytR//srlD//polA//ascB//moeB//ascF//livG//speA//yojI//motA//fecI//citG//lsrG//ftnB//rpsR//frdC//cysN//entA//bioB//crp//ileV//glpD//trpD//cyaR//ubiG//xdhC//rrlD//cytR//rrsD//narJ//nrdI//sgbU//yfbR//trpE//rbsR//gltW//ilvG_1//gatZ//paaH//moaC//ompC//oxyR//truB//yiaO//dppC//cstA//rbsA//hycA//dapB//sdhB//mhpE//fdnI//tdcD//tadA//yrbL//ykgO//cysW//metY//ilvX//rrfG//mgrB//rutE//yiaN//xylB//rybB//cyoA//fepB//rrsA//folE//dsbA//yiaM//ahpC//nrfG//moaB//csgF//lpxD//nuoL//nirB//malQ//prpD//csgA//nanC//cstA//hpt//nadC//phoB//erpA//araJ//ydeA//idnT//fecB//cydC//tauB//lpxB//rimP//frdB//dapD//aceF//ssrS//sodA//hha//fixA//caiE//fimA//yhhY//yoaC//bioF//nuoG//pgaD//fimC//rpoS//yccA//srlD//tdcB//lsrD//cysM//codB//betI//moeB//aidB//malG//fixC//hypD//fucR//ybdN//lysA//emrY//pdeF//alaT//nhaA//metI//fecE//phnH//feoC//cbl//gspD//xylR//ydeM//frdC//amtB//sdhA//cadB//sufB//rutB//cysU//gspM//iscA//trg//caiC//ulaE//
