#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation.txt
Ada-Methylated	flhC//trpD//fadI//baeS//
AlaS-L-alanine	gspC//
AllS-allantoin	hisP//gatY//pdeF//
AraC-L-arabinose	ydhU//iscR//mlc//cydD//dsdX//ssuA//mtlA//ydeJ//citE//aceA//lysP//trpC//nadC//dmsD//
ArcA-Phosphorylated	ydhU//ascF//gltA//nuoF//rbsK//dcuC//dnaN//ugpB//ilvN//efeU_1//acrD//amtB//citF//moaE//rrsG//nuoL//hofM//tyrA//yneM//yidQ//rrfC//hycI//ampD//acrD//paaJ//pncB//yaeQ//yegH//casE//mdtA//psiE//xylR//rybB//rplB//ykgM//glpT//nuoC//fecE//yjeV//exuT//rrfB//xylR//torC//gpsA//iraM//gntT//dsdX//purA//pyrD//chbC//galP//ilvD//gabT//entH//rcnA//ybfN//sufE//yhjC//paaE//nuoK//putP//astD//hpt//trpR//rrsE//hybD//uxaB//uof//rrlH//bioF//rhaA//artP//cysU//ybjG//metK//metR//creA//srlB//lsrD//ilvC//tsr//fimF//fdnH//lsrD//gntT//ygaC//uhpC//betT//rrfB//deoB//yegR//oppC//gltT//codB//xylA//sgbE//feoA//purF//gntU//rrfE//nanM//arcA//garK//rplV//gspM//leuE//marR//efeU_1//yhhY//rstA//cyoD//acnA//oppB//glcA//mcaS//iscA//galK//yecR//hflC//cysC//pck//prpD//nlpE//cusC//ulaA//fecD//xylG//fimD//yedX//rutD//fumC//rseA//yeiP//hyaF//gspE//lpxD//rhaT//crr//ynfE//znuC//tdcF//casA//ynfG//uidA//rutB//paaJ//hupB//argR//putP//ydhW//ydeP//hisJ//hisQ//ampE//araE//yeiL//rrfA//patZ//glpE//fadJ//lsrB//tap//galS//pheS//phoR//aaeX//caiB//rpsR//citF//ackA//entD//deoA//secB//rpsC//phnF//rybA//fumC//
ArgP-L-arginine	preT//uvrA//carB//acnB//dsdX//fimA//rrsE//lysO//yaiA//rplP//nikC//ulaD//proP//phnF//ysgA//znuC//
ArgR-L-arginine	cysH//fadL//hypC//argR//moaE//ompX//gcvT//fucP//citD//rhaS//metY//ogt//bioB//pstS//argH//glpB//purL//sohB//rplI//atoA//yciW//idnR//ebgA//cheA//gltD//csiE//efeU_2//gltB//napD//gntR//ung//tdcB//yaiA//cysW//lysO//hycD//cyoB//rhaD//ftnB//
AtoC-phosphorylated	bacA//fldA//idnD//argI//
BaeR-Phosphorylated	rhaD//acnB//paaK//paaF//paaI//ileT//zraS//bioD//
BirA-bio-5'-AMP	ilvY//lysU//fumA//yojI//hycB//
CRP-cAMP	ansB//aaeA//dapB//qseB//dcuS//evgS//yegR//rseB//torA//rrsE//ynfE//nrfA//rhaS//hflD//nhaA//mgrB//modA//pdhR//lldP//yqaE//ada//yedX//cstA//paaI//ebgC//rrfG//tyrR//argR//csgF//sufE//cheB//paaE//exuT//trpR//hupA//cydB//hypE//metL//betI//sodB//citX//motA//tauA//actP//carA//hupA//gdhA//rrsC//malX//ccmH//hyfJ//rrfD//lsrB//fumB//chbB//purA//argO//ldtC//malX//malI//ilvM//hupA//rpsJ//qseC//rrfH//rrfG//dcuA//tdcD//serC//hybG//skp//creB//rybB//nhaA//phnE_1//fliZ//entF//yciW//rpsI//napF//gntX//ccmA//puuE//preA//rcnB//nupG//hycC//malQ//oppD//nrdB//alaS//tonB//caiE//rimP//glpE//rnlA//oppF//ygiC//alkB//zntA//oppA//astB//hofN//ampE//aceB//entD//azuC//acs//galT//trpA//lpd//acnA//argC//rplS//gyrA//argE//yiaL//allE//dmsC//rrlC//garR//srlD//truB//tsx//fepA//gapA//hydN//adiC//mhpD//citF//putP//fixC//pdeF//agp//qseC//sodA//phoA//hlyE//speA//cusA//casD//nagB//hyfC//fhuB//nanC//bdcA//udp//serC//narJ//fiu//rrsE//atoE//bcsB//tadA//livJ//deoB//oppF//mtr//gutQ//purK//fliZ//dnaE//dsdA//atoE//ybdZ//codB//gatB//amn//recF//nhaA//lldD//ycjF//artP//glcC//rseA//rrlD//tauB//iraM//xapA//lldP//yedX//yedX//ldtB//gabT//ugpQ//yhjC//paaF//yaeP//tdcD//tauC//ebgC//cyaR//gntT//sucD//motB//slt//fixA//alaU//puuP//rutC//citF//dcuC//argH//aroM//puuD//phoE//puuD//glpR//livK//glcB//aroH//acrB//phnL//ykgO//cspD//citF//metI//aldB//cydC//ssb//hyfF//nrdI//appC//ygiC//srlD//gltD//talA//fadI//kbaZ//rimM//cusR//rrlG//rutC//rpmI//argA//ampD//napA//aroP//galK//argT//mhpE//gltA//frdC//preA//polA//lacI//aldA//gdhA//nikR//mdtA//malT//rutD//galK//narQ//gspF//ydeN//gspE//iscS//fliA//mdtA//yjeF//cynS//ryhB//araE//alaA//purK//araJ//rrsH//lsrR//livH//ybjG//aceK//metN//malM//rplW//hypD//cusR//murP//purN//cyoA//galT//argT//glpB//ptsG//fucR//yjeF//cadB//truB//tauD//spy//hflX//glpD//creC//mcaS//metN//manA//nlpE//phnN//hisP//tauB//iscR//purR//bioA//ppiD//serC//hycI//yhiD//kbl//yqaE//nuoI//ispE//torC//rseC//agp//cheB//paaC//uxaA//modC//ftnA//yoaG//rstA//purN//aspA//lysU//cyoC//gutQ//melA//yaiA//yaeP//acs//xylR//cyoB//uvrA//fimC//asr//xylF//glgP//phoH//ptsI//nrdE//pnp//rrsG//sroD//aroF//rrsH//trpR//glnD//slt//lrp//glpQ//nmpC//ydbD//speC//ccmA//rutC//ydfN//hycF//ssuD//rutG//fau//idnR//iscU//prs//metL//aidB//zraR//nanE//glpT//ynfK//rutC//csgF//rrlE//ilvL//copA//ydeP//hupA//zwf//rrlD//cyaR//fecR//hybF//narJ//ung//purR//argO//pta//dcuR//dppA//trpE//hlyE//rplW//nuoM//ssuB//purK//ygbA//xylG//hdeA//trpE//yegR//dppB//mtr//hisM//ydeA//aceF//rutF//ampE//hyfC//ivbL//melB//rutG//ychO//feoA//rbsR//sufD//ykgR//xdhC//pgk//rutE//waaH//acnA//efeU_1//nuoN//rutD//ydhU//malI//paaB//tdcC//yeiL//ygiC//fimC//arcZ//fepE//hybA//yjeV//ytfE//degP//rcnB//hyfF//treR//gatC//dcuB//focA//mutY//udp//hdeA//fadA//ogt//epd//galE//citD//rrfC//treB//glrR//uhpA//agp//cyoE//trpA//ugpQ//hofC//ycjF//ahpC//uidB//tauD//nagC//oxyR//fimC//hpt//zinT//malZ//lolB//dsdC//ydfH//hisQ//yoaG//mpl//rhaD//envY//agaA//ycjX//malP//ycjX//gatD//glgX//hyaF//narJ//hisM//prmC//glnK//iscR//metC//rplV//cydD//agp//ccmA//rbsK//rrsH//rpsO//alkB//rutE//puuA//fnr//fhuE//norR//exbB//csiE//modC//iclR//dppA//glmY//secB//marR//rplC//degP//hybB//aroP//hslJ//rbsR//rrsH//arfB//hybB//idnO//ulaE//guaA//cysW//yeiW//
